SAMPLE NUMBER:   6
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 80.57   	159.91   	 35.58   	 279.75		 42.38   	 188.20		
 95.21   	180.97   	 36.70   	 356.05		 43.13   	 122.07		
110.47   	202.03   	 38.13   	 432.35		 43.62   	  76.30		
125.73   	221.56   	 39.86   	 493.39		 43.93   	  35.61		
139.16   	237.73   	 41.83   	 539.16		 44.07   	  10.17		
150.76   	249.94   	 43.99   	 564.60		 44.11   	   0.00		
162.05   	260.93   	 46.25   	 579.86		 44.11   	   0.00		
174.87   	273.74   	 48.57   	 579.86		 44.11   	   5.09		
190.43   	291.75   	 50.88   	 569.68		 44.13   	  15.26		
206.91   	314.03   	 53.16   	 554.42		 44.19   	  30.52		
221.25   	335.39   	 55.38   	 528.99		 44.31   	  50.86		
229.19   	348.51   	 57.50   	 498.47		 44.52   	  61.04		
226.75   	345.15   	 59.49   	 462.87		 44.76   	  81.38		
210.88   	321.35   	 61.34   	 422.18		 45.09   	  86.47		
180.97   	277.10   	 63.03   	 386.57		 45.43   	  91.56		
139.16   	217.90   	 64.58   	 340.79		 45.80   	  91.56		
 91.55   	151.98   	 65.94   	 300.10		 46.16   	  81.38		
 44.86   	 89.42   	 67.14   	 244.15		 46.49   	  61.04		
-25.94   	 -2.44   	 68.12   	 188.20		 46.73   	  50.86		
-47.30   	-30.21   	 68.87   	 147.51		 46.94   	  20.35		
-61.34   	-49.13   	 69.46   	 106.82		 47.02(S)	   0.00		
-69.89   	-60.42   	 69.89   	  71.21		 47.02   	 -25.43		
-73.85   	-64.09   	 70.17   	  30.52		 46.92   	 -50.86		
-74.16   	-60.73   	 70.29(S)	   0.00		 46.71   	 -66.12		
-70.80   	-50.05   	 70.29   	 -35.61		 46.45   	 -81.38		
-63.78   	-32.65   	 70.15   	 -61.04		 46.12   	 -91.56		
-53.10   	 -9.16   	 69.91   	 -91.56		 45.76   	-116.99		
-38.76   	 18.62   	 69.54   	-116.99		 45.29   	-127.16		
-22.58   	 46.08   	 69.07   	-132.25		 44.78   	-147.51		
 -6.41   	 69.89   	 68.55   	-147.51		 44.19   	-178.03		
  6.10   	 87.59   	 67.95   	-152.59		 43.48   	-213.63		
 12.21   	100.40   	 67.34   	-162.77		 42.62   	-269.58		
 11.90   	111.69   	 66.69   	-162.77		 41.55   	-340.79		
  9.46   	120.85   	 66.04   	-172.94		 40.18   	-422.18		
 10.99   	121.77   	 65.35   	-183.11		 38.49   	-513.73		
 18.62   	108.95   	 64.62   	-188.20		 36.44   	-610.37		
 25.02   	 82.09   	 63.87   	-203.46		 34.00   	-681.58		
 18.62   	 44.56   	 63.05   	-218.72		 31.27   	-737.54		
 -7.93   	  5.19   	 62.18   	-233.98		 28.32   	-773.14		
-49.44   	-28.38   	 61.24   	-264.50		 25.23   	-783.31		
-90.33   	-52.80   	 60.18   	-295.01		 22.10   	-778.23		
-115.36   	-67.44   	 59.00   	-310.27		 18.98   	-757.88		
-119.63   	-74.16   	 57.76   	-376.40		 15.95   	-757.88		
-101.32   	-78.13   	 56.26   	-371.31		 12.92   	-686.67		
