SAMPLE NUMBER:   9
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
-231.32   	-291.44   	107.81   	  96.64		 63.19   	 -40.69		
-227.97   	-292.66   	108.20   	  66.12		 63.03   	-152.59		
-223.08   	-289.61   	108.46   	  40.69		 62.42   	-244.15		
-217.90   	-281.68   	108.63   	  10.17		 61.44   	-295.01		
-213.62   	-270.39   	108.67   	   5.09		 60.26   	-295.01		
-209.96   	-258.48   	108.69   	  10.17		 59.08   	-289.93		
-207.52   	-248.72   	108.73   	   5.09		 57.92   	-295.01		
-206.91   	-244.14   	108.75(S)	  -5.09		 56.74   	-325.53		
-209.66   	-245.67   	108.73   	 -55.95		 55.44   	-381.48		
-214.23   	-251.16   	108.50   	 -91.56		 53.92   	-396.74		
-218.20   	-256.35   	108.14   	-116.99		 52.33   	-396.74		
-218.81   	-257.26   	107.67   	-137.33		 50.74   	-406.92		
-214.84   	-254.21   	107.12   	-147.51		 49.11   	-427.26		
-208.74   	-249.94   	106.53   	-157.68		 47.41   	-447.61		
-205.08   	-248.41   	105.90   	-162.77		 45.62   	-488.30		
-207.21   	-251.77   	105.25   	-142.42		 43.66   	-544.25		
-213.62   	-258.79   	104.68   	-137.33		 41.49   	-605.29		
-221.25   	-264.89   	104.13   	-142.42		 39.06   	-651.07		
-226.75   	-267.33   	103.56   	-147.51		 36.46   	-651.07		
-228.88   	-265.20   	102.97   	-162.77		 33.86   	-630.72		
-228.88   	-261.54   	102.32   	-172.94		 31.33   	-600.20		
-227.36   	-258.79   	101.63   	-198.37		 28.93   	-559.51		
-224.61   	-259.40   	100.83   	-208.54		 26.69   	-528.99		
-221.25   	-263.98   	100.00   	-213.63		 24.58   	-518.82		
-216.98   	-271.91   	 99.15   	-213.63		 22.50   	-508.65		
-212.71   	-282.29   	 98.29   	-223.80		 20.47   	-528.99		
-208.74   	-292.36   	 97.40   	-223.80		 18.35   	-544.25		
-203.55   	-300.29   	 96.50   	-223.80		 16.17   	-508.65		
-197.75   	-303.96   	 95.60   	-228.89		 14.14   	-447.61		
-191.96   	-302.73   	 94.69   	-223.80		 12.35   	-396.74		
-187.99   	-297.85   	 93.79   	-233.98		 10.76   	-330.62		
-186.16   	-289.61   	 92.86   	-233.98		  9.44   	-305.19		
-185.85   	-279.24   	 91.92   	-239.06		  8.22   	-289.93		
-185.85   	-269.17   	 90.97   	-228.89		  7.06   	-269.58		
-186.77   	-261.84   	 90.05   	-213.63		  5.98   	-249.24		
-188.60   	-260.31   	 89.20   	-203.46		  4.98   	-233.98		
-191.65   	-265.50   	 88.38   	-193.29		  4.05   	-223.80		
-195.62   	-276.18   	 87.61   	-183.11		  3.15   	-213.63		
-199.28   	-289.61   	 86.88   	-162.77		  2.30   	-203.46		
-202.03   	-303.96   	 86.23   	-157.68		  1.49   	-188.20		
-203.86   	-318.60   	 85.59   	-152.59		  0.73   	-142.42		
-205.99   	-334.17   	 84.98   	-152.59		  0.16   	-106.82		
-208.13   	-348.82   	 84.37   	-147.51		 -0.26   	-106.82		
-209.66   	-359.19   	 83.78   	-137.33		 -0.69   	-157.68		
-210.57   	-361.63   	 83.23   	-137.33		 -1.32   	-203.46		
-209.96   	-354.92   	 82.69   	-127.16		 -2.14   	-157.68		
-207.21   	-340.58   	 82.18   	-132.25		 -2.77   	 -81.38		
-202.33   	-322.27   	 81.65   	-127.16		 -3.09   	 -30.52		
-194.09   	-302.12   	 81.14   	-127.16		 -3.21   	  -5.09		
