SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
-57.98   	-225.22   	  1.91   	-381.48		108.89   	-310.27		
-52.80   	-219.73   	  0.39   	-330.62		107.65   	-300.10		
-46.69   	-211.49   	 -0.94   	-259.41		106.45   	-320.45		
-38.76   	-199.28   	 -1.97   	-198.37		105.17   	-325.53		
-27.47   	-181.88   	 -2.77   	-152.59		103.87   	-284.84		
-11.90   	-159.00   	 -3.38   	-122.07		102.73   	-228.89		
  5.19   	-135.19   	 -3.87   	 -86.47		101.81   	-198.37		
 18.92   	-114.75   	 -4.21   	 -50.86		101.02   	-183.11		
 26.86   	-99.49   	 -4.42   	 -15.26		100.28   	-162.77		
 31.13   	-85.75   	 -4.48   	  30.52		 99.63   	-111.90		
 36.93   	-66.83   	 -4.35   	  55.95		 99.19   	 -76.30		
 48.83   	-40.59   	 -4.13   	  81.38		 98.88   	 -81.38		
 64.70   	-13.73   	 -3.80   	  96.64		 98.56   	-127.16		
 78.13   	  0.92   	 -3.42   	 106.82		 98.05   	-142.42		
 83.01   	 -7.02   	 -2.99   	 137.33		 97.48   	-106.82		
 76.29   	-38.76   	 -2.44   	 157.68		 97.05   	 -71.21		
 59.51   	-87.59   	 -1.81   	 178.03		 96.76   	 -71.21		
 36.93   	-139.16   	 -1.10   	 183.11		 96.48   	-101.73		
 12.21   	-181.58   	 -0.37   	 183.11		 96.07   	-111.90		
-12.21   	-207.82   	  0.37   	 183.11		 95.63   	 -96.64		
-33.26   	-219.42   	  1.10   	 183.11		 95.24   	 -66.12		
-50.05   	-222.78   	  1.83   	 188.20		 94.97   	 -86.47		
-61.95   	-225.52   	  2.58   	 167.85		 94.63   	-106.82		Beg---------
-69.58   	-231.93   	  3.26   	 132.25		 94.20   	 -91.56		
-74.16   	-240.78   	  3.78   	  96.64		 93.83   	 -55.95		
-76.29   	-247.50   	  4.17   	  61.04		 93.61   	 -20.35		
-76.90   	-248.72   	  4.42   	  45.78		 93.53   	 -35.61		
-76.60   	-245.67   	  4.60   	  45.78		 93.39   	 -55.95		
-75.99   	-241.39   	  4.78   	  40.69		 93.16   	 -50.86		
-75.99   	-238.65   	  4.94   	  35.61		 92.96   	 -10.17		
-76.29   	-238.04   	  5.09   	  15.26		 92.92   	  15.26		
-75.68   	-238.34   	  5.15   	  -5.09		 92.98   	   0.00		
-69.58   	-239.26   	  5.13   	 -10.17		 92.98   	 -45.78		
-51.88   	-244.45   	  5.09   	   0.00		 92.80   	 -50.86		
-19.23   	-255.13   	  5.09   	  20.35		 92.59   	 -25.43		
 25.94   	-258.79   	  5.17   	  35.61		 92.49   	 -15.26		
 73.24   	-217.59   	  5.31   	  55.95		 92.43   	 -35.61		
112.00   	-69.89   	  5.53   	  40.69		 92.29   	 -45.78		
134.28   	255.43   	  5.70   	  15.26		 92.11   	 -30.52		
121.46   	787.96   	  5.76   	  -5.09		 91.98   	 -35.61		
 40.89   	1433.11   	  5.74   	  -5.09		 91.84   	-167.85		
-377.20   	2057.50(R)	  5.72(E)	  25.43		 91.17   	 -81.38		
-621.03   	1617.74   	  5.82   	  25.43		 90.84   	 -50.86		
-748.29   	774.84   	  5.92   	  15.26		 90.64   	 -30.52		
-688.78   	-91.25   	  5.98   	   0.00		 90.52   	 -45.78		
-473.02   	-602.42   	  5.98   	   5.09		 90.34   	 -66.12		
-216.37   	-635.68   	  6.00   	  15.26		 90.07   	 -61.04		
-41.20   	-371.09   	  6.06   	  30.52		 89.83   	 -55.95		
  4.58   	-110.47   	  6.19   	  50.86		 89.60   	 -40.69		
-37.84   	-41.20   	  6.39   	  55.95		 89.44   	 -45.78		
-88.20   	-142.82   	  6.61   	  61.04		 89.26   	 -66.12		
-95.21   	-276.49   	  6.86   	  76.30		 88.99   	 -71.21		
-61.95   	-330.81   	  7.16   	 116.99		 88.71   	 -50.86		
-21.97   	-299.68   	  7.63   	 178.03		 88.50   	 -15.26		
 -2.44   	-242.61   	  8.34   	 264.50		 88.44   	 -10.17		
 -5.19   	-212.71   	  9.40   	 320.45		 88.40   	 -55.95		
-16.78   	-216.67   	 10.68   	 356.05		 88.18   	-116.99		
