SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
112.61   	215.45   	 30.09   	  25.43		 50.23   	 366.22		
116.88   	215.76   	 30.19   	  25.43		 51.70   	 371.31		
119.93   	214.84   	 30.29   	  25.43		 53.18   	 371.31		
122.99   	213.32   	 30.40   	  35.61		 54.67   	 391.66		
126.65   	213.01   	 30.54   	  35.61		 56.24   	 406.92		
131.23   	213.32   	 30.68   	  35.61		 57.86   	 422.18		
136.11   	214.54   	 30.82   	  35.61		 59.55   	 432.35		
140.69   	216.67   	 30.97   	  35.61		 61.28   	 442.52		
144.65   	220.03   	 31.11   	  45.78		 63.05   	 427.26		
147.09   	225.52   	 31.29   	  45.78		 64.76   	 406.92		
145.87   	232.85   	 31.47   	  35.61		 66.39   	 366.22		
139.77   	239.87   	 31.62   	  40.69		 67.85   	 335.71		
127.56   	244.14   	 31.78   	  35.61		 69.20   	 300.10		
110.17   	242.92   	 31.92   	  30.52		 70.40   	 269.58		
 89.72   	234.38   	 32.04   	  25.43		 71.47   	 249.24		
 67.75   	220.34   	 32.15   	  25.43		 72.47   	 228.89		
 45.47   	203.86   	 32.25   	  20.35		 73.39   	 193.29		
 23.50   	187.38   	 32.33   	  10.17		 74.16   	 157.68		
  3.05   	171.51   	 32.37(S)	   0.00		 74.79   	 132.25		
-14.95   	155.64   	 32.37   	   0.00		 75.32   	 101.73		
-29.60   	138.55   	 32.37   	 -10.17		 75.73   	  76.30		
-40.89   	121.77   	 32.33   	 -20.35		 76.03   	  35.61		
-49.74   	107.73   	 32.25   	 -30.52		 76.17   	   5.09		
-56.76   	 97.96   	 32.13   	 -40.69		 76.20(S)	 -15.26		
-62.56   	 90.94   	 31.96   	 -55.95		 76.13   	 -30.52		
-66.83   	 84.23   	 31.74   	 -66.12		 76.01   	 -55.95		
-70.19   	 76.60   	 31.47   	 -86.47		 75.79   	 -71.21		
-72.63   	 69.27   	 31.13   	-101.73		 75.50   	 -86.47		
-74.77   	 64.39   	 30.72   	-127.16		 75.16   	 -91.56		
-75.99   	 64.09   	 30.21   	-147.51		 74.79   	 -86.47		
-76.29   	 66.22   	 29.62   	-167.85		 74.45   	 -81.38		
-75.68   	 68.05   	 28.95   	-193.29		 74.12   	 -91.56		
-75.07   	 66.83   	 28.18   	-218.72		 73.75   	-106.82		
-75.07   	 63.78   	 27.30   	-233.98		 73.33   	-127.16		
-75.68   	 61.34   	 26.37   	-259.41		 72.82   	-137.33		
-76.29   	 61.65   	 25.33   	-274.67		 72.27   	-137.33		
-76.60   	 64.09   	 24.23   	-305.19		 71.72   	-137.33		
-75.99   	 66.83   	 23.01   	-320.45		 71.17   	-142.42		
-75.38   	 66.83   	 21.73   	-325.53		 70.60   	-152.59		
-75.38   	 64.70   	 20.43   	-325.53		 69.99   	-162.77		
-75.99   	 62.87   	 19.13   	-325.53		 69.34   	-178.03		
-76.29   	 63.17   	 17.82   	-310.27		 68.63   	-193.29		
-75.38   	 65.92   	 16.58   	-300.10		 67.85   	-203.46		
-72.94   	 69.27   	 15.38   	-269.58		 67.04   	-203.46		
-69.27   	 72.33   	 14.30   	-249.24		 66.23   	-213.63		
-64.70   	 76.60   	 13.31   	-228.89		 65.37   	-228.89		
-59.51   	 84.53   	 12.39   	-198.37		 64.46   	-233.98		
-54.02   	 97.35   	 11.60   	-178.03		 63.52   	-239.06		
-48.83   	112.00   	 10.89   	-157.68		 62.56   	-228.89		
-45.17   	123.60   	 10.25   	-137.33		 61.65   	-213.63		
-43.95   	128.17   	  9.70   	-116.99		 60.79   	-188.20		
-43.95   	126.04   	  9.24   	-101.73		 60.04   	-172.94		
-43.64   	122.99   	  8.83   	 -91.56		 59.35   	-162.77		
-39.67   	128.17   	  8.46   	 -76.30		 58.70   	-147.51		
-29.60   	148.93   	  8.16   	 -76.30		 58.11   	-142.42		
-13.12   	184.94   	  7.85   	 -66.12		 57.54   	-142.42		
  7.02   	228.27   	  7.59   	 -66.12		 56.97   	-137.33		
 24.72   	266.42   	  7.32   	 -61.04		 56.42   	-132.25		
 33.26   	286.25   	  7.08   	 -50.86		 55.89   	-127.16		
 28.99   	279.54   	  6.88   	 -45.78		 55.38   	-122.07		
 11.90   	245.67   	  6.69   	 -35.61		 54.89   	-116.99		
