SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 73.06   	 -81.38		 49.91   	 -30.52		
 72.74   	 -76.30		 49.79   	 -45.78		
 72.43   	 -71.21		 49.60   	 -55.95		
 72.15   	 -71.21		 49.38   	 -71.21		
 71.86   	 -66.12		 49.09   	 -81.38		
 71.60   	 -76.30		 48.77   	-106.82		
 71.29   	 -81.38		 48.34   	-137.33		
 70.97   	 -91.56		 47.79   	-172.94		
 70.60   	-101.73		 47.10   	-208.54		
 70.19   	-116.99		 46.27   	-254.32		
 69.73   	-122.07		 45.25   	-295.01		
 69.24   	-122.07		 44.07   	-340.79		
 68.75   	-127.16		 42.71   	-371.31		
 68.24   	-132.25		 41.22   	-412.00		
 67.71   	-127.16		 39.57   	-452.69		
 67.20   	-127.16		 37.76   	-488.30		
 66.69   	-132.25		 35.81   	-508.65		
 66.16   	-142.42		 33.77   	-518.82		
 65.59   	-157.68		 31.70   	-534.08		
 64.96   	-162.77		 29.56   	-534.08		
 64.31   	-183.11		 27.43   	-534.08		
 63.58   	-193.29		 25.29   	-518.82		
 62.81   	-208.54		 23.21   	-503.56		
 61.97   	-203.46		 21.20   	-488.30		
 61.16   	-208.54		 19.25   	-462.87		
 60.33   	-193.29		 17.40   	-442.52		
 59.55   	-178.03		 15.63   	-401.83		
 58.84   	-152.59		 14.02   	-366.22		
 58.23   	-127.16		 12.55   	-335.71		
 57.72   	-111.90		 11.21   	-315.36		
 57.27   	-106.82		  9.95   	-279.75		
 56.85   	 -96.64		  8.83   	-244.15		
 56.46   	 -96.64		  7.85   	-213.63		
 56.07   	-101.73		  7.00   	-183.11		
 55.67   	 -96.64		  6.27   	-162.77		
 55.28   	-106.82		  5.62   	-137.33		
 54.85   	-106.82		  5.07   	-106.82		
 54.43   	-111.90		  4.64   	 -96.64		
 53.98   	-111.90		  4.25   	 -86.47		
 53.53   	-111.90		  3.91   	 -71.21		
 53.08   	-101.73		  3.62   	 -61.04		
 52.68   	 -91.56		  3.38   	 -45.78		
 52.31   	 -71.21		  3.19   	 -40.69		
 52.02   	 -61.04		  3.03   	 -45.78		
 51.78   	 -45.78		  2.85   	 -35.61		
 51.60   	 -40.69		  2.71   	 -30.52		
 51.43   	 -35.61		  2.58   	 -25.43		
 51.29   	 -40.69		  2.48   	 -15.26		
 51.13   	 -35.61		  2.42   	 -20.35		
 50.99   	 -40.69		  2.34   	 -20.35		
 50.82   	 -40.69		  2.26(D)	   0.00		
 50.66   	 -40.69		  2.26   	  10.17		
 50.50   	 -50.86		  2.30   	   5.09		
 50.29   	 -50.86		  2.32   	   5.09		
 50.09   	 -50.86		  2.34   	  10.17		
 49.89   	 -50.86		  2.38   	  15.26		
 49.68   	 -50.86		  2.44   	  20.35		
 49.48   	 -45.78		  2.52   	  10.17		
 49.30   	 -40.69		  2.56   	  10.17		
 49.14   	 -35.61		  2.60   	  15.26		
 48.99   	 -30.52		  2.67   	  10.17		
 48.87   	 -30.52		  2.71   	  20.35		
 48.75   	 -25.43		  2.79   	  15.26		
 48.65   	 -30.52		  2.85   	  15.26		
 48.52   	 -30.52		  2.91   	  10.17		
 48.40   	 -30.52		  2.95   	   5.09		
 48.28   	 -40.69		  2.97   	  10.17		
 48.12   	 -35.61		  3.01   	  15.26		
 47.98   	 -40.69		  3.07   	  15.26		
 47.81   	 -40.69		  3.13   	  10.17		
 47.65   	 -45.78		  3.17   	  10.17		
 47.47   	 -40.69		  3.21   	  15.26		
 47.30   	 -35.61		  3.28   	  10.17		
