SAMPLE NUMBER:   10
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  RV     	  RV'		  RFA     	  RFA'		
-682.37   	-833.13   	  5.15   	 -40.69		 66.59   	 -66.12		
-720.52   	-925.90   	  4.98   	-157.68		 66.33   	 -55.95		
-736.08   	-981.14   	  4.35   	-228.89		 66.10   	 -35.61		
-729.68   	-999.15   	  3.44   	-244.15		 65.96   	 -15.26		
-717.47   	-1003.72   	  2.46   	-218.72		 65.90   	 -25.43		
-716.25   	-1017.76   	  1.59   	-152.59		 65.80   	 -40.69		
-726.93   	-1045.23   	  0.98   	-101.73		 65.64   	 -55.95		
-729.98   	-1067.81   	  0.57   	 -55.95		 65.41   	 -61.04		
-702.21   	-1064.45   	  0.35   	 -30.52		 65.17   	 -66.12		
-636.29   	-1029.05   	  0.22   	 -15.26		 64.90   	 -40.69		
-546.26   	-973.51   	  0.16   	   5.09		 64.74   	 -20.35		
-452.58   	-914.92   	  0.18   	  55.95		 64.66   	  -5.09		
-355.83   	-848.69   	  0.41   	 101.73		 64.64   	 -20.35		
-238.65   	-749.21   	  0.81   	 132.25		 64.56   	 -30.52		
-98.57   	-604.25   	  1.34   	 127.16		 64.44   	 -45.78		
 15.26   	-459.59   	  1.85   	  81.38		 64.25   	 -55.95		
-139.16   	-500.49   	  2.18   	  50.86		 64.03   	 -45.78		
-430.60   	-732.12   	  2.38   	  45.78		 63.85   	 -45.78		
-751.95   	-997.31   	  2.56   	  35.61		 63.66   	 -35.61		
-992.74   	-1178.89   	  2.71   	  25.43		 63.52   	 -45.78		
-1113.89   	-1238.10   	  2.81   	   0.00		 63.34   	 -40.69		
-1153.87   	-1222.23   	  2.81   	  -5.09		 63.17   	 -30.52		
-1168.82   	-1202.09   	  2.79   	   5.09		 63.05   	 -25.43		
-1180.42(R)	-1207.89   	  2.81(E)	  20.35		 62.95   	 -20.35		
-1173.40   	-1220.40   	  2.89   	  30.52		 62.87   	 -10.17		
-1121.83   	-1201.78   	  3.01   	  40.69		 62.83   	 -15.26		
-1020.51   	-1137.09   	  3.17   	  30.52		 62.77   	 -20.35		
-889.28   	-1041.57   	  3.30   	  35.61		 62.69   	 -15.26		
-755.92   	-942.38   	  3.44   	  40.69		 62.62   	 -25.43		
-646.06   	-862.12   	  3.60   	  40.69		 62.52   	 -35.61		
-577.09   	-812.38   	  3.76   	  35.61		 62.38   	 -45.78		
-553.89   	-796.51   	  3.91   	  25.43		 62.20   	 -50.86		
-564.88   	-808.11   	  4.01   	  25.43		 61.99   	 -40.69		
-586.24   	-831.91   	  4.11   	  30.52		 61.83   	 -30.52		
-594.79   	-853.27   	  4.23   	  15.26		 61.71   	 -15.26		
-582.28   	-863.34   	  4.29   	   0.00		 61.65   	 -10.17		
-557.56   	-862.43   	  4.29   	  10.17		 61.61   	 -15.26		
-534.97   	-853.58   	  4.33   	 122.07		 61.55   	 -15.26		
-522.16   	-838.93   	  4.82   	 315.36		 61.49   	 -25.43		
-519.41   	-821.84   	  6.08   	 478.13		 61.38   	 -25.43		
-520.32   	-805.97   	  8.00   	 539.16		 61.28   	 -35.61		
-509.34   	-781.56   	 10.15   	 427.26		 61.14   	 -25.43		
-494.38   	-768.43   	 11.86   	 361.14		 61.04   	 -30.52		
-478.52   	-752.56   	 13.31   	 340.79		 60.92   	 -35.61		
-466.92   	-736.39   	 14.67   	 350.97		 60.77   	 -30.52		
-460.51   	-717.77   	 16.07   	 330.62		 60.65   	 -30.52		
-455.63   	-693.05   	 17.40   	 274.67		 60.53   	 -25.43		
-447.08   	-661.93   	 18.49   	 188.20		 60.43   	 -25.43		
-433.96   	-631.41   	 19.25   	 127.16		 60.33   	 -20.35		
-419.01   	-609.13   	 19.76   	  91.56		 60.24   	 -20.35		
-405.27   	-597.84   	 20.12   	  86.47		 60.16   	 -25.43		
-392.76   	-592.04   	 20.47   	  76.30		 60.06   	 -20.35		
-381.47   	-584.72   	 20.77   	  61.04		 59.98   	 -25.43		
-371.40   	-575.26   	 21.02   	  35.61		 59.88   	 -20.35		
-363.46   	-569.46   	 21.16   	  25.43		 59.80   	 -30.52		
-357.97   	-570.07   	 21.26   	  25.43		 59.67   	 -35.61		
-354.00   	-574.34   	 21.36   	  20.35		 59.53   	 -61.04		
-349.73   	-576.17   	 21.44   	  40.69		 59.29   	 -25.43		
-343.32   	-570.98   	 21.61   	 142.42		 59.19   	  50.86		
-334.17   	-558.47   	 22.18   	 127.16		 59.39   	 -10.17		
-322.27   	-541.69   	 22.69   	 -30.52		 59.35   	 -66.12		
-310.36   	-529.48   	 22.56   	-116.99		 59.08   	 -10.17		
-302.43   	-530.40   	 22.10   	   0.00		 59.04(D)	  66.12		
-298.46   	-540.16   	 22.10   	 152.59		 59.31   	  86.47		
-291.75   	-541.08   	 22.71   	 137.33		 59.65   	 142.42		
-278.63   	-520.02   	 23.26(S)	 -71.21		 60.22   	 544.25		
-247.80   	-431.52   	 22.97   	 -81.38		 62.40   	 584.94		
-243.23   	-397.64   	 22.64   	 -45.78		 64.74   	 564.60		
-244.45   	-382.08   	 22.46   	 -10.17		 67.00   	 508.65		
-240.78   	-375.37   	 22.42   	 -15.26		 69.03   	 401.83		
-224.30   	-366.52   	 22.36   	 -61.04		 70.64   	 310.27		
-198.97   	-352.17   	 22.12   	 -91.56		 71.88   	 300.10		
-175.48   	-333.56   	 21.75   	 -96.64		 73.08   	 361.14		
-164.18   	-312.50   	 21.36   	 -71.21		 74.53   	 432.35		
-167.54   	-291.44   	 21.08   	 -61.04		 76.26   	 483.21		
-178.83   	-272.22   	 20.83   	 -81.38		 78.19   	 508.65		
-188.29   	-258.48   	 20.51   	 -91.56		 80.22   	 513.73		
-187.99   	-249.63   	 20.14   	 -66.12		 82.28   	 478.13		
-177.61   	-241.70   	 19.88   	 -35.61		 84.19   	 442.52		
-164.18   	-233.15   	 19.74   	 -10.17		 85.96   	 427.26		
-156.25   	-227.66   	 19.69   	 -20.35		 87.67   	 422.18		
-157.17   	-227.66   	 19.61   	 -30.52		 89.36   	 432.35		
-165.71   	-233.46   	 19.49   	 -40.69		 91.09   	 452.69		
-179.75   	-240.17   	 19.33   	 -45.78		 92.90   	 457.78		
-198.67   	-242.00   	 19.15   	 -30.52		 94.73   	 442.52		
-223.08   	-237.43   	 19.02   	 -30.52		 96.50   	 412.00		
-252.38   	-231.32   	 18.90   	 -35.61		 98.15   	 371.31		
-280.76   	-229.19   	 18.76   	 -40.69		 99.63   	 325.53		
-304.26   	-236.51   	 18.60   	 -40.69		100.94   	 279.75		
-324.10   	-251.16   	 18.43   	 -40.69		102.05   	 239.06		
-344.85   	-268.86   	 18.27   	 -30.52		103.01   	 208.54		
-369.57   	-285.64   	 18.15   	 -30.52		103.84   	 213.63		
-397.03   	-300.29   	 18.03   	 -25.43		104.70   	 218.72		
-422.06   	-313.11   	 17.92   	 -35.61		105.57   	 208.54		
-442.50   	-324.10   	 17.78   	 -30.52		106.41   	 172.94		
-460.51   	-330.81   	 17.66   	 -30.52		107.10   	  71.21		
-480.04   	-332.64   	 17.54   	 -30.52		107.39(S)	 -25.43		
-500.18   	-330.20   	 17.42   	 -40.69		107.28   	 -86.47		
-517.27   	-327.76   	 17.25   	 -50.86		106.94   	-106.82		
-526.43   	-328.06   	 17.05   	 -61.04		106.51   	 -61.04		
-526.12   	-331.73   	 16.81   	 -66.12		106.27   	   0.00		
-520.32   	-337.22   	 16.54   	 -66.12		106.27   	 -20.35		
-514.53   	-341.49   	 16.28   	 -76.30		106.18   	 -61.04		
-513.61   	-343.32   	 15.97   	 -86.47		105.94   	 -96.64		
-517.27   	-342.10   	 15.63   	-106.82		105.55   	-132.25		
-522.16   	-340.58   	 15.20   	-127.16		105.03   	-137.33		
-523.07   	-340.58   	 14.69   	-167.85		104.48   	-137.33		
-516.66   	-341.19   	 14.02   	-188.20		103.93   	-147.51		
-505.07   	-339.36   	 13.27   	-193.29		103.34   	-127.16		
-494.38   	-333.56   	 12.49   	-193.29		102.83   	 -96.64		
-489.20   	-325.93   	 11.72   	-188.20		102.44   	-132.25		
-488.89   	-321.35   	 10.97   	-198.37		101.91   	-183.11		
-487.67   	-318.30   	 10.17   	-213.63		101.18   	-203.46		
-477.29   	-303.96   	  9.32   	-228.89		100.37   	-213.63		
-455.02   	-263.06   	  8.40   	-233.98		 99.51   	-203.46		
-425.42   	-195.62   	  7.47   	-218.72		 98.70   	-172.94		
-398.25   	-122.99   	  6.59   	-208.54		 98.01   	-152.59		
-381.77   	-78.43   	  5.76   	-188.20		 97.40   	-162.77		
-378.42   	-82.40   	  5.01   	-172.94		 96.74   	-157.68		
-383.30   	-123.60   	  4.31   	-172.94		 96.11   	-178.03		
-390.93   	-170.29   	  3.62   	-152.59		 95.40   	-188.20		
-398.86   	-198.36   	  3.01   	-137.33		 94.65   	-193.29		
-409.55   	-207.82   	  2.46   	-111.90		 93.88   	-178.03		
-426.64   	-216.06   	  2.01   	 -96.64		 93.16   	-178.03		
-447.39   	-236.51   	  1.63   	-106.82		 92.45   	-193.29		
-464.17   	-265.50   	  1.20   	-116.99		 91.68   	-193.29		
-470.28   	-287.78   	  0.73   	-127.16		 90.91   	-198.37		
-464.48   	-294.19   	  0.22   	-132.25		 90.11   	-213.63		
