SAMPLE NUMBER:   10
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  RV     	  RV'		  RFA     	  RFA'		
 87.89   	 66.22   	  0.49   	 -10.17		 77.33   	-178.03		
 92.16   	 65.92   	  0.45   	  55.95		 76.62   	-193.29		
 97.66   	 64.39   	  0.67   	 111.90		 75.85   	-172.94		
107.42   	 64.39   	  1.12   	 116.99		 75.16   	-111.90		
120.85   	 68.66   	  1.59   	  66.12		 74.71   	 -61.04		
135.80   	 78.74   	  1.85   	  30.52		 74.47   	 -50.86		
147.40   	 90.33   	  1.97   	  30.52		 74.26   	 -35.61		
151.67   	 98.27   	  2.10   	  45.78		 74.12   	 -40.69		
145.57   	 97.66   	  2.28   	   0.00		 73.96   	 -76.30		
127.56   	 88.81   	  2.28   	 -81.38		 73.65   	 -86.47		
100.10   	 75.68   	  1.95   	-122.07		 73.31   	 -91.56		
 69.89   	 66.22   	  1.46   	 -91.56		 72.94   	 -91.56		
 43.33   	 63.17   	  1.10   	 -25.43		 72.57   	 -81.38		
 22.28   	 63.48   	  1.00   	  10.17		 72.25   	 -66.12		
  5.49   	 63.48   	  1.04   	   0.00		 71.98   	 -50.86		
-11.60   	 58.90   	  1.04   	 -15.26		 71.78   	 -25.43		
-31.74   	 49.44   	  0.98   	 -20.35		 71.68   	 -25.43		
-54.32   	 36.93   	  0.90   	 -15.26		 71.58   	 -15.26		
-75.68   	 23.19   	  0.83   	  10.17		 71.52   	 -35.61		
-94.91   	  9.16   	  0.87   	  20.35		 71.37   	-101.73		
-112.92   	 -3.66   	  0.96   	  15.26		 70.97   	-127.16		
-127.56   	-14.95   	  1.02   	  55.95		 70.46   	-116.99		
-132.75   	-23.80   	  1.24   	 106.82		 69.99   	 -91.56		
-125.12   	-28.99   	  1.67   	 122.07		 69.62   	 -50.86		
-106.81   	-30.21   	  2.16   	  96.64		 69.42   	 -15.26		
-87.28   	-27.77   	  2.54   	  66.12		 69.36   	  10.17		
-77.51   	-21.36   	  2.81   	  40.69		 69.40   	 -20.35		
-80.57   	-13.12   	  2.97   	  35.61		 69.32   	 -55.95		
-88.81   	 -4.88   	  3.11   	  45.78		 69.09   	 -76.30		
-93.08   	  0.92   	  3.30   	  61.04		 68.79   	 -76.30		
-90.64   	  2.75   	  3.54   	  50.86		 68.48   	 -71.21		
-83.31   	  1.53   	  3.74   	  40.69		 68.20   	 -61.04		
-75.68   	  0.61   	  3.91   	  35.61		 67.95   	 -55.95		
-64.70   	  9.77   	  4.05   	  15.26		 67.73   	 -61.04		
-39.37   	 41.81   	  4.11   	 -15.26		 67.49   	 -81.38		
  9.16   	102.23   	  4.05   	 -40.69		 67.16   	 -61.04		
 81.48   	184.94   	  3.89   	 -35.61		 66.92   	 -45.78		
168.15   	272.22   	  3.74   	 -10.17		 66.73   	 -35.61		
256.65   	348.51   	  3.70   	  -5.09		 66.59   	 -35.61		
343.93   	412.90   	  3.68   	  15.26		 66.45   	 -30.52		
445.25   	490.72   	  3.74   	  15.26		 66.33   	 -40.69		
575.26   	609.74   	  3.80   	 -35.61		 66.16   	 -50.86		
782.17(R)	864.26   	  3.66   	 -40.69		 65.96   	 -55.95		
704.96   	839.84   	  3.50   	 -25.43		 65.74   	 -66.12		
454.10   	647.28   	  3.40(E)	  10.17		 65.47   	 -55.95		
 90.94   	338.13   	  3.44   	  50.86		 65.25   	 -45.78		
-258.79   	 35.10   	  3.64   	  71.21		 65.07   	 -30.52		
-493.16   	-157.78   	  3.93   	  50.86		 64.94   	 -25.43		
-598.14   	-227.05   	  4.13   	  15.26		 64.84   	 -20.35		
-629.27   	-233.76   	  4.19   	 -15.26		 64.76   	 -25.43		
-645.75   	-243.84   	  4.13   	 -35.61		 64.66   	 -30.52		
-663.76   	-278.63   	  3.99   	   0.00		 64.54   	 -35.61		
-658.87   	-312.19   	  3.99   	 101.73		 64.39   	 -25.43		
-602.42   	-308.53   	  4.39   	 152.59		 64.29   	 -25.43		
-493.77   	-257.57   	  5.01   	  71.21		 64.19   	 -20.35		
-359.80   	-175.17   	  5.29   	 -61.04		 64.11   	 -30.52		
-236.21   	-87.59   	  5.05   	-111.90		 63.99   	 -35.61		
-151.37   	-16.78   	  4.60   	 -35.61		 63.85   	 -40.69		
-115.05   	 25.63   	  4.46   	  86.47		 63.68   	 -35.61		
-117.49   	 39.67   	  4.80   	 142.42		 63.54   	 -20.35		
-134.58   	 38.76   	  5.37   	  96.64		 63.46   	 -10.17		
-141.60   	 38.76   	  5.76   	   5.09		 63.42   	 -15.26		
-127.87   	 48.22   	  5.78   	 -76.30		 63.36   	 -20.35		
-101.32   	 61.95   	  5.47   	-127.16		 63.28   	 -30.52		
-77.51   	 71.41   	  4.96   	 -45.78		 63.15   	 -25.43		
-65.61   	 70.19   	  4.78   	 172.94		 63.05   	 -25.43		
-63.17   	 61.65   	  5.47   	 595.11		 62.95   	 -20.35		
-61.95   	 47.00   	  7.85   	 523.90		 62.87   	 -30.52		
-55.24   	 47.30   	  9.95   	 432.35		 62.75   	 -30.52		
-46.69   	 51.88   	 11.68   	 452.69		 62.62   	 -40.69		
-37.84   	 56.76   	 13.49   	 544.25		 62.46   	 -40.69		
-28.08   	 59.81   	 15.67   	 544.25		 62.30   	 -40.69		
-18.92   	 61.04   	 17.84   	 401.83		 62.14   	 -35.61		
-11.90   	 66.53   	 19.45   	 259.41		 61.99   	 -30.52		
 -8.85   	 80.87   	 20.49   	 233.98		 61.87   	 -15.26		
-10.99   	104.37   	 21.42   	 289.93		 61.81   	  -5.09		
-17.09   	130.92   	 22.58   	 274.67		 61.79   	 -15.26		
-22.58   	153.20   	 23.68   	 152.59		 61.73   	 -20.35		
-23.50   	167.24   	 24.29   	  55.95		 61.65   	 -15.26		
-18.01   	173.03   	 24.52   	  66.12		 61.59   	 -25.43		
 -7.93   	173.03   	 24.78   	  66.12		 61.49   	 -40.69		
  4.58   	169.37   	 25.05   	  25.43		 61.32   	 -50.86		
 17.09   	164.49   	 25.15   	  15.26		 61.12   	 -50.86		
 27.77   	162.05   	 25.21   	  66.12		 60.92   	 -35.61		
 35.40   	164.79   	 25.47   	  71.21		 60.77   	 -40.69		
 39.98   	172.12   	 25.76   	  10.17		 60.61   	 -20.35		
 43.95   	180.05   	 25.80   	 -10.17		 60.53(D)	   0.00		
 50.96   	186.16   	 25.76   	  35.61		 60.53   	  15.26		
 60.42   	191.35   	 25.90   	  76.30		 60.59   	  20.35		
 69.58   	198.36   	 26.21   	  86.47		 60.67   	  55.95		
 74.77   	207.82   	 26.55   	  50.86		 60.89   	 142.42		
 75.68   	217.90   	 26.75   	 -35.61		 61.46   	 493.39		
 79.04   	225.83   	 26.61   	  25.43		 63.44   	 590.03		
 84.84   	224.91   	 26.71   	  86.47		 65.80   	 584.94		
 86.98   	222.47   	 27.06   	  96.64		 68.14   	 513.73		
 81.79   	215.45   	 27.45   	  30.52		 70.19   	 391.66		
 72.63   	200.50   	 27.57(S)	 -55.95		 71.76   	 315.36		
 66.53   	178.83   	 27.34   	-106.82		 73.02   	 315.36		
 70.50   	156.25   	 26.92   	 -96.64		 74.28   	 381.48		
 82.70   	138.85   	 26.53   	 -50.86		 75.81   	 462.87		
 94.91   	127.87   	 26.33   	 -25.43		 77.66   	 544.25		
 99.79   	121.15   	 26.23   	 -66.12		 79.84   	 554.42		
 98.27   	118.71   	 25.96   	-101.73		 82.05   	 523.90		
 94.60   	120.85   	 25.55   	 -91.56		 84.15   	 452.69		
 92.77   	127.56   	 25.19   	 -61.04		 85.96   	 371.31		
 90.64   	134.89   	 24.94   	 -50.86		 87.45   	 376.40		
 84.53   	137.02   	 24.74   	 -40.69		 88.95   	 442.52		
 72.63   	131.23   	 24.58   	 -91.56		 90.72   	 473.04		
 57.98   	120.54   	 24.21   	-147.51		 92.61   	 457.78		
 44.25   	110.47   	 23.62   	-172.94		 94.45   	 473.04		
 32.04   	102.84   	 22.93   	-111.90		 96.34   	 534.08		
 18.31   	 93.69   	 22.48   	 -45.78		 98.47   	 508.65		
  0.00   	 80.26   	 22.30   	 -50.86		100.51   	 376.40		
-22.89   	 64.70   	 22.10   	 -96.64		102.01   	 264.50		
-47.00   	 51.57   	 21.71   	 -96.64		103.07   	 213.63		
-69.58   	 44.25   	 21.32   	 -35.61		103.93   	 137.33		
-88.50   	 41.20   	 21.18   	  25.43		104.48   	 152.59		
-102.84   	 40.59   	 21.28   	  45.78		105.09   	 310.27		
-115.36   	 41.81   	 21.46   	  15.26		106.33   	 412.00		
-128.17   	 47.61   	 21.53   	 -61.04		107.98   	 320.45		
-143.13   	 61.34   	 21.28   	-101.73		109.26   	 178.03		
-159.61   	 80.87   	 20.87   	 -50.86		109.97   	 116.99		
-173.65   	100.10   	 20.67   	  45.78		110.44   	  30.52		
-180.36   	112.00   	 20.85   	  71.21		110.56(S)	 -61.04		
-177.31   	115.66   	 21.14   	  15.26		110.31   	 -71.21		
-166.93   	114.44   	 21.20   	 -81.38		110.03   	 -25.43		
-154.11   	114.14   	 20.87   	-157.68		109.93   	 -40.69		
-143.13   	119.93   	 20.24   	-152.59		109.77   	 -66.12		
-136.72   	131.23   	 19.63   	 -35.61		109.50   	   0.00		
-133.67   	145.87   	 19.49   	  20.35		109.50   	   0.00		
-131.23   	161.44   	 19.57   	 -55.95		109.50   	-132.25		
-127.56   	176.39   	 19.35   	-178.03		108.97   	-239.06		
-121.77   	191.96   	 18.64   	-259.41		108.02   	-289.93		
-115.36   	205.38   	 17.60   	-289.93		106.86   	-279.75		
-110.47   	213.62   	 16.44   	-213.63		105.74   	-203.46		
-110.17   	214.23   	 15.58   	-142.42		104.92   	-122.07		
-114.14   	208.44   	 15.02   	-162.77		104.43   	 -91.56		
-118.10   	201.72   	 14.36   	-249.24		104.07   	 -86.47		
-119.32   	199.58   	 13.37   	-279.75		103.72   	-132.25		
-120.54   	203.25   	 12.25   	-295.01		103.19   	-249.24		
-126.95   	210.57   	 11.07   	-310.27		102.20   	-295.01		
-141.91   	217.90   	  9.83   	-264.50		101.02   	-300.10		
-162.05   	223.69   	  8.77   	-213.63		 99.82   	-330.62		
-177.31   	226.44   	  7.91   	-203.46		 98.49   	-279.75		
-180.97   	225.52   	  7.10   	-218.72		 97.37   	-213.63		
-175.78   	222.17   	  6.23   	-254.32		 96.52   	-111.90		
-171.20   	216.67   	  5.21   	-223.80		 96.07   	  50.86		
-173.03   	209.96   	  4.31   	-152.59		 96.28   	  55.95		
-179.75   	201.42   	  3.70   	 -76.30		 96.50   	 -76.30		
-182.80   	192.26   	  3.40   	 -76.30		 96.19   	-228.89		
-179.44   	183.72   	  3.09   	-106.82		 95.28   	-361.14		
-174.87   	176.09   	  2.67   	-101.73		 93.83   	-396.74		
-177.31   	167.24   	  2.26   	-116.99		 92.25   	-350.97		
-189.21   	152.59   	  1.79   	-193.29		 90.84   	-264.50		
-205.38   	130.00   	  1.02   	-223.80		 89.79   	-157.68		
-218.51   	103.45   	  0.12   	-167.85		 89.16   	 -40.69		
-224.91   	 80.57   	 -0.55   	 -81.38		 88.99   	  45.78		
-227.36   	 66.83   	 -0.87   	 -20.35		 89.18   	 116.99		
-229.19   	 61.65   	 -0.96   	 -25.43		 89.64   	 162.77		
-231.93   	 58.90   	 -1.06   	 -55.95		 90.29   	  61.04		
-235.29   	 54.93   	 -1.28   	 -86.47		 90.54   	-218.72		
-238.65   	 50.35   	 -1.63   	 -91.56		 89.66   	-442.52		
-242.31   	 47.91   	 -1.99   	 -25.43		 87.89   	-493.39		
-244.75   	 49.44   	 -2.10   	  35.61		 85.92   	-422.18		
-244.45   	 53.71   	 -1.95   	 106.82		 84.23   	-203.46		
-238.34   	 60.73   	 -1.53   	 157.68		 83.42   	  71.21		
-227.36   	 70.50   	 -0.90   	 116.99		 83.70   	 208.54		
-216.37   	 84.84   	 -0.43   	  40.69		 84.54   	 172.94		
-210.88   	102.54   	 -0.26   	 -10.17		 85.23   	  55.95		
-213.32   	118.41   	 -0.31   	 -71.21		 85.45   	-167.85		
-221.56   	126.34   	 -0.59   	 -55.95		 84.78   	-361.14		
-231.32   	124.82   	 -0.81   	  61.04		 83.34   	-457.78		
-237.73   	120.24   	 -0.57   	 127.16		 81.51   	-437.43		
-241.09   	119.32   	 -0.06   	  50.86		 79.76   	-157.68		
-242.00   	126.65   	  0.14   	-122.07		 79.12   	 137.33		
-238.95   	141.91   	 -0.35   	-325.53		 79.67   	  40.69		
-227.66   	163.88   	 -1.65   	-223.80		 79.84   	-305.19		
-206.30   	190.12   	 -2.54   	 122.07		 78.62   	-584.94		
-177.31   	219.12   	 -2.05   	 233.98		 76.28   	-681.58		
-148.62   	249.33   	 -1.12   	  25.43		 73.55   	-584.94		
-128.48   	278.63   	 -1.02   	-116.99		 71.21   	-330.62		
-117.80   	307.31   	 -1.49   	 -55.95		 69.89   	  -5.09		
-109.86   	337.22   	 -1.71   	  35.61		 69.87   	 183.11		
-93.99   	371.70   	 -1.57   	 147.51		 70.60   	 203.46		
-66.22   	408.94   	 -0.98   	 208.54		 71.41   	 147.51		
-33.26   	441.28   	 -0.14   	 183.11		 72.00   	  55.95		
 -9.46   	461.73   	  0.59   	  91.56		 72.23   	 -10.17		
 -7.02   	464.48   	  0.96   	  25.43		 72.19   	 -20.35		
-25.02   	451.36   	  1.06   	  55.95		 72.11   	  10.17		
-50.05   	430.60   	  1.28   	 122.07		 72.15   	  45.78		
-68.05   	413.21   	  1.77   	 106.82		 72.33   	   0.00		
-74.46   	405.27   	  2.20   	  15.26		 72.33   	 -86.47		
-74.77   	403.75   	  2.26   	 -66.12		 71.98   	-111.90		
-78.43   	401.92   	  1.99   	 -35.61		 71.54   	 -96.64		
-91.25   	391.54   	  1.85   	  50.86		 71.15   	 -76.30		
-111.39   	369.87   	  2.05   	 -30.52		 70.84   	 -50.86		
-136.11   	337.83   	  1.93   	-208.54		 70.64   	 -25.43		
-164.79   	294.49   	  1.10   	-295.01		 70.54   	 -86.47		
-196.53   	241.09   	 -0.08   	-162.77		 70.19   	-183.11		
-229.19   	182.80   	 -0.73   	  76.30		 69.46   	-218.72		
-256.04   	133.36   	 -0.43   	  91.56		 68.59   	-228.89		
-270.69   	107.12   	 -0.06   	   0.00		 67.67   	-167.85		
-271.30   	109.56   	 -0.06   	  96.64		 67.00   	  10.17		
-262.45   	132.75   	  0.33   	 218.72		 67.04   	 467.95		
-252.38   	159.00   	  1.20   	 325.53		 68.91   	 686.67		
-248.72   	172.73   	  2.50   	 559.51		 71.66   	 691.76		
-253.30   	168.46   	  4.74   	 279.75		 74.42   	 595.11		
-262.15   	150.45   	  5.86   	-559.51		 76.81   	 274.67		
-270.08   	126.04   	  3.62   	-656.15		 77.90   	-483.21		
-273.13   	102.54   	  1.00   	 -76.30		 75.97   	-1475.07		
-270.08   	 86.98   	  0.69   	 198.37		 70.07   	-1607.32		
-263.06   	 82.70   	  1.49   	  55.95		 63.64   	-844.35		
-251.16   	 93.69   	  1.71   	-147.51		 60.26   	 -61.04		
-228.88   	123.60   	  1.12   	-244.15		 60.02   	 620.55		
-189.51   	170.90   	  0.14   	-264.50		 62.50   	1078.33		
-131.23   	226.44   	 -0.92   	-183.11		 66.82   	 732.45		
-59.81   	277.10   	 -1.65   	 -15.26		 69.75   	-178.03		
 17.70   	311.58   	 -1.71   	 122.07		 69.03   	-910.47		
104.98   	338.13   	 -1.22   	 183.11		 65.39   	-1108.85		
214.84   	382.39   	 -0.49   	 178.03		 60.96   	-778.23		
347.60   	465.39   	  0.22   	 142.42		 57.84   	 -61.04		
456.85   	557.25   	  0.79   	 218.72		 57.60   	1012.20		
298.77   	464.48   	  1.67   	 178.03		 61.65   	 773.14		
-11.60   	211.79   	  2.38   	 162.77		 64.74   	 228.89		
-373.84   	-94.60   	  3.03   	 198.37		 65.66   	-335.71		
-664.98   	-335.69   	  3.83   	 223.80		 64.31   	-640.89		
-823.67   	-452.88   	  4.72   	 147.51		 61.75   	-600.20		
-876.16   	-478.52   	  5.31   	   5.09		 59.35   	-264.50		
-884.40   	-482.48   	  5.33   	 -76.30		 58.29   	 172.94		
-887.15(R)	-505.68   	  5.03(E)	 -25.43		 58.98   	 442.52		
-880.13   	-535.89   	  4.92   	  66.12		 60.75   	 427.26		
-837.40   	-535.58   	  5.19   	  50.86		 62.46   	 259.41		
-746.77   	-483.09   	  5.39   	 -61.04		 63.50   	  96.64		
-621.95   	-387.88   	  5.15   	-152.59		 63.89   	 -35.61		
-490.11   	-275.57   	  4.54   	-122.07		 63.74   	 -91.56		
-377.50   	-171.51   	  4.05   	 -50.86		 63.38   	 -91.56		
-298.77   	-90.03   	  3.85   	 -45.78		 63.01   	 -50.86		
-257.57   	-39.06   	  3.66   	-147.51		 62.81   	  15.26		
-244.14   	-14.34   	  3.07   	-233.98		 62.87   	  10.17		
-238.95   	  0.61   	  2.14   	-223.80		 62.91   	 -91.56		
-223.39   	 25.33   	  1.24   	-172.94		 62.54   	-203.46		
-194.09   	 66.22   	  0.55   	-178.03		 61.73   	-233.98		
-160.83   	115.97   	 -0.16   	-264.50		 60.79   	-172.94		
-135.80   	160.83   	 -1.22   	-350.97		 60.10   	 -10.17		
-123.90   	192.26   	 -2.62   	-274.67		 60.06   	 183.11		
-120.54   	209.35   	 -3.72(D)	  71.21		 60.79   	 223.80		
-118.10   	216.06   	 -3.44   	 462.87		 61.69   	-167.85		
-104.06   	212.40   	 -1.59   	 386.57		 61.02   	-198.37		
-96.44   	208.44   	 -0.04   	 335.71		 60.22   	-178.03		
-91.55   	206.91   	  1.30   	 345.88		 59.51   	-218.72		
-87.28   	210.27   	  2.69   	 300.10		 58.64   	-274.67		
-80.87   	217.29   	  3.89   	 310.27		 57.54   	-137.33		
-69.89   	226.14   	  5.13   	 406.92		 56.99   	  81.38		
-55.54   	233.15   	  6.75   	 467.95		 57.31   	 274.67		
-41.20   	237.73   	  8.63   	 345.88		 58.41   	 259.41		
-31.13   	240.17   	 10.01   	 122.07		 59.45   	 -25.43		
-27.77   	243.53   	 10.50   	  50.86		 59.35   	-249.24		
-30.21   	249.02   	 10.70   	 111.90		 58.35   	-300.10		
-34.48   	254.82   	 11.15   	 162.77		 57.15   	-259.41		
-36.32   	256.96   	 11.80   	 152.59		 56.11   	-106.82		
-31.74   	256.04   	 12.41   	 137.33		 55.69(D)	  81.38		
-20.45   	257.87   	 12.96   	 142.42		 56.01   	 223.80		
 -5.80   	269.17   	 13.53   	 279.75		 56.91   	 442.52		
  9.16   	289.61   	 14.65   	 483.21		 58.68   	 579.86		
 21.36   	307.92   	 16.58   	 590.03		 61.00   	 457.78		
 29.30   	310.06   	 18.94   	 610.37		 62.83   	 157.68		
 31.74   	287.48   	 21.38   	 584.94		 63.46   	-152.59		
 29.60   	245.67   	 23.72   	 523.90		 62.85   	-356.05		
 24.11   	199.89   	 25.82   	 473.04		 61.42   	-381.48		
 21.06   	165.10   	 27.71   	 376.40		 59.90   	-350.97		
 25.63   	145.87   	 29.22   	 172.94		 58.49   	-289.93		
 38.45   	139.77   	 29.91(S)	-152.59		 57.33   	 630.72		
 69.58   	145.57   	 29.30   	-208.54		 59.86   	 925.73		
 81.48   	152.89   	 28.46   	-289.93		 63.56   	 651.07		
 92.47   	163.57   	 27.30   	-340.79		 66.16   	 284.84		
106.51   	177.31   	 25.94   	-315.36		 67.30   	 249.24		
123.29   	190.12   	 24.68   	-228.89		 68.30   	 396.74		
139.16   	195.92   	 23.76   	-183.11		 69.89   	 600.20		
150.45   	190.73   	 23.03   	-233.98		 72.29   	 732.45		
156.56   	174.56   	 22.10   	-208.54		 75.22   	 645.98		
160.52   	153.50   	 21.26   	-122.07		 77.80   	 442.52		
162.96   	134.58   	 20.77   	 -76.30		 79.57   	 356.05		
163.27   	121.15   	 20.47   	 -76.30		 81.00   	 452.69		
160.83   	111.69   	 20.16   	-116.99		 82.81   	 686.67		
157.78   	104.06   	 19.69   	-147.51		 85.55   	 890.13		
156.56   	 99.18   	 19.10   	-183.11		 89.11   	 951.17		
157.78   	 99.79   	 18.37   	-269.58		 92.92   	 915.56		
159.30   	105.90   	 17.29   	-371.31		 96.58   	 803.66		
157.78   	114.14   	 15.81   	-432.35		 99.80   	 539.16		
150.45   	119.93   	 14.08   	-417.09		101.95   	 269.58		
136.72   	120.24   	 12.41   	-391.66		103.03   	 233.98		
117.80   	114.44   	 10.84   	-452.69		103.97   	 116.99		
 93.38   	100.10   	  9.03   	-508.65		104.43   	-203.46		
 63.17   	 73.24   	  7.00   	-406.92		103.62   	-427.26		
 27.47   	 33.26   	  5.37   	-137.33		101.91   	-447.61		
-13.43   	-14.34   	  4.82   	 127.16		100.12   	-218.72		
-58.59   	-61.34   	  5.33   	 269.58		 99.25   	 167.85		
-103.76   	-102.54   	  6.41   	 335.71		 99.92   	 610.37		
-141.30   	-138.24   	  7.75   	 406.92		102.36   	 976.60		
-166.32   	-172.42   	  9.38   	 406.92		106.27   	 707.02		
-180.05   	-207.52   	 11.01   	 437.43		109.09   	 -10.17		
-187.68   	-240.17   	 12.76   	 600.20		109.05   	-539.16		
-197.45   	-263.06   	 15.16   	 691.76		106.90   	-523.90		
-213.01   	-269.78   	 17.92   	 600.20		104.80   	 -96.64		
-230.71   	-258.48   	 20.33   	 401.83		104.41   	 401.83		
-243.84   	-235.90   	 21.93   	 213.63		106.02   	 422.18		
-248.11   	-214.84   	 22.79   	 122.07		107.71   	 147.51		
-243.84   	-207.52   	 23.28   	 203.46		108.30   	 203.46		
-236.51   	-218.81   	 24.09   	 269.58		109.11   	 325.53		
-230.71   	-240.48   	 25.17   	  55.95		110.42   	 279.75		
-229.80   	-258.18   	 25.39   	-147.51		111.54   	 142.42		
-231.63   	-261.54   	 24.80   	-249.24		112.11(S)	-584.94		
-230.41   	-250.55   	 23.80   	-340.79		109.77   	-1057.98		
-223.39   	-234.38   	 22.44   	-203.46		105.53   	-442.52		
-213.62   	-223.69   	 21.63   	 -55.95		103.76   	 137.33		
-206.60   	-223.08   	 21.40   	-218.72		104.31   	-137.33		
-207.52   	-230.10   	 20.53   	-554.42		103.76   	-559.51		
-216.98   	-240.78   	 18.31   	-793.49		101.53   	-869.78		
-228.58   	-252.38   	 15.14   	-788.40		 98.05   	-1057.98		
-234.68   	-262.76   	 11.98   	-630.72		 93.81   	-824.00		
-233.46   	-272.22   	  9.46   	-528.99		 90.52   	-335.71		
-227.05   	-281.68   	  7.34   	-554.42		 89.18   	 142.42		
-221.86   	-292.36   	  5.13   	-610.37		 89.75   	 249.24		
-224.30   	-307.62   	  2.69   	-503.56		 90.74   	 -76.30		
-234.38   	-327.76   	  0.67   	-300.10		 90.44   	-417.09		
-249.02   	-350.95   	 -0.53   	-203.46		 88.77   	-427.26		
-261.84   	-372.31   	 -1.34   	-183.11		 87.06   	 -86.47		
-267.64   	-388.18   	 -2.08   	-106.82		 86.71   	 198.37		
-265.81   	-397.64   	 -2.50   	 122.07		 87.51   	 223.80		
-262.15   	-404.97   	 -2.01   	 401.83		 88.40   	  35.61		
-262.45   	-412.60   	 -0.41   	 600.20		 88.54   	-274.67		
-268.25   	-421.14   	  1.99   	 610.37		 87.45   	-478.13		
-276.79   	-428.16   	  4.44   	 513.73		 85.53   	-462.87		
-282.59   	-428.77   	  6.49   	 366.22		 83.68   	-356.05		
-283.51   	-422.06   	  7.96   	 218.72		 82.26   	-183.11		
-281.37   	-409.85   	  8.83   	 111.90		 81.53   	  30.52		
-280.15   	-397.34   	  9.28   	  15.26		 81.65   	 157.68		
-282.59   	-389.40   	  9.34   	-178.03		 82.28   	 188.20		
-288.09   	-386.05   	  8.63   	-412.00		 83.03   	  96.64		
-294.49   	-386.05   	  6.98   	-564.60		 83.42   	  55.95		
-299.99   	-387.27   	  4.72   	-539.16		 83.64   	 396.74		
-304.57   	-387.27   	  2.56   	-467.95		 85.23   	 829.09		
-307.92   	-385.74   	  0.69   	-478.13		 88.54   	 727.36		
-308.53   	-382.39   	 -1.22   	-508.65		 91.45   	  91.56		
-306.40   	-377.81   	 -3.26   	-437.43		 91.82   	-406.92		
-301.21   	-372.62   	 -5.01   	-284.84		 90.19   	-666.32		
-294.19   	-368.96   	 -6.14   	-193.29		 87.53   	-895.22		
-286.56   	-366.21   	 -6.92   	-203.46		 83.95   	-732.45		
-281.07   	-363.77   	 -7.73   	-264.50		 81.02   	-223.80		
-277.40   	-358.28   	 -8.79   	-264.50		 80.12   	  76.30		
-275.57   	-350.34   	 -9.85   	-142.42		 80.43   	  40.69		
-274.66   	-338.44   	-10.42(D)	  81.38		 80.59   	-101.73		
-275.57   	-321.35   	-10.09   	 264.50		 80.18   	-330.62		
-280.15   	-299.07   	 -9.03   	 361.14		 78.86   	-447.61		
-288.39   	-273.74   	 -7.59   	 437.43		 77.07   	-350.97		
-296.94   	-250.85   	 -5.84   	 488.30		 75.67   	-249.24		
-299.99   	-236.21   	 -3.89   	 528.99		 74.67   	-274.67		
-292.97   	-232.24   	 -1.77   	 569.68		 73.57   	-381.48		
-274.96   	-231.63   	  0.51   	 559.51		 72.04   	-452.69		
-250.85   	-222.17   	  2.75   	 564.60		 70.23   	-356.05		
-229.49   	-198.67   	  5.01   	 793.49		 68.81   	 -10.17		
-215.76   	-164.79   	  8.18   	 885.04		 68.77   	 310.27		
-210.57   	-131.84   	 11.72   	 452.69		 70.01   	 391.66		
-211.49   	-107.42   	 13.53   	 -81.38		 71.58   	 376.40		
-213.32   	-90.03   	 13.20   	-208.54		 73.08   	 289.93		
-211.49   	-71.72   	 12.37   	 -30.52		 74.24   	 106.82		
-203.25   	-46.08   	 12.25   	  45.78		 74.67   	  40.69		
-188.90   	-15.56   	 12.43   	-152.59		 74.83   	 183.11		
-167.24   	 15.56   	 11.82   	-452.69		 75.56   	 249.24		
-140.08   	 43.95   	 10.01   	-554.42		 76.56   	 233.98		
-111.39   	 72.33   	  7.79   	-401.83		 77.50   	 244.15		
-85.45   	102.84   	  6.19   	-208.54		 78.47   	 152.59		
-65.92   	136.11   	  5.35   	-152.59		 79.08   	  -5.09		
-53.41   	167.24   	  4.74   	-172.94		 79.06   	 -91.56		
-43.03   	194.40   	  4.05   	-178.03		 78.70   	-106.82		
-26.25   	221.86   	  3.34   	-111.90		 78.27   	 -96.64		
  3.05   	258.18   	  2.89   	  10.17		 77.88   	-116.99		
 41.81   	307.92   	  2.93   	  76.30		 77.42   	-188.20		
 79.04   	364.69   	  3.23   	  91.56		 76.66   	-249.24		
101.93   	415.34   	  3.60   	 127.16		 75.67   	-340.79		
105.29   	446.78   	  4.11   	 116.99		 74.30   	-401.83		
 96.74   	459.29   	  4.58   	  20.35		 72.70   	-381.48		
 90.03   	466.31   	  4.66   	 -10.17		 71.17   	-330.62		
 93.99   	482.18   	  4.62   	  55.95		 69.85   	-269.58		
109.25   	513.61   	  4.84   	 137.33		 68.77   	-193.29		
129.09   	552.06   	  5.39   	 142.42		 68.00   	-223.80		
146.79   	585.33   	  5.96   	  45.78		 67.10   	-340.79		
156.86   	605.16   	  6.14   	 -96.64		 65.74   	-417.09		
156.86   	613.40   	  5.76   	-188.20		 64.07   	-361.14		
147.40   	618.90   	  5.01   	-233.98		 62.62   	-213.63		
130.31   	628.05   	  4.07   	-203.46		 61.77   	-122.07		
111.08   	641.78   	  3.26   	-157.68		 61.28   	 -30.52		
 97.35   	656.13   	  2.62   	-203.46		 61.16   	 -25.43		
 93.99   	669.25   	  1.81   	-239.06		 61.06   	-198.37		
100.40   	682.68   	  0.85   	-198.37		 60.26   	-330.62		
