SAMPLE NUMBER:   15
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-943.60   	1481.02(R)	  0.57   	 -10.17		 61.83   	 -30.52		
-896.61   	1478.27   	  0.53   	 -55.95		 61.71   	 -35.61		
-809.33   	1262.51   	  0.31   	 -91.56		 61.57   	 -40.69		
-698.55   	852.36   	 -0.06   	-111.90		 61.40   	 -35.61		
-569.46   	372.01   	 -0.51   	-106.82		 61.26   	 -30.52		
-428.47   	-24.41   	 -0.94   	 -76.30		 61.14   	 -30.52		
-294.19   	-237.43   	 -1.24   	 -40.69		 61.02   	 -30.52		
-189.21   	-272.22   	 -1.40   	   0.00		 60.89   	 -35.61		
-127.87   	-217.59   	 -1.40   	  50.86		 60.75   	 -35.61		
-106.20   	-171.81   	 -1.20   	  96.64		 60.61   	 -35.61		
-106.81   	-178.22   	 -0.81   	 132.25		 60.47   	 -35.61		
-112.00   	-219.42   	 -0.28   	 172.94		 60.33   	 -25.43		
-113.22   	-256.35   	  0.41   	 198.37		 60.22   	 -20.35		
-109.25   	-267.03   	  1.20   	 218.72		 60.14   	 -30.52		
-103.76   	-257.26   	  2.08   	 213.63		 60.02   	 -30.52		
-100.10   	-246.89   	  2.93   	 178.03		 59.90   	 -40.69		
-99.18   	-246.89   	  3.64   	 162.77		 59.74   	 -45.78		
-100.71   	-255.13   	  4.29   	 218.72		 59.55   	 -40.69		
-103.15   	-262.45   	  5.17   	 295.01		 59.39   	 -45.78		
-104.06   	-264.89   	  6.35   	 330.62		 59.21   	 -35.61		
-102.54   	-263.98   	  7.67   	 503.56		 59.06   	 -35.61		
-97.05   	-263.06   	  9.68   	 523.90		 58.92   	 -35.61		
-96.44   	-263.98   	 11.78   	 549.34		 58.78   	 -40.69		
-96.44   	-263.67   	 13.98   	 605.29		 58.62   	 -45.78		
-96.44   	-260.31   	 16.40   	 635.81		 58.43   	 -45.78		
-95.83   	-254.21   	 18.94   	 645.98		 58.25   	 -45.78		
-94.91   	-249.02   	 21.53   	 640.89		 58.07   	 -45.78		
-94.30   	-247.80   	 24.09   	 640.89		 57.88   	 -45.78		
-94.60   	-250.85   	 26.65   	 640.89		 57.70   	 -45.78		
-94.60   	-255.74   	 29.22   	 635.81		 57.52   	 -40.69		
-93.99   	-259.40   	 31.76   	 610.37		 57.35   	 -35.61		
-92.47   	-259.70   	 34.20   	 574.77		 57.21   	 -40.69		
-90.33   	-257.87   	 36.50   	 539.16		 57.05   	 -30.52		
-88.20   	-255.43   	 38.66   	 483.21		 56.93   	 -45.78		
-87.59   	-256.04   	 40.59   	 422.18		 56.74   	 -55.95		
-88.20   	-260.01   	 42.28   	 386.57		 56.52   	 -50.86		
-90.03   	-266.42   	 43.82   	 361.14		 56.32   	 -50.86		
-90.94   	-271.30   	 45.27   	 320.45		 56.11   	 -61.04		
-90.64   	-273.74   	 46.55   	 310.27		 55.87   	 -45.78		
-88.81   	-273.44   	 47.79   	 386.57		 55.69   	 -40.69		
-85.45   	-272.83   	 49.34   	 437.43		 55.52   	 -30.52		
-81.79   	-274.35   	 51.09   	 417.09		 55.40   	 -20.35		
-78.43   	-278.32   	 52.76   	 376.40		 55.32   	 -25.43		
-75.68   	-282.59   	 54.26   	 325.53		 55.22   	 -25.43		
-74.16   	-286.56   	 55.56   	 254.32		 55.12   	 -25.43		
-73.24   	-288.70   	 56.58   	 172.94		 55.02   	 -30.52		
-72.02   	-290.83   	 57.27   	 111.90		 54.89   	 -45.78		
-68.97   	-293.88   	 57.72   	  50.86		 54.71   	 -55.95		
-64.09   	-297.24   	 57.92   	  10.17		 54.49   	 -55.95		
-58.59   	-300.29   	 57.97   	   5.09		 54.26   	 -45.78		
-53.71   	-301.21   	 57.99   	  20.35		 54.08   	 -25.43		
-50.05   	-298.77   	 58.07   	  76.30		 53.98   	 -20.35		
-47.91   	-294.49   	 58.37   	 183.11		 53.90   	 -20.35		
-46.69   	-289.00   	 59.10   	 315.36		 53.81   	 -20.35		
-46.39   	-281.68   	 60.37   	 457.78		 53.73   	 -15.26		
-46.08   	-271.00   	 62.20   	 549.34		 53.67   	 -20.35		
-45.17   	-256.65   	 64.39   	 574.77		 53.59   	 -15.26		
-44.56   	-238.95   	 66.69   	 549.34		 53.53   	  -5.09		
-45.17   	-220.64   	 68.89   	 503.56		 53.51(D)	   5.09		
-48.22   	-202.64   	 70.91   	 442.52		 53.53   	  30.52		
-54.02   	-183.41   	 72.68   	 381.48		 53.65   	  55.95		
-61.65   	-161.13   	 74.20   	 325.53		 53.88   	  81.38		
-69.58   	-134.58   	 75.50   	 259.41		 54.20   	 111.90		
-78.13   	-106.51   	 76.54   	 193.29		 54.65   	 147.51		
-87.59   	-80.87   	 77.31   	 132.25		 55.24   	 178.03		
-98.57   	-59.20   	 77.84   	  96.64		 55.95   	 198.37		
-109.56   	-39.67   	 78.23   	  76.30		 56.74   	 213.63		
-118.71   	-19.84   	 78.53   	  76.30		 57.60   	 223.80		
-126.34   	  1.83   	 78.84   	  91.56		 58.49   	 233.98		
-133.97   	 21.67   	 79.21   	 101.73		 59.43   	 249.24		
-142.82   	 34.48   	 79.61   	 116.99		 60.43   	 274.67		
-153.20   	 36.01   	 80.08   	 127.16		 61.53   	 289.93		
-162.66   	 26.86   	 80.59   	 147.51		 62.69   	 300.10		
-169.68   	 11.29   	 81.18   	 157.68		 63.89   	 305.19		
-174.56   	 -6.10   	 81.81   	 152.59		 65.11   	 310.27		
-178.22   	-21.67   	 82.42   	 147.51		 66.35   	 315.36		
-181.88   	-34.79   	 83.01   	 122.07		 67.61   	 320.45		
-185.85   	-47.00   	 83.50   	  91.56		 68.89   	 320.45		
-188.29   	-59.51   	 83.87   	  40.69		 70.17   	 330.62		
-188.90   	-72.94   	 84.03(S)	  -5.09		 71.50   	 335.71		
-188.60   	-87.28   	 84.01   	 -55.95		 72.84   	 335.71		
