SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		  SVC     	  SVC'		
 18.01   	-31.74   	 20.41   	-406.92		 66.77   	-315.36		  2.91   	   0.00		
-19.53   	-78.43   	 18.78   	-356.05		 65.51   	-279.75		  2.91   	   0.00		
-19.53   	-78.43   	 17.35   	-432.35		 64.39   	-284.84		  2.91   	   0.00		
-80.87   	-116.27   	 15.63   	-381.48		 63.26   	-249.24		  2.91   	   0.00		
-80.87   	-116.27   	 14.10   	-437.43		 62.26   	-233.98		  2.91   	   0.00		
-87.28   	-100.71   	 12.35   	-381.48		 61.32   	-203.46		  2.91   	   0.00		
-87.28   	-100.71   	 10.82   	-427.26		 60.51   	-183.11		  2.91   	   5.09		
-77.82   	-99.18   	  9.11   	-376.40		 59.78   	-162.77		  2.93   	   5.09		
-77.82   	-99.18   	  7.61   	-396.74		 59.12   	-127.16		  2.95   	  15.26		
-86.98   	-113.83   	  6.02   	-345.88		 58.62   	-116.99		  3.01   	   5.09		
-86.98   	-113.83   	  4.64   	-350.97		 58.15   	 -91.56		  3.03   	  15.26		
-86.36   	-115.66   	  3.23   	-305.19		 57.78   	 -86.47		  3.09   	  10.17		
-86.36   	-115.66   	  2.01   	-295.01		 57.44   	 -71.21		  3.13   	  10.17		
-79.96   	-112.30   	  0.83   	-259.41		 57.15   	 -61.04		  3.17   	  15.26		
-79.96   	-111.69   	 -0.20   	-223.80		 56.91   	 -61.04		  3.23   	  10.17		
-75.99   	-117.19   	 -1.10   	-183.11		 56.66   	 -50.86		  3.28   	  10.17		
-60.12   	-134.89   	 -1.83   	-147.51		 56.46   	 -45.78		  3.32   	  15.26		
-24.41   	-164.18   	 -2.42   	-106.82		 56.28   	 -45.78		  3.38   	  15.26		
 36.01   	-187.38   	 -2.85   	 -76.30		 56.09   	 -50.86		  3.44   	  15.26		
120.24   	-171.51   	 -3.15   	 -45.78		 55.89   	 -50.86		  3.50   	  20.35		
203.86   	-99.18   	 -3.34   	 -15.26		 55.69   	 -61.04		  3.58   	  15.26		
215.45   	 -3.66   	 -3.40(D)	  10.17		 55.44   	 -71.21		  3.64   	  25.43		
 60.12   	 34.79   	 -3.36   	  30.52		 55.16   	 -76.30		  3.74   	  20.35		
-305.48   	-50.05   	 -3.23   	  50.86		 54.85   	 -86.47		  3.83   	  15.26		
-800.48   	-242.31   	 -3.03   	  76.30		 54.51   	 -86.47		  3.89   	  20.35		
-1220.70   	-442.81   	 -2.73   	  96.64		 54.16   	 -96.64		  3.97   	  10.17		
-1344.91   	-531.31(R)	 -2.34   	 106.82		 53.77   	 -91.56		  4.01   	  10.17		
-1091.61   	-456.85   	 -1.91   	 116.99		 53.41   	 -96.64		  4.05   	   5.09		
-594.18   	-278.02   	 -1.44   	 127.16		 53.02   	-101.73		  4.07   	   0.00		
-109.25   	-102.84   	 -0.94   	 122.07		 52.61   	-106.82		  4.07   	   5.09		
161.44   	 -3.05   	 -0.45   	 127.16		 52.19   	-111.90		  4.09   	   5.09		
184.63   	 18.31   	  0.06   	 122.07		 51.74   	-111.90		  4.11   	   0.00		
 72.94   	  0.00   	  0.55   	 122.07		 51.29   	-111.90		  4.11   	 -10.17		
-28.99   	-18.31   	  1.04   	 116.99		 50.84   	-116.99		  4.07   	 -15.26		
-49.74   	-21.36   	  1.51   	 111.90		 50.38   	-106.82		  4.01   	 -20.35		
 -8.24   	-13.73   	  1.95   	 111.90		 49.95   	-106.82		  3.93   	 -15.26		
 39.06   	 -4.27   	  2.40   	 106.82		 49.52   	-101.73		  3.87   	 -15.26		
 57.37   	  3.97   	  2.83   	 101.73		 49.11   	 -96.64		  3.80   	 -15.26		
 47.61   	  8.54   	  3.23   	 101.73		 48.73   	 -91.56		  3.74   	 -10.17		
 30.21   	  9.16   	  3.64   	  96.64		 48.36   	 -91.56		  3.70   	 -15.26		
 22.28   	  7.32   	  4.03   	 106.82		 48.00   	 -86.47		  3.64   	 -15.26		
 27.77   	  7.02   	  4.46   	 106.82		 47.65   	 -91.56		  3.58   	 -20.35		
 39.98   	 10.07   	  4.88   	 116.99		 47.28   	 -86.47		  3.50   	 -20.35		
 50.66   	 14.04   	  5.35   	 132.25		 46.94   	 -76.30		  3.42   	 -25.43		
 55.24   	 17.40   	  5.88   	 152.59		 46.63   	 -76.30		  3.32   	 -25.43		
 56.76   	 20.45   	  6.49   	 167.85		 46.33   	 -66.12		  3.21   	 -15.26		
 59.51   	 24.72   	  7.16   	 193.29		 46.06   	 -66.12		  3.15   	 -15.26		
 66.22   	 30.52   	  7.93   	 218.72		 45.80   	 -61.04		  3.09   	 -15.26		
 76.29   	 38.45   	  8.81   	 244.15		 45.55   	 -55.95		  3.03   	  -5.09		
 88.20   	 48.52   	  9.79   	 264.50		 45.33   	 -50.86		  3.01   	 -10.17		
100.71   	 59.51   	 10.84   	 295.01		 45.13   	 -30.52		  2.97   	  -5.09		
113.22   	 71.11   	 12.02   	 254.32		 45.00   	 -30.52		  2.95   	  -5.09		
113.22   	 71.11   	 13.04   	 345.88		 44.88(D)	  61.04		  2.93   	  -5.09		
137.63   	 91.25   	 14.43   	 305.19		 45.13   	  55.95		  2.91   	  -5.09		
137.63   	 91.25   	 15.65   	 381.48		 45.35   	 244.15		  2.89   	   0.00		
157.17   	104.06   	 17.17   	 330.62		 46.33   	 208.54		  2.89   	   0.00		
157.17   	104.06   	 18.49   	 401.83		 47.16   	 447.61		  2.89   	   5.09		
164.79   	106.20   	 20.10   	 345.88		 48.95   	 386.57		  2.91   	   0.00		
164.79   	106.20   	 21.49   	 401.83		 50.50   	 600.20		  2.91   	   5.09		
160.22   	102.54   	 23.09   	 345.88		 52.90   	 528.99		  2.93   	   5.09		
160.22   	102.54   	 24.48   	 371.31		 55.02   	 676.50		  2.95   	   0.00		
151.98   	100.71   	 25.96   	 325.53		 57.72   	 590.03		  2.95   	   0.00		
151.98   	100.71   	 27.26   	 325.53		 60.08   	 676.50		  2.95   	   0.00		
145.26   	 99.18   	 28.57   	 289.93		 62.79   	 656.15		  2.95   	   5.09		
142.52   	 97.05   	 29.73   	 254.32		 65.41   	 615.46		  2.97   	   0.00		
138.85   	 93.99   	 30.74   	 218.72		 67.87   	 559.51		  2.97   	   5.09		
134.28   	 88.20   	 31.62   	 178.03		 70.11   	 493.39		  2.99   	   0.00		
127.26   	 79.35   	 32.33   	 132.25		 72.09   	 422.18		  2.99   	   5.09		
117.80   	 67.75   	 32.86   	  96.64		 73.77   	 335.71		  3.01   	   0.00		
105.90   	 57.07   	 33.25   	  45.78		 75.12   	 249.24		  3.01   	   5.09		
 94.91   	 53.41   	 33.43   	  10.17		 76.11   	 167.85		  3.03   	   0.00		
 88.81   	 65.31   	 33.47(S)	 -30.52		 76.79   	  91.56		  3.03   	   0.00		
 90.64   	 97.35   	 33.35   	 -71.21		 77.15   	  15.26		  3.03   	   5.09		
100.40   	144.04   	 33.06   	-106.82		 77.21(S)	 -45.78		  3.05   	   0.00		
115.66   	190.73   	 32.63   	-198.37		 77.03   	-172.94		  3.05(V)	   0.00		
149.23   	233.15   	 31.84   	-228.89		 76.34   	-213.63		  3.05   	  -5.09		
164.49   	232.54   	 30.93   	-259.41		 75.48   	-244.15		  3.03   	   0.00		
175.17   	232.54   	 29.89   	-284.84		 74.51   	-279.75		  3.03   	  -5.09		
177.61   	237.12   	 28.75   	-315.36		 73.39   	-289.93		  3.01   	  -5.09		
166.93   	236.82   	 27.49   	-335.71		 72.23   	-310.27		  2.99   	  -5.09		
143.74   	217.29   	 26.14   	-356.05		 70.99   	-315.36		  2.97   	  -5.09		
113.53   	172.42   	 24.72   	-376.40		 69.73   	-325.53		  2.95   	   0.00		
 82.09   	109.25   	 23.21   	-386.57		 68.42   	-330.62		  2.95   	   0.00		
 50.35   	 41.50   	 21.67   	-401.83		 67.10   	-325.53		  2.95   	   0.00		
 16.17   	-18.92   	 20.06   	-412.00		 65.80   	-310.27		  2.95   	   0.00		
-21.36   	-65.00   	 18.41   	-417.09		 64.56   	-300.10		  2.95   	   0.00		
-57.07   	-92.47   	 16.74   	-422.18		 63.36   	-274.67		  2.95   	   0.00		
-82.40   	-100.71   	 15.06   	-427.26		 62.26   	-254.32		  2.95   	  -5.09		
-91.55   	-94.30   	 13.35   	-422.18		 61.24   	-223.80		  2.93   	   0.00		
-87.89   	-83.01   	 11.66   	-417.09		 60.35   	-203.46		  2.93   	   0.00		
-80.57   	-76.29   	  9.99   	-406.92		 59.53   	-178.03		  2.93   	   0.00		
-76.60   	-78.43   	  8.36   	-396.74		 58.82   	-147.51		  2.93   	   5.09		
-77.82   	-85.14   	  6.78   	-376.40		 58.23   	-127.16		  2.95   	   5.09		
-81.18   	-90.64   	  5.27   	-350.97		 57.72   	-101.73		  2.97   	  10.17		
-83.01   	-92.77   	  3.87   	-335.71		 57.31   	 -81.38		  3.01   	  10.17		
-82.40   	-92.47   	  2.52   	-300.10		 56.99   	 -66.12		  3.05   	  10.17		
-80.57   	-92.16   	  1.32   	-274.67		 56.72   	 -55.95		  3.09   	  10.17		
-78.74   	-92.77   	  0.22   	-244.15		 56.50   	 -50.86		  3.13   	  10.17		
-76.60   	-93.99   	 -0.75   	-208.54		 56.30   	 -50.86		  3.17   	  10.17		
-69.89   	-100.40   	 -1.59   	-172.94		 56.09   	 -50.86		  3.21   	  15.26		
-52.19   	-119.63   	 -2.28   	-116.99		 55.89   	 -61.04		  3.28   	  20.35		
 44.56   	-173.65   	 -2.75   	-106.82		 55.65   	 -50.86		  3.36   	  15.26		
 44.56   	-173.65   	 -3.17   	 -50.86		 55.44   	 -66.12		  3.42   	  15.26		
211.79   	-77.21   	 -3.38   	 -40.69		 55.18   	 -50.86		  3.48   	  15.26		
211.79   	-77.21   	 -3.54(D)	   5.09		 54.97   	 -71.21		  3.54   	  15.26		
 54.63   	 57.98   	 -3.52   	   0.00		 54.69   	 -61.04		  3.60   	  10.17		
 54.63   	 57.98   	 -3.52   	  55.95		 54.45   	 -91.56		  3.64   	   5.09		
-816.04   	-228.88   	 -3.30   	  45.78		 54.08   	 -81.38		  3.66   	  10.17		
-816.04   	-228.88   	 -3.11   	  91.56		 53.75   	-106.82		  3.70   	  10.17		
-1338.50   	-511.17(R)	 -2.75   	  81.38		 53.33   	 -96.64		  3.74   	   5.09		
-1338.50   	-511.17   	 -2.42   	 111.90		 52.94   	-122.07		  3.76   	   5.09		
-568.85   	-249.02   	 -1.97   	 122.07		 52.45   	-116.99		  3.78(A)	  -5.09		
-87.28   	-74.16   	 -1.49   	 122.07		 51.98   	-111.90		  3.76   	 -10.17		
176.09   	 26.25   	 -1.00   	 116.99		 51.54   	-116.99		  3.72   	 -10.17		
192.87   	 50.05   	 -0.53   	 116.99		 51.07   	-111.90		  3.68   	 -15.26		
 78.13   	 34.48   	 -0.06   	 111.90		 50.62   	-116.99		  3.62   	 -15.26		
-24.11   	 16.48   	  0.39   	 111.90		 50.15   	-111.90		  3.56   	 -10.17		
-43.33   	 10.99   	  0.83   	 101.73		 49.70   	-116.99		  3.52   	 -20.35		
 -0.61   	 15.26   	  1.24   	  96.64		 49.24   	-116.99		  3.44   	 -20.35		
 48.52   	 24.41   	  1.63   	  96.64		 48.77   	-116.99		  3.36   	 -20.35		
 68.05   	 35.10   	  2.01   	  91.56		 48.30   	-106.82		  3.28   	 -20.35		
 59.51   	 42.72   	  2.38   	  91.56		 47.87   	-101.73		  3.19   	 -20.35		
 42.11   	 43.64   	  2.75   	  96.64		 47.47   	 -96.64		  3.11   	 -25.43		
 32.96   	 39.67   	  3.13   	  91.56		 47.08   	 -86.47		  3.01   	 -25.43		
 37.23   	 36.01   	  3.50   	 127.16		 46.73   	 -86.47		  2.91   	 -20.35		
 57.68   	 40.28   	  4.01   	 147.51		 46.39   	 -81.38		  2.83   	 -20.35		
 62.26   	 44.56   	  4.60   	 162.77		 46.06   	 -76.30		  2.75   	 -10.17		
 63.78   	 48.52   	  5.25   	 183.11		 45.76   	 -71.21		  2.71   	 -15.26		
 66.22   	 53.10   	  5.98   	 213.63		 45.47   	 -71.21		  2.64   	 -10.17		
 72.33   	 57.98   	  6.84   	 233.98		 45.19   	 -66.12		  2.60   	 -15.26		
 80.87   	 64.39   	  7.77   	 259.41		 44.92   	 -55.95		  2.54   	 -10.17		
 90.33   	 72.02   	  8.81   	 284.84		 44.70   	 -50.86		  2.50   	 -10.17		
 99.79   	 82.09   	  9.95   	 315.36		 44.50   	 -25.43		  2.46   	  -5.09		
109.25   	 93.38   	 11.21   	 335.71		 44.39(D)	   5.09		  2.44   	   0.00		
119.02   	104.68   	 12.55   	 361.14		 44.41   	  61.04		  2.44   	   5.09		
129.39   	114.75   	 14.00   	 376.40		 44.66   	 132.25		  2.46   	  10.17		
139.16   	123.29   	 15.50   	 391.66		 45.19   	 223.80		  2.50   	  15.26		
146.79   	129.09   	 17.07   	 401.83		 46.08   	 325.53		  2.56   	  15.26		
151.06   	132.45   	 18.68   	 406.92		 47.39   	 422.18		  2.62   	  15.26		
152.59   	133.36   	 20.31   	 406.92		 49.07   	 508.65		  2.69   	  10.17		
151.98   	132.45   	 21.93   	 401.83		 51.11   	 569.68		  2.73   	  15.26		
150.15   	130.31   	 23.54   	 391.66		 53.39   	 615.46		  2.79   	  10.17		
148.01   	128.48   	 25.11   	 371.31		 55.85   	 635.81		  2.83   	  15.26		
145.87   	128.17   	 26.59   	 356.05		 58.39   	 645.98		  2.89   	  15.26		
143.43   	129.09   	 28.02   	 330.62		 60.98   	 635.81		  2.95   	  20.35		
140.69   	130.00   	 29.34   	 300.10		 63.52   	 625.63		  3.03   	  20.35		
137.33   	128.78   	 30.54   	 264.50		 66.02   	 584.94		  3.11   	  20.35		
133.36   	125.12   	 31.60   	 228.89		 68.36   	 544.25		  3.19   	  15.26		
127.87   	118.41   	 32.51   	 203.46		 70.54   	 478.13		  3.26   	  15.26		
127.87   	118.41   	 33.33   	 152.59		 72.45   	 406.92		  3.32   	  10.17		
113.83   	100.40   	 33.94   	  81.38		 74.08   	 284.84		  3.36   	  15.26		
 96.44   	 84.23   	 34.26   	  76.30		 75.22   	 244.15		  3.42   	   5.09		
 96.44   	 84.23   	 34.57(S)	  -5.09		 76.20   	 106.82		  3.44   	  15.26		
 88.81   	111.39   	 34.55   	  -5.09		 76.62   	  96.64		  3.50   	  10.17		
 88.81   	111.39   	 34.53   	 -86.47		 77.01(S)	 -40.69		  3.54   	  10.17		
108.03   	199.28   	 34.18   	 -76.30		 76.85   	 -30.52		  3.58   	  10.17		
108.03   	199.28   	 33.88   	-162.77		 76.72   	-157.68		  3.62   	   5.09		
142.21   	260.31   	 33.22   	-259.41		 76.09   	-254.32		  3.64   	   0.00		
172.42   	265.20   	 32.19   	-284.84		 75.08   	-289.93		  3.64   	   0.00		
177.92   	264.28   	 31.05   	-310.27		 73.92   	-305.19		  3.64   	   0.00		
171.51   	258.79   	 29.81   	-335.71		 72.70   	-325.53		  3.64   	   0.00		
151.98   	238.65   	 28.46   	-356.05		 71.39   	-340.79		  3.64   	   0.00		
124.21   	197.75   	 27.04   	-376.40		 70.03   	-340.79		  3.64   	   0.00		
 95.83   	140.38   	 25.53   	-396.74		 68.67   	-345.88		  3.64   	  -5.09		
 69.58   	 76.90   	 23.95   	-412.00		 67.28   	-340.79		  3.62   	   0.00		
 42.42   	 17.09   	 22.30   	-427.26		 65.92   	-330.62		  3.62   	   0.00		
 11.60   	-32.65   	 20.59   	-437.43		 64.60   	-305.19		  3.62   	   0.00		
-22.58   	-67.44   	 18.84   	-447.61		 63.38   	-279.75		  3.62   	   0.00		
-51.27   	-84.84   	 17.05   	-452.69		 62.26   	-259.41		  3.62   	  -5.09		
-66.53   	-85.45   	 15.24   	-447.61		 61.22   	-228.89		  3.60   	   0.00		
-66.83   	-76.90   	 13.45   	-442.52		 60.30   	-203.46		  3.60   	   0.00		
-59.51   	-69.89   	 11.68   	-432.35		 59.49   	-178.03		  3.60   	   0.00		
-54.32   	-70.50   	  9.95   	-417.09		 58.78   	-152.59		  3.60   	   0.00		
-55.54   	-78.13   	  8.28   	-396.74		 58.17   	-132.25		  3.60   	   5.09		
-61.34   	-86.98   	  6.69   	-376.40		 57.64   	-101.73		  3.62   	  10.17		
-66.53   	-92.16   	  5.19   	-350.97		 57.23   	 -81.38		  3.66   	  10.17		
-67.75   	-93.08   	  3.78   	-320.45		 56.91   	 -61.04		  3.70   	  10.17		
-65.31   	-91.25   	  2.50   	-289.93		 56.66   	 -45.78		  3.74   	  15.26		
-61.95   	-89.11   	  1.34   	-249.24		 56.48   	 -35.61		  3.80   	  20.35		
-59.20   	-88.50   	  0.35   	-218.72		 56.34   	 -35.61		  3.89   	  20.35		
-54.63   	-92.47   	 -0.53   	-178.03		 56.20   	 -35.61		  3.97   	  20.35		
-40.59   	-107.12   	 -1.24   	-142.42		 56.05   	 -40.69		  4.05   	  25.43		
 -8.24   	-134.89   	 -1.81   	 -76.30		 55.89   	 -55.95		  4.15   	  25.43		
133.36   	-157.78   	 -2.12   	 -45.78		 55.67   	 -61.04		  4.25   	  25.43		
225.83   	-96.44   	 -2.30   	 -15.26		 55.42   	 -66.12		  4.35   	  25.43		
267.33   	  3.05   	 -2.36(D)	  15.26		 55.16   	 -61.04		  4.46   	  20.35		
167.54   	 65.61   	 -2.30(E)	  40.69		 54.91   	 -71.21		  4.54   	  20.35		
-133.67   	 10.99   	 -2.14   	  66.12		 54.63   	 -76.30		  4.62   	  25.43		
-592.96   	-171.81   	 -1.87   	  86.47		 54.32   	 -81.38		  4.72   	  25.43		
-1040.34   	-399.17   	 -1.53   	 101.73		 54.00   	 -91.56		  4.82   	  30.52		
-1256.71   	-540.77(R)	 -1.12   	 116.99		 53.63   	-101.73		  4.94   	  25.43		
-1116.33   	-512.08   	 -0.65   	 127.16		 53.22   	-106.82		  5.05   	  15.26		
-690.61   	-342.41   	 -0.14   	 132.25		 52.80   	-106.82		  5.11   	   5.09		
-205.08   	-140.38   	  0.39   	 127.16		 52.37   	-106.82		  5.13(A)	  -5.09		
118.71   	 -0.92   	  0.90   	 132.25		 51.94   	-106.82		  5.11   	  -5.09		
200.50   	 48.83   	  1.42   	 116.99		 51.52   	 -91.56		  5.09   	 -10.17		
200.50   	 48.83   	  1.89   	 127.16		 51.15   	-106.82		  5.05   	   0.00		
  4.88   	 16.17   	  2.40   	 106.82		 50.72   	 -96.64		  5.05   	  -5.09		
  4.88   	 16.17   	  2.83   	 116.99		 50.34   	-106.82		  5.03   	   5.09		
-10.07   	 12.51   	  3.30   	 101.73		 49.91   	 -96.64		  5.05   	   5.09		
-10.07   	 12.51   	  3.70   	 106.82		 49.52   	-111.90		  5.07   	 -20.35		
 65.00   	 33.87   	  4.13   	  91.56		 49.07   	 -96.64		  4.98   	 -15.26		
 65.00   	 33.87   	  4.50   	  96.64		 48.69   	-101.73		  4.92   	 -40.69		
 45.78   	 41.81   	  4.88   	  86.47		 48.28   	 -91.56		  4.76   	 -30.52		
 45.78   	 41.81   	  5.23   	 111.90		 47.91   	 -86.47		  4.64   	 -20.35		
 37.54   	 40.59   	  5.68   	  96.64		 47.57   	 -76.30		  4.56   	 -20.35		
 37.54   	 40.59   	  6.06   	 127.16		 47.26   	 -81.38		  4.48   	   0.00		
 58.29   	 50.35   	  6.57   	 178.03		 46.94   	 -76.30		  4.48   	 -10.17		
 65.31   	 58.90   	  7.28   	 198.37		 46.63   	 -66.12		  4.44   	 -25.43		
 68.05   	 62.26   	  8.08   	 218.72		 46.37   	 -61.04		  4.33   	 -25.43		
 74.16   	 67.14   	  8.95   	 244.15		 46.12   	 -61.04		  4.23   	 -25.43		
 83.92   	 73.85   	  9.93   	 269.58		 45.88   	 -61.04		  4.13   	 -20.35		
 94.91   	 82.09   	 11.01   	 295.01		 45.64   	 -40.69		  4.05   	 -10.17		
105.90   	 90.64   	 12.19   	 315.36		 45.47   	 -15.26		  4.01   	 -10.17		
116.58   	 98.57   	 13.45   	 345.88		 45.41(D)	  35.61		  3.97   	  -5.09		
127.26   	105.29   	 14.83   	 361.14		 45.55   	 116.99		  3.95   	   0.00		
137.33   	111.39   	 16.28   	 381.48		 46.02   	 223.80		  3.95   	  -5.09		
146.79   	117.19   	 17.80   	 396.74		 46.92   	 345.88		  3.93   	   0.00		
154.42   	122.99   	 19.39   	 406.92		 48.30   	 452.69		  3.93   	  -5.09		
159.30   	128.17   	 21.02   	 412.00		 50.11   	 554.42		  3.91   	   0.00		
161.13   	131.84   	 22.67   	 412.00		 52.33   	 620.55		  3.91   	   5.09		
161.13   	133.97   	 24.31   	 401.83		 54.81   	 666.32		  3.93   	   5.09		
159.91   	134.89   	 25.92   	 391.66		 57.48   	 686.67		  3.95   	   5.09		
158.08   	134.89   	 27.49   	 381.48		 60.22   	 691.76		  3.97   	  10.17		
155.64   	134.89   	 29.01   	 361.14		 62.99   	 686.67		  4.01   	  10.17		
152.59   	135.50   	 30.46   	 330.62		 65.74   	 671.41		  4.05   	  10.17		
148.01   	136.11   	 31.78   	 305.19		 68.42   	 645.98		  4.09   	  10.17		
143.13   	135.80   	 33.00   	 269.58		 71.01   	 600.20		  4.13   	   5.09		
138.24   	132.45   	 34.08   	 223.80		 73.41   	 539.16		  4.15   	   5.09		
133.06   	126.34   	 34.97   	 188.20		 75.56   	 457.78		  4.17(V)	  -5.09		
127.26   	116.88   	 35.73   	 147.51		 77.40   	 376.40		  4.15   	 -10.17		
119.63   	105.90   	 36.32   	 101.73		 78.90   	 274.67		  4.11   	  -5.09		
110.17   	 94.60   	 36.72   	  30.52		 80.00   	 127.16		  4.09   	   5.09		
 93.38   	 91.25   	 36.85(S)	 -15.26		 80.51   	  55.95		  4.11   	   5.09		
 92.47   	113.83   	 36.79   	 -55.95		 80.73(S)	 -10.17		  4.13   	   5.09		
 99.49   	156.25   	 36.56   	 -96.64		 80.69   	 -61.04		  4.15   	   5.09		
113.22   	207.52   	 36.17   	-132.25		 80.45   	-111.90		  4.17   	  -5.09		
130.31   	250.55   	 35.65   	-223.80		 80.00   	-208.54		  4.15   	  -5.09		
161.74   	276.79   	 34.75   	-249.24		 79.17   	-244.15		  4.13   	  -5.09		
172.73   	271.91   	 33.75   	-279.75		 78.19   	-264.50		  4.11   	   0.00		
176.39   	267.94   	 32.63   	-310.27		 77.13   	-284.84		  4.11   	  -5.09		
169.37   	260.62   	 31.39   	-335.71		 75.99   	-300.10		  4.09   	  -5.09		
149.84   	238.65   	 30.05   	-295.01		 74.79   	-259.41		  4.07   	  -5.09		
149.84   	238.65   	 28.87   	-386.57		 73.75   	-325.53		  4.05   	 -15.26		
 91.86   	130.92   	 27.32   	-340.79		 72.45   	-279.75		  3.99   	 -10.17		
 91.86   	130.92   	 25.96   	-427.26		 71.33   	-335.71		  3.95   	 -15.26		
 36.01   	 -0.61   	 24.25   	-371.31		 69.99   	-289.93		  3.89   	 -15.26		
 36.01   	 -0.61   	 22.77   	-467.95		 68.83   	-315.36		  3.83   	  -5.09		
-27.16   	-79.65   	 20.90   	-406.92		 67.57   	-279.75		  3.80   	 -10.17		
-27.16   	-79.65   	 19.27   	-483.21		 66.45   	-279.75		  3.76   	  -5.09		
-71.72   	-92.47   	 17.33   	-427.26		 65.33   	-244.15		  3.74   	 -10.17		
-71.72   	-92.47   	 15.63   	-483.21		 64.35   	-228.89		  3.70   	  -5.09		
-68.97   	-84.23   	 13.69   	-422.18		 63.44   	-203.46		  3.68   	  -5.09		
-68.97   	-84.23   	 12.00   	-462.87		 62.62   	-188.20		  3.66   	  -5.09		
-65.61   	-100.10   	 10.15   	-442.52		 61.87   	-172.94		  3.64   	   0.00		
-69.89   	-109.56   	  8.38   	-417.09		 61.18   	-157.68		  3.64   	   5.09		
-73.24   	-114.75   	  6.71   	-391.66		 60.55   	-132.25		  3.66   	   0.00		
-73.85   	-115.97   	  5.15   	-366.22		 60.02   	-106.82		  3.66   	   5.09		
-72.02   	-115.05   	  3.68   	-330.62		 59.59   	 -91.56		  3.68   	   0.00		
-69.58   	-114.14   	  2.36   	-295.01		 59.23   	 -76.30		  3.68   	  10.17		
-68.05   	-113.22   	  1.18   	-264.50		 58.92   	 -66.12		  3.72   	   5.09		
-64.39   	-115.66   	  0.12   	-223.80		 58.66   	 -66.12		  3.74   	  10.17		
-52.49   	-128.17   	 -0.77   	-172.94		 58.39   	 -71.21		  3.78   	  20.35		
 27.16   	-180.36   	 -1.46   	-127.16		 58.11   	 -71.21		  3.87   	  20.35		
104.68   	-178.53   	 -1.97   	 -96.64		 57.82   	 -81.38		  3.95   	  15.26		
193.79   	-122.38   	 -2.36   	 -61.04		 57.50   	 -76.30		  4.01   	  15.26		
236.82   	-27.77   	 -2.60   	 -30.52		 57.19   	 -76.30		  4.07   	  15.26		
140.99   	 33.87   	 -2.73(D)	   0.00		 56.89   	 -81.38		  4.13   	  10.17		
-159.91   	-15.87   	 -2.73(E)	  25.43		 56.56   	 -81.38		  4.17   	  15.26		
-625.31   	-189.21   	 -2.62   	  50.86		 56.24   	 -86.47		  4.23   	  15.26		
-1083.68   	-407.71   	 -2.42   	  71.21		 55.89   	 -91.56		  4.29   	  15.26		
-1307.07   	-545.04(R)	 -2.14   	  91.56		 55.52   	 -96.64		  4.35   	  10.17		
-1162.11   	-517.58   	 -1.77   	 106.82		 55.14   	-101.73		  4.39   	  10.17		
-719.60   	-351.87   	 -1.34   	 116.99		 54.73   	-111.90		  4.44   	  10.17		
-213.62   	-152.28   	 -0.87   	 116.99		 54.28   	-116.99		  4.48   	   0.00		
124.51   	-13.73   	 -0.41   	 122.07		 53.81   	-111.90		  4.48   	   0.00		
209.96   	 35.71   	  0.08   	 127.16		 53.37   	-116.99		  4.48   	   0.00		
120.85   	 25.33   	  0.59   	 122.07		 52.90   	-106.82		  4.48   	 -10.17		
  5.19   	  0.61   	  1.08   	 122.07		 52.47   	-106.82		  4.44   	  -5.09		
-39.37   	-10.68   	  1.57   	 111.90		 52.04   	-106.82		  4.42   	 -15.26		
 -9.16   	 -7.32   	  2.01   	 116.99		 51.62   	-101.73		  4.35   	 -10.17		
 42.42   	  1.22   	  2.48   	 111.90		 51.21   	-106.82		  4.31   	 -15.26		
 69.27   	  9.16   	  2.93   	 106.82		 50.78   	-106.82		  4.25   	 -10.17		
 64.09   	 14.65   	  3.36   	 106.82		 50.36   	-106.82		  4.21   	 -15.26		
 45.17   	 17.70   	  3.78   	 101.73		 49.93   	-101.73		  4.15   	 -20.35		
 33.26   	 19.23   	  4.19   	 111.90		 49.52   	 -96.64		  4.07   	 -20.35		
 35.40   	 22.89   	  4.64   	 106.82		 49.14   	-101.73		  3.99   	 -20.35		
 46.69   	 28.08   	  5.07   	 147.51		 48.73   	 -96.64		  3.91   	 -25.43		
 61.65   	 36.01   	  5.66   	 157.68		 48.34   	 -86.47		  3.80   	 -20.35		
 61.65   	 38.45   	  6.29   	 172.94		 48.00   	 -81.38		  3.72   	 -20.35		
 63.17   	 41.81   	  6.98   	 152.59		 47.67   	 -76.30		  3.64   	 -15.26		
 63.17   	 41.81   	  7.59   	 223.80		 47.37   	 -66.12		  3.58   	 -15.26		
 79.35   	 52.49   	  8.48   	 193.29		 47.10   	 -55.95		  3.52   	 -15.26		
 79.35   	 52.49   	  9.26   	 269.58		 46.88   	 -61.04		  3.46   	 -10.17		
103.76   	 67.14   	 10.34   	 233.98		 46.63   	 -55.95		  3.42   	 -10.17		
103.76   	 67.14   	 11.27   	 320.45		 46.41   	 -25.43		  3.38   	 -10.17		
