SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		  SVC     	  SVC'		
143.74   	 36.93   	 -3.30   	  25.43		 54.49   	 -81.38		  3.76   	  20.35		
-143.43   	 -6.71   	 -3.19   	  45.78		 54.16   	 -91.56		  3.85   	  15.26		
-603.03   	-171.51   	 -3.01   	  71.21		 53.79   	 -91.56		  3.91   	  15.26		
-1072.39   	-380.25   	 -2.73   	  86.47		 53.43   	 -96.64		  3.97   	  15.26		
-1322.63   	-511.78(R)	 -2.38   	 101.73		 53.04   	 -96.64		  4.03   	   5.09		
-1206.36   	-485.23   	 -1.97   	 111.90		 52.65   	-101.73		  4.05   	  10.17		
-776.06   	-326.54   	 -1.53   	 116.99		 52.25   	-106.82		  4.09   	   0.00		
-259.40   	-137.94   	 -1.06   	 116.99		 51.82   	-111.90		  4.09   	   0.00		
105.29   	 -8.85   	 -0.59   	 116.99		 51.37   	-116.99		  4.09   	   0.00		
216.37   	 37.23   	 -0.12   	 122.07		 50.91   	-116.99		  4.09   	  -5.09		
140.08   	 30.52   	  0.37   	 111.90		 50.44   	-111.90		  4.07   	  -5.09		
 22.28   	 13.73   	  0.81   	 111.90		 49.99   	-106.82		  4.05   	 -15.26		
-31.13   	  8.24   	  1.26   	 106.82		 49.56   	-101.73		  3.99   	 -15.26		
 -7.93   	 12.82   	  1.69   	 106.82		 49.16   	 -96.64		  3.93   	 -20.35		
 41.50   	 20.45   	  2.12   	  96.64		 48.77   	-101.73		  3.85   	 -15.26		
 70.80   	 27.47   	  2.50   	  96.64		 48.36   	 -96.64		  3.78   	 -20.35		
 68.66   	 33.87   	  2.89   	  96.64		 47.98   	 -91.56		  3.70   	 -15.26		
 51.88   	 37.54   	  3.28   	  96.64		 47.61   	 -91.56		  3.64   	 -20.35		
 40.28   	 37.54   	  3.66   	  96.64		 47.24   	 -86.47		  3.56   	 -20.35		
 42.42   	 36.62   	  4.05   	 101.73		 46.90   	 -81.38		  3.48   	 -25.43		
 53.10   	 37.84   	  4.46   	 137.33		 46.57   	 -86.47		  3.38   	 -30.52		
 68.66   	 48.52   	  5.01   	 147.51		 46.23   	 -81.38		  3.26   	 -30.52		
 69.58   	 54.63   	  5.60   	 172.94		 45.90   	 -81.38		  3.13   	 -25.43		
 71.41   	 60.73   	  6.29   	 193.29		 45.57   	 -71.21		  3.03   	 -20.35		
 77.51   	 66.83   	  7.06   	 213.63		 45.29   	 -66.12		  2.95   	 -25.43		
 87.59   	 73.24   	  7.91   	 244.15		 45.03   	 -55.95		  2.85   	 -20.35		
 99.18   	 80.87   	  8.89   	 264.50		 44.80   	 -50.86		  2.77   	 -15.26		
111.39   	 90.03   	  9.95   	 284.84		 44.60   	 -45.78		  2.71   	 -20.35		
123.60   	 99.79   	 11.09   	 310.27		 44.41   	 -40.69		  2.62   	 -10.17		
134.89   	109.86   	 12.33   	 330.62		 44.25   	 -15.26		  2.58   	 -15.26		
144.96   	118.41   	 13.65   	 350.97		 44.19(D)	  20.35		  2.52   	  -5.09		
153.50   	125.12   	 15.06   	 361.14		 44.27   	  86.47		  2.50   	  -5.09		
161.13   	129.09   	 16.50   	 371.31		 44.62   	 172.94		  2.48   	  -5.09		
167.24   	130.62   	 17.99   	 381.48		 45.31   	 264.50		  2.46   	 -10.17		
171.81   	129.70   	 19.51   	 376.40		 46.37   	 361.14		  2.42   	 -10.17		
173.95   	127.87   	 21.02   	 371.31		 47.81   	 442.52		  2.38   	  -5.09		
173.95   	126.95   	 22.50   	 366.22		 49.58   	 508.65		  2.36   	 -10.17		
172.12   	128.17   	 23.97   	 315.36		 51.62   	 447.61		  2.32   	  -5.09		
172.12   	128.17   	 25.23   	 335.71		 53.41   	 590.03		  2.30   	   0.00		
165.71   	135.19   	 26.57   	 289.93		 55.77   	 513.73		  2.30   	   5.09		
165.71   	135.19   	 27.73   	 284.84		 57.82   	 605.29		  2.32   	   0.00		
159.30   	141.60   	 28.87   	 244.15		 60.24   	 523.90		  2.32   	   5.09		
159.30   	141.60   	 29.85   	 213.63		 62.34   	 564.60		  2.34   	  -5.09		
151.98   	135.50   	 30.70   	 188.20		 64.60   	 488.30		  2.32   	   0.00		
