SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
-55.24   	-112.92   	 83.40   	 -66.12		  6.57   	  20.35		
-56.76   	-117.80   	 83.13   	 -66.12		  6.65   	   5.09		
-58.29   	-122.38   	 82.87   	 -61.04		  6.67   	  -5.09		
-59.20   	-126.34   	 82.62   	 -55.95		  6.65   	 -15.26		
-59.20   	-130.31   	 82.40   	 -55.95		  6.59   	 -20.35		
-58.29   	-133.97   	 82.18   	 -55.95		  6.51   	 -25.43		
-57.07   	-136.11   	 81.95   	 -50.86		  6.41   	 -20.35		
-56.46   	-137.02   	 81.75   	 -45.78		  6.33   	 -25.43		
-56.46   	-137.02   	 81.57   	 -50.86		  6.23   	 -15.26		
-57.68   	-136.72   	 81.36   	 -45.78		  6.16   	 -20.35		
-59.20   	-136.72   	 81.18   	 -45.78		  6.08   	 -15.26		
-59.81   	-136.72   	 81.00   	 -50.86		  6.02   	 -15.26		
-59.20   	-136.11   	 80.79   	 -45.78		  5.96   	 -15.26		
-57.98   	-135.19   	 80.61   	 -55.95		  5.90   	 -15.26		
-56.76   	-134.58   	 80.39   	 -55.95		  5.84   	 -15.26		
-56.15   	-134.89   	 80.16   	 -55.95		  5.78   	 -15.26		
-56.76   	-135.80   	 79.94   	 -55.95		  5.72   	 -10.17		
-57.98   	-137.33   	 79.71   	 -55.95		  5.68   	 -10.17		
-59.20   	-138.55   	 79.49   	 -50.86		  5.64   	   0.00		
-59.20   	-139.77   	 79.29   	 -55.95		  5.64   	   5.09		
-57.98   	-141.30   	 79.06   	 -50.86		  5.66   	  10.17		
-56.76   	-142.82   	 78.86   	 -50.86		  5.70   	  15.26		
-55.85   	-144.04   	 78.66   	 -45.78		  5.76   	  15.26		
-55.24   	-143.13   	 78.47   	 -50.86		  5.82   	  15.26		
-54.93   	-140.69   	 78.27   	 -45.78		  5.88   	  20.35		
-52.80   	-137.63   	 78.09   	 -45.78		  5.96   	  20.35		
-48.83   	-134.89   	 77.90   	 -45.78		  6.04   	  20.35		
-43.95   	-133.67   	 77.72   	 -45.78		  6.12   	  20.35		
-38.76   	-133.06   	 77.54   	 -40.69		  6.21   	  20.35		
-33.26   	-130.92   	 77.38   	 -40.69		  6.29   	  20.35		
-26.86   	-127.56   	 77.21   	 -45.78		  6.37   	  20.35		
-18.31   	-123.90   	 77.03   	 -40.69		  6.45   	  15.26		
 -7.63   	-121.46   	 76.87   	 -40.69		  6.51   	  20.35		
  3.66   	-120.24   	 76.70   	 -45.78		  6.59   	  10.17		
 13.12   	-116.27   	 76.52   	 -40.69		  6.63   	  15.26		
 18.92   	-106.20   	 76.36   	 -45.78		  6.69   	  10.17		
 20.45   	-88.81   	 76.17   	 -45.78		  6.73   	  10.17		
 20.75   	-66.22   	 75.99   	 -40.69		  6.78   	  15.26		
 22.89   	-43.95   	 75.83   	 -45.78		  6.84   	  10.17		
 28.69   	-29.30   	 75.65   	 -40.69		  6.88   	  10.17		
 37.84   	-26.25   	 75.48   	 -40.69		  6.92   	  10.17		
 47.30   	-35.10   	 75.32   	 -45.78		  6.96   	  15.26		
 54.63   	-53.41   	 75.14   	 -40.69		  7.02   	  10.17		
 59.81   	-75.68   	 74.97   	 -40.69		  7.06   	  20.35		
 63.78   	-95.21   	 74.81   	 -45.78		  7.14   	  15.26		
 67.44   	-106.81   	 74.63   	 -45.78		  7.20   	  10.17		
 68.36   	-111.39   	 74.45   	 -45.78		  7.24   	  15.26		
 62.56   	-112.61   	 74.26   	 -45.78		  7.30   	  15.26		
 47.00   	-117.49   	 74.08   	 -45.78		  7.37   	  20.35		
 20.75   	-130.92   	 73.90   	 -40.69		  7.45   	  15.26		
-12.82   	-153.20   	 73.73   	 -40.69		  7.51   	  20.35		
-47.91   	-179.14   	 73.57   	 -40.69		  7.59   	  25.43		
-76.60   	-200.50   	 73.41   	 -40.69		  7.69   	  25.43		
-93.99   	-211.79   	 73.24   	 -35.61		  7.79   	  25.43		
-99.18   	-213.32   	 73.10   	 -30.52		  7.89   	  30.52		
-97.05   	-209.66   	 72.98   	 -35.61		  8.02   	  30.52		
-94.30   	-206.91   	 72.84   	 -35.61		  8.14   	  25.43		
-96.74   	-209.96   	 72.70   	 -30.52		  8.24   	  30.52		
-105.29   	-221.56   	 72.57   	 -35.61		  8.36   	  25.43		
-114.75   	-244.75   	 72.43   	 -30.52		  8.46   	  25.43		
-114.75   	-278.63   	 72.31   	 -35.61		  8.57   	  25.43		
-91.55   	-310.67   	 72.17   	 -30.52		  8.67   	  25.43		
-32.04   	-314.33   	 72.04   	 -35.61		  8.77   	  25.43		
 76.90   	-255.74   	 71.90   	 -35.61		  8.87   	  20.35		
240.17   	-113.22   	 71.76   	 -35.61		  8.95   	  25.43		
450.74   	108.64   	 71.62   	 -40.69		  9.05   	  20.35		
690.31   	376.89   	 71.45   	 -40.69		  9.14   	  25.43		
921.33   	653.08   	 71.29   	 -50.86		  9.24   	  25.43		
1069.34   	910.64   	 71.09   	 -50.86		  9.34   	  25.43		
1046.45   	1122.44   	 70.88   	 -55.95		  9.44   	  20.35		
336.91   	1268.62(R)	 70.66   	 -55.95		  9.52(E)	  20.35		
-212.10   	1163.94   	 70.44   	 -50.86		  9.60   	  20.35		
-677.80   	981.45   	 70.23   	 -50.86		  9.68   	  25.43		
-928.96   	794.07   	 70.03   	 -40.69		  9.79   	  20.35		
-944.52   	647.58   	 69.87   	 -40.69		  9.87   	  25.43		
-805.36   	525.82   	 69.70   	 -30.52		  9.97   	  25.43		
-627.14   	378.72   	 69.58   	 -35.61		 10.07   	  25.43		
-486.76   	183.72   	 69.44   	 -25.43		 10.17   	  30.52		
-395.51   	-22.58   	 69.34   	 -30.52		 10.29   	  35.61		
-325.93   	-174.56   	 69.22   	 -25.43		 10.44   	  30.52		
-255.13   	-237.43   	 69.11   	 -25.43		 10.56   	  30.52		
-184.94   	-233.15   	 69.01   	 -30.52		 10.68   	  35.61		
-131.84   	-215.45   	 68.89   	 -35.61		 10.82   	  55.95		
-106.51   	-220.03   	 68.75   	 -40.69		 11.05   	  66.12		
-104.98   	-247.19   	 68.59   	 -45.78		 11.31   	  96.64		
-112.00   	-274.96   	 68.40   	 -50.86		 11.70   	 132.25		
-113.83   	-288.39   	 68.20   	 -50.86		 12.23   	 188.20		
-105.29   	-289.00   	 68.00   	 -61.04		 12.98   	 254.32		
-91.25   	-284.73   	 67.75   	 -61.04		 14.00   	 284.84		
-79.35   	-281.37   	 67.51   	 -61.04		 15.14   	 300.10		
-73.24   	-279.54   	 67.26   	 -55.95		 16.34   	 295.01		
-72.33   	-277.40   	 67.04   	 -50.86		 17.52   	 279.75		
-72.02   	-274.35   	 66.84   	 -45.78		 18.64   	 284.84		
-69.89   	-270.69   	 66.65   	 -35.61		 19.78   	 310.27		
-66.22   	-266.72   	 66.51   	 -20.35		 21.02   	 340.79		
-62.56   	-263.06   	 66.43(D)	  20.35		 22.38   	 366.22		
-59.51   	-260.31   	 66.51   	  76.30		 23.85   	 391.66		
-57.07   	-257.26   	 66.82   	 162.77		 25.41   	 401.83		
-55.24   	-253.60   	 67.47   	 274.67		 27.02   	 396.74		
-52.80   	-249.02   	 68.57   	 396.74		 28.61   	 381.48		
-49.13   	-243.84   	 70.15   	 508.65		 30.13   	 350.97		
-43.95   	-238.04   	 72.19   	 610.37		 31.54   	 315.36		
-38.15   	-231.32   	 74.63   	 681.58		 32.80   	 274.67		
-32.35   	-224.00   	 77.35   	 717.19		 33.90   	 233.98		
-26.55   	-216.37   	 80.22   	 707.02		 34.83   	 188.20		
-21.06   	-208.13   	 83.05   	 656.15		 35.58   	 157.68		
-15.56   	-199.89   	 85.68   	 564.60		 36.22   	 122.07		
 -9.46   	-191.96   	 87.93   	 457.78		 36.70   	  96.64		
 -2.44   	-184.94   	 89.77   	 345.88		 37.09   	  71.21		
  5.19   	-177.92   	 91.15   	 233.98		 37.38   	  55.95		
 13.43   	-170.59   	 92.09   	 132.25		 37.60   	  50.86		
 21.97   	-162.96   	 92.61   	  50.86		 37.80   	  35.61		
 30.21   	-154.42   	 92.82   	   0.00		 37.94   	  25.43		
 38.76   	-145.26   	 92.82   	 -40.69		 38.05   	  10.17		
 47.00   	-135.80   	 92.65   	 -50.86		 38.09(S)	  -5.09		
 56.15   	-126.65   	 92.45   	 -35.61		 38.07   	 -15.26		
 65.61   	-117.19   	 92.31   	 -20.35		 38.01   	 -25.43		
 75.38   	-107.42   	 92.23   	   0.00		 37.90   	 -35.61		
 84.84   	-97.35   	 92.23   	  55.95		 37.76   	 -40.69		
 93.69   	-86.98   	 92.45   	  91.56		 37.60   	 -55.95		
101.93   	-75.99   	 92.82   	 122.07		 37.38   	 -55.95		
110.78   	-63.78   	 93.31   	 147.51		 37.15   	 -61.04		
120.85   	-50.96   	 93.90   	 167.85		 36.91   	 -71.21		
132.14   	-38.45   	 94.57   	 183.11		 36.62   	 -71.21		
144.04   	-27.47   	 95.30   	 193.29		 36.34   	 -76.30		
155.03   	-18.01   	 96.07   	 203.46		 36.03   	 -76.30		
164.79   	 -9.46   	 96.89   	 188.20		 35.73   	 -86.47		
173.65   	  0.00   	 97.64   	 178.03		 35.38   	 -86.47		
181.88   	 10.68   	 98.35   	 162.77		 35.04   	 -91.56		
191.04   	 22.58   	 99.00   	 157.68		 34.67   	 -86.47		
200.50   	 34.79   	 99.63   	 137.33		 34.32   	 -91.56		
209.66   	 46.39   	100.18   	 132.25		 33.96   	 -91.56		
218.20   	 56.76   	100.71   	 116.99		 33.59   	 -76.30		
225.22   	 66.83   	101.18   	 122.07		 33.29   	 -66.12		
231.02   	 77.21   	101.67   	 127.16		 33.02   	 -50.86		
236.82   	 88.81   	102.18   	 137.33		 32.82   	 -35.61		
242.61   	101.32   	102.73   	 152.59		 32.68   	 -25.43		
248.11   	113.53   	103.34   	 157.68		 32.57   	 -15.26		
252.38   	124.21   	103.97   	 142.42		 32.51   	  -5.09		
254.52   	133.36   	104.54   	 111.90		 32.49   	   5.09		
254.82   	140.69   	104.98   	  96.64		 32.51   	  10.17		
252.38   	147.40   	105.37   	  71.21		 32.55   	  10.17		
247.50   	153.81   	105.66   	  45.78		 32.59   	  15.26		
239.26   	159.61   	105.84   	  20.35		 32.66   	  15.26		
227.66   	163.88   	105.92(S)	 -10.17		 32.72   	  15.26		
212.71   	166.32   	105.88   	 -25.43		 32.78   	  15.26		
195.62   	166.63   	105.78   	 -45.78		 32.84   	   5.09		
176.39   	165.41   	105.59   	 -61.04		 32.86   	   5.09		
155.64   	162.05   	105.35   	 -71.21		 32.88   	 -10.17		
133.36   	156.25   	105.07   	 -71.21		 32.84   	 -25.43		
110.78   	147.71   	104.78   	 -71.21		 32.74   	 -40.69		
 88.81   	136.11   	104.50   	 -66.12		 32.57   	 -55.95		
 68.97   	122.07   	104.23   	 -66.12		 32.35   	 -76.30		
 52.19   	107.42   	103.97   	 -71.21		 32.04   	 -91.56		
 38.45   	 93.69   	103.68   	 -66.12		 31.68   	-111.90		
 27.16   	 81.79   	103.42   	 -66.12		 31.23   	-137.33		
 17.70   	 72.33   	103.15   	 -76.30		 30.68   	-157.68		
  9.77   	 66.53   	102.85   	 -71.21		 30.05   	-178.03		
  3.66   	 64.70   	102.56   	 -76.30		 29.34   	-188.20		
 -0.61   	 65.92   	102.26   	 -91.56		 28.59   	-208.54		
 -3.66   	 69.27   	101.89   	-101.73		 27.75   	-218.72		
 -5.80   	 73.24   	101.48   	-116.99		 26.88   	-228.89		
 -7.32   	 75.68   	101.02   	-137.33		 25.96   	-228.89		
 -8.85   	 76.60   	100.47   	-167.85		 25.05   	-233.98		
 -9.77   	 77.51   	 99.80   	-193.29		 24.11   	-233.98		
-10.07   	 79.35   	 99.02   	-218.72		 23.17   	-233.98		
-10.07   	 82.40   	 98.15   	-228.89		 22.24   	-228.89		
 -9.77   	 85.14   	 97.23   	-233.98		 21.32   	-228.89		
 -9.46   	 87.28   	 96.30   	-223.80		 20.41   	-233.98		
 -9.16   	 89.11   	 95.40   	-198.37		 19.47   	-244.15		
 -7.93   	 93.69   	 94.61   	-167.85		 18.49   	-295.01		
 -6.10   	101.93   	 93.94   	-142.42		 17.31   	-330.62		
 -3.05   	113.22   	 93.37   	-106.82		 15.99   	-366.22		
  0.61   	124.51   	 92.94   	 -81.38		 14.53   	-386.57		
  3.36   	132.45   	 92.61   	 -66.12		 12.98   	-376.40		
  4.27   	136.72   	 92.35   	 -55.95		 11.48   	-350.97		
  4.27   	138.24   	 92.13   	 -55.95		 10.07   	-305.19		
  3.66   	139.47   	 91.90   	 -50.86		  8.85   	-254.32		
  3.66   	141.30   	 91.70   	 -55.95		  7.83   	-193.29		
  3.97   	143.74   	 91.47   	 -66.12		  7.06   	-147.51		
  4.58   	146.48   	 91.21   	 -76.30		  6.47   	-106.82		
  4.58   	150.45   	 90.91   	 -91.56		  6.04   	 -71.21		
  3.66   	155.64   	 90.54   	 -96.64		  5.76   	 -50.86		
  2.75   	163.27   	 90.15   	-106.82		  5.55   	 -25.43		
  2.14   	172.12   	 89.72   	-106.82		  5.45   	  -5.09		
  1.53   	180.66   	 89.30   	-111.90		  5.43   	   5.09		
  0.92   	187.99   	 88.85   	-111.90		  5.45   	  25.43		
 -0.31   	192.87   	 88.40   	-111.90		  5.55   	  30.52		
 -1.53   	195.92   	 87.95   	-101.73		  5.68   	  45.78		
 -3.36   	198.97   	 87.55   	 -96.64		  5.86   	  40.69		
 -5.19   	202.64   	 87.16   	 -96.64		  6.02   	  40.69		
 -7.02   	207.82   	 86.77   	 -86.47		  6.19   	  35.61		
 -8.54   	213.93   	 86.43   	 -81.38		  6.33   	  25.43		
 -9.77   	221.25   	 86.10   	 -81.38		  6.43   	  30.52		
-10.99   	229.80   	 85.78   	 -71.21		  6.55   	  30.52		
-11.90   	240.17   	 85.49   	 -71.21		  6.67   	  30.52		
-12.82   	250.85   	 85.21   	 -71.21		  6.80   	  35.61		
-14.04   	260.93   	 84.92   	 -66.12		  6.94   	  25.43		
-15.26   	268.55   	 84.66   	 -66.12		  7.04   	  10.17		
-16.78   	273.74   	 84.39   	 -66.12		  7.08   	 -10.17		
-17.70   	277.40   	 84.13   	 -66.12		  7.04   	 -25.43		
-18.01   	281.07   	 83.87   	 -61.04		  6.94   	 -45.78		
-17.70   	285.64   	 83.62   	 -66.12		  6.75   	 -55.95		
-17.09   	291.14   	 83.36   	 -66.12		  6.53   	 -66.12		
-16.78   	297.24   	 83.09   	 -55.95		  6.27   	 -66.12		
-16.78   	304.57   	 82.87   	 -61.04		  6.00   	 -61.04		
-16.78   	313.72   	 82.62   	 -55.95		  5.76   	 -61.04		
-16.17   	324.71   	 82.40   	 -55.95		  5.51   	 -55.95		
-15.26   	336.30   	 82.18   	 -55.95		  5.29   	 -35.61		
-13.73   	348.21   	 81.95   	 -50.86		  5.15   	 -20.35		
-13.12   	358.89   	 81.75   	 -50.86		  5.07(D)	   0.00		
-13.12   	367.74   	 81.55   	 -45.78		  5.07   	  15.26		
-14.04   	374.76   	 81.36   	 -50.86		  5.13   	  35.61		
-15.26   	380.25   	 81.16   	 -45.78		  5.27   	  45.78		
-16.17   	385.44   	 80.98   	 -45.78		  5.45   	  55.95		
-16.17   	391.24   	 80.79   	 -50.86		  5.68   	  55.95		
-15.56   	398.56   	 80.59   	 -50.86		  5.90   	  55.95		
-14.95   	407.10   	 80.39   	 -50.86		  6.12   	  55.95		
-14.34   	417.18   	 80.18   	 -50.86		  6.35   	  45.78		
-13.73   	427.86   	 79.98   	 -55.95		  6.53   	  35.61		
-13.12   	438.54   	 79.76   	 -50.86		  6.67   	  30.52		
-12.51   	448.61   	 79.55   	 -50.86		  6.80   	  15.26		
-11.90   	457.76   	 79.35   	 -50.86		  6.86   	  10.17		
-11.29   	465.70   	 79.15   	 -45.78		  6.90   	   0.00		
-11.29   	472.72   	 78.96   	 -50.86		  6.90   	  -5.09		
-11.29   	478.82   	 78.76   	 -45.78		  6.88   	 -10.17		
-11.29   	484.01   	 78.58   	 -45.78		  6.84   	 -15.26		
-11.60   	489.50   	 78.39   	 -45.78		  6.78   	 -10.17		
-11.60   	496.22   	 78.21   	 -45.78		  6.73   	 -10.17		
-11.90   	504.76   	 78.03   	 -45.78		  6.69   	  -5.09		
-12.51   	515.14   	 77.84   	 -45.78		  6.67   	   0.00		
-13.12   	526.43   	 77.66   	 -45.78		  6.67   	  10.17		
-13.73   	537.11   	 77.48   	 -40.69		  6.71   	  10.17		
-14.65   	546.57   	 77.31   	 -45.78		  6.75   	  15.26		
-15.56   	554.81   	 77.13   	 -40.69		  6.82   	  20.35		
-16.48   	563.35   	 76.97   	 -45.78		  6.90   	  25.43		
-17.09   	572.51   	 76.79   	 -40.69		  7.00   	  25.43		
-16.48   	582.28   	 76.62   	 -40.69		  7.10   	  30.52		
-14.34   	592.96   	 76.46   	 -45.78		  7.22   	  35.61		
-10.99   	603.64   	 76.28   	 -45.78		  7.37   	  30.52		
 -7.32   	614.62   	 76.09   	 -40.69		  7.49   	  25.43		
 -3.36   	625.61   	 75.93   	 -45.78		  7.59   	  25.43		
  0.92   	636.90   	 75.75   	 -40.69		  7.69   	  25.43		
  6.41   	650.02   	 75.58   	 -45.78		  7.79   	  20.35		
 13.73   	665.89   	 75.40   	 -45.78		  7.87   	  15.26		
 23.50   	683.90   	 75.22   	 -45.78		  7.93   	  15.26		
 36.01   	703.13   	 75.04   	 -40.69		  8.00   	  10.17		
 49.74   	720.52   	 74.87   	 -45.78		  8.04   	   5.09		
 62.56   	735.17   	 74.69   	 -50.86		  8.06   	   5.09		
 72.02   	749.21   	 74.49   	 -45.78		  8.08   	   5.09		
 76.60   	765.38   	 74.30   	 -45.78		  8.10   	   0.00		
 77.21   	785.83   	 74.12   	 -45.78		  8.10   	   0.00		
 76.60   	811.46   	 73.94   	 -40.69		  8.10   	   0.00		
 79.04   	838.62   	 73.77   	 -45.78		  8.10   	   0.00		
 86.36   	861.21   	 73.59   	 -40.69		  8.10   	   0.00		
 97.66   	875.24   	 73.43   	 -40.69		  8.10   	   5.09		
110.17   	878.30   	 73.27   	 -40.69		  8.12   	   0.00		
121.77   	872.80   	 73.10   	 -40.69		  8.12   	   5.09		
132.75   	866.39   	 72.94   	 -35.61		  8.14   	   5.09		
144.04   	865.78   	 72.80   	 -40.69		  8.16   	   5.09		
155.64   	874.63   	 72.63   	 -40.69		  8.18   	  10.17		
164.49   	889.59   	 72.47   	 -40.69		  8.22   	  15.26		
165.10   	903.02   	 72.31   	 -35.61		  8.28   	  15.26		
154.11   	907.29   	 72.17   	 -40.69		  8.34   	  20.35		
130.62   	899.96   	 72.00   	 -40.69		  8.42   	  20.35		
 98.57   	884.40   	 71.84   	 -35.61		  8.50   	  25.43		
 65.00   	867.92   	 71.70   	 -35.61		  8.61   	  25.43		
 37.54   	857.24   	 71.56   	 -40.69		  8.71   	  25.43		
 21.67   	855.71   	 71.39   	 -35.61		  8.81   	  25.43		
 16.78   	861.82   	 71.25   	 -35.61		  8.91   	  25.43		
 18.31   	871.28   	 71.11   	 -30.52		  9.01   	  30.52		
 18.92   	879.21   	 70.99   	 -35.61		  9.14   	  25.43		
 14.04   	883.18   	 70.84   	 -30.52		  9.24   	  25.43		
  3.66   	880.43   	 70.72   	 -30.52		  9.34   	  30.52		
 -7.63   	867.31   	 70.60   	 -30.52		  9.46   	  20.35		
-10.99   	841.98   	 70.48   	 -25.43		  9.54   	  25.43		
  6.10   	814.21   	 70.38   	 -30.52		  9.64   	  20.35		
 56.46   	808.72   	 70.25   	 -30.52		  9.73   	  20.35		
153.81   	859.68   	 70.13   	 -35.61		  9.81   	  15.26		
