SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  FA     	  FA'		  RV     	  RV'		
 62.10   	 -55.95		 30.29   	 345.88		
 61.87   	 -55.95		 31.68   	 320.45		
 61.65   	 -50.86		 32.96   	 300.10		
 61.44   	 -45.78		 34.16   	 279.75		
 61.26   	 -45.78		 35.28   	 259.41		
 61.08   	 -40.69		 36.32   	 228.89		
 60.92   	 -30.52		 37.23   	 213.63		
 60.79   	 -20.35		 38.09   	 183.11		
 60.71(D)	   5.09		 38.82   	 167.85		
 60.73   	  40.69		 39.49   	 142.42		
 60.89   	 116.99		 40.06   	 127.16		
 61.36   	 208.54		 40.57   	 101.73		
 62.20   	 330.62		 40.98   	  91.56		
 63.52   	 447.61		 41.34   	  71.21		
 65.31   	 534.08		 41.63   	  61.04		
 67.45   	 595.11		 41.87   	  45.78		
 69.83   	 615.46		 42.05   	  40.69		
 72.29   	 630.72		 42.22   	  30.52		
 74.81   	 620.55		 42.34   	  20.35		
 77.29   	 590.03		 42.42   	  25.43		
 79.65   	 549.34		 42.52   	  15.26		
 81.85   	 503.56		 42.58   	  15.26		
 83.87   	 473.04		 42.64   	  20.35		
 85.76   	 427.26		 42.73   	  20.35		
 87.47   	 401.83		 42.81   	  20.35		
 89.07   	 386.57		 42.89   	  25.43		
 90.62   	 386.57		 42.99   	  25.43		
 92.17   	 391.66		 43.09   	  30.52		
 93.73   	 406.92		 43.21   	  35.61		
 95.36   	 427.26		 43.36   	  30.52		
 97.07   	 432.35		 43.48   	  40.69		
 98.80   	 447.61		 43.64   	  40.69		
100.59   	 442.52		 43.80   	  45.78		
102.36   	 427.26		 43.99   	  40.69		
104.07   	 401.83		 44.15   	  45.78		
105.68   	 356.05		 44.33   	  40.69		
107.10   	 305.19		 44.50   	  40.69		
108.32   	 244.15		 44.66   	  35.61		
109.30   	 178.03		 44.80   	  35.61		
110.01   	 111.90		 44.94   	  30.52		
110.46   	  45.78		 45.07   	  25.43		
110.64(S)	 -20.35		 45.17   	  20.35		
110.56   	 -66.12		 45.25   	  10.17		
110.29   	-111.90		 45.29   	  10.17		
109.85   	-147.51		 45.33(S)	  -5.09		
109.26   	-162.77		 45.31   	  -5.09		
108.61   	-183.11		 45.29   	 -20.35		
107.87   	-208.54		 45.21   	 -50.86		
107.04   	-208.54		 45.00   	 -66.12		
106.21   	-193.29		 44.74   	 -76.30		
105.43   	-183.11		 44.44   	-101.73		
104.70   	-172.94		 44.03   	-127.16		
104.01   	-178.03		 43.52   	-137.33		
103.30   	-172.94		 42.97   	-167.85		
102.60   	-167.85		 42.30   	-188.20		
101.93   	-172.94		 41.55   	-208.54		
101.24   	-178.03		 40.71   	-228.89		
100.53   	-178.03		 39.80   	-254.32		
 99.82   	-193.29		 38.78   	-279.75		
 99.04   	-193.29		 37.66   	-300.10		
 98.27   	-203.46		 36.46   	-325.53		
 97.46   	-203.46		 35.16   	-340.79		
 96.64   	-203.46		 33.79   	-361.14		
 95.83   	-208.54		 32.35   	-371.31		
 94.99   	-208.54		 30.86   	-391.66		
 94.16   	-208.54		 29.30   	-396.74		
 93.33   	-213.63		 27.71   	-406.92		
 92.47   	-208.54		 26.08   	-406.92		
 91.64   	-218.72		 24.46   	-406.92		
 90.76   	-218.72		 22.83   	-406.92		
 89.89   	-223.80		 21.20   	-401.83		
 88.99   	-228.89		 19.59   	-396.74		
 88.08   	-228.89		 18.01   	-381.48		
 87.16   	-239.06		 16.48   	-376.40		
 86.21   	-233.98		 14.97   	-361.14		
 85.27   	-239.06		 13.53   	-345.88		
 84.31   	-233.98		 12.15   	-325.53		
 83.38   	-233.98		 10.84   	-310.27		
 82.44   	-223.80		  9.60   	-289.93		
 81.55   	-213.63		  8.44   	-269.58		
 80.69   	-203.46		  7.37   	-249.24		
 79.88   	-188.20		  6.37   	-223.80		
 79.12   	-178.03		  5.47   	-203.46		
 78.41   	-167.85		  4.66   	-183.11		
 77.74   	-157.68		  3.93   	-157.68		
 77.11   	-147.51		  3.30   	-137.33		
 76.52   	-137.33		  2.75   	-111.90		
 75.97   	-127.16		  2.30   	 -96.64		
 75.46   	-127.16		  1.91   	 -76.30		
 74.95   	-122.07		  1.61   	 -55.95		
 74.47   	-116.99		  1.38   	 -40.69		
 74.00   	-116.99		  1.22   	 -30.52		
 73.53   	-111.90		  1.10   	 -10.17		
 73.08   	-111.90		  1.06   	  -5.09		
 72.63   	-111.90		  1.04(D)	  10.17		
 72.19   	-111.90		  1.08   	  15.26		
 71.74   	-106.82		  1.14   	  30.52		
 71.31   	-101.73		  1.26   	  30.52		
 70.91   	-101.73		  1.38   	  35.61		
 70.50   	 -96.64		  1.53   	  40.69		
 70.11   	 -91.56		  1.69   	  40.69		
 69.75   	 -91.56		  1.85   	  40.69		
 69.38   	 -81.38		  2.01   	  40.69		
 69.05   	 -81.38		  2.18   	  40.69		
 68.73   	 -71.21		  2.34   	  35.61		
 68.44   	 -71.21		  2.48   	  40.69		
 68.16   	 -66.12		  2.64   	  30.52		
 67.89   	 -66.12		  2.77   	  35.61		
 67.63   	 -61.04		  2.91   	  30.52		
 67.39   	 -55.95		  3.03   	  35.61		
 67.16   	 -61.04		  3.17   	  40.69		
 66.92   	 -55.95		  3.34   	  35.61		
 66.69   	 -55.95		  3.48(E)	  40.69		
 66.47   	 -61.04		  3.64   	  45.78		
 66.23   	 -55.95		  3.83   	  45.78		
 66.00   	 -55.95		  4.01   	  55.95		
 65.78   	 -55.95		  4.23   	  50.86		
 65.55   	 -61.04		  4.44   	  66.12		
 65.31   	 -55.95		  4.70   	  76.30		
 65.09   	 -55.95		  5.01   	  71.21		
 64.86   	 -55.95		  5.29   	  81.38		
 64.64   	 -50.86		  5.62   	  86.47		
 64.44   	 -55.95		  5.96   	  86.47		
 64.21   	 -50.86		  6.31   	  96.64		
 64.01   	 -50.86		  6.69   	 106.82		
 63.80   	 -45.78		  7.12   	 122.07		
 63.62   	 -50.86		  7.61   	 132.25		
 63.42   	 -50.86		  8.14   	 147.51		
 63.21   	 -50.86		  8.73   	 162.77		
 63.01   	 -45.78		  9.38   	 183.11		
 62.83   	 -50.86		 10.11   	 188.20		
 62.62   	 -50.86		 10.86   	 198.37		
 62.42   	 -45.78		 11.66   	 208.54		
 62.24   	 -50.86		 12.49   	 223.80		
 62.03   	 -45.78		 13.39   	 244.15		
 61.85   	 -50.86		 14.36   	 259.41		
 61.65   	 -45.78		 15.40   	 269.58		
 61.46   	 -50.86		 16.48   	 279.75		
 61.26   	 -45.78		 17.60   	 289.93		
 61.08   	 -50.86		 18.76   	 300.10		
 60.87   	 -50.86		 19.96   	 305.19		
 60.67   	 -50.86		 21.18   	 310.27		
 60.47   	 -55.95		 22.42   	 335.71		
 60.24   	 -55.95		 23.76   	 320.45		
 60.02   	 -50.86		 25.05   	 305.19		
 59.82   	 -55.95		 26.27   	 289.93		
 59.59   	 -50.86		 27.43   	 264.50		
 59.39   	 -50.86		 28.48   	 249.24		
 59.19   	 -50.86		 29.48   	 223.80		
 58.98   	 -45.78		 30.38   	 203.46		
 58.80   	 -45.78		 31.19   	 183.11		
 58.62   	 -35.61		 31.92   	 162.77		
 58.47   	 -30.52		 32.57   	 137.33		
 58.35   	 -20.35		 33.12   	 122.07		
 58.27(D)	  10.17		 33.61   	 101.73		
 58.31   	  50.86		 34.02   	  81.38		
 58.51   	 122.07		 34.34   	  71.21		
 59.00   	 228.89		 34.63   	  55.95		
 59.92   	 340.79		 34.85   	  45.78		
 61.28   	 452.69		 35.04   	  30.52		
 63.09   	 528.99		 35.16   	  30.52		
 65.21   	 579.86		 35.28   	  20.35		
 67.53   	 595.11		 35.36   	  15.26		
 69.91   	 600.20		 35.42   	  15.26		
 72.31   	 574.77		 35.48   	  15.26		
 74.61   	 539.16		 35.54   	  15.26		
 76.76   	 488.30		 35.61   	  15.26		
 78.72   	 447.61		 35.67   	  20.35		
 80.51   	 401.83		 35.75   	  25.43		
 82.12   	 361.14		 35.85   	  25.43		
 83.56   	 335.71		 35.95   	  35.61		
 84.90   	 315.36		 36.09   	  35.61		
 86.16   	 320.45		 36.24   	  35.61		
 87.45   	 325.53		 36.38   	  40.69		
 88.75   	 340.79		 36.54   	  45.78		
 90.11   	 361.14		 36.72   	  45.78		
 91.56   	 376.40		 36.91   	  45.78		
 93.06   	 386.57		 37.09   	  40.69		
 94.61   	 401.83		 37.25   	  45.78		
 96.22   	 396.74		 37.44   	  45.78		
 97.80   	 376.40		 37.62   	  40.69		
 99.31   	 345.88		 37.78   	  35.61		
100.69   	 305.19		 37.92   	  30.52		
101.91   	 254.32		 38.05   	  30.52		
102.93   	 188.20		 38.17   	  20.35		
103.68   	 132.25		 38.25   	  20.35		
104.21   	  61.04		 38.33   	  10.17		
104.46(S)	  -5.09		 38.37   	   5.09		
104.43   	 -50.86		 38.39(S)	  -5.09		
104.23   	-106.82		 38.37   	 -15.26		
103.80   	-137.33		 38.31   	 -20.35		
103.25   	-172.94		 38.23   	 -30.52		
102.56   	-223.80		 38.11   	 -61.04		
101.67   	-223.80		 37.86   	 -71.21		
100.77   	-218.72		 37.58   	 -91.56		
 99.90   	-208.54		 37.21   	 -96.64		
 99.06   	-198.37		 36.83   	-116.99		
 98.27   	-193.29		 36.36   	-132.25		
 97.50   	-183.11		 35.83   	-152.59		
 96.76   	-172.94		 35.22   	-162.77		
 96.07   	-167.85		 34.57   	-183.11		
 95.40   	-162.77		 33.84   	-198.37		
 94.75   	-162.77		 33.04   	-218.72		
 94.10   	-157.68		 32.17   	-233.98		
 93.47   	-167.85		 31.23   	-254.32		
 92.80   	-167.85		 30.21   	-274.67		
 92.13   	-178.03		 29.11   	-289.93		
 91.41   	-183.11		 27.96   	-310.27		
 90.68   	-188.20		 26.71   	-320.45		
 89.93   	-198.37		 25.43   	-340.79		
 89.13   	-203.46		 24.07   	-350.97		
 88.32   	-208.54		 22.67   	-356.05		
 87.49   	-208.54		 21.24   	-371.31		
 86.65   	-208.54		 19.76   	-376.40		
 85.82   	-213.63		 18.25   	-376.40		
 84.96   	-218.72		 16.74   	-381.48		
 84.09   	-218.72		 15.22   	-376.40		
 83.21   	-218.72		 13.71   	-366.22		
 82.34   	-218.72		 12.25   	-361.14		
 81.46   	-218.72		 10.80   	-350.97		
 80.59   	-218.72		  9.40   	-335.71		
 79.71   	-208.54		  8.06   	-315.36		
 78.88   	-198.37		  6.80   	-305.19		
