SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 16.17   	108.34   	 35.14   	-452.69		 89.58   	 162.77		
 17.40   	108.64   	 33.33   	-503.56		 90.23   	  66.12		
 19.53   	110.17   	 31.31   	-539.16		 90.50   	   5.09		
 22.58   	112.00   	 29.16   	-559.51		 90.52   	  55.95		
 26.25   	114.14   	 26.92   	-554.42		 90.74   	  91.56		
 29.91   	115.97   	 24.70   	-518.82		 91.11   	  35.61		
 32.65   	117.80   	 22.62   	-483.21		 91.25(S)	 -61.04		
 33.87   	118.71   	 20.69   	-432.35		 91.01   	 -76.30		
 34.18   	119.32   	 18.96   	-386.57		 90.70   	 -15.26		
 34.18   	119.93   	 17.42   	-330.62		 90.64   	  25.43		
 35.40   	120.85   	 16.09   	-289.93		 90.74   	 -25.43		
 38.15   	122.68   	 14.93   	-274.67		 90.64   	 -96.64		
 41.50   	124.82   	 13.84   	-264.50		 90.25   	-101.73		
 44.86   	126.65   	 12.78   	-254.32		 89.85   	-111.90		
 47.30   	127.87   	 11.76   	-249.24		 89.40   	-142.42		
 48.52   	128.17   	 10.76   	-249.24		 88.83   	-162.77		
 48.22   	128.17   	  9.77   	-228.89		 88.18   	-178.03		
 47.30   	127.56   	  8.85   	-228.89		 87.47   	-157.68		
 46.08   	126.65   	  7.93   	-218.72		 86.84   	-147.51		
 44.86   	125.73   	  7.06   	-193.29		 86.25   	-167.85		
 44.25   	124.82   	  6.29   	-178.03		 85.57   	-188.20		
 44.25   	124.82   	  5.57   	-157.68		 84.82   	-203.46		
 44.86   	124.82   	  4.94   	-147.51		 84.01   	-178.03		
 45.17   	124.82   	  4.35   	-122.07		 83.30   	-147.51		
 45.78   	124.51   	  3.87   	 -96.64		 82.71   	-162.77		
 46.39   	123.60   	  3.48   	 -71.21		 82.05   	-188.20		
 47.30   	123.29   	  3.19   	 -50.86		 81.30   	-172.94		
 48.22   	122.99   	  2.99   	 -35.61		 80.61   	-142.42		
 48.83   	122.99   	  2.85   	 -20.35		 80.04   	-137.33		
 49.74   	122.99   	  2.77   	 -10.17		 79.49   	-157.68		
 50.05   	122.68   	  2.73   	 -10.17		 78.86   	-162.77		
 49.44   	121.46   	  2.69   	 -10.17		 78.21   	-142.42		
 48.52   	119.63   	  2.64   	  -5.09		 77.64   	-116.99		
 46.69   	118.10   	  2.62   	   0.00		 77.17   	-132.25		
 44.86   	116.58   	  2.62   	  -5.09		 76.64   	-142.42		
 43.95   	115.66   	  2.60(D)	   5.09		 76.07   	-137.33		
 44.56   	115.36   	  2.62   	   0.00		 75.52   	-122.07		
 46.08   	115.66   	  2.62   	   0.00		 75.04   	 -91.56		
 47.61   	115.97   	  2.62   	   5.09		 74.67   	 -86.47		
 48.52   	115.97   	  2.64   	  10.17		 74.32   	-122.07		
 48.52   	115.97   	  2.69   	  10.17		 73.83   	-137.33		
 48.83   	116.27   	  2.73   	  10.17		 73.29   	-111.90		
 49.44   	116.27   	  2.77   	  10.17		 72.84   	 -81.38		
 50.05   	116.88   	  2.81   	   5.09		 72.51   	 -81.38		
 50.35   	117.19   	  2.83   	   5.09		 72.19   	-101.73		
 50.35   	117.19   	  2.85   	   0.00		 71.78   	 -91.56		
 50.66   	117.80   	  2.85   	   0.00		 71.41   	 -66.12		
 51.27   	118.71   	  2.85   	   0.00		 71.15   	 -71.21		
 52.49   	120.54   	  2.85   	  -5.09		 70.86   	 -86.47		
 53.71   	122.68   	  2.83   	   0.00		 70.52   	-101.73		
 54.63   	124.51   	  2.83   	 -10.17		 70.11   	 -91.56		
 54.93   	124.82   	  2.79   	  -5.09		 69.75   	 -71.21		
 54.93   	124.21   	  2.77   	 -10.17		 69.46   	 -55.95		
 54.63   	123.29   	  2.73   	  -5.09		 69.24   	 -66.12		
 54.93   	123.90   	  2.71   	   0.00		 68.97   	 -91.56		
 55.54   	125.73   	  2.71   	   5.09		 68.61   	 -96.64		
 56.76   	128.48   	  2.73   	  -5.09		 68.22   	 -76.30		
 57.98   	131.53   	  2.71   	  -5.09		 67.91   	 -50.86		
 59.20   	133.67   	  2.69   	   0.00		 67.71   	 -35.61		
 60.12   	135.50   	  2.69   	  10.17		 67.57   	 -35.61		
 61.34   	137.02   	  2.73   	  20.35		 67.43   	 -45.78		
 63.17   	137.94   	  2.81   	  25.43		 67.24   	 -61.04		
 65.00   	138.55   	  2.91   	  20.35		 67.00   	 -50.86		
 66.22   	138.55   	  2.99   	  25.43		 66.80   	 -45.78		
 66.83   	138.85   	  3.09   	  15.26		 66.61   	 -55.95		
 66.22   	139.47   	  3.15   	  15.26		 66.39   	 -40.69		
 65.92   	139.77   	  3.21   	  15.26		 66.23   	 -25.43		
 65.92   	140.08   	  3.28   	   5.09		 66.12   	 -25.43		
 66.83   	140.08   	  3.30   	   0.00		 66.02   	 -30.52		
 69.58   	141.30   	  3.30   	 -10.17		 65.90   	 -25.43		
 74.16   	145.87   	  3.26   	  -5.09		 65.80   	 -30.52		
 81.18   	155.94   	  3.23   	   0.00		 65.68   	 -25.43		
 89.72   	171.51   	  3.23   	  -5.09		 65.57   	 -30.52		
 99.18   	190.73   	  3.21   	  -5.09		 65.45   	 -30.52		
107.42   	209.05   	  3.19   	   0.00		 65.33   	 -30.52		
113.83   	222.47   	  3.19   	   5.09		 65.21   	 -25.43		
119.93   	229.80   	  3.21   	   5.09		 65.11   	 -45.78		
126.04   	232.54   	  3.23   	  10.17		 64.92   	 -55.95		
132.75   	234.38   	  3.28   	   5.09		 64.70   	 -30.52		
138.24   	237.43   	  3.30   	  15.26		 64.58   	  -5.09		
140.69   	241.70   	  3.36   	  10.17		 64.56   	 -10.17		
139.16   	246.58   	  3.40   	  10.17		 64.52   	 -25.43		
135.80   	250.55   	  3.44   	  15.26		 64.41   	 -30.52		
133.06   	252.08   	  3.50   	  20.35		 64.29   	 -25.43		
133.06   	249.33   	  3.58   	  30.52		 64.19   	 -20.35		
134.58   	240.48   	  3.70   	  25.43		 64.11   	 -30.52		
135.19   	225.52   	  3.80   	  20.35		 63.99   	 -35.61		
132.14   	207.82   	  3.89   	  20.35		 63.85   	 -35.61		
123.29   	191.65   	  3.97   	   5.09		 63.70   	 -30.52		
109.25   	178.53   	  3.99   	   5.09		 63.58   	 -25.43		
 91.55   	166.63   	  4.01   	   5.09		 63.48   	 -25.43		
 73.24   	153.20   	  4.03   	  10.17		 63.38   	 -25.43		
 58.29   	136.72   	  4.07   	  10.17		 63.28   	 -25.43		
 49.13   	120.54   	  4.11   	  15.26		 63.17   	 -25.43		
 46.39   	109.25   	  4.17   	  25.43		 63.07   	 -30.52		
 47.00   	104.68   	  4.27   	  25.43		 62.95   	 -30.52		
 47.61   	104.98   	  4.37   	  20.35		 62.83   	 -30.52		
 46.08   	106.51   	  4.46   	  15.26		 62.71   	 -15.26		
 42.72   	106.51   	  4.52   	  20.35		 62.64   	 -20.35		
 39.67   	104.98   	  4.60   	  20.35		 62.56   	 -30.52		
 37.54   	103.15   	  4.68   	  25.43		 62.44   	 -45.78		
 36.62   	101.32   	  4.78   	  30.52		 62.26   	 -30.52		
 36.01   	100.10   	  4.90   	  25.43		 62.14   	 -25.43		
 35.10   	 99.18   	  5.01   	  30.52		 62.03   	 -20.35		
 33.26   	 98.27   	  5.13   	  30.52		 61.95   	 -30.52		
 30.82   	 96.74   	  5.25   	  20.35		 61.83   	 -40.69		
 25.02   	 91.55   	  5.33   	   5.09		 61.67   	 -35.61		
 13.43   	 79.96   	  5.35   	  -5.09		 61.53   	 -25.43		
 -6.10   	 60.42   	  5.33   	 -20.35		 61.42   	 -30.52		
-29.30   	 37.84   	  5.25   	 -30.52		 61.30   	 -35.61		
-41.81   	 25.33   	  5.13   	 -25.43		 61.16   	 -35.61		
-22.89   	 41.20   	  5.03   	 -15.26		 61.02   	 -30.52		
 46.39   	107.42   	  4.96   	   5.09		 60.89   	 -20.35		
174.56   	242.31   	  4.98   	  25.43		 60.81   	 -20.35		
356.45   	452.88   	  5.09   	  40.69		 60.73   	 -30.52		
568.54   	730.29   	  5.25   	  50.86		 60.61   	 -30.52		
767.52   	1046.75   	  5.45   	  61.04		 60.49   	 -40.69		
903.02   	1347.05   	  5.70   	  45.78		 60.33   	 -40.69		
838.93   	1598.82(R)	  5.88   	  25.43		 60.16   	 -35.61		
638.73   	1439.21   	  5.98   	   5.09		 60.02   	 -35.61		
375.67   	1091.92   	  6.00   	 -10.17		 59.88   	 -40.69		
103.45   	637.82   	  5.96   	 -20.35		 59.71   	 -25.43		
-127.26   	191.04   	  5.88   	 -20.35		 59.61   	 -30.52		
-274.35   	-147.40   	  5.80(E)	 -10.17		 59.49   	 -25.43		
-317.08   	-324.71   	  5.76   	  15.26		 59.39   	 -30.52		
-267.33   	-348.21   	  5.82   	  35.61		 59.27   	 -25.43		
-167.85   	-269.17   	  5.96   	  66.12		 59.17   	 -25.43		
-69.27   	-148.62   	  6.23   	 106.82		 59.06   	 -25.43		
 -3.36   	-29.30   	  6.65   	 137.33		 58.96   	 -25.43		
 29.60   	 69.89   	  7.20   	 157.68		 58.86   	 -30.52		
 47.61   	143.43   	  7.83   	 178.03		 58.74   	 -20.35		
 65.61   	189.51   	  8.55   	 223.80		 58.66   	 -10.17		
 83.62   	208.44   	  9.44   	 325.53		 58.62   	 -20.35		
 95.52   	207.82   	 10.74   	 401.83		 58.53   	 -45.78		
 99.79   	201.11   	 12.35   	 401.83		 58.35   	 -45.78		
101.62   	200.20   	 13.96   	 406.92		 58.17   	 -20.35		
106.81   	209.35   	 15.58   	 427.26		 58.09   	 -20.35		
115.66   	223.39   	 17.29   	 447.61		 58.01   	 -25.43		
124.82   	235.29   	 19.08   	 447.61		 57.90   	 -40.69		
132.14   	242.92   	 20.87   	 442.52		 57.74   	 -35.61		
137.63   	248.41   	 22.64   	 437.43		 57.60   	 -25.43		
142.21   	254.52   	 24.39   	 427.26		 57.50   	 -15.26		
146.18   	261.23   	 26.10   	 452.69		 57.44   	 -30.52		
153.81   	271.91   	 27.91   	 422.18		 57.31   	 -35.61		
157.47   	277.10   	 29.60   	 386.57		 57.17   	 -30.52		
162.35   	284.42   	 31.15   	 350.97		 57.05   	 -10.17		
168.76   	293.88   	 32.55   	 320.45		 57.01   	   5.09		
175.78   	304.26   	 33.84   	 289.93		 57.03   	 -20.35		
182.80   	313.42   	 34.99   	 264.50		 56.95   	 -66.12		
189.51   	320.74   	 36.05   	 239.06		 56.68   	 -55.95		
195.62   	326.84   	 37.01   	 218.72		 56.46   	 -15.26		
202.03   	333.56   	 37.88   	 193.29		 56.40   	   5.09		
