SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
-13.12   	-91.25   	 73.08   	-122.07		 -0.18   	-157.68		
-11.90   	-88.50   	 72.59   	-111.90		 -0.81   	-137.33		
-11.29   	-86.06   	 72.15   	 -86.47		 -1.36   	-116.99		
-11.29   	-84.23   	 71.80   	 -76.30		 -1.83   	 -91.56		
-11.29   	-83.31   	 71.50   	 -61.04		 -2.20   	 -55.95		
-11.29   	-82.70   	 71.25   	 -40.69		 -2.42   	 -35.61		
-11.90   	-82.40   	 71.09   	 -35.61		 -2.56   	 -20.35		
-12.82   	-82.40   	 70.95   	 -25.43		 -2.64   	  -5.09		
-13.43   	-82.70   	 70.84   	 -20.35		 -2.67(D)	  15.26		
-13.12   	-83.62   	 70.76   	 -20.35		 -2.60   	  30.52		
-11.29   	-84.23   	 70.68   	  -5.09		 -2.48   	  30.52		
 -9.16   	-84.84   	 70.66   	  -5.09		 -2.36   	  40.69		
 -7.93   	-84.84   	 70.64   	  -5.09		 -2.20   	  50.86		
 -8.54   	-85.14   	 70.62   	  -5.09		 -1.99   	  55.95		
-10.07   	-85.75   	 70.60   	 -15.26		 -1.77   	  55.95		
-11.60   	-86.98   	 70.54   	 -10.17		 -1.55   	  61.04		
-12.21   	-89.42   	 70.50   	 -15.26		 -1.30   	  66.12		
-11.90   	-92.77   	 70.44   	 -15.26		 -1.04   	  66.12		
-11.90   	-96.44   	 70.38   	 -20.35		 -0.77   	  71.21		
-12.51   	-99.18   	 70.29   	 -25.43		 -0.49   	  76.30		
-11.90   	-98.88   	 70.19   	 -25.43		 -0.18   	  76.30		
 -9.77   	-93.99   	 70.09   	 -35.61		  0.12   	  86.47		
 -4.27   	-83.01   	 69.95   	   0.00		  0.47   	   0.00		
 -4.27   	-83.01   	 69.95   	 -86.47		  0.47   	 167.85		
 15.26   	-45.47   	 69.60   	   0.00		  1.14   	   0.00		
 15.26   	-45.47   	 69.60   	 -91.56		  1.14   	 152.59		
 35.71   	  5.49   	 69.24   	   0.00		  1.75   	   0.00		
 35.71   	  5.49   	 69.24   	 -96.64		  1.75   	 137.33		
 53.71   	 70.50   	 68.85   	   0.00		  2.30   	   0.00		
 53.71   	 70.50   	 68.85   	 -96.64		  2.30   	 111.90		
 76.29   	125.43   	 68.46   	   0.00		  2.75   	   0.00		
 76.29   	125.43   	 68.46   	 -96.64		  2.75   	  76.30		
 86.98   	113.53   	 68.08   	   0.00		  3.05   	   0.00		
