SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 39.06   	 -20.35		 13.81   	 427.26		
 38.98   	 -15.26		 15.52   	 467.95		
 38.92   	 -20.35		 17.40   	 503.56		
 38.84   	 -15.26		 19.41   	 554.42		
 38.78   	  -5.09		 21.63   	 590.03		
 38.76(D)	   0.00		 23.99   	 600.20		
 38.76   	   0.00		 26.39   	 605.29		
 38.76   	  20.35		 28.81   	 610.37		
 38.84   	  50.86		 31.25   	 605.29		
 39.04   	 101.73		 33.67   	 615.46		
 39.45   	 157.68		 36.13   	 635.81		
 40.08   	 218.72		 38.68   	 630.72		
 40.96   	 289.93		 41.20   	 605.29		
 42.12   	 350.97		 43.62   	 574.77		
 43.52   	 386.57		 45.92   	 564.60		
 45.07   	 406.92		 48.18   	 534.08		
 46.69   	 412.00		 50.32   	 508.65		
 48.34   	 396.74		 52.35   	 473.04		
 49.93   	 361.14		 54.24   	 447.61		
 51.37   	 320.45		 56.03   	 412.00		
 52.65   	 279.75		 57.68   	 376.40		
 53.77   	 239.06		 59.19   	 356.05		
 54.73   	 198.37		 60.61   	 325.53		
 55.52   	 162.77		 61.91   	 310.27		
 56.17   	 132.25		 63.15   	 289.93		
 56.70   	 101.73		 64.31   	 274.67		
 57.11   	  76.30		 65.41   	 259.41		
 57.42   	  50.86		 66.45   	 254.32		
 57.62   	  35.61		 67.47   	 249.24		
 57.76   	  20.35		 68.46   	 239.06		
 57.84   	  10.17		 69.42   	 244.15		
 57.88   	   5.09		 70.40   	 254.32		
 57.90   	   0.00		 71.41   	 259.41		
 57.90   	   5.09		 72.45   	 259.41		
 57.92   	  10.17		 73.49   	 269.58		
 57.97   	  20.35		 74.57   	 274.67		
 58.05   	  20.35		 75.67   	 279.75		
 58.13   	  25.43		 76.79   	 279.75		
 58.23   	  40.69		 77.90   	 284.84		
 58.39   	  45.78		 79.04   	 274.67		
 58.58   	  35.61		 80.14   	 279.75		
 58.72   	  45.78		 81.26   	 274.67		
 58.90   	  55.95		 82.36   	 269.58		
 59.12   	  45.78		 83.44   	 264.50		
 59.31   	  35.61		 84.50   	 249.24		
 59.45   	  45.78		 85.49   	 239.06		
 59.63   	  40.69		 86.45   	 228.89		
 59.80   	  30.52		 87.36   	 218.72		
 59.92   	  20.35		 88.24   	 208.54		
 60.00   	  20.35		 89.07   	 188.20		
 60.08   	   5.09		 89.83   	 167.85		
 60.10(S)	 -10.17		 90.50   	 147.51		
 60.06   	 -20.35		 91.09   	 142.42		
 59.98   	 -25.43		 91.66   	 127.16		
 59.88   	 -35.61		 92.17   	 111.90		
 59.74   	 -45.78		 92.61   	  91.56		
 59.55   	 -40.69		 92.98   	  76.30		
 59.39   	 -50.86		 93.29   	  66.12		
 59.19   	 -55.95		 93.55   	  45.78		
 58.96   	 -61.04		 93.73   	  20.35		
 58.72   	 -55.95		 93.81(S)	   0.00		
 58.49   	 -66.12		 93.81   	 -25.43		
 58.23   	 -76.30		 93.71   	 -55.95		
 57.92   	 -91.56		 93.49   	 -86.47		
 57.56   	 -96.64		 93.14   	-122.07		
 57.17   	-127.16		 92.65   	-167.85		
 56.66   	-157.68		 91.98   	-218.72		
 56.03   	-178.03		 91.11   	-274.67		
 55.32   	-203.46		 90.01   	-335.71		
