SAMPLE NUMBER:   6
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RV     	  RV'		
-60.42   	-96.13   	 48.59   	 -71.21		 13.45   	-198.37		
-61.04   	-96.13   	 48.30   	 -35.61		 12.66   	-188.20		
-60.73   	-96.13   	 48.16   	  -5.09		 11.90   	-183.11		
-59.51   	-95.52   	 48.14   	  -5.09		 11.17   	-162.77		
-57.68   	-93.08   	 48.12   	 -20.35		 10.52   	-147.51		
-55.54   	-87.59   	 48.04   	 -35.61		  9.93   	-122.07		
-50.96   	-76.29   	 47.89   	 -81.38		  9.44   	 -96.64		
-41.50   	-55.54   	 47.57   	-111.90		  9.05   	 -66.12		
-25.33   	-24.41   	 47.12   	-116.99		  8.79   	 -40.69		
 -4.58   	 13.43   	 46.65   	-111.90		  8.63   	 -35.61		
 17.09   	 52.19   	 46.21   	-101.73		  8.48   	 -25.43		
 35.71   	 85.14   	 45.80   	 -81.38		  8.38   	 -25.43		
 46.39   	106.51   	 45.47   	 -66.12		  8.28   	 -15.26		
 47.00   	112.61   	 45.21   	 -45.78		  8.22   	 -15.26		
 39.06   	100.10   	 45.03   	 -30.52		  8.16   	 -15.26		
 25.02   	 68.36   	 44.90   	 -25.43		  8.10   	 -15.26		
  9.46   	 21.36   	 44.80   	 -15.26		  8.04   	 -15.26		
 -5.49   	-30.21   	 44.74   	 -35.61		  7.98   	 -10.17		
-19.53   	-74.16   	 44.60   	 -40.69		  7.93   	  -5.09		
-35.10   	-101.62   	 44.44   	 -50.86		  7.91(D)	   5.09		
-51.88   	-112.30   	 44.23   	 -61.04		  7.93   	  15.26		
-66.53   	-113.22   	 43.99   	 -66.12		  8.00   	  25.43		
-75.38   	-111.39   	 43.72   	 -71.21		  8.10   	  20.35		
-76.90   	-111.69   	 43.44   	 -76.30		  8.18   	  20.35		
-74.16   	-115.05   	 43.13   	 -76.30		  8.26   	  15.26		
-71.72   	-119.63   	 42.83   	 -81.38		  8.32   	  20.35		
-72.33   	-123.60   	 42.50   	 -61.04		  8.40   	  30.52		
-75.07   	-124.82   	 42.26   	 -55.95		  8.52   	  50.86		
-76.90   	-123.90   	 42.03   	 -45.78		  8.73   	  81.38		
-76.90   	-122.07   	 41.85   	 -35.61		  9.05   	 106.82		
-76.60   	-123.90   	 41.71   	 -61.04		  9.48   	  86.47		
-77.51   	-141.60   	 41.46   	 -50.86		  9.83   	  45.78		
-72.63   	-183.72   	 41.26   	 -55.95		 10.01   	 -50.86		
-41.81   	-220.95   	 41.04   	 -66.12		  9.81   	-127.16		
 43.03   	-173.95   	 40.77   	 -50.86		  9.30   	-142.42		
192.26   	 39.06   	 40.57   	 -55.95		  8.73   	-116.99		
357.36   	405.58   	 40.35   	 -45.78		  8.26   	 -40.69		
439.15   	766.30   	 40.16   	 -86.47		  8.10   	 111.90		
101.01   	606.69   	 39.82   	 -40.69		  8.55   	 142.42		
-223.69   	 33.26   	 39.65   	 -61.04		  9.11   	 127.16		
-469.06   	-547.49   	 39.41   	 -66.12		  9.62   	  86.47		
-538.94   	-842.90(R)	 39.15   	 -50.86		  9.97   	  30.52		
-447.69   	-761.41   	 38.94   	 -50.86		 10.09   	 -25.43		
-283.81   	-444.34   	 38.74   	 -40.69		  9.99   	 -40.69		
-138.24   	-125.12   	 38.58   	 -35.61		  9.83(E)	   0.00		
-53.41   	 41.20   	 38.43   	 -30.52		  9.83   	  81.38		
-24.72   	 47.30   	 38.31   	 -25.43		 10.15   	 157.68		
-26.55   	-18.01   	 38.21   	 -25.43		 10.78   	 208.54		
-37.23   	-66.83   	 38.11   	 -35.61		 11.62   	 198.37		
-44.25   	-67.44   	 37.97   	 -40.69		 12.41   	 137.33		
-42.72   	-37.23   	 37.80   	 -45.78		 12.96   	  35.61		
-34.18   	 -6.41   	 37.62   	 -30.52		 13.10   	 -20.35		
-24.41   	  7.02   	 37.50   	 -25.43		 13.02   	 -25.43		
-20.14   	  3.36   	 37.40   	 -10.17		 12.92   	  30.52		
-20.75   	 -5.49   	 37.35   	 -35.61		 13.04   	 152.59		
-21.36   	 -7.32   	 37.21   	 -61.04		 13.65   	 274.67		
-17.40   	  0.61   	 36.97   	 -50.86		 14.75   	 330.62		
-10.99   	 12.82   	 36.76   	 -66.12		 16.07   	 325.53		
 -4.88   	 21.36   	 36.50   	 -81.38		 17.38   	 305.19		
