SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
-39.67   	-85.14   	 84.19   	 -66.12		110.13   	 106.82		
-40.28   	-91.86   	 83.93   	-106.82		110.56   	  71.21		
-42.72   	-96.74   	 83.50   	-147.51		110.84   	  40.69		
-44.86   	-99.79   	 82.91   	-218.72		111.01   	  10.17		
-46.08   	-99.79   	 82.03   	-279.75		111.05(S)	 -20.35		
-44.86   	-96.74   	 80.92   	-325.53		110.97   	 -45.78		
-41.50   	-90.64   	 79.61   	-381.48		110.78   	 -71.21		
-36.62   	-83.62   	 78.09   	-432.35		110.50   	 -86.47		
-32.65   	-77.82   	 76.36   	-452.69		110.15   	-101.73		
-30.52   	-74.46   	 74.55   	-478.13		109.75   	-116.99		
-29.91   	-73.24   	 72.63   	-528.99		109.28   	-122.07		
-30.21   	-72.33   	 70.52   	-584.94		108.79   	-137.33		
-28.99   	-70.19   	 68.18   	-651.07		108.24   	-137.33		
-24.72   	-67.44   	 65.57   	-707.02		107.69   	-142.42		
-17.70   	-65.61   	 62.75   	-742.62		107.12   	-147.51		
 -9.77   	-65.92   	 59.78   	-762.97		106.53   	-142.42		
 -3.05   	-67.75   	 56.72   	-798.57		105.96   	-147.51		
  0.00   	-69.89   	 53.53   	-829.09		105.37   	-152.59		
 -0.61   	-71.11   	 50.21   	-849.44		104.76   	-147.51		
 -3.36   	-70.80   	 46.82   	-859.61		104.17   	-152.59		
 -5.19   	-68.97   	 43.38   	-859.61		103.56   	-157.68		
 -4.27   	-66.22   	 39.94   	-844.35		102.93   	-162.77		
 -1.22   	-62.87   	 36.56   	-818.92		102.28   	-162.77		
  2.44   	-59.51   	 33.29   	-778.23		101.63   	-172.94		
  5.19   	-57.37   	 30.17   	-732.45		100.94   	-178.03		
  6.41   	-57.07   	 27.24   	-681.58		100.22   	-178.03		
  7.32   	-58.90   	 24.52   	-620.55		 99.51   	-193.29		
  8.24   	-62.56   	 22.03   	-564.60		 98.74   	-198.37		
  8.54   	-65.61   	 19.78   	-508.65		 97.94   	-203.46		
  7.93   	-66.22   	 17.74   	-447.61		 97.13   	-213.63		
  6.41   	-63.48   	 15.95   	-401.83		 96.28   	-213.63		
  4.58   	-58.59   	 14.34   	-356.05		 95.42   	-218.72		
  3.36   	-54.02   	 12.92   	-305.19		 94.55   	-223.80		
  3.05   	-51.88   	 11.70   	-264.50		 93.65   	-223.80		
  3.66   	-50.96   	 10.64   	-228.89		 92.76   	-218.72		
  6.10   	-47.61   	  9.73   	-193.29		 91.88   	-213.63		
 11.29   	-38.45   	  8.95   	-172.94		 91.03   	-203.46		
 19.53   	-22.89   	  8.26   	-152.59		 90.21   	-203.46		
 30.52   	 -1.83   	  7.65   	-147.51		 89.40   	-193.29		
 42.72   	 21.97   	  7.06   	-147.51		 88.63   	-183.11		
 52.80   	 47.00   	  6.47   	-137.33		 87.89   	-172.94		
 58.29   	 70.50   	  5.92   	-127.16		 87.20   	-162.77		
 60.42   	 89.72   	  5.41   	-111.90		 86.55   	-157.68		
 63.78   	103.45   	  4.96   	 -86.47		 85.92   	-152.59		
 72.94   	114.75   	  4.62   	 -66.12		 85.31   	-147.51		
 89.11   	128.78   	  4.35   	 -40.69		 84.72   	-142.42		
106.20   	146.79   	  4.19   	 -30.52		 84.15   	-137.33		
117.49   	162.05   	  4.07   	 -10.17		 83.60   	-137.33		
117.80   	161.74   	  4.03   	 -15.26		 83.05   	-132.25		
108.34   	138.24   	  3.97   	 -15.26		 82.52   	-132.25		
 93.69   	 93.69   	  3.91   	 -25.43		 81.99   	-132.25		
 76.60   	 39.67   	  3.80   	 -35.61		 81.46   	-127.16		
 56.15   	-10.07   	  3.66   	 -35.61		 80.96   	-127.16		
 30.52   	-49.13   	  3.52   	 -40.69		 80.45   	-122.07		
  2.44   	-76.90   	  3.36   	 -40.69		 79.96   	-122.07		
-22.58   	-95.83   	  3.19   	 -30.52		 79.47   	-116.99		
-39.98   	-107.42   	  3.07   	 -15.26		 79.00   	-111.90		
-49.13   	-112.30   	  3.01(D)	   0.00		 78.56   	-101.73		
-54.02   	-113.83   	  3.01   	  20.35		 78.15   	-101.73		
-57.07   	-114.44   	  3.09   	  40.69		 77.74   	 -96.64		
-58.90   	-116.27   	  3.26   	  50.86		 77.35   	 -86.47		
-57.68   	-118.41   	  3.46   	  61.04		 77.01   	 -86.47		
-53.10   	-119.02   	  3.70   	  66.12		 76.66   	 -76.30		
-47.91   	-116.88   	  3.97   	  55.95		 76.36   	 -71.21		
-45.78   	-113.53   	  4.19   	  50.86		 76.07   	 -66.12		
-47.91   	-111.69   	  4.39   	  30.52		 75.81   	 -66.12		
-53.71   	-114.75   	  4.52   	  10.17		 75.54   	 -55.95		
-62.87   	-123.90   	  4.56   	  -5.09		 75.32   	 -50.86		
-73.85   	-131.84   	  4.54   	 -15.26		 75.12   	 -50.86		
-80.26   	-125.12   	  4.48   	 -20.35		 74.91   	 -45.78		
-62.87   	-90.64   	  4.39   	 -20.35		 74.73   	 -45.78		
  9.77   	-14.95   	  4.31   	  -5.09		 74.55   	 -45.78		
165.71   	111.08   	  4.29(E)	  20.35		 74.36   	 -40.69		
400.09   	284.12   	  4.37   	  45.78		 74.20   	 -40.69		
638.12   	482.48   	  4.56   	  81.38		 74.04   	 -35.61		
747.38   	669.56   	  4.88   	 111.90		 73.90   	 -40.69		
612.18   	804.44   	  5.33   	 193.29		 73.73   	 -40.69		
-299.38   	810.24(R)	  6.10   	 198.37		 73.57   	 -40.69		
-737.92   	671.39   	  6.90   	 193.29		 73.41   	 -40.69		
-933.84   	447.39   	  7.67   	 162.77		 73.24   	 -40.69		
-864.56   	168.15   	  8.32   	 137.33		 73.08   	 -40.69		
-636.90   	-96.44   	  8.87   	  96.64		 72.92   	 -35.61		
-393.98   	-261.84   	  9.26   	  50.86		 72.78   	 -40.69		
-221.86   	-277.71   	  9.46   	   5.09		 72.61   	 -40.69		
-129.09   	-171.51   	  9.48   	 -45.78		 72.45   	 -35.61		
-82.70   	-38.45   	  9.30   	 -81.38		 72.31   	 -40.69		
-53.41   	 25.33   	  8.97   	 -81.38		 72.15   	 -35.61		
-30.21   	 -6.10   	  8.65   	  10.17		 72.00   	 -35.61		
-14.34   	-83.62   	  8.69   	 127.16		 71.86   	 -35.61		
 -7.02   	-138.24   	  9.20   	 193.29		 71.72   	 -35.61		
 -5.19   	-140.38   	  9.97   	 239.06		 71.58   	 -30.52		
 -5.80   	-109.56   	 10.93   	 300.10		 71.45   	 -30.52		
 -6.10   	-82.70   	 12.13   	 371.31		 71.33   	 -30.52		
 -3.36   	-79.04   	 13.61   	 483.21		 71.21   	 -25.43		
  4.27   	-91.55   	 15.54   	 645.98		 71.11   	 -30.52		
 14.95   	-103.45   	 18.13   	 788.40		 70.99   	 -20.35		
 24.72   	-105.29   	 21.28   	 859.61		 70.91   	 -25.43		
 31.43   	-98.27   	 24.72   	 910.47		 70.80   	 -20.35		
 35.10   	-88.50   	 28.36   	 971.51		 70.72   	 -25.43		
 37.23   	-81.18   	 32.25   	1007.12		 70.62   	 -20.35		
 38.76   	-78.43   	 36.28   	1022.38		 70.54   	 -25.43		
 40.28   	-79.96   	 40.37   	1108.85		 70.44   	 -20.35		
 44.56   	-81.79   	 44.80   	1012.20		 70.36   	 -25.43		
 46.69   	-78.74   	 48.85   	 900.30		 70.25   	 -25.43		
 48.52   	-74.46   	 52.45   	 783.31		 70.15   	 -25.43		
 50.05   	-70.80   	 55.58   	 656.15		 70.05   	 -25.43		
 52.49   	-67.75   	 58.21   	 539.16		 69.95   	 -25.43		
 55.85   	-65.31   	 60.37   	 422.18		 69.85   	 -25.43		
 60.42   	-61.65   	 62.05   	 310.27		 69.75   	 -30.52		
 66.22   	-57.37   	 63.30   	 223.80		 69.62   	 -30.52		
 73.85   	-52.19   	 64.19   	 152.59		 69.50   	 -30.52		
 84.23   	-47.30   	 64.80   	 106.82		 69.38   	 -35.61		
 96.74   	-42.42   	 65.23   	  76.30		 69.24   	 -35.61		
109.25   	-37.84   	 65.53   	  61.04		 69.09   	 -45.78		
