SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  LPA     	  LPA'		  AO     	  AO'		  RV     	  RV'		
104.98   	159.61   	 87.36   	 -71.21		 57.15   	 457.78		 85.55   	 442.52		
104.06   	173.34   	 87.08   	 -10.17		 58.98   	 432.35		 87.32   	 412.00		
101.62   	188.29   	 87.04   	  96.64		 60.71   	 386.57		 88.97   	 386.57		
 98.27   	204.16   	 87.43   	 203.46		 62.26   	 340.79		 90.52   	 345.88		
 95.52   	219.42   	 88.24   	 239.06		 63.62   	 284.84		 91.90   	 295.01		
 94.30   	234.38   	 89.20   	 193.29		 64.76   	 223.80		 93.08   	 228.89		
 94.60   	248.11   	 89.97   	 116.99		 65.66   	 188.20		 94.00   	 162.77		
 95.83   	261.84   	 90.44   	  86.47		 66.41   	 167.85		 94.65   	 106.82		
 97.05   	276.49   	 90.78   	  96.64		 67.08   	 152.59		 95.08   	  55.95		
 97.05   	291.44   	 91.17   	 147.51		 67.69   	 142.42		 95.30(S)	 -30.52		
 95.21   	306.40   	 91.76   	 198.37		 68.26   	 147.51		 95.18   	-132.25		
 91.55   	318.91   	 92.55   	 254.32		 68.85   	 162.77		 94.65   	-223.80		
 87.28   	327.76   	 93.57   	 284.84		 69.50   	 162.77		 93.75   	-279.75		
 83.01   	331.73   	 94.71   	 264.50		 70.15   	 157.68		 92.63   	-310.27		
 78.13   	331.12   	 95.77   	 233.98		 70.78   	 137.33		 91.39   	-325.53		
 72.33   	326.84   	 96.70   	 198.37		 71.33   	 137.33		 90.09   	-345.88		
 65.31   	319.21   	 97.50   	 193.29		 71.88   	 142.42		 88.71   	-406.92		
 57.37   	307.31   	 98.27   	 203.46		 72.45   	 162.77		 87.08   	-498.47		
 50.35   	289.92   	 99.08   	 213.63		 73.10   	 162.77		 85.09   	-635.81		
 45.47   	265.50   	 99.94   	 356.05		 73.75   	 325.53		 82.54   	-1566.63		
 41.20   	195.01   	101.36   	 101.73		 75.06   	 147.51		 76.28   	-742.62		
 39.67   	154.11   	101.77   	  76.30		 75.65   	 132.25		 73.31   	-635.81		
 37.84   	114.75   	102.07   	  81.38		 76.17   	 127.16		 70.76   	-534.08		
 36.01   	 78.74   	102.40   	  96.64		 76.68   	 111.90		 68.63   	-422.18		
 33.87   	 46.08   	102.79   	  91.56		 77.13   	 101.73		 66.94   	-300.10		
 30.82   	 16.17   	103.15   	  66.12		 77.54   	  91.56		 65.74   	-137.33		
 26.86   	-11.60   	103.42   	  30.52		 77.90   	  71.21		 65.19   	  10.17		
 22.89   	-35.71   	103.54(S)	 -20.35		 78.19   	  35.61		 65.23   	 142.42		
 20.14   	-54.93   	103.46   	 -55.95		 78.33   	  20.35		 65.80   	 233.98		
 19.53   	-68.66   	103.23   	 -66.12		 78.41(S)	   0.00		 66.73   	 300.10		
 19.23   	-77.21   	102.97   	 -61.04		 78.41   	 -20.35		 67.93   	 356.05		
 18.31   	-82.40   	102.73   	 -55.95		 78.33   	 -40.69		 69.36   	 356.05		
 15.56   	-86.67   	102.50   	 -66.12		 78.17   	 -66.12		 70.78   	 249.24		
 12.51   	-89.72   	102.24   	 -86.47		 77.90   	 -86.47		 71.78   	  76.30		
 10.68   	-91.55   	101.89   	-116.99		 77.56   	-111.90		 72.09   	-116.99		
 10.07   	-92.16   	101.42   	-152.59		 77.11   	-132.25		 71.62   	-310.27		
 10.38   	-91.25   	100.81   	-198.37		 76.58   	-137.33		 70.38   	-462.87		
 10.38   	-90.33   	100.02   	-239.06		 76.03   	-137.33		 68.52   	-559.51		
  9.77   	-90.33   	 99.06   	-254.32		 75.48   	-132.25		 66.29   	-635.81		
  8.54   	-90.94   	 98.05   	-228.89		 74.95   	-137.33		 63.74   	-712.10		
  8.24   	-92.16   	 97.13   	-142.42		 74.40   	-152.59		 60.89   	-808.75		
  9.46   	-93.08   	 96.56   	  15.26		 73.79   	-152.59		 57.66   	-874.87		
 11.29   	-93.38   	 96.62   	  81.38		 73.18   	-147.51		 54.16   	-874.87		
 13.43   	-92.77   	 96.95   	 -45.78		 72.59   	-147.51		 50.66   	-839.26		
 14.65   	-91.25   	 96.76   	-1907.42		 72.00   	-244.15		 47.30   	-1668.36		
 13.43   	-88.50   	 89.13   	-2400.80		 71.03   	-101.73		 40.63   	-920.65		
 13.12   	-89.11   	 79.53   	-2446.58		 70.62   	 -96.64		 36.95   	-1027.46		
 14.04   	-91.55   	 69.75   	-1307.22		 70.23   	-122.07		 32.84   	-1022.38		
 16.48   	-94.30   	 64.52   	 300.10		 69.75   	-142.42		 28.75   	-885.04		
 19.53   	-96.44   	 65.72   	1648.01		 69.18   	-157.68		 25.21   	-707.02		
 21.36   	-96.74   	 72.31   	2065.10		 68.55   	-152.59		 22.38   	-559.51		
 21.97   	-96.13   	 80.57   	1276.70		 67.93   	-127.16		 20.14   	-483.21		
 21.36   	-94.91   	 85.68   	 -10.17		 67.43   	-116.99		 18.21   	-447.61		
 21.36   	-93.69   	 85.64   	-879.96		 66.96   	-122.07		 16.42   	-412.00		
 22.28   	-93.08   	 82.12   	-849.44		 66.47   	-132.25		 14.77   	-340.79		
 25.02   	-92.77   	 78.72   	 -66.12		 65.94   	-162.77		 13.41   	-259.41		
 28.38   	-93.08   	 78.45   	 778.23		 65.29   	-188.20		 12.37   	-188.20		
 31.43   	-92.77   	 81.57   	1124.11		 64.54   	-188.20		 11.62   	-152.59		
 33.57   	-92.47   	 86.06   	 793.49		 63.78   	-178.03		 11.01   	-152.59		
 34.79   	-91.86   	 89.24   	  81.38		 63.07   	-157.68		 10.40   	-178.03		
 35.71   	-91.86   	 89.56   	-523.90		 62.44   	-132.25		  9.68   	-193.29		
 37.23   	-92.16   	 87.47   	-676.50		 61.91   	-106.82		  8.91   	-198.37		
 39.37   	-92.77   	 84.76   	-330.62		 61.49   	 -96.64		  8.12   	-203.46		
 41.50   	-92.47   	 83.44   	 132.25		 61.10   	-101.73		  7.30   	-203.46		
 43.03   	-91.55   	 83.97   	 279.75		 60.69   	 -91.56		  6.49   	-208.54		
 43.33   	-90.33   	 85.09   	  71.21		 60.33   	 -66.12		  5.66   	-213.63		
 42.11   	-89.42   	 85.37   	-330.62		 60.06   	 -40.69		  4.80   	-233.98		
 39.67   	-89.42   	 84.05   	-686.67		 59.90   	 -30.52		  3.87   	-239.06		
 37.23   	-89.72   	 81.30   	-783.31		 59.78   	 -30.52		  2.91   	-213.63		
 35.71   	-90.64   	 78.17   	-910.47		 59.65   	 -71.21		  2.05   	-300.10		
 37.23   	-93.99   	 74.53   	 -91.56		 59.37   	 -50.86		  0.85   	 -91.56		
 37.84   	-96.44   	 74.16   	 -45.78		 59.17   	 -50.86		  0.49   	 -66.12		
 36.01   	-98.57   	 73.98   	-127.16		 58.96   	 -55.95		  0.22   	 -45.78		
 31.74   	-98.88   	 73.47   	-239.06		 58.74   	 -55.95		  0.04   	 -25.43		
 26.86   	-97.35   	 72.51   	-284.84		 58.51   	 -55.95		 -0.06   	 -10.17		
 23.50   	-93.69   	 71.37   	-228.89		 58.29   	 -61.04		 -0.10(D)	   5.09		
 22.89   	-87.89   	 70.46   	-106.82		 58.05   	 -76.30		 -0.08   	  30.52		
 25.63   	-78.74   	 70.03   	  40.69		 57.74   	 -86.47		  0.04   	  40.69		
 32.65   	-64.09   	 70.19   	 127.16		 57.40   	 -91.56		  0.20   	  55.95		
 44.86   	-40.89   	 70.70   	 137.33		 57.03   	 -91.56		  0.43   	  66.12		
 61.34   	 -7.32   	 71.25   	  81.38		 56.66   	 -76.30		  0.69   	  71.21		
 78.13   	 35.10   	 71.58   	  35.61		 56.36   	 -66.12		  0.98   	  71.21		
 89.42   	 79.65   	 71.72   	  20.35		 56.09   	 -71.21		  1.26   	  66.12		
 91.55   	115.97   	 71.80   	  45.78		 55.81   	 -76.30		  1.53   	  55.95		
 86.36   	137.02   	 71.98   	  71.21		 55.50   	 -76.30		  1.75   	  35.61		
 81.48   	142.21   	 72.27   	  66.12		 55.20   	 -76.30		  1.89   	  20.35		
 83.01   	137.02   	 72.53   	  30.52		 54.89   	 -66.12		  1.97   	  15.26		
 91.25   	129.39   	 72.65   	 -20.35		 54.63   	 -55.95		  2.03   	  10.17		
100.71   	121.77   	 72.57   	 -61.04		 54.40   	 -55.95		  2.08   	  10.17		
102.23   	110.17   	 72.33   	 -50.86		 54.18   	 -55.95		  2.12   	  -5.09		
 93.69   	 89.72   	 72.13   	  -5.09		 53.96   	 -61.04		  2.10   	 -10.17		
 78.43   	 58.29   	 72.11   	 -10.17		 53.71   	 -66.12		  2.05   	 -10.17		
 63.48   	 20.14   	 72.06   	-101.73		 53.45   	 -50.86		  2.01   	 -10.17		
 52.49   	-18.01   	 71.66   	-203.46		 53.24   	 -30.52		  1.97   	 -20.35		
 43.03   	-49.13   	 70.84   	-518.82		 53.12   	 -55.95		  1.89   	 -30.52		
 15.26   	-83.62   	 68.77   	-198.37		 52.90   	 -45.78		  1.77   	   5.09		
 -0.92   	-92.47   	 67.98   	-147.51		 52.72   	 -50.86		  1.79   	   5.09		
-10.99   	-100.40   	 67.39   	-101.73		 52.51   	 -55.95		  1.81   	  20.35		
-12.82   	-108.64   	 66.98   	-101.73		 52.29   	 -50.86		  1.89   	  25.43		
 -8.54   	-115.36   	 66.57   	-127.16		 52.09   	 -40.69		  1.99   	  30.52		
 -3.36   	-119.93   	 66.06   	-157.68		 51.92   	 -40.69		  2.12   	  45.78		
 -1.53   	-122.07   	 65.43   	-152.59		 51.76   	 -30.52		  2.30   	  45.78		
 -3.05   	-123.60   	 64.82   	-111.90		 51.64   	 -40.69		  2.48   	  40.69		
 -5.80   	-126.65   	 64.37   	 -55.95		 51.47   	 -50.86		  2.64   	  55.95		
 -7.93   	-130.92   	 64.15   	 -20.35		 51.27   	 -61.04		  2.87   	  50.86		
 -9.16   	-135.50   	 64.07   	 -10.17		 51.03   	 -61.04		  3.07   	  55.95		
 -9.77   	-138.85   	 64.03   	 -15.26		 50.78   	 -66.12		  3.30   	  55.95		
-10.38   	-140.08   	 63.97   	 -30.52		 50.52   	 -55.95		  3.52   	  55.95		
-11.29   	-139.47   	 63.85   	 -55.95		 50.29   	 -50.86		  3.74   	  40.69		
-12.51   	-137.94   	 63.62   	 -55.95		 50.09   	 -35.61		  3.91   	  45.78		
-14.34   	-135.80   	 63.40   	 -40.69		 49.95   	 -30.52		  4.09   	  35.61		
-16.17   	-133.36   	 63.23   	   5.09		 49.83   	 -30.52		  4.23   	  30.52		
-17.09   	-130.62   	 63.26   	 122.07		 49.70   	 -35.61		  4.35   	  25.43		
-16.78   	-127.87   	 63.74   	 300.10		 49.56   	 -50.86		  4.46   	  10.17		
-15.56   	-125.73   	 64.94   	 391.66		 49.36   	 -61.04		  4.50   	 -10.17		
-13.73   	-124.82   	 66.51   	 208.54		 49.11   	 -50.86		  4.46   	 -10.17		
-11.29   	-126.95   	 67.34   	-106.82		 48.91   	 -35.61		  4.42   	  -5.09		
 -5.80   	-131.23   	 66.92   	-417.09		 48.77   	 -25.43		  4.39   	   0.00		
  4.27   	-131.23   	 65.25   	-554.42		 48.67   	 -15.26		  4.39(E)	  10.17		
 19.84   	-117.80   	 63.03   	-462.87		 48.61   	 -15.26		  4.44   	  15.26		
 43.95   	-81.18   	 61.18   	-274.67		 48.55   	 -25.43		  4.50   	  20.35		
 83.31   	-20.45   	 60.08   	-127.16		 48.44   	 -40.69		  4.58   	  20.35		
139.47   	 57.37   	 59.57   	 -96.64		 48.28   	 -45.78		  4.66   	  15.26		
191.35   	143.74   	 59.19   	-152.59		 48.10   	 -55.95		  4.72   	   5.09		
188.60   	237.12   	 58.58   	-239.06		 47.87   	 -40.69		  4.74   	  10.17		
 71.72   	340.58   	 57.62   	-284.84		 47.71   	 -25.43		  4.78   	   5.09		
-185.85   	452.88   	 56.48   	-508.65		 47.61   	 -40.69		  4.80   	 -20.35		
-896.00   	643.92(R)	 54.45   	-127.16		 47.45   	 -25.43		  4.72   	 -40.69		
-1139.22   	636.90   	 53.94   	 -40.69		 47.34   	 -35.61		  4.56   	 -50.86		
-1219.18   	496.52   	 53.77   	  20.35		 47.20   	 -45.78		  4.35   	 -55.95		
-1157.53   	221.86   	 53.86   	  40.69		 47.02   	 -45.78		  4.13   	 -45.78		
-1018.37   	-119.02   	 54.02   	  35.61		 46.84   	 -30.52		  3.95   	 -35.61		
-858.15   	-403.14   	 54.16   	  30.52		 46.71   	 -35.61		  3.80   	 -25.43		
-700.07   	-515.75   	 54.28   	  30.52		 46.57   	 -25.43		  3.70   	  -5.09		
-536.80   	-429.69   	 54.40   	  40.69		 46.47   	 -20.35		  3.68   	  30.52		
-361.63   	-228.27   	 54.57   	  55.95		 46.39   	 -15.26		  3.80   	  71.21		
-188.29   	-42.72   	 54.79   	  45.78		 46.33   	 -15.26		  4.09   	 127.16		
-46.39   	 37.84   	 54.97   	   5.09		 46.27   	 -30.52		  4.60   	 172.94		
 39.06   	 10.07   	 54.99   	  -5.09		 46.14   	 -45.78		  5.29   	 228.89		
 63.78   	-64.70   	 54.97   	 -10.17		 45.96   	 -35.61		  6.21   	 300.10		
 50.05   	-117.49   	 54.93   	 -25.43		 45.82   	 -30.52		  7.41   	 376.40		
 29.91   	-122.68   	 54.83   	 -50.86		 45.70   	 -20.35		  8.91   	 437.43		
 25.02   	-96.74   	 54.63   	 -66.12		 45.62   	 -20.35		 10.66   	 503.56		
 37.54   	-70.19   	 54.36   	 -81.38		 45.53   	 -25.43		 12.68   	 569.68		
 55.54   	-59.51   	 54.04   	-106.82		 45.43   	 -30.52		 14.95   	 651.07		
 67.14   	-63.17   	 53.61   	-127.16		 45.31   	 -35.61		 17.56   	 752.79		
 69.89   	-70.19   	 53.10   	-116.99		 45.17   	 -30.52		 20.57   	 854.52		
 67.44   	-71.11   	 52.63   	-106.82		 45.05   	 -25.43		 23.99   	 930.82		
 65.61   	-64.39   	 52.21   	-106.82		 44.94   	 -20.35		 27.71   	 981.68		
 65.61   	-54.93   	 51.78   	-111.90		 44.86   	 -20.35		 31.64   	1012.20		
 66.53   	-49.44   	 51.33   	-132.25		 44.78   	 -20.35		 35.69   	1022.38		
 67.75   	-48.83   	 50.80   	-345.88		 44.70   	 -40.69		 39.78   	2024.41		
 70.50   	-50.05   	 49.42   	-162.77		 44.54   	 -25.43		 47.87   	 976.60		
 71.72   	-45.47   	 48.77   	-106.82		 44.44   	 -25.43		 51.78   	 930.82		
 72.33   	-38.15   	 48.34   	 -55.95		 44.33   	 -25.43		 55.50   	 854.52		
 72.94   	-30.21   	 48.12   	 -30.52		 44.23   	 -10.17		 58.92   	 773.14		
 73.55   	-22.58   	 48.00   	 -40.69		 44.19   	 -10.17		 62.01   	 681.58		
 73.85   	-16.78   	 47.83   	 -55.95		 44.15   	 -25.43		 64.74   	 549.34		
 72.94   	-12.82   	 47.61   	 -50.86		 44.05   	 -25.43		 66.94   	 412.00		
 71.41   	-10.68   	 47.41(D)	  10.17		 43.95   	 -20.35		 68.59   	 274.67		
 70.50   	 -9.16   	 47.45   	 106.82		 43.87   	 -20.35		 69.68   	 152.59		
 70.80   	 -6.71   	 47.87   	 244.15		 43.78   	 -10.17		 70.29   	  40.69		
 72.33   	 -2.44   	 48.85   	 376.40		 43.74   	 -25.43		 70.46   	 -40.69		
 74.46   	  3.97   	 50.36   	 473.04		 43.64   	 -30.52		 70.29   	-122.07		
 75.38   	 10.99   	 52.25   	 503.56		 43.52   	 -25.43		 69.81   	-167.85		
 75.38   	 17.40   	 54.26   	 513.73		 43.42   	 -15.26		 69.14   	-193.29		
 75.07   	 22.89   	 56.32   	 493.39		 43.36   	 -20.35		 68.36   	-183.11		
 75.68   	 28.08   	 58.29   	 478.13		 43.28   	 -15.26		 67.63   	-142.42		
 78.43   	 34.79   	 60.20   	 544.25		 43.21   	 -10.17		 67.06   	-101.73		
 83.31   	 43.64   	 62.38   	 661.24		 43.17   	 -15.26		 66.65   	 -45.78		
 89.11   	 54.93   	 65.03   	 737.54		 43.11   	 -20.35		 66.47   	  25.43		
 93.38   	 67.44   	 67.98   	 701.93		 43.03   	 -15.26		 66.57   	  96.64		
 94.91   	 80.26   	 70.78   	 610.37		 42.97(D)	   0.00		 66.96   	 162.77		
 94.30   	 92.77   	 73.22   	 513.73		 42.97   	  30.52		 67.61   	 223.80		
 92.77   	103.45   	 75.28   	 457.78		 43.09   	  76.30		 68.50   	 289.93		
 92.16   	112.00   	 77.11   	 422.18		 43.40   	 127.16		 69.66   	 335.71		
 92.77   	118.41   	 78.80   	 676.50		 43.91   	 473.04		 71.01   	 793.49		
 94.30   	129.39   	 81.51   	 228.89		 45.80   	 371.31		 74.18   	 442.52		
 93.69   	138.24   	 82.42   	 167.85		 47.28   	 427.26		 75.95   	 457.78		
 92.47   	150.45   	 83.09   	 122.07		 48.99   	 452.69		 77.78   	 452.69		
 90.64   	165.41   	 83.58   	  86.47		 50.80   	 462.87		 79.59   	 447.61		
 89.11   	181.27   	 83.93   	  76.30		 52.65   	 467.95		 81.38   	 437.43		
 88.20   	196.23   	 84.23   	  76.30		 54.53   	 462.87		 83.13   	 422.18		
 88.20   	210.27   	 84.54   	  66.12		 56.38   	 432.35		 84.82   	 391.66		
 88.81   	224.00   	 84.80   	  55.95		 58.11   	 371.31		 86.39   	 356.05		
 89.11   	238.95   	 85.03   	  61.04		 59.59   	 310.27		 87.81   	 310.27		
 88.81   	255.43   	 85.27   	  81.38		 60.83   	 259.41		 89.05   	 269.58		
 87.28   	272.22   	 85.59   	 116.99		 61.87   	 223.80		 90.13   	 223.80		
 85.14   	288.09   	 86.06   	 157.68		 62.77   	 198.37		 91.03   	 193.29		
 83.01   	301.21   	 86.69   	 193.29		 63.56   	 172.94		 91.80   	 162.77		
 80.57   	311.58   	 87.47   	 208.54		 64.25   	 157.68		 92.45   	 137.33		
 77.82   	320.13   	 88.30   	 203.46		 64.88   	 147.51		 93.00   	 101.73		
 74.16   	328.67   	 89.11   	 193.29		 65.47   	 147.51		 93.41   	  71.21		
 70.80   	338.44   	 89.89   	 193.29		 66.06   	 142.42		 93.69   	  66.12		
 67.14   	348.51   	 90.66   	 218.72		 66.63   	 137.33		 93.96   	  61.04		
 64.39   	357.97   	 91.54   	 233.98		 67.18   	 137.33		 94.20   	  50.86		
 61.04   	363.77   	 92.47   	 223.80		 67.73   	 147.51		 94.40   	  40.69		
 56.46   	363.77   	 93.37   	 223.80		 68.32   	 172.94		 94.57   	  40.69		
 50.66   	355.83   	 94.26   	 239.06		 69.01   	 172.94		 94.73   	  35.61		
 43.64   	339.36   	 95.22   	 249.24		 69.70   	 157.68		 94.87   	  40.69		
 37.84   	314.94   	 96.22   	 233.98		 70.34   	 162.77		 95.04   	  40.69		
 34.48   	284.12   	 97.15   	 371.31		 70.99   	 300.10		 95.20   	  15.26		
 34.79   	212.71   	 98.64   	 147.51		 72.19   	 137.33		 95.26(S)	  -5.09		
 35.10   	174.26   	 99.23   	 111.90		 72.74   	 137.33		 95.24   	  -5.09		
 33.57   	135.19   	 99.67   	 106.82		 73.29   	 132.25		 95.22   	 -10.17		
 30.52   	 96.44   	100.10   	  96.64		 73.81   	 116.99		 95.18   	 -30.52		
 27.77   	 61.04   	100.49   	  71.21		 74.28   	 106.82		 95.06   	 -91.56		
 26.25   	 30.21   	100.77   	  40.69		 74.71   	  86.47		 94.69   	-162.77		
 25.02   	  5.19   	100.94(S)	   0.00		 75.06   	  66.12		 94.04   	-249.24		
 23.80   	-14.95   	100.94   	 -35.61		 75.32   	  45.78		 93.04   	-345.88		
 21.67   	-30.52   	100.79   	 -45.78		 75.50   	  20.35		 91.66   	-473.04		
 19.23   	-42.42   	100.61   	 -35.61		 75.58   	   5.09		 89.77   	-605.29		
 17.09   	-50.96   	100.47   	 -30.52		 75.60(S)	 -10.17		 87.34   	-722.28		
 15.26   	-57.68   	100.35   	 -50.86		 75.56   	 -25.43		 84.46   	-824.00		
 13.73   	-64.09   	100.14   	 -71.21		 75.46   	 -40.69		 81.16   	-869.78		
 11.60   	-70.19   	 99.86   	-106.82		 75.30   	 -61.04		 77.68   	-864.70		
  9.16   	-75.38   	 99.43   	-137.33		 75.06   	 -76.30		 74.22   	-818.92		
  6.71   	-78.13   	 98.88   	-178.03		 74.75   	 -91.56		 70.95   	-752.79		
  5.19   	-78.74   	 98.17   	-188.20		 74.38   	-106.82		 67.93   	-686.67		
  4.27   	-78.43   	 97.42   	-198.37		 73.96   	-106.82		 65.19   	-625.63		
  4.88   	-79.35   	 96.62   	-244.15		 73.53   	-122.07		 62.69   	-564.60		
  6.10   	-81.48   	 95.65   	-264.50		 73.04   	-137.33		 60.43   	-523.90		
  7.93   	-83.01   	 94.59   	-223.80		 72.49   	-147.51		 58.33   	-508.65		
  9.77   	-82.40   	 93.69   	-122.07		 71.90   	-152.59		 56.30   	-513.73		
 10.68   	-79.35   	 93.20   	  -5.09		 71.29   	-142.42		 54.24   	-528.99		
 10.38   	-75.38   	 93.18   	  40.69		 70.72   	-132.25		 52.13   	-549.34		
  8.85   	-73.24   	 93.35   	-976.60		 70.19   	-239.06		 49.93   	-1134.28		
  3.66   	-77.21   	 89.44   	-1846.38		 69.24   	-142.42		 45.39   	-645.98		
  1.83   	-81.48   	 82.05   	-2517.79		 68.67   	-147.51		 42.81   	-798.57		
  1.22   	-85.14   	 71.98   	-2151.57		 68.08   	-142.42		 39.61   	-956.25		
  2.44   	-88.81   	 63.38   	-712.10		 67.51   	-127.16		 35.79   	-1007.12		
  4.58   	-92.47   	 60.53(D)	1042.72		 67.00   	-116.99		 31.76   	-940.99		
  7.32   	-96.44   	 64.70   	2131.22		 66.53   	-111.90		 28.00   	-818.92		
  9.77   	-100.40   	 73.22   	1963.37		 66.08   	-127.16		 24.72   	-747.71		
 12.51   	-102.84   	 81.08   	 813.83		 65.57   	-132.25		 21.73   	-757.88		
 15.56   	-102.54   	 84.33   	-442.52		 65.05   	-137.33		 18.70   	-762.97		
 18.92   	-99.49   	 82.56   	-956.25		 64.50   	-147.51		 15.65   	-717.19		
 21.36   	-94.91   	 78.74   	-528.99		 63.91   	-157.68		 12.78   	-615.46		
 21.36   	-90.64   	 76.62   	 335.71		 63.28   	-167.85		 10.32   	-467.95		
 19.53   	-87.89   	 77.97   	 981.68		 62.60   	-152.59		  8.44   	-340.79		
 17.09   	-87.28   	 81.89   	1022.38		 61.99   	-142.42		  7.08   	-269.58		
 17.09   	-87.28   	 85.98   	 488.30		 61.42   	-142.42		  6.00   	-233.98		
 19.84   	-86.98   	 87.93   	-188.20		 60.85   	-137.33		  5.07   	-203.46		
 23.80   	-86.06   	 87.18   	-584.94		 60.30   	-116.99		  4.25   	-152.59		
 26.55   	-85.14   	 84.84   	-549.34		 59.84   	 -96.64		  3.64   	-116.99		
 27.47   	-86.06   	 82.64   	-254.32		 59.45   	 -91.56		  3.17   	 -91.56		
 26.86   	-88.20   	 81.63   	  25.43		 59.08   	 -71.21		  2.81   	 -76.30		
 25.63   	-91.55   	 81.73   	  66.12		 58.80   	 -55.95		  2.50   	 -76.30		
 25.02   	-93.99   	 81.99   	-147.51		 58.58   	 -35.61		  2.20   	 -81.38		
 24.41   	-94.60   	 81.40   	-452.69		 58.43   	 -20.35		  1.87   	 -81.38		
 24.41   	-92.47   	 79.59   	-651.07		 58.35   	 -20.35		  1.55   	 -76.30		
 25.02   	-88.81   	 76.99   	-1088.50		 58.27   	 -55.95		  1.24   	-106.82		
 28.08   	-82.40   	 72.63   	-178.03		 58.05   	 -35.61		  0.81   	 -40.69		
 30.21   	-82.09   	 71.92   	  40.69		 57.90   	 -45.78		  0.65   	 -50.86		
 32.35   	-82.70   	 72.09   	  55.95		 57.72   	 -45.78		  0.45   	 -61.04		
 34.48   	-81.18   	 72.31   	 -96.64		 57.54   	 -50.86		  0.20   	 -61.04		
 37.84   	-75.38   	 71.92   	-289.93		 57.33   	 -55.95		 -0.04   	 -50.86		
 43.95   	-62.87   	 70.76   	-350.97		 57.11   	 -55.95		 -0.24   	 -50.86		
 53.10   	-42.11   	 69.36   	-249.24		 56.89   	 -55.95		 -0.45   	 -25.43		
 64.09   	-12.21   	 68.36   	 -45.78		 56.66   	 -61.04		 -0.55   	 -15.26		
 73.85   	 25.63   	 68.18   	 147.51		 56.42   	 -71.21		 -0.61(D)	   5.09		
 79.04   	 66.22   	 68.77   	 239.06		 56.13   	 -76.30		 -0.59   	  15.26		
 78.13   	101.93   	 69.73   	 208.54		 55.83   	 -86.47		 -0.53   	  30.52		
 73.55   	126.04   	 70.56   	 106.82		 55.48   	 -76.30		 -0.41   	  40.69		
 69.89   	137.94   	 70.99   	  20.35		 55.18   	 -71.21		 -0.24   	  45.78		
 70.80   	140.69   	 71.07   	  10.17		 54.89   	 -61.04		 -0.06   	  45.78		
 75.99   	139.47   	 71.11   	  50.86		 54.65   	 -61.04		  0.12   	  55.95		
 81.79   	135.80   	 71.31   	 106.82		 54.40   	 -55.95		  0.35   	  71.21		
 83.01   	126.34   	 71.74   	 132.25		 54.18   	 -55.95		  0.63   	  86.47		
 78.43   	107.42   	 72.27   	 111.90		 53.96   	 -50.86		  0.98   	  91.56		
 70.50   	 77.82   	 72.72   	  40.69		 53.75   	 -55.95		  1.34   	  96.64		
 63.48   	 40.89   	 72.88   	 -30.52		 53.53   	 -50.86		  1.73   	  86.47		
 59.20   	  2.44   	 72.76   	 -81.38		 53.33   	 -55.95		  2.08   	  66.12		
 54.63   	-31.13   	 72.43   	 -96.64		 53.10   	 -50.86		  2.34   	  55.95		
 45.17   	-55.54   	 72.04   	 -96.64		 52.90   	 -35.61		  2.56   	  55.95		
 30.82   	-70.80   	 71.66   	 -76.30		 52.76   	 -25.43		  2.79   	  61.04		
 15.87   	-79.35   	 71.35   	-152.59		 52.65   	 -55.95		  3.03   	 101.73		
  4.27   	-90.94   	 70.74   	-111.90		 52.43   	 -45.78		  3.44   	  35.61		
  8.85   	-97.66   	 70.29   	-152.59		 52.25   	 -40.69		  3.58   	  25.43		
 13.43   	-104.37   	 69.68   	-167.85		 52.09   	 -45.78		  3.68   	  15.26		
 14.65   	-110.17   	 69.01   	-147.51		 51.90   	 -45.78		  3.74   	  20.35		
 11.90   	-113.83   	 68.42   	-111.90		 51.72   	 -45.78		  3.83   	  20.35		
  7.63   	-115.36   	 67.98   	 -76.30		 51.54   	 -35.61		  3.91   	  35.61		
  4.58   	-115.36   	 67.67   	 -66.12		 51.39   	 -35.61		  4.05   	  35.61		
  2.75   	-113.83   	 67.41   	 -81.38		 51.25   	 -35.61		  4.19   	  35.61		
  1.53   	-111.39   	 67.08   	 -91.56		 51.11   	 -30.52		  4.33   	  35.61		
  0.31   	-109.25   	 66.71   	-106.82		 50.99   	 -40.69		  4.48   	  40.69		
 -0.61   	-107.73   	 66.29   	 -86.47		 50.82   	 -40.69		  4.64   	  40.69		
 -0.31   	-107.42   	 65.94   	 -61.04		 50.66   	 -45.78		  4.80   	  40.69		
  1.53   	-107.12   	 65.70   	 -35.61		 50.48   	 -40.69		  4.96   	  50.86		
  3.97   	-106.20   	 65.55   	 -10.17		 50.32   	 -40.69		  5.17   	  50.86		
  6.41   	-104.37   	 65.51   	  -5.09		 50.15   	 -35.61		  5.37   	  61.04		
  8.24   	-101.62   	 65.49   	 -20.35		 50.01   	 -30.52		  5.62   	  66.12		
  9.77   	-98.88   	 65.41   	 -25.43		 49.89   	 -30.52		  5.88   	  71.21		
 11.90   	-97.05   	 65.31   	 -50.86		 49.77   	 -25.43		  6.16   	  81.38		
