SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
  9.16   	-70.80   	 48.87   	 -30.52		  2.54   	  66.12		
  8.85   	-69.89   	 48.75   	 -15.26		  2.81   	  76.30		
  7.63   	-69.27   	 48.69   	 -15.26		  3.11   	  76.30		
  5.80   	-70.19   	 48.63   	  -5.09		  3.42   	  76.30		
  3.97   	-72.02   	 48.61   	  -5.09		  3.72   	  71.21		
  3.05   	-73.85   	 48.59   	   0.00		  4.01   	  66.12		
  2.75   	-74.77   	 48.59   	  -5.09		  4.27   	  55.95		
  3.05   	-74.46   	 48.57   	 -10.17		  4.50   	  50.86		
  2.75   	-73.55   	 48.52   	  -5.09		  4.70   	  45.78		
  0.92   	-73.24   	 48.50   	 -15.26		  4.88   	  35.61		
 -1.83   	-73.55   	 48.44   	 -20.35		  5.03   	  25.43		
 -4.58   	-74.46   	 48.36   	 -25.43		  5.13   	  20.35		
 -5.80   	-75.07   	 48.26   	 -35.61		  5.21   	  10.17		
 -4.27   	-74.46   	 48.12   	 -35.61		  5.25   	  10.17		
 -1.83   	-72.94   	 47.98   	 -40.69		  5.29   	  10.17		
  0.61   	-70.80   	 47.81   	 -45.78		  5.33   	  10.17		
  2.14   	-67.14   	 47.63   	 -45.78		  5.37   	  10.17		
  3.97   	-61.65   	 47.45   	 -45.78		  5.41   	  10.17		
  7.63   	-53.71   	 47.26   	 -50.86		  5.45   	  10.17		
 12.51   	-47.61   	 47.06   	 -50.86		  5.49   	  15.26		
 19.23   	-47.61   	 46.86   	 -50.86		  5.55   	  15.26		
 27.47   	-56.76   	 46.65   	 -45.78		  5.62   	  20.35		
 38.15   	-71.41   	 46.47   	 -45.78		  5.70   	  25.43		
 50.35   	-82.09   	 46.29   	 -40.69		  5.80   	  20.35		
 61.95   	-79.04   	 46.12   	 -40.69		  5.88   	  20.35		
 68.97   	-59.20   	 45.96   	 -35.61		  5.96   	  25.43		
 70.19   	-29.30   	 45.82   	 -35.61		  6.06   	  20.35		
 66.83   	 -1.53   	 45.68   	 -30.52		  6.14   	  15.26		
 63.17   	 13.73   	 45.55   	 -25.43		  6.21   	  25.43		
 62.26   	 13.12   	 45.45   	 -20.35		  6.31   	  20.35		
 65.00   	  0.31   	 45.37   	 -20.35		  6.39   	  20.35		
 68.97   	-18.31   	 45.29   	 -15.26		  6.47   	  25.43		
 70.50   	-35.40   	 45.23   	 -15.26		  6.57   	  20.35		
 64.39   	-48.83   	 45.17   	 -10.17		  6.65   	  25.43		
 50.05   	-59.51   	 45.13   	 -15.26		  6.75   	  25.43		
 29.91   	-69.58   	 45.07   	 -10.17		  6.86   	  30.52		
 10.07   	-80.57   	 45.03   	  -5.09		  6.98   	  25.43		
 -4.27   	-90.03   	 45.00   	 -15.26		  7.08   	  25.43		
-12.21   	-93.99   	 44.94   	 -10.17		  7.18   	  25.43		
-15.56   	-90.94   	 44.90   	 -10.17		  7.28   	  25.43		
-16.78   	-83.62   	 44.86   	 -15.26		  7.39   	  25.43		
-16.17   	-76.90   	 44.80   	 -15.26		  7.49   	  25.43		
-14.65   	-74.16   	 44.74   	 -20.35		  7.59   	  20.35		
-13.43   	-75.07   	 44.66   	 -20.35		  7.67   	  30.52		
-13.73   	-77.21   	 44.58   	 -25.43		  7.79   	  25.43		
-15.56   	-77.82   	 44.48   	 -25.43		  7.89   	  25.43		
-17.70   	-77.51   	 44.37   	 -25.43		  8.00   	  30.52		
