SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  AO     	  AO'		
  2.85   	  20.35		 72.43   	 -45.78		
  2.93   	  45.78		 72.25   	 -55.95		
  3.11   	  76.30		 72.02   	 -55.95		
  3.42   	 111.90		 71.80   	 -40.69		
  3.87   	 122.07		 71.64   	 -40.69		
  4.35   	 132.25		 71.47   	 -50.86		
  4.88   	 188.20		 71.27   	 -55.95		
  5.64   	 305.19		 71.05   	 -35.61		
  6.86   	 345.88		 70.91   	 -35.61		
  8.24   	 249.24		 70.76   	 -71.21		
  9.24   	 284.84		 70.48   	 -76.30		
 10.38   	 427.26		 70.17   	 -40.69		
 12.09   	 508.65		 70.01   	 -20.35		
 14.12   	 590.03		 69.93   	 -25.43		
 16.48   	 625.63		 69.83   	 -45.78		
 18.98   	 681.58		 69.64   	 -71.21		
 21.71   	 671.41		 69.36   	 -40.69		
 24.39   	 656.15		 69.20   	 -30.52		
 27.02   	 625.63		 69.07   	 -30.52		
 29.52   	 574.77		 68.95   	 -45.78		
 31.82   	 518.82		 68.77   	 -66.12		
 33.90   	 462.87		 68.50   	 -55.95		
 35.75   	 412.00		 68.28   	 -45.78		
 37.40   	 356.05		 68.10   	 -35.61		
 38.82   	 300.10		 67.95   	 -40.69		
 40.02   	 259.41		 67.79   	 -50.86		
 41.06   	 213.63		 67.59   	 -45.78		
 41.91   	 188.20		 67.41   	 -61.04		
 42.67   	 162.77		 67.16   	 -81.38		
 43.32   	 142.42		 66.84   	 -61.04		
 43.89   	 127.16		 66.59   	 -55.95		
 44.39   	 127.16		 66.37   	 -76.30		
 44.90   	 127.16		 66.06   	 -71.21		
 45.41   	 111.90		 65.78   	 -50.86		
 45.86   	 106.82		 65.57   	 -45.78		
 46.29   	 101.73		 65.39   	 -40.69		
 46.69   	  76.30		 65.23   	 -10.17		
 47.00   	  71.21		 65.19(D)	  35.61		
 47.28   	  66.12		 65.33   	 111.90		
 47.55   	  55.95		 65.78   	 274.67		
 47.77   	  55.95		 66.88   	 829.09		
 48.00   	  50.86		 70.19   	 864.70		
 48.20   	  50.86		 73.65   	 701.93		
