SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
-320.13   	-439.76   	  5.37   	  15.26		 44.92   	 -35.61		
-338.75   	-498.05   	  5.43   	   5.09		 44.78   	 -35.61		
-342.71   	-530.70   	  5.45   	  10.17		 44.64   	 -35.61		
-326.54   	-575.87   	  5.49   	  10.17		 44.50   	 -30.52		
-310.06   	-557.56   	  5.53   	  20.35		 44.37   	 -30.52		
-276.79   	-480.04   	  5.62   	  20.35		 44.25   	 -30.52		
-221.25   	-382.08   	  5.70   	  30.52		 44.13   	 -35.61		
-157.78   	-271.30   	  5.82   	  30.52		 43.99   	 -30.52		
-91.55   	-174.56   	  5.94   	  25.43		 43.87   	 -30.52		
-32.96   	-88.81   	  6.04   	  10.17		 43.74   	 -35.61		
  3.97   	-44.25   	  6.08   	  15.26		 43.60   	 -30.52		
 16.48   	-29.30   	  6.14   	  25.43		 43.48   	 -35.61		
 12.51   	-26.86   	  6.25   	  45.78		 43.34   	 -30.52		
  9.77   	-25.63   	  6.43   	  76.30		 43.21   	 -30.52		
 14.34   	-16.17   	  6.73   	 183.11		 43.09   	 -25.43		
 21.97   	 -5.49   	  7.47   	 198.37		 42.99   	 -30.52		
 26.25   	  3.66   	  8.26   	 178.03		 42.87   	 -30.52		
 26.86   	 10.68   	  8.97   	 157.68		 42.75   	 -20.35		
 31.43   	 18.92   	  9.60   	 178.03		 42.67   	 -25.43		
 34.18   	 24.41   	 10.32   	 244.15		 42.56   	 -25.43		
 36.62   	 27.47   	 11.29   	 340.79		 42.46   	 -20.35		
 40.89   	 38.15   	 12.66   	 381.48		 42.38   	 -20.35		
 35.10   	 42.42   	 14.18   	 335.71		 42.30   	 -20.35		
 37.84   	 51.27   	 15.52   	 269.58		 42.22   	 -20.35		
 43.33   	 68.05   	 16.60   	 228.89		 42.14   	 -15.26		
 37.54   	 73.24   	 17.52   	 183.11		 42.08   	 -20.35		
 40.59   	 83.62   	 18.25   	 127.16		 41.99   	 -15.26		
 43.03   	 93.99   	 18.76   	  61.04		 41.93   	 -20.35		
 39.37   	101.01   	 19.00   	  25.43		 41.85   	 -25.43		
 42.11   	115.36   	 19.10   	  91.56		 41.75   	 -20.35		
 45.17   	129.70   	 19.47   	 157.68		 41.67   	 -20.35		
 43.95   	143.13   	 20.10   	 178.03		 41.59   	 -25.43		
 43.33   	156.86   	 20.81   	 203.46		 41.49   	 -25.43		
 44.56   	173.34   	 21.63   	 223.80		 41.38   	 -20.35		
 43.33   	189.51   	 22.52   	 228.89		 41.30   	 -25.43		
 42.72   	202.94   	 23.44   	 223.80		 41.20   	 -20.35		
 44.25   	219.12   	 24.33   	 208.54		 41.12   	 -20.35		
 48.83   	237.73   	 25.17   	 178.03		 41.04   	 -20.35		
 49.13   	254.52   	 25.88   	 142.42		 40.96   	 -15.26		
 49.74   	276.18   	 26.45   	  96.64		 40.90   	 -15.26		
 54.63   	326.23   	 26.84   	  76.30		 40.83   	 -15.26		
 55.24   	355.22   	 27.14   	  66.12		 40.77   	 -10.17		
 63.48   	388.49   	 27.41   	  55.95		 40.73   	  -5.09		
 67.75   	419.62   	 27.63   	  55.95		 40.71   	   0.00		
 66.83   	446.78   	 27.85   	  61.04		 40.71   	  10.17		
 71.11   	472.72   	 28.10   	  66.12		 40.75   	  30.52		
 73.85   	498.35   	 28.36   	  61.04		 40.87   	  50.86		
 75.07   	520.63   	 28.61   	  61.04		 41.08   	  91.56		
 82.40   	543.52   	 28.85   	  55.95		 41.44   	 152.59		
 91.86   	561.52   	 29.07   	  50.86		 42.05   	 223.80		
 97.66   	566.71   	 29.28   	  35.61		 42.95   	 300.10		
102.23   	558.78   	 29.42   	  30.52		 44.15   	 335.71		
107.12   	542.60   	 29.54   	  20.35		 45.49   	 335.71		
109.25   	514.53   	 29.62   	  10.17		 46.84   	 310.27		
106.51   	473.94   	 29.66   	   5.09		 48.08   	 279.75		
110.17   	431.82   	 29.68(S)	   0.00		 49.20   	 233.98		
110.78   	381.47   	 29.68   	   0.00		 50.13   	 178.03		
104.98   	324.71   	 29.68   	   0.00		 50.84   	 142.42		
104.37   	271.00   	 29.68   	 -15.26		 51.41   	 142.42		
 99.49   	218.51   	 29.62   	 -25.43		 51.98   	 137.33		
 93.99   	170.59   	 29.52   	 -40.69		 52.53   	 142.42		
 89.72   	127.87   	 29.36   	 -35.61		 53.10   	 127.16		
 84.53   	 90.03   	 29.22   	 -35.61		 53.61   	 116.99		
 79.04   	 55.24   	 29.07   	 -35.61		 54.08   	 111.90		
 71.41   	 24.41   	 28.93   	 -25.43		 54.53   	 147.51		
 69.58   	-15.87   	 28.83   	 -25.43		 55.12   	 157.68		
 69.58   	-27.16   	 28.73   	 -25.43		 55.75   	 152.59		
 67.75   	-41.50   	 28.63   	 -30.52		 56.36   	 152.59		
 66.53   	-48.52   	 28.50   	 -30.52		 56.97   	 162.77		
 65.31   	-57.37   	 28.38   	 -40.69		 57.62   	 172.94		
 57.37   	-70.19   	 28.22   	 -40.69		 58.31   	 178.03		
 57.07   	-74.77   	 28.06   	 -25.43		 59.02   	 178.03		
 55.54   	-81.79   	 27.96   	 -10.17		 59.74   	 157.68		
 51.88   	-90.94   	 27.91   	  15.26		 60.37   	 157.68		
 55.54   	-91.86   	 27.98   	  20.35		 61.00   	 167.85		
 54.32   	-95.83   	 28.06   	  20.35		 61.67   	 172.94		
 52.49   	-100.71   	 28.14   	   0.00		 62.36   	 116.99		
 53.10   	-102.84   	 28.14   	 -35.61		 62.83   	  66.12		
 50.66   	-106.81   	 28.00   	 -81.38		 63.09   	 152.59		
 52.19   	-108.95   	 27.67   	-127.16		 63.70   	 239.06		
 53.41   	-111.39   	 27.16   	-157.68		 64.66   	  76.30		
 53.71   	-113.22   	 26.53   	-183.11		 64.96   	-137.33		
 55.24   	-115.97   	 25.80   	-193.29		 64.41   	  10.17		
 55.54   	-118.71   	 25.03   	-198.37		 64.46   	 335.71		
 57.68   	-117.49   	 24.23   	-203.46		 65.80   	 218.72		
 56.15   	-119.63   	 23.42   	-208.54		 66.67   	-122.07		
 58.59   	-117.80   	 22.58   	-218.72		 66.18   	 -25.43		
 58.90   	-117.49   	 21.71   	-203.46		 66.08   	 218.72		
 57.68   	-118.10   	 20.90   	-167.85		 66.96   	  81.38		
 60.12   	-117.49   	 20.22   	-147.51		 67.28   	 -96.64		
 61.95   	-117.19   	 19.63   	-167.85		 66.90   	  20.35		
 61.34   	-119.02   	 18.96   	-203.46		 66.98   	 137.33		
 61.95   	-119.32   	 18.15   	-223.80		 67.53   	  25.43		
 63.17   	-117.49   	 17.25   	-228.89		 67.63(S)	-137.33		
 61.65   	-115.66   	 16.34   	-228.89		 67.08   	-106.82		
 63.78   	-113.83   	 15.42   	-218.72		 66.65   	  86.47		
 64.09   	-113.83   	 14.55   	-203.46		 67.00   	  61.04		
 60.73   	-117.49   	 13.73   	-178.03		 67.24   	 -91.56		
 62.26   	-119.02   	 13.02   	-152.59		 66.88   	 -76.30		
 62.26   	-119.63   	 12.41   	-127.16		 66.57   	 -81.38		
 65.61   	-116.27   	 11.90   	-116.99		 66.25   	-122.07		
 70.50   	-109.56   	 11.43   	-106.82		 65.76   	 -91.56		
 71.41   	-106.51   	 11.01   	-116.99		 65.39   	 -86.47		
 71.41   	-103.15   	 10.54   	-122.07		 65.05   	 -96.64		
 72.63   	-101.93   	 10.05   	-147.51		 64.66   	 -96.64		
 68.66   	-108.03   	  9.46   	-162.77		 64.27   	-152.59		
 65.61   	-113.22   	  8.81   	-178.03		 63.66   	-198.37		
 67.14   	-116.88   	  8.10   	-188.20		 62.87   	-157.68		
 65.00   	-123.90   	  7.34   	-193.29		 62.24   	-122.07		
 71.72   	-127.56   	  6.57   	-193.29		 61.75   	-116.99		
 77.51   	-143.13   	  5.80   	-198.37		 61.28   	-132.25		
 80.26   	-152.89   	  5.01   	-183.11		 60.75   	-157.68		
 95.52   	-147.40   	  4.27   	-157.68		 60.12   	-152.59		
105.29   	-143.43   	  3.64   	-127.16		 59.51   	-127.16		
120.24   	-115.66   	  3.13   	 -86.47		 59.00   	-116.99		
133.06   	-90.94   	  2.79   	 -40.69		 58.53   	-111.90		
129.39   	-80.57   	  2.62   	  -5.09		 58.09   	-111.90		
137.94   	-53.41   	  2.60(D)	  35.61		 57.64   	-106.82		
147.71   	-24.72   	  2.75   	  55.95		 57.21   	 -96.64		
147.71   	 -0.61   	  2.97   	  71.21		 56.83   	 -91.56		
163.57   	 26.55   	  3.26   	  76.30		 56.46   	 -91.56		
168.46   	 31.74   	  3.56   	  61.04		 56.09   	 -91.56		
162.66   	 18.01   	  3.80   	  50.86		 55.73   	 -86.47		
162.96   	  0.92   	  4.01   	  25.43		 55.38   	 -76.30		
149.84   	-32.04   	  4.11   	  15.26		 55.08   	 -81.38		
132.45   	-51.27   	  4.17   	   5.09		 54.75   	 -86.47		
112.61   	-70.80   	  4.19   	 -10.17		 54.40   	 -81.38		
100.71   	-86.67   	  4.15   	 -10.17		 54.08   	 -81.38		
 98.57   	-87.59   	  4.11   	 -10.17		 53.75   	 -76.30		
 94.91   	-93.38   	  4.07   	   0.00		 53.45   	 -76.30		
 91.55   	-117.19   	  4.07   	  -5.09		 53.14   	 -76.30		
 80.87   	-136.72   	  4.05   	   5.09		 52.84   	 -86.47		
 64.39   	-155.03   	  4.07   	   0.00		 52.49   	 -86.47		
 46.69   	-169.98   	  4.07   	  10.17		 52.15   	 -81.38		
 37.23   	-170.29   	  4.11   	   5.09		 51.82   	 -71.21		
 36.01   	-159.00   	  4.13   	   5.09		 51.54   	 -61.04		
 34.18   	-160.83   	  4.15   	   0.00		 51.29   	 -61.04		
 39.67   	-163.88   	  4.15   	   5.09		 51.05   	 -61.04		
 39.67   	-161.74   	  4.17   	  10.17		 50.80   	 -66.12		
 32.65   	-168.15   	  4.21   	  10.17		 50.54   	 -66.12		
 35.10   	-163.27   	  4.25   	  15.26		 50.27   	 -66.12		
 34.48   	-165.10   	  4.31   	  15.26		 50.01   	 -66.12		
 32.35   	-168.76   	  4.37   	  20.35		 49.75   	 -61.04		
 40.89   	-178.22   	  4.46   	  30.52		 49.50   	 -61.04		
 66.22   	-227.66   	  4.58   	  25.43		 49.26   	 -55.95		
121.15   	-300.29   	  4.68   	  35.61		 49.03   	 -55.95		
192.87   	-357.36   	  4.82   	  30.52		 48.81   	 -55.95		
274.05   	-354.92   	  4.94   	  35.61		 48.59   	 -50.86		
342.71   	-238.34   	  5.09   	  35.61		 48.38   	 -50.86		
357.67   	 83.31   	  5.23   	  30.52		 48.18   	 -55.95		
286.25   	524.60   	  5.35   	  25.43		 47.96   	 -50.86		
 86.98   	1011.35   	  5.45   	  25.43		 47.75   	 -50.86		
-244.14   	1466.37(R)	  5.55(E)	  -5.09		 47.55   	 -55.95		
-758.36   	1377.56   	  5.53   	 -10.17		 47.32   	 -55.95		
-756.23   	855.41   	  5.49   	 -20.35		 47.10   	 -50.86		
-569.76   	385.44   	  5.41   	 -20.35		 46.90   	 -50.86		
-367.43   	-31.43   	  5.33   	 -20.35		 46.69   	 -45.78		
-249.33   	-169.07   	  5.25   	  -5.09		 46.51   	 -40.69		
-229.19   	-80.87   	  5.23   	  10.17		 46.35   	 -45.78		
-260.31   	-176.39   	  5.27   	  25.43		 46.16   	 -35.61		
-267.33   	-257.87   	  5.37   	  40.69		 46.02   	 -40.69		
-275.27   	-342.71   	  5.53   	  50.86		 45.86   	 -40.69		
-256.65   	-433.35   	  5.74   	  55.95		 45.70   	 -40.69		
-260.01   	-491.33   	  5.96   	  55.95		 45.53   	 -35.61		
-287.17   	-535.58   	  6.19   	  55.95		 45.39   	 -35.61		
-295.10   	-560.61   	  6.41   	  55.95		 45.25   	 -40.69		
-285.64   	-586.85   	  6.63   	  61.04		 45.09   	 -35.61		
-265.20   	-537.11   	  6.88   	  55.95		 44.94   	 -35.61		
-225.22   	-448.61   	  7.10   	  35.61		 44.80   	 -35.61		
-168.15   	-347.60   	  7.24   	  20.35		 44.66   	 -30.52		
-103.15   	-235.29   	  7.32   	  -5.09		 44.54   	 -30.52		
-43.03   	-152.28   	  7.30   	 -20.35		 44.41   	 -35.61		
  1.83   	-82.40   	  7.22   	 -25.43		 44.27   	 -30.52		
 26.55   	-49.74   	  7.12   	  -5.09		 44.15   	 -30.52		
 29.60   	-46.08   	  7.10   	  35.61		 44.03   	 -35.61		
 21.06   	-47.91   	  7.24   	  76.30		 43.89   	 -30.52		
 24.41   	-39.37   	  7.55   	 116.99		 43.76   	 -30.52		
 30.21   	-23.50   	  8.02   	 188.20		 43.64   	 -25.43		
 42.11   	  1.83   	  8.77   	 203.46		 43.54   	 -35.61		
 43.95   	 14.65   	  9.58   	 208.54		 43.40   	 -30.52		
 41.20   	 24.11   	 10.42   	 193.29		 43.28   	 -30.52		
 43.03   	 28.69   	 11.19   	 152.59		 43.15   	 -30.52		
 43.64   	 27.47   	 11.80   	 111.90		 43.03   	 -20.35		
 44.86   	 32.04   	 12.25   	 152.59		 42.95   	 -20.35		
 47.00   	 36.32   	 12.86   	 249.24		 42.87   	 -20.35		
 51.27   	 45.78   	 13.86   	 213.63		 42.79   	 -15.26		
 51.88   	 55.24   	 14.71   	 116.99		 42.73   	 -10.17		
 52.19   	 63.17   	 15.18   	 127.16		 42.69   	 -15.26		
 54.02   	 76.60   	 15.69   	 203.46		 42.62   	 -25.43		
 58.90   	 88.81   	 16.50   	 239.06		 42.52   	 -25.43		
 60.73   	101.01   	 17.46   	 264.50		 42.42   	 -20.35		
 63.48   	116.27   	 18.51   	 254.32		 42.34   	 -20.35		
 65.61   	126.34   	 19.53   	 249.24		 42.26   	 -25.43		
 60.73   	135.19   	 20.53   	 269.58		 42.16   	 -35.61		
 59.81   	144.65   	 21.61   	 269.58		 42.01   	 -35.61		
 63.48   	157.17   	 22.69   	 254.32		 41.87   	 -25.43		
 62.56   	170.29   	 23.70   	 208.54		 41.77   	 -20.35		
 63.17   	184.63   	 24.54   	 167.85		 41.69   	 -10.17		
 67.14   	202.33   	 25.21   	 137.33		 41.65   	 -10.17		
 62.56   	217.29   	 25.76   	 116.99		 41.61   	 -20.35		
 59.20   	232.24   	 26.23   	  91.56		 41.53   	 -20.35		
 65.61   	254.21   	 26.59   	  55.95		 41.44   	 -10.17		
 65.92   	276.49   	 26.82   	  55.95		 41.40   	 -20.35		
 75.99   	327.45   	 27.04   	  71.21		 41.32   	 -20.35		
 75.99   	355.22   	 27.32   	 101.73		 41.24   	 -15.26		
 77.82   	383.61   	 27.73   	  96.64		 41.18   	 -10.17		
 80.26   	411.07   	 28.12   	 101.73		 41.14(D)	   0.00		
 84.53   	442.81   	 28.52   	 106.82		 41.14   	   5.09		
 86.67   	468.14   	 28.95   	 111.90		 41.16   	  25.43		
 89.42   	490.42   	 29.40   	  91.56		 41.26   	  61.04		
 93.69   	513.31   	 29.77   	  66.12		 41.51   	  91.56		
 96.44   	530.09   	 30.03   	  40.69		 41.87   	 142.42		
101.93   	541.08   	 30.19   	  30.52		 42.44   	 218.72		
106.20   	547.79   	 30.32   	  30.52		 43.32   	 279.75		
111.39   	542.30   	 30.44   	  15.26		 44.44   	 320.45		
118.71   	527.34   	 30.50   	   5.09		 45.72   	 315.36		
121.15   	504.46   	 30.52   	   5.09		 46.98   	 284.84		
124.82   	470.28   	 30.54   	   0.00		 48.12   	 259.41		
122.38   	424.50   	 30.54   	  -5.09		 49.16   	 218.72		
120.24   	377.50   	 30.52   	  -5.09		 50.03   	 172.94		
115.05   	321.96   	 30.50   	   0.00		 50.72   	 137.33		
109.56   	267.03   	 30.50   	  20.35		 51.27   	 127.16		
105.29   	219.12   	 30.58   	  20.35		 51.78   	 137.33		
 98.27   	173.34   	 30.66   	  20.35		 52.33   	 137.33		
 95.52   	134.58   	 30.74   	  15.26		 52.88   	 132.25		
 91.55   	 98.88   	 30.80(S)	   0.00		 53.41   	 111.90		
 84.23   	 64.39   	 30.80   	 -15.26		 53.86   	 116.99		
 83.92   	 39.06   	 30.74   	 -61.04		 54.32   	 142.42		
 75.07   	-10.38   	 30.50   	 -76.30		 54.89   	 147.51		
 79.04   	-24.72   	 30.19   	 -81.38		 55.48   	 147.51		
 75.99   	-44.86   	 29.87   	 -81.38		 56.07   	 157.68		
 73.24   	-57.68   	 29.54   	 -86.47		 56.70   	 157.68		
 71.72   	-67.75   	 29.20   	 -86.47		 57.33   	 157.68		
 66.22   	-80.57   	 28.85   	 -76.30		 57.97   	 167.85		
 66.53   	-86.67   	 28.55   	 -66.12		 58.64   	 178.03		
 63.78   	-93.38   	 28.28   	 -61.04		 59.35   	 167.85		
 63.17   	-96.44   	 28.04   	 -61.04		 60.02   	 142.42		
 66.22   	-91.25   	 27.79   	 -55.95		 60.59   	 122.07		
 62.87   	-90.94   	 27.57   	 -61.04		 61.08   	 147.51		
 60.12   	-90.03   	 27.32   	 -66.12		 61.67   	 178.03		
 65.00   	-86.06   	 27.06   	 -86.47		 62.38   	 147.51		
 60.12   	-92.77   	 26.71   	 -91.56		 62.97   	  40.69		
 57.07   	-95.21   	 26.35   	-106.82		 63.13   	  61.04		
 61.95   	-92.77   	 25.92   	-127.16		 63.38   	 228.89		
 60.12   	-96.74   	 25.41   	-137.33		 64.29   	 218.72		
 56.46   	-103.45   	 24.86   	-152.59		 65.17   	 -61.04		
 60.42   	-104.06   	 24.25   	-167.85		 64.92   	-178.03		
 62.26   	-105.90   	 23.58   	-198.37		 64.21   	  96.64		
 63.78   	-104.98   	 22.79   	-218.72		 64.60   	 340.79		
 66.22   	-102.54   	 21.91   	-218.72		 65.96   	 147.51		
 68.66   	-99.49   	 21.04   	-188.20		 66.55   	 -96.64		
 68.97   	-99.79   	 20.28   	-172.94		 66.16   	   0.00		
 64.70   	-104.06   	 19.59   	-208.54		 66.16   	  15.26		
 72.94   	-106.51   	 18.76   	-213.63		 66.23   	-101.73		
 68.97   	-112.92   	 17.90   	-203.46		 65.82   	  55.95		
 70.50   	-116.27   	 17.09   	-198.37		 66.04   	 162.77		
 72.33   	-116.27   	 16.30   	-193.29		 66.69(S)	 -15.26		
 68.97   	-118.10   	 15.52   	-178.03		 66.63   	-147.51		
 68.66   	-118.71   	 14.81   	-172.94		 66.04   	 -66.12		
 72.02   	-113.53   	 14.12   	-167.85		 65.78   	   0.00		
 72.33   	-107.42   	 13.45   	-162.77		 65.78   	 -40.69		
 65.61   	-108.34   	 12.80   	-157.68		 65.62   	-142.42		
 69.89   	-102.84   	 12.17   	-162.77		 65.05   	-101.73		
 71.41   	-99.49   	 11.52   	-167.85		 64.64   	  10.17		
 65.61   	-106.81   	 10.84   	-193.29		 64.68   	 -66.12		
 72.02   	-103.76   	 10.07   	-218.72		 64.41   	-233.98		
 73.55   	-100.10   	  9.20   	-228.89		 63.48   	-162.77		
 68.97   	-105.90   	  8.28   	-223.80		 62.83   	   0.00		
 72.94   	-101.93   	  7.39   	-223.80		 62.83   	 -45.78		
 76.90   	-97.66   	  6.49   	-203.46		 62.64   	-167.85		
 79.04   	-101.32   	  5.68   	-183.11		 61.97   	-193.29		
 79.96   	-106.20   	  4.94   	-147.51		 61.20   	-162.77		
 84.53   	-121.77   	  4.35   	-106.82		 60.55   	-122.07		
 85.45   	-145.87   	  3.93   	 -66.12		 60.06   	 -86.47		
 90.03   	-154.72   	  3.66   	 -20.35		 59.71   	 -96.64		
101.32   	-160.83   	  3.58(D)	  15.26		 59.33   	-142.42		
116.58   	-148.32   	  3.64   	  55.95		 58.76   	-157.68		
127.87   	-126.65   	  3.87   	  81.38		 58.13   	-111.90		
128.17   	-115.97   	  4.19   	  91.56		 57.68   	 -81.38		
134.28   	-93.69   	  4.56   	  96.64		 57.35   	 -76.30		
142.52   	-61.04   	  4.94   	  86.47		 57.05   	 -81.38		
144.35   	-29.60   	  5.29   	  66.12		 56.72   	 -91.56		
157.78   	  8.54   	  5.55   	  40.69		 56.36   	 -96.64		
171.81   	 32.96   	  5.72   	  25.43		 55.97   	 -86.47		
169.07   	 32.35   	  5.82   	  10.17		 55.63   	 -86.47		
166.63   	 17.70   	  5.86   	  -5.09		 55.28   	 -86.47		
159.91   	-10.99   	  5.84   	 -15.26		 54.93   	 -81.38		
142.21   	-39.67   	  5.78   	 -20.35		 54.61   	 -76.30		
121.46   	-59.20   	  5.70   	 -20.35		 54.30   	 -86.47		
107.42   	-79.35   	  5.62   	 -30.52		 53.96   	 -91.56		
103.45   	-89.42   	  5.49   	 -30.52		 53.59   	 -86.47		
101.01   	-88.81   	  5.37   	 -25.43		 53.24   	 -86.47		
 96.74   	-110.78   	  5.27   	 -25.43		 52.90   	 -86.47		
 87.28   	-135.50   	  5.17   	 -10.17		 52.55   	 -81.38		
 73.24   	-150.76   	  5.13   	 -10.17		 52.23   	 -81.38		
 52.80   	-172.42   	  5.09   	  -5.09		 51.90   	 -66.12		
 41.50   	-181.88   	  5.07   	  -5.09		 51.64   	 -66.12		
 41.81   	-167.85   	  5.05   	 -10.17		 51.37   	 -71.21		
 37.23   	-164.79   	  5.01   	 -10.17		 51.09   	 -76.30		
 39.37   	-166.02   	  4.96   	 -10.17		 50.78   	 -71.21		
 45.47   	-156.56   	  4.92   	 -10.17		 50.50   	 -66.12		
 38.76   	-156.56   	  4.88   	 -10.17		 50.23   	 -66.12		
 38.45   	-155.03   	  4.84   	   5.09		 49.97   	 -55.95		
 38.76   	-153.20   	  4.86   	   5.09		 49.75   	 -61.04		
 30.52   	-157.78   	  4.88   	  20.35		 49.50   	 -61.04		
 32.35   	-162.66   	  4.96   	  25.43		 49.26   	 -61.04		
 47.30   	-194.70   	  5.07   	  30.52		 49.01   	 -61.04		
 91.25   	-265.20   	  5.19   	  30.52		 48.77   	 -55.95		
157.17   	-339.36   	  5.31   	  30.52		 48.55   	 -61.04		
229.49   	-368.35   	  5.43   	  25.43		 48.30   	 -55.95		
301.82   	-309.75   	  5.53   	  20.35		 48.08   	 -55.95		
330.51   	-65.00   	  5.62   	  15.26		 47.85   	 -50.86		
300.60   	357.36   	  5.68   	   5.09		 47.65   	 -50.86		
159.30   	833.13   	  5.70   	   0.00		 47.45   	 -45.78		
-101.93   	1343.99   	  5.70   	  -5.09		 47.26   	 -45.78		
-654.91   	1571.96(R)	  5.68   	   0.00		 47.08   	 -45.78		
-725.71   	1127.01   	  5.68(E)	  -5.09		 46.90   	 -45.78		
-603.33   	604.55   	  5.66   	   5.09		 46.71   	 -45.78		
-390.32   	144.65   	  5.68   	  15.26		 46.53   	 -40.69		
-245.97   	-150.15   	  5.74   	  20.35		 46.37   	 -40.69		
-196.84   	-112.00   	  5.82   	  20.35		 46.21   	 -35.61		
-222.17   	-117.49   	  5.90   	  30.52		 46.06   	 -40.69		
-233.76   	-242.31   	  6.02   	  30.52		 45.90   	 -45.78		
-244.14   	-305.79   	  6.14   	  40.69		 45.72   	 -45.78		
-229.49   	-414.43   	  6.31   	  40.69		 45.53   	 -35.61		
-223.08   	-482.48   	  6.47   	  45.78		 45.39   	 -40.69		
-250.85   	-530.70   	  6.65   	  45.78		 45.23   	 -40.69		
-280.15   	-551.15   	  6.84   	  45.78		 45.07   	 -30.52		
-278.93   	-574.65   	  7.02   	  55.95		 44.94   	 -30.52		
-261.54   	-543.82   	  7.24   	  61.04		 44.82   	 -30.52		
-239.26   	-465.09   	  7.49   	  55.95		 44.70   	 -35.61		
-182.19   	-363.46   	  7.71   	  50.86		 44.56   	 -35.61		
-121.15   	-251.77   	  7.91   	  30.52		 44.41   	 -30.52		
-63.78   	-162.96   	  8.04   	  20.35		 44.29   	 -35.61		
 -7.93   	-84.84   	  8.12   	 -10.17		 44.15   	 -30.52		
 22.58   	-39.06   	  8.08   	 -25.43		 44.03   	 -35.61		
 32.04   	-28.69   	  7.98   	 -15.26		 43.89   	 -30.52		
 27.47   	-28.38   	  7.91   	  10.17		 43.76   	 -25.43		
 25.33   	-24.41   	  7.96   	  55.95		 43.66   	 -30.52		
 32.35   	 -7.02   	  8.18   	 167.85		 43.54   	 -25.43		
 41.50   	  9.16   	  8.85   	 208.54		 43.44   	 -30.52		
 41.81   	 15.56   	  9.68   	 244.15		 43.32   	 -25.43		
 40.89   	 22.58   	 10.66   	 274.67		 43.21   	 -30.52		
 38.15   	 26.86   	 11.76   	 244.15		 43.09   	 -30.52		
 42.72   	 33.26   	 12.74   	 152.59		 42.97   	 -25.43		
 45.17   	 40.28   	 13.35   	  71.21		 42.87   	 -25.43		
 43.64   	 44.86   	 13.63   	  66.12		 42.77   	 -20.35		
 47.91   	 54.32   	 13.90   	  71.21		 42.69   	 -20.35		
 49.44   	 65.31   	 14.18   	  55.95		 42.60   	 -20.35		
 48.22   	 75.07   	 14.40   	  76.30		 42.52   	 -20.35		
 49.74   	 89.72   	 14.71   	 137.33		 42.44   	 -20.35		
 50.35   	105.59   	 15.26   	 203.46		 42.36   	 -15.26		
 51.57   	118.41   	 16.07   	 259.41		 42.30   	 -25.43		
 56.76   	133.36   	 17.11   	 315.36		 42.20   	 -20.35		
