SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-100.71   	-169.68   	 73.59   	-111.90		 58.29   	 -61.04		
-103.15   	-162.05   	 73.14   	-111.90		 58.05   	 -76.30		
-96.74   	-149.23   	 72.70   	-116.99		 57.74   	 -96.64		
-89.72   	-151.37   	 72.23   	-122.07		 57.35   	-111.90		
-86.06   	-156.56   	 71.74   	-132.25		 56.91   	-142.42		
-103.76   	-172.42   	 71.21   	-147.51		 56.34   	-178.03		
-97.96   	-176.70   	 70.62   	-162.77		 55.63   	-218.72		
-102.54   	-169.37   	 69.97   	-183.11		 54.75   	-259.41		
-99.18   	-155.03   	 69.24   	-218.72		 53.71   	-310.27		
-77.82   	-141.60   	 68.36   	-264.50		 52.47   	-371.31		
-86.98   	-150.15   	 67.30   	-295.01		 50.99   	-442.52		
-71.41   	-155.03   	 66.12   	-295.01		 49.22   	-523.90		
-84.53   	-163.27   	 64.94   	-254.32		 47.12   	-579.86		
-93.08   	-166.02   	 63.93   	-203.46		 44.80   	-620.55		
-77.51   	-165.10   	 63.11   	-142.42		 42.32   	-656.15		
-86.06   	-171.81   	 62.54   	 -96.64		 39.69   	-671.41		
-81.48   	-176.39   	 62.16   	 -55.95		 37.01   	-691.76		
-72.02   	-170.29   	 61.93   	 -20.35		 34.24   	-686.67		
-64.39   	-165.41   	 61.85   	 -15.26		 31.50   	-686.67		
-81.48   	-159.30   	 61.79   	 -25.43		 28.75   	-671.41		
-73.85   	-154.42   	 61.69   	 -45.78		 26.06   	-661.24		
-65.00   	-166.02   	 61.51   	 -76.30		 23.42   	-640.89		
-89.11   	-173.95   	 61.20   	-111.90		 20.85   	-590.03		
-56.15   	-155.64   	 60.75   	-137.33		 18.49   	-523.90		
-67.44   	-155.33   	 60.20   	-157.68		 16.40   	-457.78		
-69.89   	-135.80   	 59.57   	-167.85		 14.57   	-396.74		
-62.56   	-132.45   	 58.90   	-167.85		 12.98   	-350.97		
-75.38   	-133.36   	 58.23   	-157.68		 11.58   	-295.01		
-54.02   	-93.08   	 57.60   	-137.33		 10.40   	-239.06		
-60.42   	-72.63   	 57.05   	-111.90		  9.44   	-188.20		
-33.26   	-29.60   	 56.60   	 -86.47		  8.69   	-137.33		
-21.06   	  5.49   	 56.26   	 -71.21		  8.14   	 -91.56		
  5.49   	 15.87   	 55.97   	 -61.04		  7.77   	 -66.12		
 20.75   	 33.87   	 55.73   	 -40.69		  7.51   	 -45.78		
 31.43   	 44.56   	 55.56   	 -35.61		  7.32   	 -20.35		
 34.79   	 50.05   	 55.42   	 -40.69		  7.24   	 -15.26		
  4.27   	 43.95   	 55.26   	 -61.04		  7.18   	  -5.09		
 41.50   	 36.32   	 55.02   	 -81.38		  7.16   	   0.00		
 36.62   	 28.38   	 54.69   	 -91.56		  7.16   	  -5.09		
 32.35   	-14.04   	 54.32   	 -91.56		  7.14(D)	   5.09		
 52.19   	-44.56   	 53.96   	 -96.64		  7.16   	   0.00		
 -7.93   	-91.86   	 53.57   	-106.82		  7.16   	   5.09		
-57.37   	-145.26   	 53.14   	-111.90		  7.18   	  10.17		
-86.06   	-155.64   	 52.70   	-106.82		  7.22   	  15.26		
-115.05   	-169.37   	 52.27   	 -91.56		  7.28   	  15.26		
-113.53   	-177.31   	 51.90   	 -86.47		  7.34   	  20.35		
-111.08   	-188.60   	 51.56   	 -76.30		  7.43   	  15.26		
-97.96   	-195.92   	 51.25   	 -76.30		  7.49   	  10.17		
-121.46   	-205.99   	 50.95   	 -66.12		  7.53   	   5.09		
-127.56   	-197.75   	 50.68   	 -61.04		  7.55   	   5.09		
-119.93   	-187.07   	 50.44   	 -61.04		  7.57   	   5.09		
-86.98   	-231.02   	 50.19   	 -55.95		  7.59   	   5.09		
 19.23   	-320.13   	 49.97   	 -55.95		  7.61   	   0.00		
201.72   	-371.40   	 49.75   	 -55.95		  7.61   	   5.09		
491.94   	-305.18   	 49.52   	 -61.04		  7.63   	   5.09		
793.46   	 77.21   	 49.28   	 -61.04		  7.65   	   5.09		
1083.37   	748.90   	 49.03   	 -61.04		  7.67   	   5.09		
1184.08   	1519.47   	 48.79   	 -71.21		  7.69   	  10.17		
206.30   	2207.03(R)	 48.50   	 -66.12		  7.73(E)	  15.26		
-409.55   	1419.98   	 48.24   	 -71.21		  7.79   	  20.35		
-960.39   	450.13   	 47.96   	 -71.21		  7.87   	  25.43		
-867.92   	-391.54   	 47.67   	 -71.21		  7.98   	  20.35		
-576.17   	-755.31   	 47.39   	 -61.04		  8.06   	  20.35		
-302.12   	-457.46   	 47.14   	 -61.04		  8.14   	  20.35		
-66.22   	-94.91   	 46.90   	 -61.04		  8.22   	  15.26		
-67.14   	-75.99   	 46.65   	 -50.86		  8.28   	  20.35		
-77.51   	-143.74   	 46.45   	 -50.86		  8.36   	  25.43		
-129.70   	-180.66   	 46.25   	 -50.86		  8.46   	  25.43		
-84.23   	-176.09   	 46.04   	 -50.86		  8.57   	  30.52		
-67.75   	-114.75   	 45.84   	 -45.78		  8.69   	  35.61		
-76.90   	-95.83   	 45.66   	 -45.78		  8.83   	  45.78		
-67.44   	-105.29   	 45.47   	 -45.78		  9.01   	  61.04		
-65.61   	-146.48   	 45.29   	 -50.86		  9.26   	  86.47		
-41.81   	-135.80   	 45.09   	 -45.78		  9.60   	 111.90		
-62.26   	-91.86   	 44.90   	 -61.04		 10.05   	 137.33		
-47.00   	-88.20   	 44.66   	 -71.21		 10.60   	 172.94		
-39.67   	-126.65   	 44.37   	 -66.12		 11.29   	 218.72		
-42.72   	-115.36   	 44.11   	 -66.12		 12.17   	 254.32		
-18.92   	-89.42   	 43.85   	 -66.12		 13.18   	 289.93		
-27.16   	-89.72   	 43.58   	 -66.12		 14.34   	 310.27		
-25.94   	-88.81   	 43.32   	 -61.04		 15.58   	 325.53		
-14.95   	-82.70   	 43.07   	 -40.69		 16.89   	 350.97		
-22.58   	-74.77   	 42.91   	 -15.26		 18.29   	 386.57		
 -1.53   	-49.13   	 42.85(D)	   5.09		 19.84   	 412.00		
  8.85   	-33.57   	 42.87   	  20.35		 21.49   	 432.35		
  7.02   	-28.99   	 42.95   	  66.12		 23.21   	 457.78		
 22.58   	 -8.85   	 43.21   	 122.07		 25.05   	 467.95		
  3.36   	 -9.46   	 43.70   	 208.54		 26.92   	 478.13		
  8.24   	  2.44   	 44.54   	 295.01		 28.83   	 473.04		
 15.26   	  8.24   	 45.72   	 391.66		 30.72   	 467.95		
 28.38   	  9.77   	 47.28   	 467.95		 32.59   	 457.78		
 61.04   	 39.67   	 49.16   	 523.90		 34.43   	 437.43		
 56.46   	 36.01   	 51.25   	 539.16		 36.17   	 422.18		
 74.77   	 50.35   	 53.41   	 523.90		 37.86   	 396.74		
 71.72   	 66.22   	 55.50   	 473.04		 39.45   	 376.40		
 70.19   	 57.98   	 57.40   	 401.83		 40.96   	 345.88		
 93.08   	 86.36   	 59.00   	 310.27		 42.34   	 320.45		
