SAMPLE NUMBER:   30
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-790.41   	 52.49   	  5.76   	-142.42		 71.17   	-147.51		
-794.98   	 46.08   	  5.19   	-116.99		 70.58   	-137.33		
-799.87   	 55.85   	  4.72   	 -96.64		 70.03   	-127.16		
-803.53   	 55.85   	  4.33   	 -86.47		 69.52   	-111.90		
-809.33   	 55.85   	  3.99   	 -66.12		 69.07   	-111.90		
-819.09   	 59.20   	  3.72   	 -61.04		 68.63   	-106.82		
-827.64   	 65.00   	  3.48   	 -50.86		 68.20   	-111.90		
-831.60   	 56.76   	  3.28   	 -45.78		 67.75   	-111.90		
-838.62   	 58.90   	  3.09   	 -40.69		 67.30   	-116.99		
-841.67   	 59.51   	  2.93   	 -40.69		 66.84   	-116.99		
-842.29   	 52.19   	  2.77   	 -40.69		 66.37   	-116.99		
-844.42   	 53.41   	  2.60   	 -45.78		 65.90   	-122.07		
-848.08   	 52.80   	  2.42   	 -45.78		 65.41   	-116.99		
-850.83   	 52.80   	  2.24   	 -50.86		 64.94   	-116.99		
-845.03   	 50.05   	  2.03   	 -61.04		 64.48   	-116.99		
-842.59   	 56.76   	  1.79   	 -71.21		 64.01   	-111.90		
-839.84   	 57.37   	  1.51   	 -76.30		 63.56   	-106.82		
-831.60   	 54.63   	  1.20   	 -66.12		 63.13   	 -96.64		
-833.13   	 56.76   	  0.94   	 -66.12		 62.75   	 -96.64		
-834.35   	 50.96   	  0.67   	 -50.86		 62.36   	 -86.47		
-829.16   	 55.85   	  0.47   	 -30.52		 62.01   	 -86.47		
-826.42   	 52.49   	  0.35   	 -10.17		 61.67   	 -76.30		
-828.86   	 57.07   	  0.31(D)	  15.26		 61.36   	 -81.38		
-828.55   	 54.63   	  0.37   	  35.61		 61.04   	 -76.30		
-826.11   	 48.22   	  0.51   	  55.95		 60.73   	 -71.21		
-831.91   	 55.24   	  0.73   	  66.12		 60.45   	 -76.30		
-831.30   	 52.80   	  1.00   	  86.47		 60.14   	 -76.30		
-826.72   	 55.24   	  1.34   	  91.56		 59.84   	 -71.21		
-830.69   	 57.98   	  1.71   	  81.38		 59.55   	 -71.21		
-832.52   	 57.68   	  2.03   	  66.12		 59.27   	 -71.21		
-831.60   	 57.68   	  2.30   	  50.86		 58.98   	 -66.12		
-832.52   	 54.02   	  2.50   	  30.52		 58.72   	 -71.21		
-836.49   	 53.41   	  2.62   	  15.26		 58.43   	 -61.04		
-833.44   	 55.85   	  2.69   	   0.00		 58.19   	 -61.04		
-831.30   	 54.32   	  2.69   	   0.00		 57.94   	 -61.04		
-835.88   	 52.80   	  2.69   	 -10.17		 57.70   	 -55.95		
-834.05   	 59.81   	  2.64   	  -5.09		 57.48   	 -50.86		
-832.52   	 56.46   	  2.62   	 -10.17		 57.27   	 -50.86		
-833.13   	 54.02   	  2.58   	 -10.17		 57.07   	 -45.78		
-832.52   	 67.44   	  2.54   	   0.00		 56.89   	 -45.78		
-830.38   	 66.53   	  2.54   	   0.00		 56.70   	 -40.69		
-830.69   	 59.81   	  2.54   	  10.17		 56.54   	 -45.78		
-834.35   	 67.14   	  2.58   	   5.09		 56.36   	 -40.69		
-831.60   	 63.48   	  2.60   	   5.09		 56.20   	 -45.78		
-827.94   	 61.04   	  2.62   	  10.17		 56.01   	 -40.69		
-829.47   	 68.05   	  2.67   	  10.17		 55.85   	 -45.78		
-827.64   	 68.05   	  2.71   	  15.26		 55.67   	 -45.78		
-824.89   	 56.15   	  2.77   	  10.17		 55.48   	 -45.78		
-823.36   	 50.35   	  2.81   	  10.17		 55.30   	 -45.78		
-816.96   	 51.88   	  2.85   	  10.17		 55.12   	 -50.86		
-805.05   	 55.54   	  2.89   	  10.17		 54.91   	 -45.78		
-790.41   	 72.94   	  2.93   	   5.09		 54.73   	 -50.86		
-777.59   	102.54   	  2.95   	  10.17		 54.53   	 -45.78		
-769.96   	130.92   	  2.99   	   5.09		 54.34   	 -45.78		
-760.19   	150.45   	  3.01   	   5.09		 54.16   	 -45.78		
-756.53   	161.44   	  3.03   	   0.00		 53.98   	 -45.78		
