SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-117.19   	-139.47   	 85.88   	  81.38		 47.89   	  45.78		
-128.17   	-162.35   	 86.21   	  61.04		 48.08   	  40.69		
-139.16   	-178.53   	 86.45   	  45.78		 48.24   	  35.61		
-151.98   	-193.79   	 86.63   	  40.69		 48.38   	  35.61		
-162.35   	-209.96   	 86.80   	  30.52		 48.52   	  35.61		
-163.27   	-221.86   	 86.92   	  30.52		 48.67   	  35.61		
-150.76   	-222.17   	 87.04   	  30.52		 48.81   	  35.61		
-127.26   	-210.57   	 87.16   	  30.52		 48.95   	  30.52		
-103.76   	-194.70   	 87.28   	  20.35		 49.07   	  20.35		
-92.16   	-186.77   	 87.36   	  15.26		 49.16   	  30.52		
-97.96   	-195.01   	 87.43   	  -5.09		 49.28   	  50.86		
-116.27   	-217.29   	 87.41   	 -10.17		 49.48   	  45.78		
-135.19   	-243.23   	 87.36   	 -20.35		 49.66   	  55.95		
-147.09   	-261.84   	 87.28   	 -15.26		 49.89   	  61.04		
-150.76   	-268.25   	 87.22   	 -10.17		 50.13   	  50.86		
-151.67   	-264.59   	 87.18   	  -5.09		 50.34   	  25.43		
-156.25   	-257.57   	 87.16   	  -5.09		 50.44   	  30.52		
-166.02   	-252.99   	 87.14   	  -5.09		 50.56   	  15.26		
-175.78   	-252.38   	 87.12   	 -20.35		 50.62(S)	 -30.52		
-178.53   	-251.77   	 87.04   	 -25.43		 50.50   	 -55.95		
-169.37   	-245.06   	 86.94   	 -25.43		 50.27   	 -61.04		
-150.45   	-229.80   	 86.84   	 -25.43		 50.03   	 -66.12		
-127.56   	-208.44   	 86.73   	 -25.43		 49.77   	 -55.95		
-106.81   	-186.77   	 86.63   	 -25.43		 49.54   	 -66.12		
-91.55   	-170.59   	 86.53   	 -35.61		 49.28   	 -81.38		
-81.18   	-161.13   	 86.39   	 -50.86		 48.95   	-132.25		
-74.16   	-155.64   	 86.18   	 -71.21		 48.42   	-198.37		
-70.19   	-150.45   	 85.90   	 -86.47		 47.63   	-310.27		
-69.58   	-144.96   	 85.55   	 -96.64		 46.39   	-412.00		
-71.11   	-141.91   	 85.17   	-101.73		 44.74   	-488.30		
-71.72   	-140.99   	 84.76   	-106.82		 42.79   	-539.16		
-65.92   	-138.85   	 84.33   	-116.99		 40.63   	-564.60		
-50.66   	-131.23   	 83.87   	-132.25		 38.37   	-579.86		
-29.30   	-116.88   	 83.34   	-142.42		 36.05   	-569.68		
-11.60   	-102.84   	 82.77   	-142.42		 33.77   	-539.16		
 -7.93   	-99.18   	 82.20   	-132.25		 31.62   	-508.65		
-21.67   	-112.61   	 81.67   	-116.99		 29.58   	-467.95		
-47.00   	-140.38   	 81.20   	 -96.64		 27.71   	-437.43		
-72.63   	-173.34   	 80.81   	 -71.21		 25.96   	-406.92		
-87.59   	-199.89   	 80.53   	 -55.95		 24.33   	-376.40		
-89.11   	-213.01   	 80.30   	 -35.61		 22.83   	-361.14		
-79.65   	-211.18   	 80.16   	 -40.69		 21.38   	-345.88		
-64.09   	-199.89   	 80.00   	 -50.86		 20.00   	-340.79		
-48.22   	-187.38   	 79.80   	 -45.78		 18.64   	-320.45		
-36.93   	-180.97   	 79.61   	 -55.95		 17.35   	-305.19		
-34.48   	-183.41   	 79.39   	 -55.95		 16.13   	-289.93		
-40.89   	-192.26   	 79.17   	 -66.12		 14.97   	-274.67		
-51.57   	-200.50   	 78.90   	 -66.12		 13.88   	-244.15		
-60.73   	-202.64   	 78.64   	 -61.04		 12.90   	-213.63		
-62.56   	-196.84   	 78.39   	 -71.21		 12.04   	-198.37		
-54.32   	-184.33   	 78.11   	 -66.12		 11.25   	-183.11		
-37.54   	-166.93   	 77.84   	 -66.12		 10.52   	-167.85		
-18.31   	-148.01   	 77.58   	 -55.95		  9.85   	-152.59		
 -4.88   	-132.75   	 77.35   	 -45.78		  9.24   	-142.42		
 -1.83   	-124.82   	 77.17   	 -45.78		  8.67   	-152.59		
 -7.32   	-123.29   	 76.99   	 -45.78		  8.06   	-198.37		
-15.56   	-123.60   	 76.81   	 -55.95		  7.26   	-259.41		
-18.31   	-117.80   	 76.58   	 -61.04		  6.23   	-274.67		
-12.21   	-102.23   	 76.34   	 -50.86		  5.13   	-259.41		
 -1.22   	-79.04   	 76.13   	 -45.78		  4.09   	-233.98		
  8.24   	-55.24   	 75.95   	 -35.61		  3.15   	-167.85		
 13.12   	-36.32   	 75.81   	 -25.43		  2.48   	 -81.38		
 16.17   	-20.45   	 75.71   	 -30.52		  2.16   	 -20.35		
 24.72   	 -1.83   	 75.58   	 -30.52		  2.08(D)	  10.17		
 42.72   	 22.89   	 75.46   	 -40.69		  2.12   	  50.86		
