SAMPLE NUMBER:   21
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  aR     	  RV     	  RV'		  RFA     	  RFA'		
-110.78   	 55.54   	 -6.43   	-183.11		 72.25   	-132.25		
-111.08   	 55.54   	 -7.16(D)	 132.25		 71.72   	-132.25		
-113.53   	 56.76   	 -6.63   	 183.11		 71.19   	-132.25		
-117.80   	 58.90   	 -5.90   	 356.05		 70.66   	-132.25		
-120.85   	 60.42   	 -4.48   	 503.56		 70.13   	-132.25		
-120.54   	 60.12   	 -2.46   	 513.73		 69.60   	-127.16		
-116.88   	 58.29   	 -0.41   	 539.16		 69.09   	-127.16		
-113.53   	 56.76   	  1.75   	 549.34		 68.59   	-122.07		
-112.61   	 56.15   	  3.95   	 488.30		 68.10   	-122.07		
-115.05   	 57.37   	  5.90   	 396.74		 67.61   	-111.90		
-119.32   	 59.51   	  7.49   	 279.75		 67.16   	-111.90		
-122.99   	 61.34   	  8.61   	 116.99		 66.71   	-101.73		
-123.60   	 61.65   	  9.07   	 -45.78		 66.31   	-101.73		
-122.38   	 61.04   	  8.89   	-178.03		 65.90   	 -96.64		
-122.38   	 61.04   	  8.18   	-284.84		 65.51   	 -96.64		
-125.12   	 62.56   	  7.04   	-437.43		 65.13   	 -91.56		
-129.70   	 64.70   	  5.29   	-630.72		 64.76   	 -86.47		
-133.97   	 66.83   	  2.77   	-640.89		 64.41   	 -91.56		
-135.50   	 67.75   	  0.20   	-396.74		 64.05   	 -86.47		
-135.19   	 67.44   	 -1.38   	-198.37		 63.70   	 -81.38		
-135.50   	 67.75   	 -2.18   	-101.73		 63.38   	 -81.38		
-138.24   	 68.97   	 -2.58   	  25.43		 63.05   	 -76.30		
-141.91   	 70.80   	 -2.48   	 162.77		 62.75   	 -76.30		
-144.35   	 72.33   	 -1.83   	 218.72		 62.44   	 -71.21		
-143.43   	 72.02   	 -0.96   	 254.32		 62.16   	 -71.21		
-140.08   	 69.89   	  0.06   	 279.75		 61.87   	 -66.12		
-136.41   	 68.05   	  1.18   	 249.24		 61.61   	 -71.21		
-135.19   	 67.44   	  2.18   	 183.11		 61.32   	 -61.04		
-136.72   	 68.05   	  2.91   	 111.90		 61.08   	 -66.12		
-139.47   	 69.27   	  3.36   	  96.64		 60.81   	 -61.04		
-140.99   	 70.19   	  3.74   	 101.73		 60.57   	 -55.95		
-140.69   	 70.19   	  4.15   	  30.52		 60.35   	 -55.95		
-137.94   	 68.97   	  4.27   	 -40.69		 60.12   	 -55.95		
-133.67   	 66.83   	  4.11   	 -81.38		 59.90   	 -50.86		
-130.31   	 65.00   	  3.78   	-111.90		 59.69   	 -55.95		
-127.87   	 63.78   	  3.34   	-132.25		 59.47   	 -50.86		
-126.65   	 63.17   	  2.81   	-122.07		 59.27   	 -45.78		
-125.73   	 62.87   	  2.32   	-101.73		 59.08   	 -50.86		
-124.82   	 62.26   	  1.91   	 -66.12		 58.88   	 -50.86		
-123.90   	 61.95   	  1.65   	 -15.26		 58.68   	 -50.86		
-122.99   	 61.34   	  1.59   	  20.35		 58.47   	 -50.86		
-122.38   	 61.04   	  1.67   	  40.69		 58.27   	 -45.78		
-122.68   	 61.34   	  1.83   	  61.04		 58.09   	 -50.86		
-123.29   	 61.65   	  2.08   	  55.95		 57.88   	 -45.78		
-124.21   	 61.95   	  2.30   	  40.69		 57.70   	 -50.86		
-123.90   	 61.95   	  2.46   	  55.95		 57.50   	 -45.78		
-123.29   	 61.65   	  2.69   	  71.21		 57.31   	 -50.86		
-122.38   	 61.04   	  2.97   	  55.95		 57.11   	 -40.69		
-122.07   	 61.04   	  3.19   	  66.12		 56.95   	 -45.78		
-122.38   	 61.04   	  3.46   	  40.69		 56.76   	 -45.78		
-122.38   	 61.04   	  3.62   	 -91.56		 56.58   	 -40.69		
-120.85   	 60.42   	  3.26   	-167.85		 56.42   	 -45.78		
-118.10   	 58.90   	  2.58   	 -81.38		 56.24   	 -40.69		
-115.05   	 57.68   	  2.26   	 -30.52		 56.07   	 -45.78		
-113.53   	 57.07   	  2.14   	 -25.43		 55.89   	 -40.69		
-113.22   	 56.76   	  2.03   	 -35.61		 55.73   	 -40.69		
-114.44   	 57.37   	  1.89   	 -35.61		 55.56   	 -45.78		
-115.97   	 58.29   	  1.75   	 -20.35		 55.38   	 -45.78		
-116.88   	 58.90   	  1.67   	   0.00		 55.20   	 -40.69		
-117.19   	 59.20   	  1.67   	  40.69		 55.04   	 -40.69		
-116.88   	 58.59   	  1.83   	 106.82		 54.87   	 -45.78		
-115.97   	 57.98   	  2.26   	 137.33		 54.69   	 -40.69		
-115.05   	 57.37   	  2.81   	 127.16		 54.53   	 -40.69		
-114.75   	 57.37   	  3.32   	  96.64		 54.36   	 -45.78		
-115.05   	 57.37   	  3.70   	  66.12		 54.18   	 -40.69		
-115.05   	 57.37   	  3.97   	  45.78		 54.02   	 -40.69		
-113.53   	 57.07   	  4.15   	   0.00		 53.86   	 -35.61		
-110.78   	 55.24   	  4.15   	 -45.78		 53.71   	 -40.69		
-107.42   	 53.71   	  3.97   	 -91.56		 53.55   	 -40.69		
-105.29   	 52.49   	  3.60   	-122.07		 53.39   	 -35.61		
-104.68   	 52.19   	  3.11   	-116.99		 53.24   	 -35.61		
-104.68   	 52.49   	  2.64   	 -71.21		 53.10   	 -35.61		
-104.98   	 52.80   	  2.36   	 -10.17		 52.96   	 -35.61		
-104.68   	 52.19   	  2.32   	  30.52		 52.82   	 -30.52		
-104.06   	 51.88   	  2.44   	  40.69		 52.70   	 -40.69		
-103.15   	 51.57   	  2.60   	  50.86		 52.53   	 -35.61		
-102.23   	 50.96   	  2.81   	  50.86		 52.39   	 -35.61		
-101.93   	 50.96   	  3.01   	  40.69		 52.25   	 -40.69		
-102.23   	 50.96   	  3.17   	  20.35		 52.09   	 -35.61		
-103.45   	 51.57   	  3.26   	 -10.17		 51.94   	 -40.69		
-104.37   	 52.19   	  3.21   	 -25.43		 51.78   	 -40.69		
-104.37   	 52.19   	  3.11   	 -25.43		 51.62   	 -35.61		
-102.84   	 51.27   	  3.01   	 -20.35		 51.47   	 -40.69		
-98.88   	 49.44   	  2.93   	   0.00		 51.31   	 -35.61		
-94.91   	 47.61   	  2.93   	  10.17		 51.17   	 -35.61		
-93.08   	 46.39   	  2.97   	  20.35		 51.03   	 -35.61		
-93.99   	 47.00   	  3.05   	  15.26		 50.88   	 -35.61		
-94.91   	 47.30   	  3.11   	   5.09		 50.74   	 -35.61		
-90.64   	 45.17   	  3.13   	  15.26		 50.60   	 -30.52		
-76.60   	 38.15   	  3.19   	  10.17		 50.48   	 -35.61		
-54.93   	 27.77   	  3.23   	  10.17		 50.34   	 -35.61		
-34.18   	 17.40   	  3.28   	  10.17		 50.19   	 -30.52		
-23.19   	 11.60   	  3.32   	  10.17		 50.07   	 -35.61		
-22.28   	 10.99   	  3.36   	  10.17		 49.93   	 -35.61		
-23.80   	 11.90   	  3.40   	  -5.09		 49.79   	 -35.61		
-18.62   	  9.16   	  3.38   	 -10.17		 49.64   	 -30.52		
  0.00   	  0.00   	  3.34   	 -20.35		 49.52   	 -35.61		
 31.13   	-15.56   	  3.26   	 -40.69		 49.38   	 -35.61		
 72.94   	-36.32   	  3.09   	 -50.86		 49.24   	 -35.61		
128.17   	-63.78   	  2.89   	 -30.52		 49.09   	 -35.61		
205.69   	-102.54   	  2.77   	  10.17		 48.95   	 -35.61		
322.57   	-161.13   	  2.81   	  35.61		 48.81   	 -30.52		
499.57   	-249.63   	  2.95   	  35.61		 48.69   	 -35.61		
742.49   	-371.09   	  3.09   	  40.69		 48.55   	 -30.52		
1011.66   	-505.98   	  3.26   	 122.07		 48.42   	 -35.61		
1259.77(R)	-629.88   	  3.74   	  91.56		 48.28   	 -35.61		
1083.68   	-541.38   	  4.11   	 101.73		 48.14   	 -30.52		
723.27   	-361.02   	  4.52   	  96.64		 48.02   	 -35.61		
297.55   	-148.01   	  4.90   	  76.30		 47.87   	 -30.52		
-59.81   	 30.52   	  5.21   	  20.35		 47.75   	 -35.61		
-268.86   	134.58   	  5.29   	 -25.43		 47.61   	 -30.52		
-330.81   	165.71   	  5.19   	 -61.04		 47.49   	 -35.61		
-305.79   	152.89   	  4.94(E)	 -20.35		 47.34   	 -30.52		
-273.74   	136.72   	  4.86   	  25.43		 47.22   	 -35.61		
-289.61   	144.65   	  4.96   	  55.95		 47.08   	 -30.52		
-356.45   	178.22   	  5.19   	 147.51		 46.96   	 -30.52		
-432.43   	216.06   	  5.78   	 295.01		 46.84   	 -35.61		
-462.95   	231.63   	  6.96   	 447.61		 46.69   	 -30.52		
-413.21   	206.91   	  8.75   	 574.77		 46.57   	 -35.61		
-292.97   	146.48   	 11.05   	 656.15		 46.43   	 -30.52		
-152.89   	 76.29   	 13.67   	 727.36		 46.31   	 -35.61		
-49.74   	 24.72   	 16.58   	 762.97		 46.16   	 -30.52		
 -9.46   	  4.58   	 19.63   	 742.62		 46.04   	 -30.52		
-19.23   	  9.46   	 22.60   	 701.93		 45.92   	 -30.52		
-44.86   	 22.28   	 25.41   	 635.81		 45.80   	 -30.52		
-57.98   	 28.99   	 27.96   	 635.81		 45.68   	 -25.43		
-50.66   	 25.33   	 30.50   	1103.76		 45.57   	 -30.52		
-32.96   	 16.48   	 34.91   	1678.53		 45.45   	 -25.43		
-20.75   	 10.38   	 41.63   	1495.42		 45.35   	 -25.43		
-20.45   	 10.07   	 47.61   	1851.47		 45.25   	 -25.43		
-36.01   	 18.01   	 55.02   	 523.90		 45.15   	 -25.43		
-38.15   	 18.92   	 57.11   	 223.80		 45.05   	 -25.43		
-34.18   	 17.09   	 58.01   	 111.90		 44.94   	 -25.43		
-27.47   	 13.73   	 58.45   	  86.47		 44.84   	 -25.43		
-21.67   	 10.68   	 58.80   	 142.42		 44.74   	 -30.52		
-18.31   	  9.16   	 59.37   	 172.94		 44.62   	 -25.43		
-17.40   	  8.54   	 60.06   	 244.15		 44.52   	 -30.52		
-17.09   	  8.85   	 61.04   	 462.87		 44.39   	 -20.35		
-16.17   	  8.24   	 62.89   	 691.76		 44.31   	 -25.43		
-13.73   	  7.02   	 65.66   	 717.19		 44.21   	 -20.35		
 -9.77   	  5.19   	 68.52   	 707.02		 44.13   	 -20.35		
 -5.19   	  2.75   	 71.35   	 859.61		 44.05   	 -20.35		
 -1.22   	  0.61   	 74.79   	 920.65		 43.97   	 -15.26		
  1.22   	 -0.31   	 78.47   	 717.19		 43.91   	 -15.26		
  2.44   	 -0.92   	 81.34   	 401.83		 43.85   	 -15.26		
  4.58   	 -1.83   	 82.95   	 132.25		 43.78   	 -15.26		
  9.46   	 -4.58   	 83.48   	-122.07		 43.72   	 -15.26		
 17.40   	 -8.54   	 82.99   	-381.48		 43.66   	 -25.43		
 27.77   	-13.73   	 81.46   	-554.42		 43.56   	 -20.35		
 37.84   	-18.62   	 79.25   	-666.32		 43.48   	 -25.43		
 44.86   	-21.97   	 76.58   	-661.24		 43.38   	 -30.52		
 47.91   	-23.80   	 73.94   	-549.34		 43.26   	 -30.52		
 47.30   	-23.50   	 71.74   	-340.79		 43.13   	 -35.61		
 45.17   	-22.58   	 70.38   	 -40.69		 42.99   	 -30.52		
 43.64   	-21.67   	 70.21   	 233.98		 42.87   	 -30.52		
 45.47   	-22.28   	 71.15   	 442.52		 42.75   	 -30.52		
 50.96   	-25.02   	 72.92   	 630.72		 42.62   	 -20.35		
 59.51   	-29.30   	 75.44   	 757.88		 42.54(D)	   0.00		
 69.89   	-34.48   	 78.47   	 808.75		 42.54   	  50.86		
 80.26   	-39.67   	 81.71   	 798.57		 42.75   	 157.68		
 89.42   	-44.56   	 84.90   	 747.71		 43.38   	 310.27		
 97.05   	-48.52   	 87.89   	 666.32		 44.62   	 483.21		
104.06   	-51.88   	 90.56   	 600.20		 46.55   	 630.72		
112.92   	-56.15   	 92.96   	 539.16		 49.07   	 732.45		
125.43   	-62.26   	 95.12   	 503.56		 52.00   	 773.14		
141.60   	-70.50   	 97.13   	 513.73		 55.10   	 747.71		
160.52   	-79.96   	 99.19   	 523.90		 58.09   	 671.41		
180.66   	-90.03   	101.28   	 498.47		 60.77   	 549.34		
201.11   	-100.40   	103.28   	 381.48		 62.97   	 406.92		
222.47   	-111.08   	104.80   	 213.63		 64.60   	 274.67		
245.67   	-122.38   	105.66   	  50.86		 65.70   	 178.03		
270.39   	-134.89   	105.86(S)	 -91.56		 66.41   	 111.90		
295.41   	-147.40   	105.49   	-183.11		 66.86   	  91.56		
317.69   	-158.39   	104.76   	-188.20		 67.22   	 111.90		
335.69   	-167.54   	104.01   	-218.72		 67.67   	 167.85		
349.12   	-174.26   	103.13   	-244.15		 68.34   	 239.06		
359.80   	-179.75   	102.16   	-193.29		 69.30   	 330.62		
368.65   	-184.33   	101.38   	-106.82		 70.62   	 422.18		
375.06   	-187.38   	100.96   	 -71.21		 72.31   	 503.56		
376.89   	-188.29   	100.67   	 -20.35		 74.32   	 554.42		
371.70   	-185.85   	100.59   	  30.52		 76.54   	 574.77		
357.36   	-178.53   	100.71   	  25.43		 78.84   	 569.68		
334.78   	-166.93   	100.81   	  30.52		 81.12   	 528.99		
305.79   	-152.59   	100.94   	  15.26		 83.23   	 473.04		
272.83   	-136.11   	101.00   	 -50.86		 85.13   	 417.09		
238.65   	-119.02   	100.79   	-122.07		 86.80   	 350.97		
205.38   	-102.54   	100.30   	-183.11		 88.20   	 305.19		
173.95   	-86.98   	 99.57   	-249.24		 89.42   	 269.58		
144.65   	-72.33   	 98.58   	-376.40		 90.50   	 249.24		
116.88   	-58.29   	 97.07   	-473.04		 91.50   	 228.89		
 90.64   	-44.86   	 95.18   	-549.34		 92.41   	 239.06		
 66.53   	-32.96   	 92.98   	-625.63		 93.37   	 264.50		
 46.39   	-22.89   	 90.48   	-691.76		 94.42   	 274.67		
 31.43   	-15.26   	 87.71   	-701.93		 95.52   	 279.75		
 21.67   	-10.38   	 84.90   	-712.10		 96.64   	 244.15		
 14.65   	 -7.32   	 82.05   	-737.54		 97.62   	 203.46		
  8.24   	 -3.97   	 79.10   	-747.71		 98.43   	 137.33		
  0.61   	 -0.31   	 76.11   	-813.83		 98.98   	  81.38		
 -7.93   	  3.97   	 72.86   	-910.47		 99.31   	  10.17		
-14.95   	  7.63   	 69.22   	-935.91		 99.35(S)	 -45.78		
-18.62   	  9.46   	 65.47   	-1012.20		 99.17   	 -86.47		
-19.23   	  9.77   	 61.42   	-1113.93		 98.82   	-116.99		
-18.31   	  9.16   	 56.97   	-1195.32		 98.35   	-132.25		
-17.09   	  8.54   	 52.19   	-1317.39		 97.82   	-142.42		
-17.09   	  8.54   	 46.92   	-1230.92		 97.25   	-152.59		
-17.40   	  8.54   	 41.99   	-1002.03		 96.64   	-147.51		
-16.78   	  8.54   	 37.99   	-905.39		 96.05   	-157.68		
-14.34   	  7.63   	 34.36   	-839.26		 95.42   	-162.77		
-11.60   	  6.41   	 31.01   	-727.36		 94.77   	-178.03		
 -9.46   	  4.88   	 28.10   	-584.94		 94.06   	-193.29		
 -9.46   	  4.58   	 25.76   	-406.92		 93.29   	-203.46		
-11.60   	  5.80   	 24.13   	-218.72		 92.47   	-213.63		
-15.56   	  7.63   	 23.26   	-106.82		 91.62   	-218.72		
-19.23   	  9.46   	 22.83   	-127.16		 90.74   	-213.63		
-21.36   	 10.99   	 22.32   	-198.37		 89.89   	-213.63		
-21.97   	 11.29   	 21.53   	-284.84		 89.03   	-208.54		
-22.58   	 11.29   	 20.39   	-401.83		 88.20   	-198.37		
-25.94   	 12.82   	 18.78   	-513.73		 87.41   	-198.37		
-32.35   	 16.17   	 16.72   	-600.20		 86.61   	-188.20		
-39.98   	 19.84   	 14.32   	-656.15		 85.86   	-188.20		
-46.39   	 23.19   	 11.70   	-696.84		 85.11   	-188.20		
-49.74   	 24.72   	  8.91   	-707.02		 84.35   	-188.20		
-50.96   	 25.63   	  6.08   	-666.32		 83.60   	-188.20		
-52.49   	 26.55   	  3.42   	-605.29		 82.85   	-198.37		
-55.54   	 28.08   	  1.00   	-523.90		 82.05   	-193.29		
-59.51   	 29.91   	 -1.10   	-447.61		 81.28   	-198.37		
-63.17   	 31.74   	 -2.89   	-350.97		 80.49   	-193.29		
-66.22   	 33.26   	 -4.29   	-218.72		 79.71   	-183.11		
-67.75   	 34.18   	 -5.17   	 -55.95		 78.98   	-183.11		
-68.66   	 34.48   	 -5.39   	  55.95		 78.25   	-167.85		
-68.66   	 34.48   	 -5.17   	  81.38		 77.58   	-162.77		
-67.75   	 33.87   	 -4.84   	 101.73		 76.93   	-152.59		
-66.83   	 33.26   	 -4.44   	 152.59		 76.32   	-147.51		
-66.53   	 33.57   	 -3.83   	 198.37		 75.73   	-142.42		
-68.36   	 34.48   	 -3.03   	 137.33		 75.16   	-142.42		
-71.11   	 35.71   	 -2.48   	 -15.26		 74.59   	-147.51		
-71.72   	 36.01   	 -2.54   	-106.82		 74.00   	-147.51		
-68.97   	 34.48   	 -2.97   	-106.82		 73.41   	-152.59		
-61.04   	 30.52   	 -3.40   	-340.79		 72.80   	-152.59		
-47.30   	 23.50   	 -4.76   	-940.99		 72.19   	-152.59		
-24.11   	 11.90   	 -8.52   	-1068.15		 71.58   	-152.59		
 21.67   	-10.68   	-12.80   	-488.30		 70.97   	-152.59		
111.39   	-55.54   	-14.75   	-122.07		 70.36   	-152.59		
257.87   	-128.78   	-15.24(D)	  61.04		 69.75   	-142.42		
453.49   	-226.75   	-14.99   	 361.14		 69.18   	-137.33		
663.15   	-331.42   	-13.55   	 549.34		 68.63   	-132.25		
827.03   	-413.51   	-11.35   	 605.29		 68.10   	-127.16		
884.70(R)	-442.20   	 -8.93   	 656.15		 67.59   	-122.07		
804.75   	-402.22   	 -6.31   	 681.58		 67.10   	-111.90		
596.92   	-298.16   	 -3.58   	 651.07		 66.65   	-106.82		
305.79   	-152.59   	 -0.98   	 554.42		 66.23   	-101.73		
 -7.02   	  3.66   	  1.24   	 422.18		 65.82   	-101.73		
-280.76   	140.69   	  2.93   	 295.01		 65.41   	 -96.64		
-465.39   	232.54   	  4.11   	 147.51		 65.03   	 -91.56		
-530.70   	265.20   	  4.70   	 -10.17		 64.66   	 -86.47		
-477.60   	238.65   	  4.66   	-122.07		 64.31   	 -86.47		
-349.12   	174.56   	  4.17   	-152.59		 63.97   	 -81.38		
-215.45   	107.73   	  3.56   	-137.33		 63.64   	 -81.38		
-143.43   	 71.72   	  3.01   	-142.42		 63.32   	 -76.30		
-157.47   	 79.04   	  2.44   	-142.42		 63.01   	 -71.21		
-231.02   	115.66   	  1.87   	 -71.21		 62.73   	 -71.21		
-317.38   	158.69   	  1.59   	  20.35		 62.44   	 -66.12		
-388.79   	194.40   	  1.67   	 106.82		 62.18   	 -66.12		
-445.25   	222.47   	  2.10   	 137.33		 61.91   	 -61.04		
-498.35   	249.02   	  2.64   	 193.29		 61.67   	 -61.04		
-548.71   	274.35   	  3.42   	 391.66		 61.42   	 -55.95		
-577.70   	288.70   	  4.98   	 656.15		 61.20   	 -55.95		
-563.66   	281.68   	  7.61   	 717.19		 60.98   	 -55.95		
-500.79   	250.24   	 10.48   	 528.99		 60.75   	 -55.95		
-404.97   	202.33   	 12.59   	 371.31		 60.53   	 -55.95		
-304.87   	152.28   	 14.08   	 640.89		 60.30   	 -55.95		
-224.00   	112.00   	 16.64   	1185.14		 60.08   	 -55.95		
-171.51   	 85.75   	 21.38   	1230.92		 59.86   	 -50.86		
-140.99   	 70.50   	 26.31   	1022.38		 59.65   	 -50.86		
-119.63   	 59.81   	 30.40   	1124.11		 59.45   	 -50.86		
-96.74   	 48.22   	 34.89   	1164.80		 59.25   	 -50.86		
-69.58   	 34.79   	 39.55   	 895.22		 59.04   	 -45.78		
-44.25   	 21.97   	 43.13   	 686.67		 58.86   	 -40.69		
-25.94   	 12.82   	 45.88   	 574.77		 58.70   	 -45.78		
-16.48   	  8.24   	 48.18   	 406.92		 58.51   	 -40.69		
-12.21   	  6.10   	 49.81   	 218.72		 58.35   	 -40.69		
 -7.93   	  3.97   	 50.68   	 101.73		 58.19   	 -40.69		
 -2.44   	  1.22   	 51.09   	 157.68		 58.03   	 -40.69		
  3.66   	 -1.83   	 51.72   	 269.58		 57.86   	 -40.69		
  9.16   	 -4.58   	 52.80   	 305.19		 57.70   	 -35.61		
 12.82   	 -6.41   	 54.02   	 508.65		 57.56   	 -40.69		
 15.56   	 -7.63   	 56.05   	 874.87		 57.40   	 -40.69		
 18.31   	 -9.16   	 59.55   	1093.59		 57.23   	 -35.61		
 21.97   	-10.99   	 63.93   	1210.58		 57.09   	 -40.69		
 26.55   	-13.12   	 68.77   	1251.27		 56.93   	 -40.69		
 31.13   	-15.56   	 73.77   	1164.80		 56.76   	 -40.69		
 36.01   	-18.01   	 78.43   	1022.38		 56.60   	 -45.78		
 40.89   	-20.45   	 82.52   	 793.49		 56.42   	 -40.69		
 46.08   	-22.89   	 85.70   	 462.87		 56.26   	 -40.69		
 51.57   	-25.63   	 87.55   	 137.33		 56.09   	 -40.69		
 58.59   	-28.99   	 88.10(S)	-178.03		 55.93   	 -40.69		
 66.83   	-32.96   	 87.39   	-457.78		 55.77   	 -35.61		
 75.07   	-37.23   	 85.55   	-640.89		 55.63   	 -40.69		
 82.40   	-41.20   	 82.99   	-727.36		 55.46   	 -35.61		
 88.81   	-44.25   	 80.08   	-732.45		 55.32   	 -30.52		
 95.21   	-47.61   	 77.15   	-620.55		 55.20   	 -35.61		
103.45   	-51.88   	 74.67   	-462.87		 55.06   	 -30.52		
113.83   	-57.07   	 72.82   	-274.67		 54.93   	 -35.61		
126.04   	-62.87   	 71.72   	 -50.86		 54.79   	 -30.52		
138.55   	-69.27   	 71.52   	 127.16		 54.67   	 -25.43		
150.45   	-75.07   	 72.02   	 228.89		 54.57   	 -30.52		
162.66   	-81.18   	 72.94   	 274.67		 54.45   	 -25.43		
176.09   	-87.89   	 74.04   	 310.27		 54.34   	 -20.35		
191.35   	-95.52   	 75.28   	 330.62		 54.26   	 -25.43		
209.35   	-104.68   	 76.60   	 295.01		 54.16   	 -25.43		
230.10   	-115.05   	 77.78   	 264.50		 54.06   	 -20.35		
253.30   	-126.65   	 78.84   	 233.98		 53.98   	 -20.35		
278.32   	-139.16   	 79.78   	 203.46		 53.90   	 -20.35		
303.96   	-151.98   	 80.59   	 193.29		 53.81   	 -25.43		
328.67   	-164.18   	 81.36   	 172.94		 53.71   	 -25.43		
350.95   	-175.17   	 82.05   	  91.56		 53.61   	 -25.43		
370.18   	-184.94   	 82.42   	   0.00		 53.51   	 -25.43		
385.13   	-192.57   	 82.42   	 -50.86		 53.41   	 -20.35		
395.81   	-197.75   	 82.22   	-101.73		 53.33   	 -20.35		
403.75   	-201.72   	 81.81   	-198.37		 53.24   	 -10.17		
410.16   	-205.08   	 81.02   	-274.67		 53.20   	 -10.17		
415.95   	-207.82   	 79.92   	-289.93		 53.16(D)	   0.00		
420.53   	-210.27   	 78.76   	-310.27		 53.16   	  15.26		
422.36   	-211.18   	 77.52   	-356.05		 53.22   	  35.61		
419.92   	-209.96   	 76.09   	-386.57		 53.37   	  66.12		
412.60   	-206.30   	 74.55   	-417.09		 53.63   	  96.64		
400.70   	-200.20   	 72.88   	-432.35		 54.02   	 152.59		
384.83   	-192.26   	 71.15   	-412.00		 54.63   	 203.46		
366.52   	-183.11   	 69.50   	-432.35		 55.44   	 264.50		
347.90   	-173.95   	 67.77   	-437.43		 56.50   	 310.27		
332.03   	-166.02   	 66.02   	-432.35		 57.74   	 350.97		
319.21   	-159.61   	 64.29   	-452.69		 59.15   	 366.22		
307.62   	-153.81   	 62.48   	-483.21		 60.61   	 366.22		
292.05   	-145.87   	 60.55   	-508.65		 62.08   	 356.05		
266.72   	-133.36   	 58.51   	-528.99		 63.50   	 320.45		
229.49   	-114.75   	 56.40   	-508.65		 64.78   	 295.01		
184.63   	-92.16   	 54.36   	-478.13		 65.96   	 254.32		
138.85   	-69.27   	 52.45   	-462.87		 66.98   	 218.72		
 97.05   	-48.22   	 50.60   	-437.43		 67.85   	 203.46		
 60.42   	-29.91   	 48.85   	-437.43		 68.67   	 193.29		
 27.77   	-13.73   	 47.10   	-447.61		 69.44   	 198.37		
 -4.27   	  2.14   	 45.31   	-442.52		 70.23   	 208.54		
-38.15   	 18.92   	 43.54   	-437.43		 71.07   	 233.98		
-73.24   	 36.62   	 41.79   	-442.52		 72.00   	 259.41		
-108.03   	 54.02   	 40.02   	-462.87		 73.04   	 284.84		
-138.55   	 69.27   	 38.17   	-473.04		 74.18   	 300.10		
-160.83   	 80.26   	 36.28   	-493.39		 75.38   	 310.27		
-172.12   	 86.06   	 34.30   	-528.99		 76.62   	 305.19		
-172.73   	 86.36   	 32.19   	-539.16		 77.84   	 295.01		
-168.15   	 84.23   	 30.03   	-579.86		 79.02   	 269.58		
-164.18   	 82.40   	 27.71   	-620.55		 80.10   	 254.32		
-163.88   	 82.09   	 25.23   	-615.46		 81.12   	 223.80		
-166.32   	 83.31   	 22.77   	-473.04		 82.01   	 198.37		
-169.37   	 84.84   	 20.87   	-381.48		 82.81   	 178.03		
-169.98   	 84.84   	 19.35   	-518.82		 83.52   	 157.68		
-169.37   	 84.53   	 17.27   	-488.30		 84.15   	 137.33		
-168.46   	 84.23   	 15.32   	-223.80		 84.70   	 122.07		
-168.46   	 84.23   	 14.43   	-157.68		 85.19   	 111.90		
-168.76   	 84.53   	 13.79   	-147.51		 85.64   	  91.56		
-168.76   	 84.53   	 13.20   	 -66.12		 86.00   	  76.30		
-167.54   	 83.92   	 12.94   	 -71.21		 86.31   	  61.04		
-166.02   	 83.31   	 12.66   	-167.85		 86.55   	  30.52		
-165.41   	 83.01   	 11.98   	-213.63		 86.67   	  15.26		
-165.10   	 82.70   	 11.13   	-264.50		 86.73   	 -15.26		
-164.79   	 82.70   	 10.07   	-315.36		 86.67   	 -35.61		
-164.18   	 82.40   	  8.81   	-325.53		 86.53   	 -55.95		
-163.88   	 82.09   	  7.51   	-305.19		 86.31   	 -81.38		
-164.18   	 82.09   	  6.29   	-259.41		 85.98   	 -91.56		
-166.02   	 83.01   	  5.25   	-223.80		 85.62   	-111.90		
-168.76   	 84.53   	  4.35   	-178.03		 85.17   	-116.99		
-170.59   	 85.45   	  3.64   	-122.07		 84.70   	-132.25		
-171.20   	 85.75   	  3.15   	 -45.78		 84.17   	-152.59		
-170.90   	 85.75   	  2.97   	   5.09		 83.56   	-167.85		
-172.42   	 86.06   	  2.99   	   5.09		 82.89   	-188.20		
-177.92   	 88.81   	  3.01   	 -15.26		 82.14   	-198.37		
-187.07   	 93.38   	  2.95   	  10.17		 81.34   	-213.63		
-194.09   	 97.05   	  2.99   	  50.86		 80.49   	-218.72		
-188.29   	 93.99   	  3.19   	  86.47		 79.61   	-218.72		
-154.42   	 77.21   	  3.54   	  96.64		 78.74   	-218.72		
-76.90   	 38.45   	  3.93   	  55.95		 77.86   	-213.63		
 62.26   	-31.13   	  4.15   	   0.00		 77.01   	-203.46		
274.35   	-137.02   	  4.15   	 -20.35		 76.20   	-193.29		
545.65   	-272.83   	  4.07   	 -15.26		 75.42   	-178.03		
816.96   	-408.02   	  4.01   	  15.26		 74.71   	-178.03		
1015.32(R)	-506.90   	  4.07(E)	  45.78		 74.00   	-152.59		
835.57   	-417.18   	  4.25   	  71.21		 73.39   	-142.42		
517.27   	-258.18   	  4.54   	  81.38		 72.82   	-132.25		
173.95   	-86.67   	  4.86   	  81.38		 72.29   	-116.99		
