SAMPLE NUMBER:   21
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  aR     	  RV     	  RV'		  RFA     	  RFA'		
-119.02   	 59.20   	 60.59   	-1063.07		102.58   	  15.26		
-120.24   	 60.12   	 56.34   	-1180.06		102.64(S)	 -35.61		
-121.15   	 60.42   	 51.62   	-1286.87		102.50   	 -71.21		
-122.07   	 61.04   	 46.47   	-1353.00		102.22   	-101.73		
-122.38   	 61.04   	 41.06   	-1159.71		101.81   	-127.16		
-122.68   	 61.34   	 36.42   	-879.96		101.30   	-147.51		
-122.07   	 61.04   	 32.90   	-778.23		100.71   	-157.68		
-120.24   	 60.12   	 29.79   	-701.93		100.08   	-157.68		
-117.49   	 58.90   	 26.98   	-590.03		 99.45   	-152.59		
-113.83   	 57.07   	 24.62   	-508.65		 98.84   	-137.33		
-110.78   	 55.54   	 22.58   	-437.43		 98.29   	-127.16		
-109.56   	 54.63   	 20.83   	-361.14		 97.78   	-127.16		
-110.17   	 54.93   	 19.39   	-310.27		 97.27   	-132.25		
-112.61   	 56.15   	 18.15   	-269.58		 96.74   	-147.51		
-115.97   	 57.98   	 17.07   	-193.29		 96.15   	-167.85		
-119.63   	 59.51   	 16.30   	-116.99		 95.48   	-188.20		
-125.12   	 62.26   	 15.83   	 -91.56		 94.73   	-208.54		
-136.11   	 67.75   	 15.46   	-152.59		 93.90   	-218.72		
-156.86   	 78.13   	 14.85   	-244.15		 93.02   	-223.80		
-187.68   	 93.38   	 13.88   	-284.84		 92.13   	-223.80		
-216.06   	107.73   	 12.74   	-345.88		 91.23   	-218.72		
-220.03   	109.56   	 11.35   	-396.74		 90.36   	-218.72		
-187.99   	 93.69   	  9.77   	-396.74		 89.48   	-213.63		
-136.72   	 68.05   	  8.18   	-386.57		 88.63   	-203.46		
-116.27   	 57.68   	  6.63   	-356.05		 87.81   	-203.46		
-184.33   	 91.86   	  5.21   	-310.27		 87.00   	-198.37		
-360.11   	179.75   	  3.97   	-249.24		 86.21   	-203.46		
-611.27   	305.18   	  2.97   	-178.03		 85.39   	-203.46		
-876.77   	437.93   	  2.26   	 -96.64		 84.58   	-208.54		
-1102.91   	551.15   	  1.87   	  -5.09		 83.74   	-213.63		
-1272.28   	635.68   	  1.85(E)	  76.30		 82.89   	-208.54		
-1394.04   	696.72   	  2.16   	 101.73		 82.05   	-208.54		
-1472.47   	735.78   	  2.56   	 111.90		 81.22   	-203.46		
-1497.80(R)	748.60   	  3.01   	  91.56		 80.41   	-198.37		
-1459.35   	729.37   	  3.38   	  40.69		 79.61   	-188.20		
-1369.02   	684.20   	  3.54   	 -40.69		 78.86   	-178.03		
-1259.16   	629.27   	  3.38   	 -76.30		 78.15   	-172.94		
-1164.86   	581.97   	  3.07   	-157.68		 77.46   	-162.77		
-1097.72   	548.40   	  2.44   	-498.47		 76.81   	-162.77		
-1037.60   	518.19   	  0.45   	-925.73		 76.15   	-152.59		
-951.23   	474.85   	 -3.26   	-722.28		 75.54   	-152.59		
-819.40   	408.94   	 -6.14   	-106.82		 74.93   	-152.59		
-654.60   	326.54   	 -6.57(D)	 208.54		 74.32   	-152.59		
-487.37   	243.23   	 -5.74   	 356.05		 73.71   	-147.51		
-343.02   	171.20   	 -4.31   	 559.51		 73.12   	-147.51		
-224.30   	111.69   	 -2.08   	 701.93		 72.53   	-147.51		
-116.88   	 57.98   	  0.73   	 752.79		 71.94   	-137.33		
 -5.49   	  2.44   	  3.74   	 783.31		 71.39   	-142.42		
108.34   	-54.32   	  6.88   	 808.75		 70.82   	-132.25		
206.60   	-103.45   	 10.11   	 773.14		 70.29   	-127.16		
270.39   	-135.50   	 13.20   	 666.32		 69.79   	-116.99		
295.72   	-147.71   	 15.87   	 498.47		 69.32   	-111.90		
295.72   	-147.71   	 17.86   	 330.62		 68.87   	-106.82		
290.22   	-144.96   	 19.19   	 193.29		 68.44   	-101.73		
294.19   	-147.09   	 19.96   	 -15.26		 68.04   	 -91.56		
309.45   	-154.72   	 19.90   	-223.80		 67.67   	 -91.56		
328.98   	-164.79   	 19.00   	-279.75		 67.30   	 -86.47		
344.54   	-172.42   	 17.88   	-228.89		 66.96   	 -76.30		
353.09   	-176.70   	 16.97   	 101.73		 66.65   	 -76.30		
357.97   	-178.83   	 17.38   	 645.98		 66.35   	 -76.30		
363.77   	-181.88   	 19.96   	 869.78		 66.04   	 -71.21		
372.62   	-186.16   	 23.44   	 981.68		 65.76   	 -66.12		
384.52   	-192.26   	 27.37   	1220.75		 65.49   	 -66.12		
397.03   	-198.67   	 32.25   	1144.45		 65.23   	 -61.04		
410.46   	-205.38   	 36.83   	 768.05		 64.98   	 -61.04		
425.11   	-212.40   	 39.90   	 498.47		 64.74   	 -61.04		
440.98   	-220.34   	 41.89   	 279.75		 64.50   	 -61.04		
