SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  DAO     	  DAO'		
 61.95   	282.59   	  7.18   	-295.01		 50.70   	-188.20		
 59.81   	277.71   	  6.00   	-279.75		 49.95   	-188.20		
 54.32   	259.09   	  4.88   	-254.32		 49.20   	-183.11		
 45.78   	223.69   	  3.87   	-213.63		 48.46   	-167.85		
 35.10   	171.20   	  3.01   	-167.85		 47.79   	-157.68		
 23.50   	108.03   	  2.34   	-127.16		 47.16   	-137.33		
 12.21   	 46.39   	  1.83   	 -91.56		 46.61   	-127.16		
  2.44   	 -2.44   	  1.46   	 -55.95		 46.10   	-116.99		
 -5.80   	-33.87   	  1.24   	 -30.52		 45.64   	-111.90		
-12.82   	-51.88   	  1.12   	 -15.26		 45.19   	-111.90		
-18.62   	-64.39   	  1.06   	 -25.43		 44.74   	-116.99		
-22.58   	-77.21   	  0.96   	 -30.52		 44.27   	-116.99		
-25.02   	-90.03   	  0.83   	 -45.78		 43.80   	-127.16		
-26.25   	-99.79   	  0.65   	 -71.21		 43.30   	-127.16		
-27.47   	-105.29   	  0.37   	 -81.38		 42.79   	-127.16		
-28.38   	-108.03   	  0.04   	 -76.30		 42.28   	-122.07		
-28.99   	-110.17   	 -0.26   	 -66.12		 41.79   	-116.99		
-29.60   	-113.83   	 -0.53   	 -55.95		 41.32   	-111.90		
-29.30   	-118.10   	 -0.75   	 -40.69		 40.87   	-101.73		
-28.99   	-120.54   	 -0.92   	 -25.43		 40.47   	 -96.64		
-29.91   	-115.97   	 -1.02   	 -10.17		 40.08   	 -91.56		
-33.26   	-99.79   	 -1.06(D)	   5.09		 39.72   	 -81.38		
-38.76   	-75.99   	 -1.04   	  20.35		 39.39   	 -86.47		
-40.89   	-58.59   	 -0.96   	  25.43		 39.04   	 -81.38		
-30.82   	-63.78   	 -0.85   	  50.86		 38.72   	 -81.38		
  0.31   	-97.96   	 -0.65   	  71.21		 38.39   	 -76.30		
 52.49   	-140.69   	 -0.37   	 101.73		 38.09   	 -71.21		
114.75   	-148.01   	  0.04   	 122.07		 37.80   	 -76.30		
162.05   	-85.75   	  0.53   	 193.29		 37.50   	 -71.21		
161.74   	 39.98   	  1.30   	 254.32		 37.21   	 -66.12		
 91.86   	175.78   	  2.32   	 239.06		 36.95   	 -76.30		
-216.06   	162.96   	  3.28   	 208.54		 36.64   	 -76.30		
-367.74   	-42.11   	  4.11   	 132.25		 36.34   	 -66.12		
-449.52   	-300.60   	  4.64   	  40.69		 36.07   	 -66.12		
-441.28   	-503.23   	  4.80   	 -10.17		 35.81   	 -66.12		
-359.80   	-564.27(R)	  4.76(E)	 -55.95		 35.54   	 -66.12		
-244.75   	-475.77   	  4.54   	 -91.56		 35.28   	 -61.04		
-137.63   	-306.70   	  4.17   	 -86.47		 35.04   	 -61.04		
-62.26   	-153.20   	  3.83   	 -66.12		 34.79   	 -61.04		
-22.28   	-75.99   	  3.56   	 -20.35		 34.55   	 -61.04		
 -8.24   	-76.60   	  3.48   	  50.86		 34.30   	 -50.86		
 -7.63   	-111.39   	  3.68   	 122.07		 34.10   	 -55.95		
-10.68   	-135.19   	  4.17   	 193.29		 33.88   	 -50.86		
-11.60   	-130.00   	  4.94   	 295.01		 33.67   	 -50.86		
 -8.85   	-106.20   	  6.12   	 406.92		 33.47   	 -50.86		
 -4.58   	-83.62   	  7.75   	 503.56		 33.27   	 -40.69		
 -1.22   	-71.11   	  9.77   	 544.25		 33.10   	 -45.78		
 -0.31   	-66.83   	 11.94   	 574.77		 32.92   	 -40.69		
 -0.31   	-64.09   	 14.24   	 625.63		 32.76   	 -40.69		
  0.00   	-57.37   	 16.74   	 651.07		 32.59   	 -45.78		
  1.53   	-47.30   	 19.35   	 661.24		 32.41   	 -45.78		
  3.66   	-35.71   	 21.99   	 671.41		 32.23   	 -45.78		
  5.80   	-25.63   	 24.68   	 681.58		 32.04   	 -50.86		
  7.63   	-18.01   	 27.41   	 671.41		 31.84   	 -45.78		
  8.85   	-12.21   	 30.09   	 635.81		 31.66   	 -45.78		
 10.07   	 -7.32   	 32.63   	 625.63		 31.47   	 -50.86		
