SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-97.05   	-200.50   	 61.59   	 -45.78		  9.03   	  15.26		
-63.78   	-79.35   	 61.40   	 -40.69		  9.09   	  20.35		
-26.25   	 43.03   	 61.24   	 -40.69		  9.18   	  25.43		
  6.10   	 93.69   	 61.08   	 -35.61		  9.28   	  25.43		
 24.11   	 65.00   	 60.94   	 -35.61		  9.38   	  35.61		
 25.94   	  6.10   	 60.79   	 -35.61		  9.52   	  35.61		
 19.23   	-30.21   	 60.65   	 -30.52		  9.66   	  35.61		
 14.04   	-28.08   	 60.53   	 -25.43		  9.81   	  30.52		
 15.26   	 -8.24   	 60.43   	 -25.43		  9.93   	  35.61		
 20.75   	  3.66   	 60.33   	 -20.35		 10.07   	  50.86		
 25.33   	 -1.53   	 60.24   	 -15.26		 10.27   	  91.56		
 26.25   	-18.62   	 60.18   	 -20.35		 10.64   	 162.77		
 24.41   	-36.93   	 60.10   	 -20.35		 11.29   	 254.32		
 22.28   	-48.52   	 60.02   	 -20.35		 12.31   	 361.14		
 21.67   	-50.96   	 59.94   	 -30.52		 13.75   	 437.43		
 21.97   	-46.69   	 59.82   	 -30.52		 15.50   	 498.47		
 22.58   	-39.98   	 59.69   	 -45.78		 17.50   	 595.11		
 26.25   	-25.02   	 59.51   	 -55.95		 19.88   	 595.11		
 32.04   	-11.29   	 59.29   	 -55.95		 22.26   	 584.94		
 41.50   	  8.54   	 59.06   	 -61.04		 24.60   	 595.11		
 51.88   	 29.60   	 58.82   	 -55.95		 26.98   	 610.37		
 59.51   	 45.17   	 58.60   	 -55.95		 29.42   	 615.46		
 61.34   	 50.96   	 58.37   	 -45.78		 31.88   	 615.46		
 59.20   	 49.13   	 58.19   	 -30.52		 34.34   	 595.11		
 57.07   	 45.78   	 58.07   	 -10.17		 36.72   	 559.51		
 57.68   	 45.47   	 58.03   	  20.35		 38.96   	 513.73		
 59.81   	 48.83   	 58.11   	  71.21		 41.02   	 457.78		
 59.81   	 51.88   	 58.39   	 137.33		 42.85   	 396.74		
 55.85   	 52.80   	 58.94   	 203.46		 44.44   	 345.88		
 50.35   	 51.57   	 59.76   	 279.75		 45.82   	 295.01		
 47.91   	 52.19   	 60.87   	 361.14		 47.00   	 249.24		
 51.27   	 57.07   	 62.32   	 422.18		 48.00   	 203.46		
 59.20   	 65.00   	 64.01   	 478.13		 48.81   	 147.51		
 66.83   	 71.72   	 65.92   	 518.82		 49.40   	  96.64		
 69.27   	 74.77   	 68.00   	 544.25		 49.79   	  50.86		
 66.53   	 74.46   	 70.17   	 549.34		 49.99   	   0.00		
 61.04   	 72.33   	 72.37   	 523.90		 49.99   	 -35.61		
 56.46   	 70.50   	 74.47   	 478.13		 49.85   	 -50.86		
 52.80   	 69.27   	 76.38   	 427.26		 49.64   	 -66.12		
 48.83   	 67.44   	 78.09   	 356.05		 49.38   	 -76.30		
 42.72   	 64.70   	 79.51   	 284.84		 49.07   	 -71.21		
