SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  FA     	  FA'		
 35.12   	 325.53		 52.59   	 -25.43		
 36.42   	 289.93		 52.49   	 -20.35		
 37.58   	 264.50		 52.41   	 -25.43		
 38.64   	 223.80		 52.31   	 -25.43		
 39.53   	 188.20		 52.21   	 -20.35		
 40.28   	 157.68		 52.13   	 -25.43		
 40.92   	 132.25		 52.02   	 -25.43		
 41.44   	  96.64		 51.92   	 -20.35		
 41.83   	  76.30		 51.84   	 -25.43		
 42.14   	  55.95		 51.74   	 -25.43		
 42.36   	  40.69		 51.64   	 -20.35		
 42.52   	  25.43		 51.56   	 -20.35		
 42.62   	  20.35		 51.47   	 -20.35		
 42.71   	  15.26		 51.39   	 -20.35		
 42.77   	  15.26		 51.31   	 -20.35		
 42.83   	  20.35		 51.23   	 -20.35		
 42.91   	  20.35		 51.15   	 -15.26		
 42.99   	  35.61		 51.09   	 -15.26		
 43.13   	  45.78		 51.03   	 -10.17		
 43.32   	  55.95		 50.99(D)	   0.00		
 43.54   	  66.12		 50.99   	   5.09		
 43.80   	  86.47		 51.01   	  25.43		
 44.15   	 101.73		 51.11   	  40.69		
 44.56   	 116.99		 51.27   	  66.12		
 45.03   	 127.16		 51.54   	  91.56		
 45.53   	 142.42		 51.90   	 111.90		
 46.10   	 147.51		 52.35   	 142.42		
 46.69   	 157.68		 52.92   	 167.85		
 47.32   	 167.85		 53.59   	 193.29		
 48.00   	 167.85		 54.36   	 218.72		
 48.67   	 152.59		 55.24   	 239.06		
 49.28   	 162.77		 56.20   	 259.41		
 49.93   	 157.68		 57.23   	 274.67		
 50.56   	 137.33		 58.33   	 289.93		
 51.11   	 127.16		 59.49   	 300.10		
 51.62   	 132.25		 60.69   	 310.27		
 52.15   	 111.90		 61.93   	 315.36		
 52.59   	  96.64		 63.19   	 315.36		
 52.98   	  91.56		 64.46   	 315.36		
 53.35   	  81.38		 65.72   	 310.27		
 53.67   	  61.04		 66.96   	 305.19		
 53.92   	  55.95		 68.18   	 300.10		
 54.14   	  50.86		 69.38   	 295.01		
 54.34   	  35.61		 70.56   	 284.84		
 54.49   	  25.43		 71.70   	 274.67		
 54.59   	  15.26		 72.80   	 269.58		
 54.65   	   5.09		 73.88   	 264.50		
 54.67   	   5.09		 74.93   	 259.41		
 54.69(S)	  -5.09		 75.97   	 249.24		
 54.67   	 -10.17		 76.97   	 249.24		
 54.63   	 -15.26		 77.97   	 244.15		
 54.57   	 -20.35		 78.94   	 244.15		
 54.49   	 -30.52		 79.92   	 233.98		
 54.36   	 -35.61		 80.85   	 228.89		
 54.22   	 -40.69		 81.77   	 223.80		
 54.06   	 -55.95		 82.66   	 218.72		
 53.83   	 -61.04		 83.54   	 198.37		
 53.59   	 -76.30		 84.33   	 188.20		
 53.29   	 -91.56		 85.09   	 167.85		
 52.92   	-106.82		 85.76   	 142.42		
 52.49   	-132.25		 86.33   	 122.07		
 51.96   	-162.77		 86.82   	  91.56		
 51.31   	-188.20		 87.18   	  61.04		
 50.56   	-213.63		 87.43   	  30.52		
 49.70   	-244.15		 87.55(S)	   0.00		
 48.73   	-249.24		 87.55   	 -30.52		
 47.73   	-274.67		 87.43   	 -55.95		
 46.63   	-310.27		 87.20   	 -81.38		
 45.39   	-340.79		 86.88   	-106.82		
 44.03   	-381.48		 86.45   	-122.07		
 42.50   	-422.18		 85.96   	-137.33		
 40.81   	-452.69		 85.41   	-147.51		
 39.00   	-473.04		 84.82   	-157.68		
 37.11   	-483.21		 84.19   	-157.68		
 35.18   	-508.65		 83.56   	-162.77		
 33.14   	-528.99		 82.91   	-162.77		
 31.03   	-534.08		 82.26   	-157.68		
 28.89   	-539.16		 81.63   	-157.68		
 26.73   	-544.25		 81.00   	-157.68		
 24.56   	-534.08		 80.37   	-152.59		
 22.42   	-513.73		 79.76   	-152.59		
 20.37   	-503.56		 79.15   	-152.59		
 18.35   	-483.21		 78.53   	-152.59		
 16.42   	-452.69		 77.92   	-152.59		
 14.61   	-432.35		 77.31   	-152.59		
 12.88   	-406.92		 76.70   	-152.59		
 11.25   	-366.22		 76.09   	-152.59		
  9.79   	-335.71		 75.48   	-152.59		
  8.44   	-310.27		 74.87   	-152.59		
  7.20   	-274.67		 74.26   	-147.51		
  6.10   	-233.98		 73.67   	-142.42		
  5.17   	-208.54		 73.10   	-137.33		
  4.33   	-183.11		 72.55   	-132.25		
  3.60   	-152.59		 72.02   	-132.25		
  2.99   	-132.25		 71.50   	-122.07		
  2.46   	-122.07		 71.01   	-116.99		
  1.97   	-122.07		 70.54   	-116.99		
  1.49   	-111.90		 70.07   	-106.82		
  1.04   	 -71.21		 69.64   	-106.82		
  0.75   	 -66.12		 69.22   	 -96.64		
  0.49   	 -61.04		 68.83   	 -96.64		
  0.24   	 -35.61		 68.44   	 -91.56		
  0.10   	 -10.17		 68.08   	 -91.56		
  0.06(D)	  10.17		 67.71   	 -86.47		
  0.10   	  45.78		 67.36   	 -86.47		
  0.28   	  66.12		 67.02   	 -86.47		
  0.55   	  96.64		 66.67   	 -81.38		
  0.94   	 111.90		 66.35   	 -81.38		
  1.38   	 122.07		 66.02   	 -86.47		
  1.87   	 132.25		 65.68   	 -81.38		
  2.40   	 127.16		 65.35   	 -76.30		
  2.91   	 116.99		 65.05   	 -81.38		
  3.38   	 116.99		 64.72   	 -81.38		
  3.85   	 101.73		 64.39   	 -76.30		
  4.25   	  86.47		 64.09   	 -76.30		
  4.60   	  86.47		 63.78   	 -76.30		
  4.94   	  81.38		 63.48   	 -76.30		
  5.27   	  71.21		 63.17   	 -76.30		
  5.55   	  66.12		 62.87   	 -71.21		
  5.82   	  50.86		 62.58   	 -66.12		
  6.02   	  45.78		 62.32   	 -71.21		
  6.21   	  40.69		 62.03   	 -61.04		
  6.37   	  25.43		 61.79   	 -66.12		
  6.47   	  15.26		 61.53   	 -61.04		
  6.53   	  10.17		 61.28   	 -55.95		
  6.57   	  10.17		 61.06   	 -61.04		
  6.61   	   0.00		 60.81   	 -55.95		
  6.61   	   0.00		 60.59   	 -50.86		
  6.61   	  -5.09		 60.39   	 -50.86		
  6.59   	   0.00		 60.18   	 -50.86		
  6.59   	  -5.09		 59.98   	 -45.78		
  6.57   	 -15.26		 59.80   	 -45.78		
  6.51   	 -10.17		 59.61   	 -45.78		
  6.47   	 -15.26		 59.43   	 -45.78		
  6.41   	  -5.09		 59.25   	 -45.78		
  6.39   	   0.00		 59.06   	 -40.69		
  6.39   	   5.09		 58.90   	 -45.78		
  6.41   	  -5.09		 58.72   	 -45.78		
  6.39   	  15.26		 58.53   	 -40.69		
  6.45   	  35.61		 58.37   	 -45.78		
  6.59   	  10.17		 58.19   	 -40.69		
  6.63   	   5.09		 58.03   	 -40.69		
  6.65   	  30.52		 57.86   	 -40.69		
  6.78   	  25.43		 57.70   	 -40.69		
  6.88   	  10.17		 57.54   	 -40.69		
  6.92   	  66.12		 57.38   	 -45.78		
  7.18   	  25.43		 57.19   	 -40.69		
  7.28   	  20.35		 57.03   	 -45.78		
  7.37   	  30.52		 56.85   	 -40.69		
  7.49   	  30.52		 56.68   	 -40.69		
  7.61(E)	  30.52		 56.52   	 -35.61		
  7.73   	  30.52		 56.38   	 -40.69		
  7.85   	  25.43		 56.22   	 -35.61		
  7.96   	  35.61		 56.07   	 -35.61		
  8.10   	  35.61		 55.93   	 -35.61		
  8.24   	  30.52		 55.79   	 -35.61		
  8.36   	  25.43		 55.65   	 -35.61		
  8.46   	  30.52		 55.50   	 -35.61		
  8.59   	  45.78		 55.36   	 -35.61		
  8.77   	  61.04		 55.22   	 -35.61		
  9.01   	  55.95		 55.08   	 -30.52		
  9.24   	  66.12		 54.95   	 -35.61		
  9.50   	 106.82		 54.81   	 -30.52		
