SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RV     	  RV'		
176.39   	-15.56   	 40.04   	 574.77		 38.72   	  45.78		
187.99   	 -0.61   	 42.34   	 615.46		 38.90   	  35.61		
198.06   	 14.34   	 44.80   	 625.63		 39.04   	  35.61		
206.91   	 28.69   	 47.30   	 615.46		 39.19   	  25.43		
214.23   	 42.42   	 49.77   	 605.29		 39.29   	  25.43		
220.03   	 54.93   	 52.19   	 564.60		 39.39   	  25.43		
223.69   	 65.92   	 54.45   	 528.99		 39.49   	  35.61		
225.52   	 75.68   	 56.56   	 473.04		 39.63   	  35.61		
226.75   	 85.14   	 58.45   	 412.00		 39.78   	  30.52		
227.97   	 94.60   	 60.10   	 335.71		 39.90   	  35.61		
229.49   	102.84   	 61.44   	 269.58		 40.04   	  30.52		
230.71   	109.56   	 62.52   	 203.46		 40.16   	  30.52		
231.32   	114.14   	 63.34   	 142.42		 40.28   	  35.61		
231.32   	117.49   	 63.91   	  91.56		 40.43   	  25.43		
231.93   	120.24   	 64.27   	  50.86		 40.53   	  20.35		
234.07   	123.60   	 64.48   	  25.43		 40.61   	  20.35		
236.82   	126.95   	 64.58   	   0.00		 40.69   	   5.09		
238.65   	130.00   	 64.58   	 -25.43		 40.71   	 -10.17		
237.43   	132.75   	 64.48   	 -45.78		 40.67   	 -20.35		
231.63   	135.50   	 64.29   	 -55.95		 40.59   	 -40.69		
220.03   	138.24   	 64.07   	 -66.12		 40.43   	 -50.86		
202.03   	140.38   	 63.80   	 -66.12		 40.22   	 -71.21		
177.00   	140.69   	 63.54   	 -71.21		 39.94   	 -76.30		
146.48   	138.24   	 63.26   	 -71.21		 39.63   	 -91.56		
113.22   	132.45   	 62.97   	 -86.47		 39.27   	-106.82		
 79.96   	122.68   	 62.62   	 -96.64		 38.84   	-116.99		
 50.35   	109.25   	 62.24   	 -96.64		 38.37   	-132.25		
 26.25   	 92.16   	 61.85   	 -96.64		 37.84   	-137.33		
  7.93   	 73.55   	 61.46   	-111.90		 37.29   	-147.51		
 -5.19   	 55.85   	 61.02   	-116.99		 36.70   	-152.59		
-14.95   	 41.50   	 60.55   	-132.25		 36.09   	-167.85		
-23.19   	 29.91   	 60.02   	-132.25		 35.42   	-167.85		
-31.43   	 20.14   	 59.49   	-142.42		 34.75   	-183.11		
-39.06   	 10.68   	 58.92   	-147.51		 34.02   	-198.37		
-44.56   	  2.44   	 58.33   	-157.68		 33.22   	-223.80		
-47.30   	 -3.66   	 57.70   	-157.68		 32.33   	-249.24		
-47.91   	 -7.02   	 57.07   	-162.77		 31.33   	-295.01		
