SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  LRA     	  LRA'		
-742.49   	-804.75   	 54.83   	 193.29		101.02   	 -10.17		
-748.60   	-806.58   	 55.61   	 198.37		100.98   	 -10.17		
-743.41   	-797.42   	 56.40   	 183.11		100.94   	 -10.17		
-723.88   	-773.62   	 57.13   	 178.03		100.89   	   0.00		
-691.22   	-737.00   	 57.84   	 172.94		100.89   	 -15.26		
-647.58   	-691.22   	 58.53   	 178.03		100.83   	 -15.26		
-599.06   	-642.09   	 59.25   	 167.85		100.77   	 -10.17		
-554.81   	-599.06   	 59.92   	 162.77		100.73   	 -10.17		
-525.21   	-571.90   	 60.57   	 152.59		100.69   	  -5.09		
-517.88   	-568.85   	 61.18   	 137.33		100.67   	 -10.17		
-533.75   	-590.52   	 61.73   	 122.07		100.63   	 -15.26		
-561.52   	-625.00   	 62.22   	  86.47		100.57   	 -15.26		
-584.72   	-654.30   	 62.56   	  35.61		100.51   	  -5.09		
-592.04   	-665.59   	 62.71(S)	 -15.26		100.49   	 -10.17		
-581.67   	-656.13   	 62.64   	 -55.95		100.45   	 -15.26		
-564.88   	-637.51   	 62.42   	-127.16		100.39   	 -10.17		
-556.03   	-625.31   	 61.91   	-228.89		100.35   	   0.00		
-557.56   	-624.69   	 61.00   	-310.27		100.35   	  20.35		
-560.61   	-627.44   	 59.76   	-361.14		100.43   	  30.52		
-553.59   	-621.03   	 58.31   	-335.71		100.55   	  45.78		
-534.67   	-603.64   	 56.97   	-264.50		100.73   	  55.95		
-522.46   	-592.96   	 55.91   	-239.06		100.96   	 -20.35		
-550.84   	-622.86   	 54.95   	-213.63		100.87   	 -61.04		
-657.04   	-730.29   	 54.10   	-198.37		100.63   	 -40.69		
-859.38   	-933.23   	 53.31   	-203.46		100.47   	   0.00		
-1142.88   	-1215.21   	 52.49   	-213.63		100.47   	  40.69		
-1452.03   	-1520.69   	 51.64   	-172.94		100.63   	  45.78		
-1704.41   	-1766.05   	 50.95   	-147.51		100.81   	   5.09		
-1817.02   	-1869.81   	 50.36   	-157.68		100.83   	 -15.26		
-1742.86   	-1785.89   	 49.73   	-147.51		100.77   	   5.09		
-1497.19   	-1530.46   	 49.14   	-137.33		100.79   	  35.61		
-1154.17   	-1179.50   	 48.59   	-162.77		100.94   	  20.35		
-820.31   	-839.54   	 47.93   	-198.37		101.02   	   0.00		
-590.82   	-605.47   	 47.14   	-228.89		101.02   	  -5.09		
-511.78   	-521.85   	 46.23   	-254.32		101.00   	  -5.09		
-566.10   	-571.29   	 45.21   	-264.50		100.98   	 -15.26		
-686.95   	-686.65   	 44.15   	-320.45		100.92   	 -20.35		
