SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
177.00   	191.35   	 52.80   	 157.68		120.96   	  40.69		
175.78   	199.89   	 53.43   	 162.77		121.12   	  40.69		
172.12   	208.74   	 54.08   	 147.51		121.28   	  81.38		
165.41   	215.15   	 54.67   	 132.25		121.61   	 132.25		
153.81   	217.59   	 55.20   	 137.33		122.14   	 178.03		
137.94   	216.67   	 55.75   	 137.33		122.85   	 213.63		
118.10   	213.01   	 56.30   	 116.99		123.70   	 193.29		
 96.44   	207.82   	 56.76   	 106.82		124.48   	 101.73		
 74.46   	200.81   	 57.19   	  81.38		124.88(S)	   0.00		
 53.41   	189.82   	 57.52   	  55.95		124.88   	 -61.04		
 34.48   	173.65   	 57.74   	  40.69		124.64   	-111.90		
 17.70   	153.50   	 57.90   	  30.52		124.19   	-152.59		
  3.97   	130.62   	 58.03(S)	   0.00		123.58   	-127.16		
 -7.02   	107.12   	 58.03   	 -25.43		123.07   	 -76.30		
-15.26   	 84.53   	 57.92   	 -55.95		122.77   	 -35.61		
-21.67   	 63.48   	 57.70   	 -91.56		122.62   	 -66.12		
-27.47   	 44.25   	 57.33   	   0.00		122.36   	   0.00		
-27.47   	 44.25   	 57.33   	-254.32		122.36   	-228.89		
-36.62   	 14.65   	 56.32   	   0.00		121.44   	   0.00		
-36.62   	 14.65   	 56.32   	-371.31		121.44   	-223.80		
-41.50   	 -5.49   	 54.83   	   0.00		120.55   	   0.00		
-41.50   	 -5.49   	 54.83   	-528.99		120.55   	-406.92		
-42.11   	-18.62   	 52.72   	   0.00		118.92   	   0.00		
-42.11   	-18.62   	 52.72   	-681.58		118.92   	-376.40		
-42.11   	-25.94   	 49.99   	   0.00		117.42   	   0.00		
-42.11   	-25.94   	 49.99   	-895.22		117.42   	-345.88		
-41.50   	-28.08   	 46.41   	   0.00		116.03   	   0.00		
-41.50   	-28.08   	 46.41   	-1068.15		116.03   	-208.54		
-38.45   	-28.08   	 42.14   	-605.29		115.20   	-116.99		
-36.32   	-28.69   	 39.72   	-640.89		114.73   	-127.16		
-34.18   	-29.60   	 37.15   	-651.07		114.22   	-142.42		
-31.74   	-30.21   	 34.55   	-640.89		113.65   	-188.20		
-29.30   	-29.60   	 31.98   	-651.07		112.90   	-259.41		
-26.86   	-28.08   	 29.38   	-651.07		111.86   	-310.27		
-25.33   	-26.55   	 26.78   	-630.72		110.62   	-340.79		
-25.02   	-25.63   	 24.25   	-605.29		109.26   	-335.71		
-25.02   	-25.63   	 21.83   	-574.77		107.91   	-330.62		
-24.11   	-25.63   	 19.53   	-549.34		106.59   	-325.53		
-21.97   	-25.63   	 17.33   	-544.25		105.29   	-310.27		
-18.62   	-24.72   	 15.16   	-508.65		104.05   	-305.19		
-15.87   	-23.50   	 13.12   	-473.04		102.83   	-320.45		
-14.34   	-22.28   	 11.23   	-437.43		101.55   	-274.67		
-14.34   	-20.75   	  9.48   	-401.83		100.45   	-178.03		
-15.26   	-19.53   	  7.87   	-366.22		 99.74   	 -76.30		
-15.56   	-17.70   	  6.41   	-335.71		 99.43   	 -25.43		
-15.26   	-16.78   	  5.07   	-284.84		 99.33   	  10.17		
-14.04   	-16.78   	  3.93   	-213.63		 99.37   	  10.17		
-13.73   	-18.31   	  3.07   	-137.33		 99.41   	 -35.61		
-14.65   	-21.36   	  2.52   	 -61.04		 99.27   	-101.73		
-16.17   	-24.72   	  2.28   	  -5.09		 98.86   	-188.20		
-18.31   	-27.16   	  2.26(D)	  30.52		 98.11   	-223.80		
-19.84   	-28.38   	  2.38   	  71.21		 97.21   	-193.29		
-21.06   	-28.38   	  2.67   	 101.73		 96.44   	-162.77		
-21.97   	-28.69   	  3.07   	 122.07		 95.79   	-137.33		
-23.19   	-29.60   	  3.56   	 132.25		 95.24   	 -96.64		
-24.41   	-31.43   	  4.09   	 122.07		 94.85   	 -61.04		
-25.02   	-33.57   	  4.58   	 106.82		 94.61   	 -35.61		
-25.33   	-35.40   	  5.01   	  81.38		 94.47   	 -30.52		
-24.72   	-36.32   	  5.33   	  50.86		 94.34   	 -35.61		
-23.50   	-35.71   	  5.53   	   0.00		 94.20   	 -40.69		
-23.19   	-34.48   	  5.53   	 -50.86		 94.04   	 -30.52		
-24.11   	-33.57   	  5.33   	 -96.64		 93.92   	 -40.69		
-25.94   	-33.57   	  4.94   	-111.90		 93.75   	 -45.78		
-27.47   	-34.18   	  4.50   	 -81.38		 93.57   	 -55.95		
-28.08   	-35.40   	  4.17   	 -61.04		 93.35   	 -40.69		
-27.16   	-35.40   	  3.93   	 -50.86		 93.18   	 -25.43		
-24.72   	-33.87   	  3.72   	 -40.69		 93.08   	 -15.26		
-21.06   	-28.38   	  3.56   	   0.00		 93.02   	   0.00		
-21.06   	-28.38   	  3.56   	   0.00		 93.02   	 -20.35		
 -1.53   	  4.88   	  3.56   	   0.00		 92.94   	   0.00		
 -1.53   	  4.88   	  3.56   	 142.42		 92.94   	 -61.04		
 43.33   	 81.18   	  4.13   	   0.00		 92.70   	   0.00		
 43.33   	 81.18   	  4.13   	 101.73		 92.70   	-147.51		
 93.99   	191.65   	  4.54   	   0.00		 92.11   	   0.00		
 93.99   	191.65   	  4.54   	  96.64		 92.11   	-152.59		
129.09   	274.66   	  4.92   	   0.00		 91.50   	   0.00		
129.09   	274.66   	  4.92   	 132.25		 91.50   	 -91.56		
159.91   	304.87   	  5.45   	   0.00		 91.13   	   0.00		
159.91   	304.87   	  5.45   	 106.82		 91.13   	 -71.21		
187.99   	327.45   	  5.88   	  61.04		 90.84   	 -35.61		
188.60   	318.30   	  6.12   	  76.30		 90.70   	  -5.09		
175.78   	278.63   	  6.43   	  86.47		 90.68   	 -15.26		
154.11   	212.40   	  6.78   	  66.12		 90.62   	 -66.12		
132.14   	139.77   	  7.04   	  45.78		 90.36   	-101.73		
115.97   	 79.96   	  7.22   	  25.43		 89.95   	-106.82		
103.15   	 38.15   	  7.32   	  15.26		 89.52   	 -86.47		
 84.84   	  5.19   	  7.39   	  15.26		 89.18   	 -66.12		
 55.24   	-28.99   	  7.45   	  10.17		 88.91   	 -76.30		
 15.26   	-64.70   	  7.49   	   0.00		 88.61   	 -86.47		
-25.63   	-93.38   	  7.49   	 -20.35		 88.26   	 -66.12		
-57.07   	-107.42   	  7.41   	 -45.78		 88.00   	 -66.12		
-74.16   	-107.73   	  7.22   	 -61.04		 87.73   	 -91.56		
-79.35   	-102.23   	  6.98   	 -55.95		 87.36   	-101.73		
-78.43   	-99.49   	  6.75   	 -45.78		 86.96   	 -76.30		
-76.60   	-102.54   	  6.57   	 -50.86		 86.65   	 -45.78		
-76.29   	-109.56   	  6.37   	 -61.04		 86.47   	 -66.12		
-78.13   	-117.19   	  6.12   	 -55.95		 86.21   	 -91.56		
-80.57   	-122.68   	  5.90   	 -50.86		 85.84   	 -86.47		
-82.40   	-124.82   	  5.70   	 -30.52		 85.49   	 -61.04		
-83.31   	-124.21   	  5.57   	 -15.26		 85.25   	 -45.78		
-83.92   	-122.99   	  5.51   	 -20.35		 85.07   	 -66.12		
-84.53   	-122.68   	  5.43   	 -15.26		 84.80   	 -71.21		
-84.53   	-123.90   	  5.37   	  -5.09		 84.52   	 -66.12		
-81.79   	-124.51   	  5.35   	   0.00		 84.25   	 -71.21		
-70.50   	-119.93   	  5.35   	  10.17		 83.97   	 -86.47		
-42.11   	-106.51   	  5.39   	  25.43		 83.62   	 -91.56		
 14.34   	-79.04   	  5.49   	  25.43		 83.26   	 -71.21		
103.76   	-25.94   	  5.60   	  35.61		 82.97   	 -66.12		
214.54   	 75.68   	  5.74   	  30.52		 82.71   	 -66.12		
307.01   	245.36   	  5.86   	  25.43		 82.44   	 -50.86		
310.67   	463.87   	  5.96   	  40.69		 82.24   	 -40.69		
152.28   	653.99   	  6.12   	 122.07		 82.07   	-111.90		
-638.12   	587.16   	  6.61   	  76.30		 81.63   	 -81.38		
-1040.95   	277.71   	  6.92   	  81.38		 81.30   	 -71.21		
-1235.66   	-113.53   	  7.24   	  71.21		 81.02   	 -55.95		
-1149.29   	-465.39   	  7.53   	  66.12		 80.79   	 -50.86		
-845.64   	-691.22(R)	  7.79(E)	   0.00		 80.59   	   0.00		
-845.64   	-691.22   	  7.79   	 127.16		 80.59   	 -96.64		
-186.16   	-673.83   	  8.30   	   0.00		 80.20   	   0.00		
-186.16   	-673.83   	  8.30   	 132.25		 80.20   	 -81.38		
  1.22   	-282.59   	  8.83   	   0.00		 79.88   	   0.00		
  1.22   	-282.59   	  8.83   	 142.42		 79.88   	-106.82		
-30.82   	-66.83   	  9.40   	   0.00		 79.45   	   0.00		
-30.82   	-66.83   	  9.40   	 101.73		 79.45   	-111.90		
-21.06   	-133.36   	  9.81   	   0.00		 79.00   	   0.00		
-21.06   	-133.36   	  9.81   	  50.86		 79.00   	-101.73		
 -7.32   	-152.59   	 10.01   	   0.00		 78.60   	   0.00		
 -7.32   	-152.59   	 10.01   	 137.33		 78.60   	-122.07		
-10.68   	-132.14   	 10.56   	  96.64		 78.11   	 -35.61		
-10.38   	-143.13   	 10.95   	  86.47		 77.97   	 -25.43		
 -6.10   	-153.81   	 11.29   	  76.30		 77.86   	 -40.69		
 -0.31   	-151.98   	 11.60   	  81.38		 77.70   	 -55.95		
  3.97   	-138.55   	 11.92   	 101.73		 77.48   	 -45.78		
  4.58   	-123.29   	 12.33   	 157.68		 77.29   	 -40.69		
  3.66   	-116.27   	 12.96   	 228.89		 77.13   	 -45.78		
