SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RV     	  RV'		
 -9.16   	-25.63   	112.13   	 335.71		107.30(S)	  -5.09		
  6.41   	-40.59   	113.47   	 249.24		107.28   	 -40.69		
 23.80   	-50.66   	114.47   	 183.11		107.12   	 -61.04		
 38.76   	-59.51   	115.20   	 122.07		106.88   	 -76.30		
 49.74   	-68.97   	115.69   	  76.30		106.57   	 -81.38		
 57.07   	-80.87   	115.99   	  45.78		106.25   	 -96.64		
 58.90   	-95.21   	116.17   	  15.26		105.86   	-111.90		
 53.41   	-108.64   	116.24(S)	   0.00		105.41   	-116.99		
 43.33   	-116.27   	116.24   	 -25.43		104.94   	-137.33		
 34.79   	-114.44   	116.13   	 -40.69		104.39   	-162.77		
 30.52   	-104.98   	115.97   	 -61.04		103.74   	-193.29		
 29.60   	-95.52   	115.73   	 -91.56		102.97   	-233.98		
 26.25   	-94.60   	115.36   	-111.90		102.03   	-289.93		
 16.78   	-105.90   	114.91   	-142.42		100.87   	-361.14		
  3.05   	-122.99   	114.34   	-162.77		 99.43   	-457.78		
 -8.24   	-134.89   	113.69   	-183.11		 97.60   	-590.03		
-10.38   	-131.84   	112.96   	-198.37		 95.24   	-773.14		
 -1.53   	-112.30   	112.17   	-218.72		 92.15   	-1007.12		
 14.65   	-83.31   	111.29   	-244.15		 88.12   	-1286.87		
 29.91   	-59.20   	110.31   	-244.15		 82.97   	-1531.02		
 38.45   	-50.05   	109.34   	-259.41		 76.85   	-1622.58		
 39.67   	-54.32   	108.30   	-269.58		 70.36   	-1556.45		
 39.67   	-58.90   	107.22   	-335.71		 64.13   	-1464.90		
 54.63   	-28.38   	105.88   	-345.88		 58.27   	-1302.13		
 67.14   	 -4.88   	104.50   	-356.05		 53.06   	-1195.32		
 75.68   	  5.19   	103.07   	-366.22		 48.28   	-1154.62		
 78.74   	 -2.14   	101.61   	-391.66		 43.66   	-1134.28		
 79.35   	-15.56   	100.04   	-401.83		 39.12   	-1052.90		
 80.87   	-19.84   	 98.43   	-412.00		 34.91   	-961.34		
 82.70   	 -8.85   	 96.78   	-422.18		 31.07   	-915.56		
 84.84   	 14.95   	 95.10   	-417.09		 27.41   	-905.39		
 89.11   	 43.95   	 93.43   	-391.66		 23.78   	-890.13		
 97.35   	 68.97   	 91.86   	-350.97		 20.22   	-788.40		
111.08   	 84.23   	 90.46   	-289.93		 17.07   	-630.72		
128.17   	 87.28   	 89.30   	-244.15		 14.55   	-493.39		
143.13   	 77.21   	 88.32   	-193.29		 12.57   	-401.83		
152.59   	 60.42   	 87.55   	-162.77		 10.97   	-366.22		
155.94   	 49.44   	 86.90   	-157.68		  9.50   	-356.05		
156.86   	 51.57   	 86.27   	-157.68		  8.08   	-350.97		
158.39   	 68.36   	 85.64   	-172.94		  6.67   	-330.62		
162.35   	 91.86   	 84.94   	-183.11		  5.35   	-269.58		
167.85   	112.92   	 84.21   	-198.37		  4.27   	-208.54		
173.03   	125.73   	 83.42   	-208.54		  3.44   	-142.42		
174.56   	130.31   	 82.58   	-203.46		  2.87   	-106.82		
169.98   	130.31   	 81.77   	-183.11		  2.44   	 -71.21		
160.22   	127.56   	 81.04   	-162.77		  2.16   	 -35.61		
150.15   	120.85   	 80.39   	-132.25		  2.01   	  15.26		
143.43   	105.59   	 79.86   	-106.82		  2.08   	  45.78		
136.72   	 36.62   	 79.43   	 -81.38		  2.26   	  20.35		
126.04   	 -1.83   	 79.10   	 -76.30		  2.34   	 -25.43		
106.51   	-27.77   	 78.80   	 -71.21		  2.24   	 -66.12		
 83.92   	-39.06   	 78.51   	 -81.38		  1.97   	 -86.47		
 66.53   	-46.69   	 78.19   	 -91.56		  1.63   	 -71.21		
 61.04   	-64.09   	 77.82   	 -86.47		  1.34   	 -45.78		
 66.53   	-92.16   	 77.48   	 -86.47		  1.16   	 -10.17		
 78.13   	-115.97   	 77.13   	 -81.38		  1.12(D)	  10.17		
 87.89   	-120.85   	 76.81   	 -81.38		  1.16   	  30.52		
 90.64   	-106.20   	 76.48   	 -76.30		  1.28   	  25.43		
 87.28   	-90.03   	 76.17   	 -71.21		  1.38   	  10.17		
 80.57   	-92.47   	 75.89   	 -71.21		  1.42   	   0.00		
 73.55   	-118.10   	 75.60   	 -76.30		  1.42   	   5.09		
 68.36   	-148.93   	 75.30   	 -76.30		  1.44   	   5.09		
 65.31   	-162.05   	 74.99   	 -86.47		  1.46   	  20.35		
 65.92   	-147.40   	 74.65   	 -86.47		  1.55   	  40.69		
 73.85   	-114.44   	 74.30   	 -86.47		  1.71   	  61.04		
 93.38   	-87.59   	 73.96   	 -86.47		  1.95   	  71.21		
126.65   	-79.35   	 73.61   	 -81.38		  2.24   	  71.21		
166.02   	-67.44   	 73.29   	 -71.21		  2.52   	  66.12		
186.77   	  3.05   	 73.00   	 -71.21		  2.79   	  71.21		
149.23   	194.40   	 72.72   	 -71.21		  3.07   	  66.12		
 16.48   	535.28   	 72.43   	 -76.30		  3.34   	  66.12		
-214.54   	964.66   	 72.13   	   0.00		  3.60   	   0.00		
-214.54   	964.66   	 72.13   	 -71.21		  3.60   	  66.12		
-492.86   	1326.90(R)	 71.84   	-106.82		  3.87   	 106.82		
-543.52   	 79.65   	 71.41   	-106.82		  4.29   	 137.33		
-305.79   	-343.63   	 70.99   	 -96.64		  4.84   	 167.85		
-111.39   	-473.02   	 70.60   	 -81.38		  5.51   	 188.20		
  5.49   	-366.82   	 70.27   	 -81.38		  6.27   	 188.20		
 58.59   	-191.96   	 69.95   	 -71.21		  7.02   	 188.20		
 83.01   	-89.42   	 69.66   	 -76.30		  7.77   	 239.06		
104.06   	-93.69   	 69.36   	 -71.21		  8.73   	 361.14		
127.56   	-152.89   	 69.07   	 -81.38		 10.17   	 539.16		
146.79   	-199.58   	 68.75   	 -86.47		 12.33   	 686.67		
153.81   	-206.30   	 68.40   	 -86.47		 15.08   	 778.23		
145.57   	-188.29   	 68.06   	 -71.21		 18.19   	1002.03		
127.87   	-170.59   	 67.77   	 -66.12		 22.20   	1358.08		
112.00   	-162.05   	 67.51   	 -66.12		 27.63   	1678.53		
106.20   	-159.30   	 67.24   	 -71.21		 34.34   	1795.52		
111.39   	-155.64   	 66.96   	 -86.47		 41.53   	1668.36		
121.77   	-149.23   	 66.61   	 -81.38		 48.20   	1459.81		
129.09   	-144.65   	 66.29   	 -81.38		 54.04   	1190.23		
129.39   	-145.57   	 65.96   	 -86.47		 58.80   	 910.47		
126.34   	-149.23   	 65.62   	-101.73		 62.44   	 717.19		
124.51   	-145.57   	 65.21   	-111.90		 65.31   	 615.46		
125.73   	-126.65   	 64.76   	-116.99		 67.77   	 610.37		
128.48   	-93.69   	 64.29   	-111.90		 70.21   	 671.41		
129.70   	-60.12   	 63.85   	-116.99		 72.90   	 732.45		
128.48   	-44.56   	 63.38   	-122.07		 75.83   	 752.79		
125.12   	-54.63   	 62.89   	-116.99		 78.84   	 717.19		
121.77   	-91.25   	 62.42   	 -91.56		 81.71   	 595.11		
127.56   	-76.29   	 62.05   	 -61.04		 84.09   	 478.13		
139.47   	-34.79   	 61.81   	 -35.61		 86.00   	 406.92		
154.42   	 12.82   	 61.67(D)	  35.61		 87.63   	 371.31		
164.49   	 43.33   	 61.81   	 142.42		 89.11   	 371.31		
165.71   	 51.27   	 62.38   	 300.10		 90.60   	 381.48		
159.91   	 47.61   	 63.58   	 488.30		 92.13   	 396.74		
155.33   	 51.27   	 65.53   	 666.32		 93.71   	 391.66		
158.39   	 72.33   	 68.20   	 813.83		 95.28   	 381.48		
167.85   	104.98   	 71.45   	 879.96		 96.81   	 350.97		
176.39   	138.85   	 74.97   	 885.04		 98.21   	 320.45		
175.48   	164.79   	 78.51   	 834.18		 99.49   	 274.67		
161.74   	179.44   	 81.85   	 737.54		100.59   	 233.98		
140.69   	182.50   	 84.80   	 645.98		101.53   	 213.63		
121.77   	177.61   	 87.39   	 564.60		102.38   	 203.46		
111.39   	170.90   	 89.64   	 513.73		103.19   	 203.46		
111.69   	169.07   	 91.70   	 488.30		104.01   	 198.37		
118.41   	173.03   	 93.65   	 493.39		104.80   	 188.20		
124.82   	177.92   	 95.63   	 518.82		105.55   	 162.77		
126.04   	175.78   	 97.70   	 554.42		106.21   	 137.33		
120.24   	163.27   	 99.92   	 584.94		106.75   	 111.90		
109.56   	145.57   	102.26   	 600.20		107.20   	  91.56		
 97.05   	127.87   	104.66   	 584.94		107.57   	  66.12		
 86.06   	109.86   	107.00   	 544.25		107.83   	  50.86		
 79.35   	 87.59   	109.18   	 478.13		108.04   	  25.43		
 86.36   	 37.23   	111.09   	 391.66		108.14   	  20.35		
 97.05   	 19.84   	112.65   	 315.36		108.22   	   5.09		
106.51   	 10.68   	113.92   	 233.98		108.24(S)	  -5.09		
112.00   	  2.75   	114.85   	 167.85		108.22   	 -20.35		
112.00   	 -9.77   	115.52   	 122.07		108.14   	 -30.52		
109.56   	-25.33   	116.01   	  71.21		108.02   	 -40.69		
107.12   	-39.06   	116.30   	  50.86		107.85   	 -35.61		
103.45   	-46.69   	116.50   	  40.69		107.71   	 -20.35		
 97.35   	-49.44   	116.66   	  40.69		107.63   	  -5.09		
 88.81   	-51.57   	116.83   	  15.26		107.61   	  35.61		
 79.96   	-57.07   	116.89(S)	 -10.17		107.75   	  66.12		
 74.16   	-65.92   	116.85   	 -35.61		108.02   	 -25.43		
 71.11   	-78.13   	116.70   	 -66.12		107.91   	-264.50		
 67.14   	-91.86   	116.44   	-101.73		106.86   	-493.39		
 57.68   	-104.37   	116.03   	-132.25		104.88   	-595.11		
 42.11   	-112.61   	115.50   	-152.59		102.50   	-559.51		
 25.94   	-114.14   	114.89   	-167.85		100.26   	-478.13		
 17.40   	-111.69   	114.22   	-183.11		 98.35   	-437.43		
 20.14   	-111.08   	113.49   	-188.20		 96.60   	-493.39		
