SAMPLE NUMBER:   14
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 64.09   	 40.28   	 -3.13   	  30.52		 87.06   	 -71.21		
 61.65   	 36.01   	 -3.01   	  35.61		 86.77   	 -66.12		
 52.80   	 26.25   	 -2.87   	  40.69		 86.51   	 -55.95		
 43.95   	 14.34   	 -2.71   	  45.78		 86.29   	 -50.86		
 40.28   	  4.58   	 -2.52   	  35.61		 86.08   	 -55.95		
 44.86   	 -3.36   	 -2.38   	  50.86		 85.86   	 -55.95		
 57.37   	-14.04   	 -2.18   	  50.86		 85.64   	 -61.04		
 75.68   	-31.13   	 -1.97   	  61.04		 85.39   	 -66.12		
 98.57   	-51.88   	 -1.73   	  71.21		 85.13   	 -66.12		
127.56   	-65.92   	 -1.44   	  71.21		 84.86   	 -61.04		
164.49   	-52.49   	 -1.16   	  76.30		 84.62   	 -61.04		
203.86   	 12.82   	 -0.85   	  81.38		 84.37   	 -66.12		
226.14   	154.11   	 -0.53   	  86.47		 84.11   	 -66.12		
206.91   	390.93   	 -0.18   	  76.30		 83.85   	 -66.12		
132.75   	713.20   	  0.12   	  66.12		 83.58   	 -61.04		
 18.62   	1038.51   	  0.39   	  45.78		 83.34   	 -66.12		
-153.20   	1148.99(R)	  0.57(E)	  35.61		 83.07   	 -66.12		
-152.89   	790.41   	  0.71   	  35.61		 82.81   	 -66.12		
-112.92   	282.59   	  0.85   	  20.35		 82.54   	 -76.30		
-69.89   	-157.78   	  0.94   	  15.26		 82.24   	 -71.21		
-45.17   	-371.70   	  1.00   	  15.26		 81.95   	 -61.04		
-33.26   	-355.22   	  1.06   	  20.35		 81.71   	 -66.12		
-15.26   	-226.14   	  1.14   	  20.35		 81.44   	 -76.30		
 17.09   	-113.83   	  1.22   	  30.52		 81.14   	 -71.21		
 53.10   	-73.85   	  1.34   	  40.69		 80.85   	 -76.30		
 74.77   	-83.31   	  1.51   	  45.78		 80.55   	 -71.21		
 72.63   	-94.30   	  1.69   	  55.95		 80.26   	 -71.21		
 50.66   	-84.84   	  1.91   	  66.12		 79.98   	 -71.21		
 22.89   	-64.09   	  2.18   	  71.21		 79.69   	 -61.04		
  1.83   	-50.35   	  2.46   	  76.30		 79.45   	 -61.04		
 -7.32   	-50.35   	  2.77   	  71.21		 79.21   	 -55.95		
 -5.19   	-58.29   	  3.05   	  76.30		 78.98   	 -66.12		
  5.80   	-64.39   	  3.36   	  96.64		 78.72   	 -61.04		
 20.45   	-61.34   	  3.74   	  96.64		 78.47   	 -61.04		
 34.79   	-48.22   	  4.13   	  96.64		 78.23   	 -71.21		
 45.47   	-30.52   	  4.52   	 101.73		 77.94   	 -66.12		
 49.74   	-18.62   	  4.92   	 111.90		 77.68   	 -61.04		
 47.30   	-17.70   	  5.37   	 116.99		 77.44   	 -61.04		
 39.67   	-26.55   	  5.84   	 116.99		 77.19   	 -71.21		
 29.91   	-37.54   	  6.31   	 142.42		 76.91   	 -61.04		
 21.97   	-44.56   	  6.88   	 167.85		 76.66   	 -61.04		
 19.23   	-45.17   	  7.55   	 132.25		 76.42   	 -55.95		
 22.28   	-40.28   	  8.08   	 106.82		 76.20   	 -55.95		
 27.77   	-33.26   	  8.50   	 122.07		 75.97   	 -55.95		
 31.43   	-28.08   	  8.99   	 137.33		 75.75   	 -61.04		
 28.99   	-28.69   	  9.54   	 132.25		 75.50   	 -66.12		
 20.45   	-36.32   	 10.07   	 127.16		 75.24   	 -61.04		
  7.93   	-47.91   	 10.58   	 132.25		 74.99   	 -66.12		
 -2.44   	-57.98   	 11.11   	 127.16		 74.73   	 -61.04		
 -5.49   	-62.26   	 11.62   	 122.07		 74.49   	 -50.86		
  0.31   	-57.07   	 12.11   	 116.99		 74.28   	 -50.86		
 13.43   	-44.86   	 12.57   	 116.99		 74.08   	 -61.04		
 28.99   	-29.60   	 13.04   	 106.82		 73.83   	 -55.95		
 39.98   	-17.70   	 13.47   	 106.82		 73.61   	 -55.95		
 42.11   	-13.12   	 13.90   	 101.73		 73.39   	 -45.78		
 36.93   	-16.78   	 14.30   	 101.73		 73.20   	 -30.52		
 28.38   	-25.94   	 14.71   	  96.64		 73.08   	 -15.26		
