SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RPA     	  RPA'		  RV     	  RV'		
 77.21   	199.28   	 38.43   	-183.11		 19.94   	-111.90		 18.33   	-371.31		
 96.44   	238.04   	 37.70   	-172.94		 19.49   	 -81.38		 16.85   	-371.31		
114.14   	267.64   	 37.01   	-167.85		 19.17   	 -66.12		 15.36   	-406.92		
121.15   	258.48   	 36.34   	-152.59		 18.90   	 -61.04		 13.73   	-386.57		
103.15   	206.60   	 35.73   	-132.25		 18.66   	 -55.95		 12.19   	-366.22		
 72.94   	128.78   	 35.20   	-122.07		 18.43   	 -66.12		 10.72   	-340.79		
 37.23   	 41.20   	 34.71   	-111.90		 18.17   	 -71.21		  9.36   	-320.45		
  7.02   	-33.87   	 34.26   	 -96.64		 17.88   	 -86.47		  8.08   	-284.84		
-10.38   	-78.74   	 33.88   	 -86.47		 17.54   	 -91.56		  6.94   	-259.41		
-13.73   	-90.64   	 33.53   	 -76.30		 17.17   	-101.73		  5.90   	-228.89		
 -8.85   	-82.70   	 33.22   	 -66.12		 16.76   	-106.82		  4.98   	-198.37		
 -3.97   	-72.63   	 32.96   	 -61.04		 16.34   	-111.90		  4.19   	-167.85		
 -3.97   	-72.33   	 32.72   	 -61.04		 15.89   	-106.82		  3.52   	-137.33		
 -7.93   	-82.09   	 32.47   	 -55.95		 15.46   	-106.82		  2.97   	-106.82		
-12.51   	-94.60   	 32.25   	 -50.86		 15.04   	-106.82		  2.54   	 -76.30		
-14.04   	-105.29   	 32.04   	 -55.95		 14.61   	 -91.56		  2.24   	 -55.95		
 -8.85   	-119.93   	 31.82   	 -50.86		 14.24   	 -86.47		  2.01   	 -25.43		
 12.82   	-148.93   	 31.62   	 -50.86		 13.90   	 -76.30		  1.91(D)	   0.00		
 61.95   	-182.50   	 31.41   	 -55.95		 13.59   	 -61.04		  1.91   	  20.35		
123.60   	-171.81   	 31.19   	 -50.86		 13.35   	 -50.86		  1.99   	  35.61		
137.94   	-78.13   	 30.99   	 -55.95		 13.14   	 -35.61		  2.14   	  55.95		
 23.50   	 61.65   	 30.76   	 -55.95		 13.00   	 -30.52		  2.36   	  76.30		
-266.42   	127.56   	 30.54   	 -55.95		 12.88   	 -30.52		  2.67   	  86.47		
-690.00   	-22.58   	 30.32   	 -55.95		 12.76   	 -30.52		  3.01   	 101.73		
-1106.87   	-431.21   	 30.09   	 -55.95		 12.63   	 -25.43		  3.42   	 106.82		
-1340.33   	-940.25   	 29.87   	 -50.86		 12.53   	 -30.52		  3.85   	 116.99		
-1278.38   	-1265.56(R)	 29.66   	 -50.86		 12.41   	 -30.52		  4.31(E)	 116.99		
-944.52   	-1205.75   	 29.46   	 -50.86		 12.29   	 -35.61		  4.78   	 132.25		
-78.13   	-264.59   	 29.26   	 -50.86		 12.15   	 -35.61		  5.31   	 137.33		
140.38   	100.71   	 29.05   	 -50.86		 12.00   	 -45.78		  5.86   	 137.33		
 55.54   	 44.25   	 28.85   	 -45.78		 11.82   	 -40.69		  6.41   	 127.16		
-42.42   	-112.30   	 28.67   	 -45.78		 11.66   	 -40.69		  6.92   	 122.07		
-69.89   	-169.07   	 28.48   	 -40.69		 11.50   	 -45.78		  7.41   	 111.90		
-34.18   	-122.99   	 28.32   	 -35.61		 11.31   	 -35.61		  7.85   	 111.90		
 15.87   	-45.78   	 28.18   	 -40.69		 11.17   	 -25.43		  8.30   	 101.73		
 38.15   	 -3.97   	 28.02   	 -35.61		 11.07(D)	  20.35		  8.71   	 106.82		
 28.08   	-10.68   	 27.87   	 -35.61		 11.15   	  66.12		  9.14   	 111.90		
  7.93   	-37.23   	 27.73   	 -35.61		 11.41   	  55.95		  9.58   	 116.99		
 -0.92   	-52.49   	 27.59   	 -30.52		 11.64   	  10.17		 10.05   	 137.33		
  4.27   	-46.39   	 27.47   	 -35.61		 11.68   	  -5.09		 10.60   	 157.68		
 12.82   	-30.21   	 27.32   	 -30.52		 11.66   	  20.35		 11.23   	 178.03		
 17.09   	-17.09   	 27.20   	 -35.61		 11.74   	  35.61		 11.94   	 203.46		
 16.17   	-11.60   	 27.06   	 -30.52		 11.88   	  35.61		 12.76   	 233.98		
 13.73   	-10.99   	 26.94   	 -30.52		 12.02   	  55.95		 13.69   	 269.58		
 12.21   	-10.38   	 26.82   	 -35.61		 12.25   	  86.47		 14.77   	 295.01		
 13.73   	 -6.10   	 26.67   	 -30.52		 12.59   	 116.99		 15.95   	 325.53		
 17.40   	  1.53   	 26.55   	 -25.43		 13.06   	 132.25		 17.25   	 356.05		
 21.67   	 10.07   	 26.45   	 -15.26		 13.59   	 147.51		 18.68   	 386.57		
 24.72   	 16.17   	 26.39   	 -10.17		 14.18   	 127.16		 20.22   	 412.00		
 25.94   	 19.53   	 26.35(D)	  10.17		 14.69   	 101.73		 21.87   	 437.43		
 26.25   	 21.67   	 26.39   	  30.52		 15.10   	  71.21		 23.62   	 447.61		
 26.86   	 25.33   	 26.51   	  55.95		 15.38   	  61.04		 25.41   	 457.78		
 28.38   	 30.52   	 26.73   	  86.47		 15.63   	  61.04		 27.24   	 473.04		
 30.52   	 36.62   	 27.08   	 116.99		 15.87   	  66.12		 29.14   	 467.95		
 32.96   	 41.81   	 27.55   	 208.54		 16.13   	 106.82		 31.01   	 513.73		
 37.54   	 50.35   	 28.38   	 233.98		 16.56   	 116.99		 33.06   	 493.39		
 40.59   	 54.93   	 29.32   	 274.67		 17.03   	 142.42		 35.04   	 467.95		
 43.64   	 60.12   	 30.42   	 295.01		 17.60   	 152.59		 36.91   	 432.35		
 46.39   	 64.70   	 31.60   	 330.62		 18.21   	 172.94		 38.64   	 396.74		
 47.61   	 68.05   	 32.92   	 356.05		 18.90   	 183.11		 40.22   	 356.05		
 47.30   	 70.50   	 34.34   	 376.40		 19.63   	 193.29		 41.65   	 320.45		
 47.30   	 72.63   	 35.85   	 396.74		 20.41   	 198.37		 42.93   	 274.67		
 48.22   	 75.07   	 37.44   	 406.92		 21.20   	 203.46		 44.03   	 233.98		
 50.96   	 78.13   	 39.06   	 417.09		 22.01   	 193.29		 44.96   	 193.29		
 54.93   	 81.18   	 40.73   	 422.18		 22.79   	 183.11		 45.74   	 147.51		
 59.20   	 85.14   	 42.42   	 412.00		 23.52   	 167.85		 46.33   	 106.82		
 63.17   	 90.03   	 44.07   	 401.83		 24.19   	 157.68		 46.75   	  66.12		
 67.44   	 96.13   	 45.68   	 386.57		 24.82   	 147.51		 47.02   	  30.52		
 72.33   	101.93   	 47.22   	 356.05		 25.41   	 132.25		 47.14(S)	  -5.09		
 77.82   	106.20   	 48.65   	 330.62		 25.94   	 116.99		 47.12   	 -35.61		
 83.92   	109.25   	 49.97   	 289.93		 26.41   	 106.82		 46.98   	 -71.21		
 90.33   	113.22   	 51.13   	 249.24		 26.84   	 101.73		 46.69   	 -91.56		
 97.66   	119.63   	 52.13   	 208.54		 27.24   	  91.56		 46.33   	-116.99		
105.59   	129.39   	 52.96   	 162.77		 27.61   	  81.38		 45.86   	-137.33		
114.44   	140.99   	 53.61   	 116.99		 27.93   	  81.38		 45.31   	-157.68		
123.90   	153.81   	 54.08   	  76.30		 28.26   	  71.21		 44.68   	-162.77		
133.67   	167.54   	 54.38   	  35.61		 28.55   	  71.21		 44.03   	-178.03		
144.35   	182.50   	 54.53(S)	   0.00		 28.83   	  71.21		 43.32   	-188.20		
154.72   	196.84   	 54.53   	 -40.69		 29.11   	  66.12		 42.56   	-188.20		
164.49   	208.44   	 54.36   	 -96.64		 29.38   	  45.78		 41.81   	-218.72		
173.34   	212.71   	 53.98   	-116.99		 29.56   	  40.69		 40.94   	-213.63		
169.37   	202.33   	 53.51   	-132.25		 29.73   	  20.35		 40.08   	-213.63		
159.00   	184.33   	 52.98   	-142.42		 29.81   	  10.17		 39.23   	-208.54		
143.43   	159.91   	 52.41   	-152.59		 29.85(S)	 -15.26		 38.39   	-203.46		
125.43   	132.14   	 51.80   	-157.68		 29.79   	 -35.61		 37.58   	-198.37		
107.12   	104.37   	 51.17   	-162.77		 29.64   	 -50.86		 36.79   	-193.29		
 90.03   	 79.35   	 50.52   	-162.77		 29.44   	 -66.12		 36.01   	-198.37		
 74.16   	 57.68   	 49.87   	-167.85		 29.18   	 -86.47		 35.22   	-193.29		
 59.81   	 40.28   	 49.20   	-162.77		 28.83   	 -96.64		 34.45   	-203.46		
 47.30   	 25.94   	 48.55   	-167.85		 28.44   	-111.90		 33.63   	-203.46		
 37.23   	 14.95   	 47.87   	-167.85		 28.00   	-127.16		 32.82   	-213.63		
 30.21   	  7.02   	 47.20   	-167.85		 27.49   	-132.25		 31.96   	-218.72		
 26.55   	  2.14   	 46.53   	-172.94		 26.96   	-147.51		 31.09   	-239.06		
 25.02   	 -0.61   	 45.84   	-178.03		 26.37   	-157.68		 30.13   	-244.15		
 24.11   	 -3.05   	 45.13   	-188.20		 25.74   	-167.85		 29.16   	-264.50		
 22.89   	 -3.36   	 44.37   	-198.37		 25.07   	-172.94		 28.10   	-274.67		
 22.28   	  1.22   	 43.58   	-198.37		 24.37   	-183.11		 27.00   	-284.84		
 22.89   	 14.04   	 42.79   	-203.46		 23.64   	-172.94		 25.86   	-310.27		
 25.33   	 36.01   	 41.97   	-208.54		 22.95   	-162.77		 24.62   	-320.45		
 28.99   	 64.70   	 41.14   	-198.37		 22.30   	-137.33		 23.34   	-345.88		
 34.48   	 96.74   	 40.35   	-203.46		 21.75   	-127.16		 21.95   	-356.05		
 43.95   	131.23   	 39.53   	-193.29		 21.24   	-127.16		 20.53   	-366.22		
 58.90   	169.37   	 38.76   	-183.11		 20.73   	-111.90		 19.06   	-366.22		
 78.43   	209.96   	 38.03   	-172.94		 20.28   	 -76.30		 17.60   	-361.14		
 97.66   	246.89   	 37.33   	-167.85		 19.98   	 -61.04		 16.15   	-396.74		
108.64   	261.54   	 36.66   	-147.51		 19.74   	 -50.86		 14.57   	-381.48		
 92.16   	216.98   	 36.07   	-137.33		 19.53   	 -45.78		 13.04   	-361.14		
 63.78   	140.08   	 35.52   	-122.07		 19.35   	 -50.86		 11.60   	-335.71		
 31.13   	 47.61   	 35.04   	-106.82		 19.15   	 -61.04		 10.25   	-310.27		
  3.36   	-36.62   	 34.61   	 -91.56		 18.90   	 -71.21		  9.01   	-279.75		
-12.82   	-90.94   	 34.24   	 -81.38		 18.62   	 -76.30		  7.89   	-259.41		
-16.78   	-109.25   	 33.92   	 -76.30		 18.31   	 -91.56		  6.86   	-223.80		
-13.73   	-103.45   	 33.61   	 -66.12		 17.94   	 -96.64		  5.96   	-193.29		
-10.68   	-92.47   	 33.35   	 -61.04		 17.56   	-106.82		  5.19   	-167.85		
-11.60   	-90.33   	 33.10   	 -55.95		 17.13   	-101.73		  4.52   	-132.25		
-16.17   	-98.57   	 32.88   	 -55.95		 16.72   	-106.82		  3.99   	-106.82		
-20.75   	-110.47   	 32.66   	 -50.86		 16.30   	 -96.64		  3.56   	 -76.30		
-22.58   	-119.32   	 32.45   	 -50.86		 15.91   	 -86.47		  3.26   	 -50.86		
-17.70   	-129.39   	 32.25   	 -50.86		 15.56   	 -81.38		  3.05   	 -25.43		
  2.14   	-152.59   	 32.04   	 -55.95		 15.24   	 -66.12		  2.95(D)	   0.00		
 48.22   	-185.85   	 31.82   	 -50.86		 14.97   	 -55.95		  2.95   	  20.35		
110.17   	-184.02   	 31.62   	 -55.95		 14.75   	 -40.69		  3.03   	  40.69		
136.72   	-98.57   	 31.39   	 -50.86		 14.59   	 -30.52		  3.19   	  61.04		
 50.66   	 50.35   	 31.19   	 -55.95		 14.47   	 -20.35		  3.44   	  76.30		
-200.20   	151.06   	 30.97   	 -50.86		 14.38   	 -15.26		  3.74   	  91.56		
-588.68   	 50.66   	 30.76   	 -55.95		 14.32   	 -15.26		  4.11   	 101.73		
-990.30   	-324.71   	 30.54   	 -55.95		 14.26   	 -15.26		  4.52   	 116.99		
-1238.10   	-850.52   	 30.32   	 -50.86		 14.20   	 -15.26		  4.98   	 116.99		
-1214.60   	-1242.37   	 30.11   	 -55.95		 14.14   	 -10.17		  5.45   	 122.07		
-925.60   	-1261.90(R)	 29.89   	 -50.86		 14.10   	 -25.43		  5.94(E)	 142.42		
-108.03   	-364.99   	 29.68   	 -50.86		 14.00   	 -25.43		  6.51   	 137.33		
116.58   	 41.81   	 29.48   	 -45.78		 13.90   	 -30.52		  7.06   	 132.25		
148.01   	160.52   	 29.30   	 -45.78		 13.77   	 -30.52		  7.59   	 137.33		
-33.26   	-119.32   	 29.11   	 -45.78		 13.65   	 -35.61		  8.14   	 132.25		
-67.14   	-193.79   	 28.93   	 -35.61		 13.51   	 -30.52		  8.67   	 122.07		
-38.76   	-156.86   	 28.79   	 -35.61		 13.39   	 -20.35		  9.16   	 116.99		
  7.93   	-76.90   	 28.65   	 -35.61		 13.31(D)	   5.09		  9.62   	 111.90		
 32.65   	-26.55   	 28.50   	 -30.52		 13.33   	  35.61		 10.07   	 111.90		
 26.25   	-27.47   	 28.38   	 -30.52		 13.47   	  50.86		 10.52   	 111.90		
  7.02   	-53.71   	 28.26   	 -35.61		 13.67   	  35.61		 10.97   	 127.16		
 -4.58   	-70.80   	 28.12   	 -30.52		 13.81   	  20.35		 11.48   	 137.33		
 -3.05   	-65.31   	 28.00   	 -30.52		 13.90   	  30.52		 12.02   	 162.77		
  4.58   	-47.00   	 27.87   	 -30.52		 14.02   	  40.69		 12.68   	 183.11		
 10.07   	-31.13   	 27.75   	 -35.61		 14.18   	  45.78		 13.41   	 208.54		
 10.99   	-24.72   	 27.61   	 -30.52		 14.36   	  50.86		 14.24   	 233.98		
  9.16   	-25.02   	 27.49   	 -30.52		 14.57   	  71.21		 15.18   	 269.58		
  7.32   	-26.86   	 27.37   	 -30.52		 14.85   	  91.56		 16.26   	 300.10		
  6.71   	-25.63   	 27.24   	 -30.52		 15.22   	 101.73		 17.46   	 330.62		
  8.54   	-20.75   	 27.12   	 -25.43		 15.63   	 111.90		 18.78   	 361.14		
 11.29   	-13.73   	 27.02   	 -15.26		 16.07   	 132.25		 20.22   	 391.66		
 13.73   	 -7.02   	 26.96   	  -5.09		 16.60   	 142.42		 21.79   	 417.09		
 15.56   	 -0.92   	 26.94(D)	  15.26		 17.17   	 132.25		 23.46   	 432.35		
 16.48   	  4.88   	 27.00   	  35.61		 17.70   	 122.07		 25.19   	 452.69		
 17.70   	 10.68   	 27.14   	  66.12		 18.19   	 101.73		 27.00   	 467.95		
 19.23   	 16.48   	 27.41   	  91.56		 18.60   	  91.56		 28.87   	 467.95		
 20.14   	 21.67   	 27.77   	 127.16		 18.96   	  86.47		 30.74   	 473.04		
 20.45   	 26.55   	 28.28   	 162.77		 19.31   	 101.73		 32.63   	 467.95		
 20.45   	 31.13   	 28.93   	 259.41		 19.72   	 137.33		 34.51   	 503.56		
 23.50   	 43.03   	 29.97   	 295.01		 20.26   	 147.51		 36.52   	 467.95		
 27.77   	 50.35   	 31.15   	 320.45		 20.85   	 172.94		 38.39   	 442.52		
 32.96   	 57.68   	 32.43   	 356.05		 21.55   	 198.37		 40.16   	 401.83		
 36.32   	 63.48   	 33.86   	 376.40		 22.34   	 208.54		 41.77   	 366.22		
 36.93   	 66.22   	 35.36   	 406.92		 23.17   	 218.72		 43.23   	 325.53		
 36.32   	 66.83   	 36.99   	 417.09		 24.05   	 228.89		 44.54   	 284.84		
 36.93   	 67.14   	 38.66   	 437.43		 24.96   	 233.98		 45.68   	 244.15		
 39.67   	 68.97   	 40.41   	 442.52		 25.90   	 233.98		 46.65   	 198.37		
 43.95   	 73.24   	 42.18   	 437.43		 26.84   	 218.72		 47.45   	 157.68		
 48.22   	 79.35   	 43.93   	 432.35		 27.71   	 213.63		 48.08   	 116.99		
 50.66   	 85.45   	 45.66   	 422.18		 28.57   	 198.37		 48.55   	  76.30		
 52.19   	 90.64   	 47.34   	 391.66		 29.36   	 178.03		 48.85   	  35.61		
 53.41   	 95.21   	 48.91   	 366.22		 30.07   	 157.68		 48.99   	   5.09		
 55.85   	 99.49   	 50.38   	 330.62		 30.70   	 142.42		 49.01(S)	 -25.43		
 59.51   	103.76   	 51.70   	 295.01		 31.27   	 116.99		 48.91   	 -55.95		
 64.09   	108.03   	 52.88   	 244.15		 31.74   	 101.73		 48.69   	 -81.38		
 69.27   	112.61   	 53.86   	 203.46		 32.15   	  86.47		 48.36   	-106.82		
 75.38   	119.32   	 54.67   	 152.59		 32.49   	  76.30		 47.93   	-127.16		
 82.40   	129.39   	 55.28   	 106.82		 32.80   	  61.04		 47.43   	-142.42		
 90.64   	143.13   	 55.71   	  61.04		 33.04   	  55.95		 46.86   	-152.59		
100.10   	159.00   	 55.95   	  25.43		 33.27   	  45.78		 46.25   	-162.77		
109.25   	175.17   	 56.05(S)	 -20.35		 33.45   	  35.61		 45.59   	-172.94		
117.80   	188.90   	 55.97   	 -45.78		 33.59   	  30.52		 44.90   	-172.94		
124.51   	199.58   	 55.79   	 -81.38		 33.71   	  20.35		 44.21   	-183.11		
129.70   	205.08   	 55.46   	-137.33		 33.79   	   5.09		 43.48   	-208.54		
131.53   	193.79   	 54.91   	-147.51		 33.81(S)	   0.00		 42.64   	-198.37		
126.04   	174.56   	 54.32   	-157.68		 33.81   	 -10.17		 41.85   	-198.37		
115.05   	147.71   	 53.69   	-157.68		 33.77   	 -25.43		 41.06   	-193.29		
100.40   	117.80   	 53.06   	-167.85		 33.67   	 -30.52		 40.28   	-193.29		
 84.84   	 89.72   	 52.39   	-172.94		 33.55   	 -45.78		 39.51   	-188.20		
 71.41   	 66.22   	 51.70   	-162.77		 33.37   	 -61.04		 38.76   	-183.11		
 61.65   	 47.61   	 51.05   	-167.85		 33.12   	 -81.38		 38.03   	-193.29		
 54.02   	 32.65   	 50.38   	-162.77		 32.80   	-101.73		 37.25   	-188.20		
 47.00   	 20.14   	 49.73   	-162.77		 32.39   	-122.07		 36.50   	-198.37		
 39.67   	  9.77   	 49.07   	-167.85		 31.90   	-142.42		 35.71   	-208.54		
 33.57   	  3.05   	 48.40   	-167.85		 31.33   	-167.85		 34.87   	-218.72		
 30.21   	  0.31   	 47.73   	-172.94		 30.66   	-172.94		 34.00   	-233.98		
 29.60   	  0.61   	 47.04   	-183.11		 29.97   	-183.11		 33.06   	-249.24		
 30.52   	  2.14   	 46.31   	-188.20		 29.24   	-198.37		 32.06   	-259.41		
 32.04   	  5.49   	 45.55   	-198.37		 28.44   	-198.37		 31.03   	-279.75		
 33.87   	 13.12   	 44.76   	-203.46		 27.65   	-218.72		 29.91   	-300.10		
 35.40   	 26.86   	 43.95   	-198.37		 26.78   	-208.54		 28.71   	-320.45		
 36.93   	 46.69   	 43.15   	-203.46		 25.94   	-183.11		 27.43   	-340.79		
 37.23   	 70.80   	 42.34   	-208.54		 25.21   	-162.77		 26.06   	-361.14		
 37.54   	 96.44   	 41.51   	-208.54		 24.56   	-152.59		 24.62   	-376.40		
 40.89   	125.12   	 40.67   	-198.37		 23.95   	-137.33		 23.11   	-386.57		
 51.27   	159.30   	 39.88   	-193.29		 23.40   	 -96.64		 21.57   	-386.57		
 67.75   	198.67   	 39.10   	-178.03		 23.01   	 -61.04		 20.02   	-386.57		
 85.75   	237.73   	 38.39   	-167.85		 22.77   	 -40.69		 18.47   	-386.57		
 98.88   	266.42   	 37.72   	-167.85		 22.60   	 -15.26		 16.93   	-412.00		
 90.94   	241.09   	 37.05   	-152.59		 22.54   	 -20.35		 15.28   	-391.66		
 69.89   	175.48   	 36.44   	-137.33		 22.46   	 -35.61		 13.71   	-371.31		
 43.03   	 85.75   	 35.89   	-122.07		 22.32   	 -50.86		 12.23   	-340.79		
 17.09   	 -5.49   	 35.40   	-106.82		 22.12   	 -71.21		 10.86   	-315.36		
 -1.22   	-73.85   	 34.97   	 -96.64		 21.83   	 -96.64		  9.60   	-289.93		
 -8.24   	-105.59   	 34.59   	 -86.47		 21.44   	-122.07		  8.44   	-254.32		
 -7.02   	-106.20   	 34.24   	 -71.21		 20.96   	-142.42		  7.43   	-223.80		
 -3.66   	-94.60   	 33.96   	 -66.12		 20.39   	-162.77		  6.53   	-193.29		
 -3.05   	-87.89   	 33.69   	 -61.04		 19.74   	-162.77		  5.76   	-157.68		
 -5.80   	-92.16   	 33.45   	 -50.86		 19.08   	-142.42		  5.13   	-127.16		
 -9.46   	-102.84   	 33.25   	 -50.86		 18.51   	-116.99		  4.62   	-101.73		
-10.38   	-111.69   	 33.04   	 -45.78		 18.05   	 -91.56		  4.21   	 -66.12		
 -6.71   	-119.63   	 32.86   	 -45.78		 17.68   	 -76.30		  3.95   	 -45.78		
  7.02   	-139.16   	 32.68   	 -40.69		 17.38   	 -55.95		  3.76   	 -15.26		
 41.20   	-176.09   	 32.51   	 -45.78		 17.15   	 -30.52		  3.70(D)	   5.09		
 95.21   	-198.67   	 32.33   	 -50.86		 17.03   	 -20.35		  3.72   	  30.52		
132.45   	-146.48   	 32.13   	 -50.86		 16.95   	 -15.26		  3.85   	  55.95		
 84.53   	 -5.80   	 31.92   	 -55.95		 16.89   	 -10.17		  4.07   	  66.12		
-108.64   	139.77   	 31.70   	 -50.86		 16.85   	 -10.17		  4.33   	  81.38		
-446.17   	134.58   	 31.50   	 -61.04		 16.81   	  -5.09		  4.66   	  96.64		
-832.82   	-145.57   	 31.25   	 -55.95		 16.79   	 -15.26		  5.05   	 106.82		
-1113.89   	-652.16   	 31.03   	 -55.95		 16.72   	 -25.43		  5.47   	 116.99		
-1159.67   	-1132.81   	 30.80   	 -61.04		 16.62   	 -30.52		  5.94   	 116.99		
-945.43   	-1298.83(R)	 30.56   	 -55.95		 16.50   	 -35.61		  6.41(E)	 127.16		
-566.41   	-1047.36   	 30.34   	 -55.95		 16.36   	 -66.12		  6.92   	 137.33		
 71.41   	-53.10   	 30.11   	 -50.86		 16.09   	 -71.21		  7.47   	 132.25		
144.65   	165.41   	 29.91   	 -55.95		 15.81   	 -81.38		  8.00   	 137.33		
 -3.05   	-62.87   	 29.68   	 -45.78		 15.48   	 -81.38		  8.55   	 127.16		
-49.13   	-176.39   	 29.50   	 -45.78		 15.16   	 -71.21		  9.05   	 116.99		
-35.40   	-170.59   	 29.32   	 -40.69		 14.87   	 -55.95		  9.52   	 111.90		
  6.41   	-95.21   	 29.16   	 -40.69		 14.65   	 -20.35		  9.97   	 106.82		
 35.40   	-30.21   	 28.99   	 -35.61		 14.57(D)	  30.52		 10.40   	 106.82		
 35.40   	-16.48   	 28.85   	 -35.61		 14.69   	  71.21		 10.82   	 101.73		
 19.23   	-39.67   	 28.71   	 -35.61		 14.97   	  61.04		 11.23   	 106.82		
  7.32   	-62.56   	 28.57   	 -30.52		 15.22   	  30.52		 11.66   	 127.16		
  8.54   	-63.17   	 28.44   	 -30.52		 15.34   	  20.35		 12.17   	 137.33		
 16.17   	-45.47   	 28.32   	 -35.61		 15.42   	  20.35		 12.72   	 162.77		
 21.06   	-25.33   	 28.18   	 -35.61		 15.50   	  15.26		 13.37   	 188.20		
 20.45   	-14.95   	 28.04   	 -30.52		 15.56   	  10.17		 14.12   	 213.63		
 16.78   	-14.65   	 27.91   	 -35.61		 15.61   	  15.26		 14.97   	 244.15		
 14.65   	-17.70   	 27.77   	 -30.52		 15.67   	  40.69		 15.95   	 274.67		
 15.26   	-19.23   	 27.65   	 -35.61		 15.83   	  66.12		 17.05   	 310.27		
 18.92   	-16.78   	 27.51   	 -25.43		 16.09   	  81.38		 18.29   	 340.79		
 22.58   	-12.82   	 27.41   	 -25.43		 16.42   	  96.64		 19.65   	 366.22		
 25.02   	 -9.16   	 27.30   	 -10.17		 16.81   	 106.82		 21.12   	 396.74		
 25.94   	 -5.19   	 27.26(D)	   5.09		 17.23   	 101.73		 22.71   	 417.09		
 26.86   	  0.61   	 27.28   	  20.35		 17.64   	  91.56		 24.37   	 437.43		
 28.69   	  9.16   	 27.37   	  50.86		 18.01   	  81.38		 26.12   	 452.69		
 30.82   	 18.31   	 27.57   	  81.38		 18.33   	  81.38		 27.93   	 462.87		
 32.35   	 25.63   	 27.89   	 106.82		 18.66   	  96.64		 29.79   	 467.95		
 32.96   	 30.52   	 28.32   	 147.51		 19.04   	 106.82		 31.66   	 467.95		
 33.57   	 33.87   	 28.91   	 239.06		 19.47   	 137.33		 33.53   	 503.56		
 36.62   	 41.81   	 29.87   	 274.67		 20.02   	 152.59		 35.54   	 478.13		
 39.06   	 47.00   	 30.97   	 305.19		 20.63   	 167.85		 37.46   	 447.61		
 41.50   	 52.80   	 32.19   	 335.71		 21.30   	 178.03		 39.25   	 412.00		
 43.64   	 57.98   	 33.53   	 366.22		 22.01   	 193.29		 40.90   	 376.40		
 45.78   	 62.87   	 34.99   	 386.57		 22.79   	 208.54		 42.40   	 335.71		
 47.61   	 67.75   	 36.54   	 412.00		 23.62   	 218.72		 43.74   	 295.01		
 50.05   	 72.63   	 38.19   	 422.18		 24.50   	 218.72		 44.92   	 254.32		
 52.19   	 77.82   	 39.88   	 432.35		 25.37   	 213.63		 45.94   	 208.54		
 54.32   	 82.40   	 41.61   	 432.35		 26.23   	 208.54		 46.77   	 167.85		
 56.15   	 86.36   	 43.34   	 427.26		 27.06   	 193.29		 47.45   	 122.07		
 58.29   	 89.42   	 45.05   	 417.09		 27.83   	 178.03		 47.93   	  86.47		
 60.12   	 93.08   	 46.71   	 391.66		 28.55   	 162.77		 48.28   	  45.78		
 62.56   	 97.96   	 48.28   	 371.31		 29.20   	 152.59		 48.46   	  10.17		
 65.31   	104.98   	 49.77   	 330.62		 29.81   	 127.16		 48.50(S)	 -25.43		
 68.66   	113.22   	 51.09   	 300.10		 30.32   	 106.82		 48.40   	 -55.95		
 72.63   	121.77   	 52.29   	 254.32		 30.74   	  91.56		 48.18   	 -81.38		
 77.51   	129.70   	 53.31   	 203.46		 31.11   	  76.30		 47.85   	-111.90		
 83.31   	137.33   	 54.12   	 162.77		 31.41   	  61.04		 47.41   	-127.16		
 90.33   	146.48   	 54.77   	 116.99		 31.66   	  45.78		 46.90   	-147.51		
 98.88   	158.08   	 55.24   	  66.12		 31.84   	  40.69		 46.31   	-162.77		
108.64   	173.03   	 55.50   	  25.43		 32.00   	  25.43		 45.66   	-172.94		
119.63   	190.73   	 55.61(S)	 -15.26		 32.11   	  20.35		 44.96   	-188.20		
130.62   	208.44   	 55.54   	 -45.78		 32.19   	  10.17		 44.21   	-188.20		
139.77   	223.39   	 55.36   	 -76.30		 32.23   	   5.09		 43.46   	-198.37		
146.79   	231.63   	 55.06   	-142.42		 32.25(S)	 -15.26		 42.67   	-223.80		
148.93   	219.73   	 54.49   	-147.51		 32.19   	 -15.26		 41.77   	-223.80		
143.43   	199.58   	 53.90   	-162.77		 32.13   	 -30.52		 40.87   	-213.63		
133.97   	172.73   	 53.24   	-167.85		 32.00   	 -30.52		 40.02   	-218.72		
120.54   	143.13   	 52.57   	-172.94		 31.88   	 -50.86		 39.15   	-208.54		
105.29   	113.83   	 51.88   	-172.94		 31.68   	 -55.95		 38.31   	-208.54		
 90.33   	 87.59   	 51.19   	-172.94		 31.45   	 -81.38		 37.48   	-208.54		
 77.51   	 65.61   	 50.50   	-172.94		 31.13   	 -91.56		 36.64   	-208.54		
 68.36   	 47.91   	 49.81   	-172.94		 30.76   	-116.99		 35.81   	-213.63		
 61.65   	 33.26   	 49.11   	-172.94		 30.29   	-137.33		 34.95   	-218.72		
 56.15   	 21.36   	 48.42   	-172.94		 29.75   	-157.68		 34.08   	-228.89		
