SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RPA     	  RPA'		  RV     	  RV'		
 54.02   	 79.35   	 34.87   	 381.48		 20.12   	 193.29		 42.01   	 300.10		
 55.85   	 85.45   	 36.40   	 396.74		 20.90   	 188.20		 43.21   	 259.41		
 59.20   	 93.08   	 37.99   	 412.00		 21.65   	 188.20		 44.25   	 213.63		
 63.17   	100.40   	 39.63   	 417.09		 22.40   	 188.20		 45.11   	 172.94		
 67.44   	105.29   	 41.30   	 417.09		 23.15   	 183.11		 45.80   	 132.25		
 71.41   	106.81   	 42.97   	 406.92		 23.89   	 167.85		 46.33   	  86.47		
 75.07   	105.90   	 44.60   	 391.66		 24.56   	 152.59		 46.67   	  50.86		
 79.04   	104.68   	 46.16   	 371.31		 25.17   	 147.51		 46.88   	  15.26		
 83.01   	104.68   	 47.65   	 345.88		 25.76   	 137.33		 46.94(S)	 -15.26		
 87.59   	107.73   	 49.03   	 310.27		 26.31   	 132.25		 46.88   	 -50.86		
 92.16   	113.53   	 50.27   	 274.67		 26.84   	 122.07		 46.67   	 -76.30		
 97.05   	122.38   	 51.37   	 239.06		 27.32   	 111.90		 46.37   	-101.73		
102.54   	133.67   	 52.33   	 188.20		 27.77   	 101.73		 45.96   	-122.07		
109.86   	146.79   	 53.08   	 152.59		 28.18   	 101.73		 45.47   	-137.33		
118.71   	160.52   	 53.69   	 106.82		 28.59   	  91.56		 44.92   	-152.59		
129.39   	173.65   	 54.12   	  61.04		 28.95   	  81.38		 44.31   	-162.77		
140.38   	186.16   	 54.36   	  25.43		 29.28   	  76.30		 43.66   	-172.94		
151.37   	198.97   	 54.47(S)	 -10.17		 29.58   	  71.21		 42.97   	-183.11		
161.44   	211.79   	 54.43   	 -40.69		 29.87   	  55.95		 42.24   	-183.11		
169.07   	222.78   	 54.26   	 -96.64		 30.09   	  35.61		 41.51   	-208.54		
172.12   	223.08   	 53.88   	-116.99		 30.23   	  20.35		 40.67   	-208.54		
165.10   	207.82   	 53.41   	-127.16		 30.32(S)	  -5.09		 39.84   	-198.37		
153.20   	184.33   	 52.90   	-142.42		 30.29   	 -15.26		 39.04   	-198.37		
138.24   	157.17   	 52.33   	-142.42		 30.23   	 -30.52		 38.25   	-193.29		
121.77   	129.70   	 51.76   	-152.59		 30.11   	 -45.78		 37.48   	-183.11		
104.98   	104.37   	 51.15   	-152.59		 29.93   	 -66.12		 36.74   	-188.20		
 88.20   	 81.48   	 50.54   	-152.59		 29.66   	 -71.21		 35.99   	-183.11		
 72.94   	 62.26   	 49.93   	-152.59		 29.38   	 -81.38		 35.26   	-183.11		
 60.12   	 46.69   	 49.32   	-157.68		 29.05   	 -96.64		 34.53   	-193.29		
 50.35   	 35.40   	 48.69   	-157.68		 28.67   	-116.99		 33.75   	-193.29		
 42.72   	 26.86   	 48.06   	-157.68		 28.20   	-127.16		 32.98   	-208.54		
 36.32   	 19.53   	 47.43   	-162.77		 27.69   	-132.25		 32.15   	-213.63		
 31.43   	 12.51   	 46.77   	-172.94		 27.16   	-137.33		 31.29   	-228.89		
 27.77   	  7.02   	 46.08   	-178.03		 26.61   	-147.51		 30.38   	-239.06		
 26.25   	  4.88   	 45.37   	-183.11		 26.02   	-162.77		 29.42   	-259.41		
 27.47   	  8.54   	 44.64   	-198.37		 25.37   	-172.94		 28.38   	-269.58		
 30.52   	 19.84   	 43.85   	-203.46		 24.68   	-167.85		 27.30   	-289.93		
 34.18   	 39.06   	 43.03   	-208.54		 24.01   	-162.77		 26.14   	-305.19		
 37.54   	 65.00   	 42.20   	-203.46		 23.36   	-147.51		 24.92   	-325.53		
 40.59   	 95.52   	 41.38   	-208.54		 22.77   	-127.16		 23.62   	-345.88		
 46.39   	129.70   	 40.55   	-203.46		 22.26   	-122.07		 22.24   	-356.05		
 57.68   	167.85   	 39.74   	-193.29		 21.77   	-116.99		 20.81   	-361.14		
