SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  DAO     	  DAO'		
-258.18   	305.18   	 35.22   	 122.07		 62.05   	 417.09		
-244.75   	284.73   	 35.71   	 116.99		 63.72   	 452.69		
-232.85   	267.33   	 36.17   	  91.56		 65.53   	 498.47		
-222.47   	253.91   	 36.54   	  86.47		 67.53   	 564.60		
-212.40   	243.53   	 36.89   	  96.64		 69.79   	 620.55		
-201.72   	231.93   	 37.27   	 106.82		 72.27   	 651.07		
-191.35   	216.06   	 37.70   	  91.56		 74.87   	 635.81		
-181.27   	194.09   	 38.07   	  76.30		 77.42   	 584.94		
-172.12   	166.93   	 38.37   	  86.47		 79.76   	 549.34		
-163.88   	137.33   	 38.72   	 106.82		 81.95   	 513.73		
-155.03   	107.12   	 39.15   	 106.82		 84.01   	 498.47		
-144.35   	 80.26   	 39.57   	  86.47		 86.00   	 488.30		
-131.84   	 59.81   	 39.92   	  81.38		 87.95   	 483.21		
-118.10   	 45.47   	 40.24   	  71.21		 89.89   	 483.21		
-104.68   	 33.57   	 40.53   	  76.30		 91.82   	 467.95		
-92.77   	 17.70   	 40.83   	  55.95		 93.69   	 427.26		
-83.01   	 -6.10   	 41.06   	  40.69		 95.40   	 376.40		
-74.46   	-36.93   	 41.22   	  35.61		 96.91   	 320.45		
-65.31   	-70.80   	 41.36   	  25.43		 98.19   	 284.84		
-54.63   	-104.06   	 41.46   	  15.26		 99.33   	 239.06		
-41.50   	-135.50   	 41.53   	   5.09		100.28   	 208.54		
-26.25   	-167.24   	 41.55   	   5.09		101.12   	 183.11		
 -9.46   	-201.42   	 41.57   	   0.00		101.85   	 147.51		
  7.93   	-239.56   	 41.57   	  10.17		102.44   	 106.82		
 26.86   	-281.07   	 41.61   	   5.09		102.87   	  61.04		
 49.13   	-322.88   	 41.63   	  15.26		103.11   	  30.52		
 76.29   	-361.02   	 41.69   	  15.26		103.23   	  10.17		
108.03   	-392.15   	 41.75   	  15.26		103.28(S)	  -5.09		
142.21   	-414.12   	 41.81   	  20.35		103.25   	 -10.17		
173.95   	-430.30   	 41.89   	  15.26		103.21   	 -20.35		
199.58   	-445.25   	 41.95   	  15.26		103.13   	 -40.69		
215.15   	-463.87   	 42.01   	   5.09		102.97   	 -61.04		
