SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  DAO     	  DAO'		  RV     	  RV'		
 52.21   	 -66.12		 10.48   	-239.06		
 51.94   	 -66.12		  9.52   	-218.72		
 51.68   	 -61.04		  8.65   	-198.37		
 51.43   	 -50.86		  7.85   	-183.11		
 51.23   	 -50.86		  7.12   	-157.68		
 51.03   	 -45.78		  6.49   	-147.51		
 50.84   	 -55.95		  5.90   	-132.25		
 50.62   	 -55.95		  5.37   	-122.07		
 50.40   	 -50.86		  4.88   	-116.99		
 50.19   	 -40.69		  4.42   	 -96.64		
 50.03   	 -45.78		  4.03   	 -71.21		
 49.85   	 -40.69		  3.74   	 -61.04		
 49.68   	 -40.69		  3.50   	 -45.78		
 49.52   	 -50.86		  3.32   	 -40.69		
 49.32   	 -50.86		  3.15   	 -35.61		
 49.11   	 -50.86		  3.01   	 -35.61		
 48.91   	 -50.86		  2.87   	 -35.61		
 48.71   	 -45.78		  2.73   	 -30.52		
 48.52   	 -45.78		  2.60   	 -20.35		
 48.34   	 -50.86		  2.52   	  -5.09		
 48.14   	 -61.04		  2.50   	   5.09		
 47.89   	 -55.95		  2.52   	  10.17		
 47.67   	 -50.86		  2.56   	  15.26		
 47.47   	 -50.86		  2.62   	  10.17		
 47.26   	 -50.86		  2.67   	  -5.09		
 47.06   	 -35.61		  2.64   	 -15.26		
 46.92   	 -40.69		  2.58   	 -20.35		
 46.75   	 -40.69		  2.50   	 -20.35		
 46.59   	 -40.69		  2.42   	 -10.17		
 46.43   	 -45.78		  2.38(D)	   5.09		
 46.25   	 -40.69		  2.40   	  20.35		
 46.08   	 -25.43		  2.48   	  35.61		
 45.98   	 -35.61		  2.62   	  50.86		
 45.84   	 -40.69		  2.83   	  55.95		
 45.68   	 -40.69		  3.05   	  50.86		
 45.51   	 -45.78		  3.26   	  50.86		
 45.33   	 -35.61		  3.46   	  61.04		
 45.19   	 -35.61		  3.70   	  66.12		
 45.05   	 -40.69		  3.97   	  71.21		
 44.88   	 -40.69		  4.25   	  81.38		
 44.72   	 -50.86		  4.58   	  76.30		
 44.52   	 -50.86		  4.88   	  81.38		
 44.31   	 -50.86		  5.21   	  76.30		
 44.11   	 -40.69		  5.51   	  81.38		
 43.95   	 -45.78		  5.84   	  86.47		
 43.76   	 -45.78		  6.19   	  96.64		
 43.58   	 -40.69		  6.57   	 111.90		
 43.42   	 -40.69		  7.02   	 122.07		
 43.26   	 -45.78		  7.51   	 147.51		
 43.07   	 -40.69		  8.10   	 162.77		
 42.91   	 -35.61		  8.75   	 193.29		
 42.77   	 -40.69		  9.52   	 208.54		
 42.60   	 -40.69		 10.36   	 233.98		
 42.44   	 -40.69		 11.29   	 259.41		
 42.28   	 -30.52		 12.33   	 284.84		
 42.16   	 -30.52		 13.47   	 310.27		
 42.03   	 -25.43		 14.71   	 335.71		
 41.93   	 -45.78		 16.05   	 417.09		
 41.75   	 -30.52		 17.72   	 432.35		
 41.63   	 -10.17		 19.45   	 432.35		
 41.59(D)	  25.43		 21.18   	 427.26		
 41.69   	  76.30		 22.89   	 422.18		
 41.99   	 137.33		 24.58   	 412.00		
 42.54   	 198.37		 26.23   	 396.74		
 43.34   	 239.06		 27.81   	 381.48		
 44.29   	 284.84		 29.34   	 361.14		
 45.43   	 295.01		 30.78   	 345.88		
 46.61   	 300.10		 32.17   	 320.45		
 47.81   	 300.10		 33.45   	 305.19		
 49.01   	 289.93		 34.67   	 289.93		
 50.17   	 269.58		 35.83   	 274.67		
 51.25   	 239.06		 36.93   	 254.32		
 52.21   	 203.46		 37.94   	 233.98		
 53.02   	 157.68		 38.88   	 208.54		
