SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
 24.11   	-102.54   	  2.38   	 -15.26		 62.08   	-101.73		
 -5.19   	-138.55   	  2.32   	 -20.35		 61.67   	-106.82		
-37.23   	-171.51   	  2.24   	 -35.61		 61.24   	-111.90		
-71.41   	-197.45   	  2.10   	 -50.86		 60.79   	-106.82		
-99.49   	-211.79   	  1.89   	 -55.95		 60.37   	-106.82		
-113.22   	-213.01   	  1.67   	 -66.12		 59.94   	-106.82		
-111.39   	-206.60   	  1.40   	 -61.04		 59.51   	-106.82		
-101.93   	-200.50   	  1.16   	 -66.12		 59.08   	-106.82		
-95.21   	-199.89   	  0.90   	 -55.95		 58.66   	 -86.47		
-96.74   	-204.47   	  0.67   	 -45.78		 58.31   	 -81.38		
-103.76   	-209.96   	  0.49   	 -30.52		 57.99   	 -76.30		
-110.78   	-213.01   	  0.37   	 -15.26		 57.68   	 -71.21		
-114.44   	-214.23   	  0.31(D)	   5.09		 57.40   	 -71.21		
-114.14   	-214.54   	  0.33   	  20.35		 57.11   	 -71.21		
-112.61   	-214.54   	  0.41   	  45.78		 56.83   	 -71.21		
-111.08   	-214.54   	  0.59   	  71.21		 56.54   	 -71.21		
-109.86   	-213.32   	  0.87   	  86.47		 56.26   	 -81.38		
-109.25   	-211.18   	  1.22   	  96.64		 55.93   	 -71.21		
-108.95   	-208.74   	  1.61   	  96.64		 55.65   	 -61.04		
-108.34   	-206.60   	  1.99   	  96.64		 55.40   	 -61.04		
-107.42   	-204.77   	  2.38   	  96.64		 55.16   	 -55.95		
-105.90   	-203.55   	  2.77   	  96.64		 54.93   	 -45.78		
-102.54   	-202.33   	  3.15   	  91.56		 54.75   	 -50.86		
-95.21   	-196.84   	  3.52   	  81.38		 54.55   	 -50.86		
-75.99   	-183.11   	  3.85   	  71.21		 54.34   	 -50.86		
-31.74   	-158.69   	  4.13   	  66.12		 54.14   	 -61.04		
 49.13   	-120.54   	  4.39   	  55.95		 53.90   	 -61.04		
160.52   	-57.98   	  4.62   	  45.78		 53.65   	 -61.04		
272.52   	 48.83   	  4.80   	  40.69		 53.41   	 -55.95		
334.78   	215.76   	  4.96   	  30.52		 53.18   	 -50.86		
287.48   	419.92   	  5.09   	  30.52		 52.98   	 -55.95		
-265.81   	594.48   	  5.21   	  30.52		 52.76   	 -50.86		
-689.70   	367.74   	  5.33   	  20.35		 52.55   	 -50.86		
-1072.39   	-68.66   	  5.41   	  15.26		 52.35   	 -50.86		
-1300.66   	-569.76   	  5.47   	   5.09		 52.15   	 -55.95		
-1313.78   	-945.74   	  5.49   	  -5.09		 51.92   	 -50.86		
-1130.68   	-1063.23(R)	  5.47(E)	 -15.26		 51.72   	 -45.78		
-828.55   	-921.02   	  5.41   	 -25.43		 51.54   	 -45.78		
-498.35   	-632.93   	  5.31   	 -30.52		 51.35   	 -50.86		
-216.06   	-345.76   	  5.19   	 -35.61		 51.15   	 -45.78		
-32.04   	-157.47   	  5.05   	 -35.61		 50.97   	 -45.78		
 39.37   	-86.36   	  4.90   	 -20.35		 50.78   	 -45.78		
 24.11   	-94.91   	  4.82   	   0.00		 50.60   	 -45.78		
-25.02   	-129.09   	  4.82   	  15.26		 50.42   	 -45.78		
-57.98   	-150.15   	  4.88   	  35.61		 50.23   	 -50.86		
-53.41   	-146.79   	  5.03   	  55.95		 50.03   	 -40.69		
-23.80   	-126.95   	  5.25   	  81.38		 49.87   	 -45.78		
  3.66   	-105.90   	  5.57   	 127.16		 49.68   	 -40.69		
 13.73   	-93.38   	  6.08   	 162.77		 49.52   	 -35.61		
 10.38   	-90.33   	  6.73   	 208.54		 49.38   	 -30.52		
  7.63   	-89.72   	  7.57   	 274.67		 49.26   	 -40.69		
 12.21   	-85.14   	  8.67   	 361.14		 49.09   	 -50.86		
 21.06   	-75.68   	 10.11   	 417.09		 48.89   	 -45.78		
 29.91   	-64.70   	 11.78   	 462.87		 48.71   	 -40.69		
 36.62   	-55.24   	 13.63   	 473.04		 48.55   	 -40.69		
 41.20   	-47.61   	 15.52   	 544.25		 48.38   	 -35.61		
 48.52   	-33.57   	 17.70   	 554.42		 48.24   	 -40.69		
 53.41   	-25.63   	 19.92   	 549.34		 48.08   	 -30.52		
 59.20   	-17.70   	 22.12   	 534.08		 47.96   	 -35.61		
 65.31   	-10.38   	 24.25   	 503.56		 47.81   	 -35.61		
 71.41   	 -3.36   	 26.27   	 483.21		 47.67   	 -40.69		
 77.82   	  2.44   	 28.20   	 498.47		 47.51   	 -40.69		
 84.23   	  8.24   	 30.19   	 549.34		 47.34   	 -35.61		
 90.64   	 14.65   	 32.39   	 564.60		 47.20   	 -30.52		
 97.05   	 21.67   	 34.65   	 539.16		 47.08   	 -30.52		
102.84   	 29.91   	 36.81   	 467.95		 46.96   	 -25.43		
108.95   	 38.45   	 38.68   	 396.74		 46.86   	 -25.43		
115.05   	 47.00   	 40.26   	 325.53		 46.75   	 -25.43		
121.15   	 55.24   	 41.57   	 254.32		 46.65   	 -30.52		
127.26   	 63.17   	 42.58   	 167.85		 46.53   	 -30.52		
133.06   	 70.50   	 43.26   	  76.30		 46.41   	 -35.61		
138.85   	 78.74   	 43.56   	  10.17		 46.27   	 -40.69		
144.96   	 87.28   	 43.60   	 -35.61		 46.10   	 -30.52		
151.67   	 96.74   	 43.46   	 -45.78		 45.98   	 -25.43		
158.69   	106.51   	 43.28   	 -50.86		 45.88   	 -20.35		
166.32   	116.88   	 43.07   	 -45.78		 45.80   	 -25.43		
174.56   	127.87   	 42.89   	 -20.35		 45.70   	 -20.35		
183.11   	139.47   	 42.81   	  -5.09		 45.62   	 -25.43		
192.26   	152.59   	 42.79   	  25.43		 45.51   	 -25.43		
202.03   	167.24   	 42.89   	  50.86		 45.41   	 -20.35		
211.79   	182.80   	 43.09   	  76.30		 45.33   	 -25.43		
221.56   	198.36   	 43.40   	  96.64		 45.23   	 -25.43		
230.71   	213.62   	 43.78   	 122.07		 45.13   	 -20.35		
239.26   	228.88   	 44.27   	 142.42		 45.05   	 -10.17		
247.80   	245.67   	 44.84   	 157.68		 45.00   	  -5.09		
256.65   	263.67   	 45.47   	 157.68		 44.98   	  -5.09		
266.72   	282.90   	 46.10   	 172.94		 44.96(D)	  15.26		
277.40   	303.04   	 46.80   	 172.94		 45.03   	  30.52		
288.39   	323.49   	 47.49   	 172.94		 45.15   	  61.04		
299.38   	344.85   	 48.18   	 178.03		 45.39   	  91.56		
310.06   	367.13   	 48.89   	 178.03		 45.76   	 122.07		
320.43   	389.40   	 49.60   	 178.03		 46.25   	 157.68		
330.51   	411.38   	 50.32   	 162.77		 46.88   	 178.03		
339.97   	432.74   	 50.97   	 157.68		 47.59   	 188.20		
348.51   	452.88   	 51.60   	 142.42		 48.34   	 193.29		
354.61   	471.50   	 52.17   	 132.25		 49.11   	 183.11		
356.45   	485.84   	 52.70   	 111.90		 49.85   	 178.03		
352.17   	491.94   	 53.14   	  96.64		 50.56   	 178.03		
339.97   	485.84   	 53.53   	  81.38		 51.27   	 178.03		
319.52   	465.09   	 53.86   	  66.12		 51.98   	 188.20		
292.05   	429.99   	 54.12   	  55.95		 52.74   	 193.29		
259.40   	382.39   	 54.34   	  45.78		 53.51   	 208.54		
223.39   	325.93   	 54.53   	  45.78		 54.34   	 213.63		
