SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
 93.08   	353.09   	  8.12   	   5.09		
 72.33   	328.98   	  8.14   	  10.17		
 33.87   	287.17   	  8.18   	   5.09		
-19.84   	231.93   	  8.20   	  10.17		
-77.21   	174.56   	  8.24   	  15.26		
-125.12   	129.70   	  8.30   	  15.26		
-153.20   	106.20   	  8.36   	  15.26		
-162.05   	101.62   	  8.42   	  15.26		
-161.13   	105.29   	  8.48   	  25.43		
-160.22   	106.51   	  8.59   	  20.35		
-164.18   	102.23   	  8.67   	  15.26		
-171.51   	 94.30   	  8.73   	  10.17		
-177.92   	 88.50   	  8.77   	  10.17		
-179.75   	 87.89   	  8.81   	   0.00		
-177.31   	 90.64   	  8.81   	 -15.26		
-174.26   	 92.77   	  8.75   	 -20.35		
-173.65   	 90.94   	  8.67   	 -30.52		
-176.39   	 86.06   	  8.55   	 -40.69		
-181.58   	 80.87   	  8.38   	 -25.43		
-185.55   	 77.82   	  8.28   	   5.09		
-186.77   	 78.13   	  8.30   	  20.35		
-185.85   	 80.26   	  8.38   	   5.09		
-184.94   	 81.79   	  8.40   	   0.00		
-188.90   	 80.26   	  8.40   	   0.00		
-202.03   	 75.07   	  8.40   	 -10.17		
-222.17   	 67.75   	  8.36   	  -5.09		
-239.56   	 64.70   	  8.34   	   5.09		
-233.15   	 75.99   	  8.36(E)	   5.09		
-171.51   	121.77   	  8.38   	  15.26		
-21.06   	229.19   	  8.44   	  40.69		
239.56   	421.14   	  8.61   	  55.95		
603.03   	700.99   	  8.83   	  61.04		
1020.81   	1033.02   	  9.07   	  71.21		
1404.11   	1342.77   	  9.36   	 147.51		
1664.12   	1570.43(R)	  9.95   	  71.21		
1423.03   	1407.78   	 10.23   	  61.04		
966.49   	1085.82   	 10.48   	  50.86		
394.59   	664.37   	 10.68   	  45.78		
-161.74   	218.81   	 10.86   	  20.35		
-576.17   	-160.83   	 10.95   	   5.09		
-769.04   	-390.32   	 10.97   	 -15.26		
-732.42   	-422.06   	 10.91   	 -15.26		
-534.97   	-280.76   	 10.84   	  10.17		
-294.19   	-61.95   	 10.89   	  10.17		
-120.24   	119.02   	 10.93   	  10.17		
-61.65   	193.18   	 10.97   	   0.00		
-91.25   	171.51   	 10.97   	   5.09		
-143.74   	115.66   	 10.99   	 106.82		
-167.54   	 81.79   	 11.41   	 259.41		
-153.20   	 87.89   	 12.45   	 295.01		
-121.77   	115.05   	 13.63   	 340.79		
-99.18   	137.02   	 14.99   	 386.57		
-94.30   	143.13   	 16.54   	 406.92		
-97.96   	139.16   	 18.17   	 432.35		
-98.88   	136.72   	 19.90   	 447.61		
-92.16   	141.60   	 21.69   	 442.52		
-81.18   	151.67   	 23.46   	 437.43		
-71.11   	161.74   	 25.21   	 473.04		
-65.31   	166.93   	 27.10   	 976.60		
-60.12   	164.79   	 31.01   	 452.69		
-54.63   	166.63   	 32.82   	 432.35		
-45.47   	174.26   	 34.55   	 432.35		
-35.40   	185.85   	 36.28   	 427.26		
-26.55   	197.75   	 37.99   	 422.18		
-19.84   	206.60   	 39.67   	 457.78		
-14.65   	211.18   	 41.51   	 579.86		
 -9.16   	213.01   	 43.82   	 656.15		
 -1.53   	216.06   	 46.45   	 651.07		
  9.77   	223.69   	 49.05   	 610.37		
 22.89   	235.29   	 51.50   	 569.68		
 35.10   	247.50   	 53.77   	 493.39		
 44.56   	256.96   	 55.75   	 381.48		
 51.57   	262.76   	 57.27   	 269.58		
 57.98   	266.72   	 58.35   	 167.85		
 65.92   	272.52   	 59.02   	  81.38		
 74.77   	280.76   	 59.35   	   5.09		
 82.40   	289.31   	 59.37(S)	 -61.04		
 87.89   	296.63   	 59.12   	-127.16		
 92.16   	301.21   	 58.62   	-178.03		
 97.66   	304.57   	 57.90   	-228.89		
106.20   	309.14   	 56.99   	-254.32		
116.27   	314.94   	 55.97   	-289.93		
126.04   	320.74   	 54.81   	-289.93		
133.06   	325.93   	 53.65   	-549.34		
139.47   	331.73   	 51.45   	-254.32		
142.52   	334.17   	 50.44   	-239.06		
145.87   	336.91   	 49.48   	-223.80		
149.23   	339.66   	 48.59   	-208.54		
152.59   	343.32   	 47.75   	-188.20		
155.64   	347.60   	 47.00   	-172.94		
158.39   	352.17   	 46.31   	-142.42		
160.83   	355.83   	 45.74   	-111.90		
162.96   	358.89   	 45.29   	 -96.64		
166.02   	361.33   	 44.90   	 -76.30		
170.59   	364.07   	 44.60   	 -71.21		
175.78   	365.91   	 44.31   	 -55.95		
180.05   	366.52   	 44.09   	 -50.86		
181.58   	364.99   	 43.89   	 -50.86		
180.66   	363.16   	 43.68   	 -45.78		
179.44   	363.16   	 43.50   	 -45.78		
179.44   	364.69   	 43.32   	 -50.86		
179.75   	365.60   	 43.11   	 -55.95		
177.31   	364.07   	 42.89   	 -61.04		
171.51   	358.28   	 42.64   	 -76.30		
161.44   	348.21   	 42.34   	 -86.47		
148.01   	334.78   	 41.99   	-101.73		
132.14   	318.60   	 41.59   	-122.07		
113.83   	300.90   	 41.10   	-132.25		
 94.91   	284.12   	 40.57   	-147.51		
 75.68   	268.55   	 39.98   	-157.68		
 56.15   	253.91   	 39.35   	-172.94		
 36.62   	238.95   	 38.66   	-178.03		
 16.78   	223.08   	 37.94   	-183.11		
 -3.05   	206.91   	 37.21   	-178.03		
-20.75   	191.35   	 36.50   	-178.03		
-36.62   	177.31   	 35.79   	-167.85		
-50.35   	164.49   	 35.12   	-157.68		
-61.95   	153.20   	 34.49   	-157.68		
-71.41   	144.04   	 33.86   	-152.59		
-78.43   	137.02   	 33.25   	-157.68		
-83.31   	132.14   	 32.61   	-162.77		
-86.67   	128.78   	 31.96   	-172.94		
-87.89   	126.34   	 31.27   	-188.20		
-87.59   	126.04   	 30.52   	-218.72		
-85.45   	127.56   	 29.64   	-249.24		
-82.09   	131.53   	 28.65   	-269.58		
-78.74   	135.80   	 27.57   	-305.19		
-76.60   	138.24   	 26.35   	-340.79		
-76.29   	137.94   	 24.98   	-335.71		
-78.13   	134.58   	 23.64   	-340.79		
-81.48   	129.70   	 22.28   	-427.26		
-85.14   	126.04   	 20.57   	-457.78		
-86.67   	124.51   	 18.74   	-427.26		
-85.75   	125.73   	 17.03   	-437.43		
-82.40   	128.78   	 15.28   	-457.78		
-78.74   	133.06   	 13.45   	-417.09		
-77.21   	136.72   	 11.78   	-391.66		
-77.51   	139.47   	 10.21   	-381.48		
-78.43   	141.91   	  8.69   	-345.88		
-78.74   	143.43   	  7.30   	-300.10		
-79.35   	143.13   	  6.10   	-269.58		
-82.70   	140.69   	  5.03   	-244.15		
-89.11   	136.11   	  4.05   	-213.63		
-97.35   	130.31   	  3.19   	-183.11		
-103.15   	125.73   	  2.46   	-157.68		
-104.37   	124.51   	  1.83   	-132.25		
-102.54   	124.51   	  1.30   	-111.90		
-101.32   	123.90   	  0.85   	-101.73		
-102.84   	121.46   	  0.45   	 -96.64		
-106.20   	118.71   	  0.06   	-101.73		
-108.95   	116.88   	 -0.35   	 -71.21		
-110.17   	116.88   	 -0.63   	 -45.78		
-110.17   	117.49   	 -0.81   	 -35.61		
-110.17   	117.19   	 -0.96(D)	   0.00		
-111.39   	115.97   	 -0.96   	  30.52		
-112.61   	114.44   	 -0.83   	  61.04		
-112.92   	113.22   	 -0.59   	  76.30		
-112.92   	112.00   	 -0.28   	  86.47		
-113.83   	110.17   	  0.06   	  91.56		
-116.27   	107.12   	  0.43   	 111.90		
-120.24   	104.68   	  0.87   	 111.90		
-123.60   	103.76   	  1.32   	 116.99		
-124.82   	104.06   	  1.79   	 106.82		
-123.90   	105.29   	  2.22   	 111.90		
-122.68   	105.29   	  2.67   	 111.90		
-122.07   	103.15   	  3.11   	 101.73		
-122.68   	100.71   	  3.52   	 101.73		
-123.29   	100.40   	  3.93   	  96.64		
-122.38   	102.54   	  4.31   	  91.56		
-120.85   	105.59   	  4.68   	  86.47		
-120.85   	105.59   	  5.03   	  81.38		
-123.29   	101.62   	  5.35   	  61.04		
-127.56   	 94.91   	  5.60   	  40.69		
-130.62   	 90.33   	  5.76   	  10.17		
-130.62   	 90.33   	  5.80   	   0.00		
-129.39   	 93.99   	  5.80   	 -20.35		
-128.78   	 97.05   	  5.72   	 -30.52		
-130.31   	 96.74   	  5.60   	 -25.43		
-132.45   	 92.77   	  5.49   	 -15.26		
-133.06   	 88.81   	  5.43   	 -15.26		
-130.62   	 87.28   	  5.37   	 -10.17		
-126.34   	 88.50   	  5.33   	  10.17		
-122.38   	 90.94   	  5.37   	  20.35		
-121.46   	 92.16   	  5.45   	  30.52		
-122.99   	 91.86   	  5.57   	  30.52		
-126.04   	 91.55   	  5.70   	  35.61		
-128.78   	 92.77   	  5.84   	  35.61		
-130.00   	 95.52   	  5.98   	  45.78		
-129.39   	 99.79   	  6.16   	  50.86		
-127.56   	103.15   	  6.37   	  55.95		
-125.43   	104.37   	  6.59   	  61.04		
-123.90   	102.54   	  6.84   	  71.21		
-123.29   	 98.57   	  7.12   	  66.12		
-123.60   	 95.21   	  7.39   	  61.04		
-123.90   	 93.69   	  7.63   	  55.95		
-122.99   	 95.83   	  7.85   	  55.95		
-119.93   	101.32   	  8.08   	  40.69		
-114.44   	108.64   	  8.24   	  35.61		
-106.81   	116.27   	  8.38   	  15.26		
-98.27   	123.60   	  8.44   	   5.09		
-89.42   	130.92   	  8.46   	   0.00		
-77.51   	141.60   	  8.46   	  -5.09		
-59.81   	159.30   	  8.44   	 -15.26		
-35.40   	184.63   	  8.38   	 -10.17		
 -8.24   	214.23   	  8.34   	  -5.09		
 16.17   	241.70   	  8.32   	  -5.09		
 33.87   	262.15   	  8.30   	 -10.17		
 46.69   	276.49   	  8.26   	 -10.17		
 59.81   	290.22   	  8.22   	   0.00		
 77.21   	307.01   	  8.22   	  -5.09		
 96.44   	325.01   	  8.20   	  -5.09		
111.69   	338.13   	  8.18   	 -10.17		
119.63   	342.10   	  8.14   	   0.00		
120.54   	337.52   	  8.14   	   0.00		
116.58   	328.37   	  8.14   	   0.00		
108.64   	317.08   	  8.14   	  -5.09		
 93.38   	300.90   	  8.12   	   0.00		
 65.00   	273.74   	  8.12   	   5.09		
 22.89   	232.24   	  8.14   	   5.09		
-28.38   	180.36   	  8.16   	   5.09		
-78.13   	129.39   	  8.18   	  15.26		
-115.66   	 92.77   	  8.24   	  15.26		
-134.89   	 77.21   	  8.30   	  20.35		
-139.16   	 79.96   	  8.38   	  20.35		
-137.33   	 87.89   	  8.46   	  25.43		
-138.85   	 89.72   	  8.57   	  30.52		
-146.18   	 81.79   	  8.69   	  25.43		
-156.86   	 68.66   	  8.79   	  15.26		
-164.49   	 57.98   	  8.85   	  20.35		
-165.41   	 54.63   	  8.93   	  10.17		
-160.52   	 57.07   	  8.97   	   0.00		
-154.42   	 61.34   	  8.97   	 -15.26		
-150.76   	 64.39   	  8.91   	 -25.43		
-151.67   	 64.39   	  8.81   	 -40.69		
-155.94   	 61.34   	  8.65   	 -30.52		
-162.05   	 56.46   	  8.52   	  -5.09		
-166.93   	 51.88   	  8.50(E)	  10.17		
-169.68   	 50.05   	  8.55   	  20.35		
-173.03   	 51.27   	  8.63   	  15.26		
-181.88   	 51.88   	  8.69   	  15.26		
-199.28   	 49.13   	  8.75   	  10.17		
-220.34   	 43.03   	  8.79   	  10.17		
-227.66   	 43.64   	  8.83   	  25.43		
-189.51   	 71.11   	  8.93   	  35.61		
-68.97   	154.72   	  9.07   	  45.78		
159.91   	321.66   	  9.26   	  55.95		
497.74   	581.05   	  9.48   	  76.30		
905.15   	905.46   	  9.79   	  86.47		
1305.85   	1229.86   	 10.13   	  96.64		
1600.65   	1470.64(R)	 10.52   	 183.11		
1541.75   	1459.66   	 11.25   	  86.47		
1150.21   	1191.71   	 11.60   	  66.12		
600.89   	799.56   	 11.86   	  40.69		
 18.31   	350.04   	 12.02   	   0.00		
-460.82   	-68.66   	 12.02   	 -30.52		
-732.42   	-360.72   	 11.90   	 -61.04		
-762.63   	-458.07   	 11.66   	 -55.95		
-599.67   	-360.72   	 11.43   	 -30.52		
-355.22   	-149.23   	 11.31   	 -15.26		
-151.06   	 54.32   	 11.25   	 -15.26		
-58.59   	160.22   	 11.19   	 -15.26		
-71.41   	157.78   	 11.13   	   0.00		
-128.17   	102.84   	 11.13   	  50.86		
-167.24   	 60.12   	 11.33   	 167.85		
-165.10   	 58.59   	 12.00   	 249.24		
-137.02   	 84.23   	 13.00   	 274.67		
-111.08   	108.95   	 14.10   	 345.88		
-101.01   	117.49   	 15.48   	 396.74		
-103.15   	113.53   	 17.07   	 401.83		
-104.68   	108.64   	 18.68   	 432.35		
-99.49   	111.08   	 20.41   	 462.87		
-89.11   	119.63   	 22.26   	 478.13		
-78.13   	131.53   	 24.17   	 498.47		
-69.27   	143.13   	 26.16   	 518.82		
-62.87   	151.67   	 28.24   	1022.38		
-54.63   	160.52   	 32.33   	 483.21		
-49.13   	164.18   	 34.26   	 462.87		
-42.11   	169.98   	 36.11   	 432.35		
-34.48   	178.22   	 37.84   	 396.74		
-27.16   	187.99   	 39.43   	 361.14		
-20.75   	196.53   	 40.87   	 345.88		
-15.56   	202.33   	 42.26   	 325.53		
-10.38   	205.38   	 43.56   	 300.10		
 -3.36   	208.44   	 44.76   	 295.01		
  6.41   	213.93   	 45.94   	 350.97		
 17.70   	222.78   	 47.34   	 534.08		
 29.30   	233.15   	 49.48   	 630.72		
 39.37   	242.92   	 52.00   	 564.60		
 47.61   	251.46   	 54.26   	 518.82		
 54.02   	257.57   	 56.34   	 478.13		
 58.59   	261.23   	 58.25   	 356.05		
 62.26   	263.98   	 59.67   	 213.63		
 66.22   	266.72   	 60.53   	  86.47		
 71.41   	271.91   	 60.87(S)	 -25.43		
 79.65   	279.85   	 60.77   	-116.99		
 90.03   	290.53   	 60.30   	-188.20		
100.40   	300.60   	 59.55   	-249.24		
108.95   	308.23   	 58.56   	-295.01		
115.36   	312.19   	 57.38   	-340.79		
119.93   	314.64   	 56.01   	-701.93		
130.00   	321.96   	 53.20   	-350.97		
136.11   	328.37   	 51.80   	-335.71		
141.30   	334.17   	 50.46   	-325.53		
144.96   	338.13   	 49.16   	-315.36		
147.09   	340.27   	 47.89   	-284.84		
148.62   	341.80   	 46.75   	-254.32		
150.45   	343.32   	 45.74   	-213.63		
153.50   	345.46   	 44.88   	-178.03		
157.78   	348.21   	 44.17   	-152.59		
162.05   	351.56   	 43.56   	-122.07		
166.02   	355.53   	 43.07   	 -96.64		
169.37   	359.80   	 42.69   	 -81.38		
170.59   	362.85   	 42.36   	 -71.21		
169.98   	363.77   	 42.08   	 -45.78		
168.76   	362.85   	 41.89   	 -30.52		
168.15   	362.24   	 41.77   	 -25.43		
168.46   	362.55   	 41.67   	 -30.52		
167.85   	363.16   	 41.55   	 -35.61		
164.18   	361.02   	 41.40   	 -40.69		
155.94   	354.31   	 41.24   	 -55.95		
143.43   	342.41   	 41.02   	 -76.30		
126.34   	325.93   	 40.71   	 -81.38		
104.68   	306.70   	 40.39   	 -91.56		
 79.35   	285.03   	 40.02   	-106.82		
 52.80   	263.06   	 39.59   	-127.16		
 29.30   	242.92   	 39.08   	-137.33		
 11.29   	227.36   	 38.53   	-157.68		
 -2.75   	214.54   	 37.90   	-167.85		
-16.78   	202.33   	 37.23   	-183.11		
-33.57   	188.60   	 36.50   	-188.20		
-51.57   	173.34   	 35.75   	-178.03		
-68.05   	159.00   	 35.04   	-178.03		
-81.48   	146.79   	 34.32   	-178.03		
-92.16   	136.11   	 33.61   	-188.20		
-101.93   	127.26   	 32.86   	-183.11		
-110.47   	120.24   	 32.13   	-178.03		
-116.88   	116.27   	 31.41   	-183.11		
-119.63   	115.36   	 30.68   	-198.37		
-119.63   	116.27   	 29.89   	-218.72		
-119.93   	115.97   	 29.01   	-239.06		
-121.77   	114.44   	 28.06   	-269.58		
-124.51   	112.92   	 26.98   	-300.10		
-126.34   	113.53   	 25.78   	-335.71		
-126.34   	116.27   	 24.44   	-325.53		
-126.04   	118.41   	 23.13   	-330.62		
-126.95   	118.41   	 21.81   	-417.09		
-128.78   	116.27   	 20.14   	-442.52		
-129.70   	114.75   	 18.37   	-427.26		
-127.87   	116.27   	 16.66   	-432.35		
-123.90   	120.85   	 14.93   	-457.78		
-119.32   	126.34   	 13.10   	-432.35		
-116.27   	129.70   	 11.37   	-401.83		
-115.36   	130.92   	  9.77   	-391.66		
-115.97   	130.00   	  8.20   	-371.31		
-118.41   	127.26   	  6.71   	-335.71		
-122.99   	123.60   	  5.37   	-305.19		
-129.09   	119.32   	  4.15   	-259.41		
-134.58   	115.36   	  3.11   	-228.89		
-137.63   	112.92   	  2.20   	-208.54		
-137.33   	113.53   	  1.36   	-188.20		
-134.58   	115.97   	  0.61   	-152.59		
-133.06   	118.10   	  0.00   	-122.07		
-134.89   	117.49   	 -0.49   	-116.99		
-139.16   	114.14   	 -0.96   	-111.90		
-144.04   	109.86   	 -1.40   	-106.82		
-147.09   	106.20   	 -1.83   	 -61.04		
-147.09   	104.98   	 -2.08   	 -40.69		
-145.57   	104.98   	 -2.24   	 -71.21		
-144.96   	104.37   	 -2.52   	 -61.04		
-146.48   	101.93   	 -2.77   	 -25.43		
-150.76   	 98.57   	 -2.87   	 -20.35		
-155.64   	 95.52   	 -2.95(D)	   0.00		
-158.69   	 94.30   	 -2.95   	  45.78		
-158.69   	 94.60   	 -2.77   	  86.47		
-155.94   	 95.83   	 -2.42   	 106.82		
-152.59   	 97.35   	 -1.99   	 106.82		
-151.37   	 98.27   	 -1.57   	 116.99		
-153.81   	 97.96   	 -1.10   	 127.16		
-158.08   	 96.44   	 -0.59   	 127.16		
-162.05   	 94.91   	 -0.08   	 116.99		
-162.05   	 94.91   	  0.39   	 127.16		
-159.00   	 96.44   	  0.90   	 147.51		
-155.03   	 98.27   	  1.49   	 142.42		
-154.72   	 97.66   	  2.05   	 122.07		
-159.30   	 93.99   	  2.54   	 106.82		
-164.79   	 89.72   	  2.97   	 111.90		
-167.85   	 88.50   	  3.42   	 106.82		
-166.32   	 90.33   	  3.85   	  86.47		
-162.96   	 93.08   	  4.19   	  61.04		
-161.74   	 93.99   	  4.44   	  25.43		
-163.88   	 92.77   	  4.54   	  10.17		
-167.24   	 91.25   	  4.58   	 -15.26		
-169.37   	 90.94   	  4.52   	 -25.43		
-169.37   	 91.55   	  4.42   	 -35.61		
-167.85   	 91.55   	  4.27   	 -30.52		
-166.02   	 91.25   	  4.15   	 -20.35		
-164.18   	 90.64   	  4.07   	 -15.26		
-164.18   	 89.72   	  4.01   	  -5.09		
-166.63   	 87.59   	  3.99   	   5.09		
-171.51   	 84.23   	  4.01   	  15.26		
-175.78   	 82.09   	  4.07   	  25.43		
-176.70   	 83.31   	  4.17   	  35.61		
-172.42   	 89.42   	  4.31   	  45.78		
-165.41   	 97.05   	  4.50   	  45.78		
-160.22   	101.62   	  4.68   	  55.95		
-159.30   	100.71   	  4.90   	  61.04		
-162.05   	 95.83   	  5.15   	  66.12		
-165.10   	 91.25   	  5.41   	  66.12		
-165.41   	 89.72   	  5.68   	  66.12		
-161.44   	 91.86   	  5.94   	  55.95		
-154.72   	 96.13   	  6.16   	  50.86		
-148.62   	100.40   	  6.37   	  50.86		
-144.35   	104.37   	  6.57   	  35.61		
-142.21   	108.64   	  6.71   	  30.52		
-142.21   	112.61   	  6.84   	  10.17		
-142.21   	114.44   	  6.88   	   5.09		
-142.21   	112.92   	  6.90   	  -5.09		
-139.77   	110.17   	  6.88   	  -5.09		
-132.14   	112.00   	  6.86   	 -10.17		
-115.36   	126.04   	  6.82   	 -15.26		
-88.81   	153.81   	  6.75   	 -15.26		
-57.68   	189.51   	  6.69   	  -5.09		
-29.60   	221.86   	  6.67   	 -10.17		
-10.99   	241.39   	  6.63   	 -10.17		
 -1.83   	248.41   	  6.59   	  -5.09		
  5.49   	252.08   	  6.57   	   0.00		
 18.92   	263.67   	  6.57   	   5.09		
 41.50   	285.95   	  6.59   	   0.00		
 67.44   	312.19   	  6.59   	   0.00		
 87.59   	331.42   	  6.59   	   0.00		
 96.13   	337.22   	  6.59   	   0.00		
 93.08   	331.12   	  6.59   	   0.00		
 81.48   	317.99   	  6.59   	  -5.09		
 63.17   	300.29   	  6.57   	   0.00		
 36.93   	275.57   	  6.57   	   5.09		
 -0.61   	239.87   	  6.59   	  10.17		
-48.83   	193.18   	  6.63   	   5.09		
-99.79   	143.43   	  6.65   	  10.17		
-142.52   	102.54   	  6.69   	  20.35		
-168.76   	 78.74   	  6.78   	  25.43		
-177.00   	 71.72   	  6.88   	  25.43		
-175.48   	 74.16   	  6.98   	  30.52		
-173.65   	 75.68   	  7.10   	  40.69		
-177.31   	 72.02   	  7.26   	  35.61		
-184.94   	 65.00   	  7.41   	  30.52		
-191.96   	 58.90   	  7.53   	  30.52		
-194.70   	 56.15   	  7.65   	  25.43		
-195.62   	 54.93   	  7.75   	  20.35		
-197.75   	 52.19   	  7.83   	   5.09		
-201.11   	 48.52   	  7.85   	  -5.09		
-203.55   	 45.78   	  7.83   	 -15.26		
-202.03   	 47.61   	  7.77   	 -25.43		
-196.53   	 53.71   	  7.67   	 -45.78		
-190.12   	 60.73   	  7.49   	 -61.04		
-187.38   	 63.78   	  7.24   	 -71.21		
-191.35   	 61.04   	  6.96   	 -66.12		
-204.47   	 51.88   	  6.69   	 -30.52		
-226.44   	 37.84   	  6.57   	  15.26		
-253.60   	 22.28   	  6.63(E)	  55.95		
-274.05   	 12.51   	  6.86   	 106.82		
-261.84   	 23.80   	  7.28   	 132.25		
-180.97   	 81.79   	  7.81   	 157.68		
  2.75   	214.54   	  8.44   	 172.94		
303.96   	440.06   	  9.14   	 188.20		
698.85   	745.54   	  9.89   	 183.11		
1120.61   	1078.80   	 10.62   	 172.94		
1473.69   	1361.08   	 11.31   	 239.06		
1613.77   	1509.70(R)	 12.27   	  66.12		
1325.68   	1333.92   	 12.53   	  25.43		
850.22   	1021.73   	 12.63   	 -20.35		
284.73   	616.15   	 12.55   	 -71.21		
-250.55   	178.22   	 12.27   	-116.99		
-641.17   	-205.69   	 11.80   	-127.16		
-816.65   	-442.81   	 11.29   	-111.90		
-770.57   	-476.07   	 10.84   	-106.82		
-569.76   	-328.06   	 10.42   	-127.16		
-327.45   	-99.49   	  9.91   	-127.16		
-150.15   	 88.81   	  9.40   	-106.82		
-84.84   	167.54   	  8.97   	 -76.30		
-106.81   	149.54   	  8.67   	 -40.69		
-154.11   	 97.66   	  8.50   	  -5.09		
-178.53   	 67.75   	  8.48   	  96.64		
-168.76   	 73.24   	  8.87   	 284.84		
-143.13   	 96.74   	 10.01   	 386.57		
-123.60   	115.05   	 11.56   	 401.83		
-117.80   	119.02   	 13.16   	 422.18		
-118.71   	115.97   	 14.85   	 437.43		
-117.80   	115.66   	 16.60   	 483.21		
-111.08   	122.38   	 18.54   	 518.82		
-100.40   	133.97   	 20.61   	 549.34		
-89.72   	145.57   	 22.81   	 554.42		
-82.09   	153.50   	 25.03   	1012.20		
-76.29   	157.17   	 29.07   	 513.73		
-71.72   	159.30   	 31.13   	 539.16		
-63.17   	165.71   	 33.29   	 513.73		
-52.80   	174.56   	 35.34   	 493.39		
-43.64   	182.80   	 37.31   	 478.13		
-36.62   	189.82   	 39.23   	 432.35		
-30.21   	195.62   	 40.96   	 386.57		
-22.58   	202.03   	 42.50   	 340.79		
-12.82   	209.96   	 43.87   	 289.93		
 -2.44   	217.90   	 45.03   	 244.15		
  5.80   	224.30   	 46.00   	 203.46		
 12.51   	228.88   	 46.82   	 178.03		
 18.01   	233.15   	 47.53   	 203.46		
 24.11   	237.73   	 48.34   	 315.36		
 31.13   	242.92   	 49.60   	 483.21		
 38.45   	249.02   	 51.54   	 508.65		
 45.17   	255.74   	 53.57   	 412.00		
 53.10   	264.28   	 55.22   	 345.88		
 64.09   	274.66   	 56.60   	 274.67		
 75.99   	283.81   	 57.70   	 152.59		
 85.14   	288.70   	 58.31   	  20.35		
 88.81   	287.48   	 58.39(S)	 -91.56		
 86.98   	282.59   	 58.03   	-183.11		
 84.84   	279.85   	 57.29   	-244.15		
 88.81   	283.81   	 56.32   	-640.89		
114.14   	306.70   	 53.75   	-361.14		
127.26   	316.47   	 52.31   	-366.22		
135.50   	321.66   	 50.84   	-371.31		
139.77   	324.40   	 49.36   	-366.22		
142.82   	327.76   	 47.89   	-361.14		
146.48   	332.34   	 46.45   	-340.79		
148.93   	335.39   	 45.09   	-305.19		
149.23   	335.08   	 43.87   	-284.84		
147.71   	331.42   	 42.73   	-254.32		
146.18   	327.15   	 41.71   	-223.80		
147.71   	325.62   	 40.81   	-193.29		
152.89   	328.67   	 40.04   	-167.85		
159.30   	333.86   	 39.37   	-132.25		
164.79   	338.44   	 38.84   	-101.73		
168.15   	341.19   	 38.43   	 -76.30		
170.59   	342.41   	 38.13   	 -66.12		
172.73   	344.24   	 37.86   	 -50.86		
174.26   	346.07   	 37.66   	 -40.69		
173.95   	346.07   	 37.50   	 -40.69		
169.07   	342.41   	 37.33   	 -40.69		
158.39   	334.17   	 37.17   	 -35.61		
142.52   	322.27   	 37.03   	 -50.86		
123.60   	308.84   	 36.83   	 -55.95		
104.06   	293.88   	 36.60   	 -66.12		
 86.06   	277.71   	 36.34   	 -76.30		
 70.19   	260.93   	 36.03   	 -86.47		
 55.24   	244.14   	 35.69   	 -96.64		
 38.76   	228.27   	 35.30   	-101.73		
 20.14   	213.01   	 34.89   	-122.07		
  0.92   	199.28   	 34.40   	-142.42		
-15.87   	186.46   	 33.84   	-142.42		
-28.99   	174.56   	 33.27   	-147.51		
-39.98   	162.35   	 32.68   	-152.59		
-51.88   	149.54   	 32.06   	-162.77		
-65.92   	136.41   	 31.41   	-162.77		
-80.57   	125.12   	 30.76   	-167.85		
-92.47   	118.10   	 30.09   	-172.94		
-98.57   	115.66   	 29.40   	-178.03		
-99.18   	116.27   	 28.69   	-193.29		
-95.83   	118.10   	 27.91   	-203.46		
-91.86   	120.24   	 27.10   	-228.89		
-87.59   	123.29   	 26.19   	-259.41		
-83.31   	127.56   	 25.15   	-284.84		
-79.96   	131.23   	 24.01   	-284.84		
-79.04   	131.84   	 22.87   	-289.93		
-81.18   	127.87   	 21.71   	-371.31		
-86.67   	121.15   	 20.22   	-406.92		
-91.25   	116.88   	 18.60   	-386.57		
-92.16   	117.49   	 17.05   	-376.40		
-87.89   	122.68   	 15.54   	-401.83		
-80.87   	128.48   	 13.94   	-391.66		
-75.07   	131.53   	 12.37   	-361.14		
-72.02   	131.84   	 10.93   	-345.88		
-71.11   	131.23   	  9.54   	-335.71		
-70.19   	131.84   	  8.20   	-300.10		
-68.05   	133.36   	  7.00   	-284.84		
-65.00   	135.50   	  5.86   	-259.41		
-62.56   	136.72   	  4.82   	-233.98		
-61.04   	137.63   	  3.89   	-208.54		
-60.42   	137.94   	  3.05   	-198.37		
-60.42   	138.24   	  2.26   	-162.77		
-60.73   	137.63   	  1.61   	-157.68		
-61.65   	136.41   	  0.98   	-162.77		
-62.87   	135.19   	  0.33   	-167.85		
-64.39   	135.19   	 -0.35   	-116.99		
-65.92   	136.41   	 -0.81   	 -81.38		
-66.53   	137.94   	 -1.14   	 -96.64		
-66.83   	139.16   	 -1.53   	-116.99		
-65.61   	139.77   	 -1.99   	-132.25		
-63.48   	139.77   	 -2.52   	  N/A		
