SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
 71.11   	602.11   	 42.05   	 -96.64		
 56.15   	587.77   	 41.67   	-111.90		
 39.98   	572.51   	 41.22   	-127.16		
 22.28   	555.73   	 40.71   	-157.68		
  2.44   	537.41   	 40.08   	-340.79		
-39.37   	502.62   	 38.72   	   0.00		
-39.37   	502.62   	 38.72   	-361.14		
-77.21   	476.68   	 37.27   	   0.00		
-77.21   	476.68   	 37.27   	-366.22		
-112.00   	447.69   	 35.81   	   0.00		
-112.00   	447.69   	 35.81   	-366.22		
-135.50   	422.36   	 34.34   	   0.00		
-135.50   	422.36   	 34.34   	-350.97		
-148.62   	409.24   	 32.94   	   0.00		
-148.62   	409.24   	 32.94   	-350.97		
-160.52   	399.78   	 31.54   	   0.00		
-160.52   	399.78   	 31.54   	-412.00		
-165.10   	399.48   	 29.89   	-239.06		
-165.10   	401.92   	 28.93   	-264.50		
-165.71   	403.14   	 27.87   	-295.01		
-165.71   	402.83   	 26.69   	-330.62		
-163.57   	402.22   	 25.37   	-366.22		
-159.61   	401.61   	 23.91   	-371.31		
-156.56   	400.70   	 22.42   	-350.97		
-155.64   	399.17   	 21.02   	-396.74		
-156.86   	397.03   	 19.43   	-447.61		
-158.08   	396.12   	 17.64   	-437.43		
-157.17   	397.95   	 15.89   	-427.26		
-154.11   	401.92   	 14.18   	-442.52		
-150.76   	406.49   	 12.41   	-803.66		
-145.87   	414.43   	  9.20   	-356.05		
-144.96   	416.56   	  7.77   	-325.53		
-145.57   	416.26   	  6.47   	-289.93		
-148.62   	413.21   	  5.31   	-269.58		
-153.50   	408.33   	  4.23   	-223.80		
-157.17   	403.75   	  3.34   	-183.11		
-157.47   	400.70   	  2.60   	-142.42		
-154.72   	400.09   	  2.03   	-122.07		
-151.98   	401.00   	  1.55   	 -86.47		
-152.28   	402.22   	  1.20   	 -61.04		
-155.33   	402.83   	  0.96   	 -76.30		
-160.22   	401.92   	  0.65   	 -71.21		
-165.10   	399.78   	  0.37   	 -15.26		
-169.37   	396.42   	  0.31(D)	  20.35		
-172.73   	392.46   	  0.39   	  25.43		
-174.87   	389.10   	  0.49   	  35.61		
-175.48   	386.96   	  0.63   	  55.95		
-175.48   	385.13   	  0.85   	  50.86		
-176.09   	383.61   	  1.06   	  35.61		
-178.53   	382.08   	  1.20   	  25.43		
-183.11   	380.86   	  1.30   	  20.35		
-188.29   	380.25   	  1.38   	   0.00		
-191.96   	379.94   	  1.38   	 -10.17		
-193.48   	379.64   	  1.34   	   5.09		
-192.57   	379.03   	  1.36   	   0.00		
-192.57   	379.03   	  1.36   	  61.04		
-189.21   	379.03   	  1.61   	   0.00		
-189.21   	379.03   	  1.61   	 162.77		
-189.51   	378.42   	  2.26   	   0.00		
-189.51   	378.42   	  2.26   	 254.32		
-191.96   	371.40   	  3.28   	   0.00		
-191.96   	371.40   	  3.28   	 284.84		
-189.51   	371.40   	  4.42   	   0.00		
-189.51   	371.40   	  4.42   	 228.89		
-186.16   	375.06   	  5.33   	   0.00		
-186.16   	375.06   	  5.33   	 106.82		
-194.09   	364.69   	  5.76   	 -30.52		
-199.89   	359.50   	  5.64   	 -61.04		
-202.64   	358.28   	  5.39   	 -55.95		
-202.33   	360.72   	  5.17   	 -66.12		
-200.20   	363.16   	  4.90   	 -66.12		
-196.84   	364.69   	  4.64   	 -50.86		
-191.65   	367.13   	  4.44   	 -30.52		
-183.11   	373.84   	  4.31   	 -10.17		
-169.37   	387.27   	  4.27   	  10.17		
-150.45   	408.02   	  4.31   	  10.17		
-128.17   	433.96   	  4.35   	  20.35		
-106.81   	460.51   	  4.44   	  40.69		
-89.11   	483.09   	  4.60   	  55.95		
-76.60   	499.57   	  4.82   	  61.04		
-68.05   	510.86   	  5.07   	  61.04		
-57.68   	522.46   	  5.31   	  76.30		
-40.89   	540.16   	  5.62   	  96.64		
-16.48   	564.27   	  6.00   	 101.73		
  9.77   	588.68   	  6.41   	 106.82		
 30.21   	606.08   	  6.84   	 101.73		
 40.28   	611.27   	  7.24   	  96.64		
 41.20   	606.99   	  7.63   	 101.73		
 37.23   	599.06   	  8.04   	  91.56		
 31.13   	590.82   	  8.40   	  76.30		
 20.45   	579.83   	  8.71   	  91.56		
 -0.31   	558.78   	  9.07   	  91.56		
-36.01   	521.55   	  9.44   	  71.21		
-83.92   	470.58   	  9.73   	  35.61		
-134.89   	417.18   	  9.87   	  20.35		
-178.22   	374.45   	  9.95   	  10.17		
-205.99   	350.34   	  9.99   	 -10.17		
-216.98   	343.02   	  9.95   	  -5.09		
-218.20   	342.71   	  9.93   	  20.35		
-218.81   	339.05   	 10.01   	  35.61		
-223.08   	329.90   	 10.15   	  20.35		
-230.10   	320.13   	 10.23   	  -5.09		
-236.21   	315.55   	 10.21   	  -5.09		
-237.73   	317.69   	 10.19   	 -25.43		
-234.99   	324.10   	 10.09   	   0.00		
-234.99   	324.10   	 10.09   	 -45.78		
-228.27   	330.51   	  9.91   	   0.00		
-228.27   	330.51   	  9.91   	 -61.04		
-228.58   	326.23   	  9.66   	   0.00		
-228.58   	326.23   	  9.66   	 -66.12		
-227.66   	326.23   	  9.40   	   0.00		
-227.66   	326.23   	  9.40   	 -55.95		
-229.19   	325.93   	  9.18   	   0.00		
-229.19   	325.93   	  9.18   	 -25.43		
-246.89   	319.21   	  9.07   	   0.00		
-246.89   	319.21   	  9.07   	-142.42		
-278.93   	313.42   	  8.50   	 -81.38		
-277.40   	322.27   	  8.18   	-101.73		
-228.88   	359.80   	  7.77   	 -76.30		
-97.35   	454.10   	  7.47   	 -50.86		
144.35   	632.32   	  7.26   	 -20.35		
493.47   	900.27   	  7.18   	  -5.09		
905.46   	1224.67   	  7.16(E)	  15.26		
1296.08   	1536.25   	  7.22   	  66.12		
1611.02   	1799.32(R)	  7.49   	  66.12		
1407.17   	1666.26   	  7.75   	  66.12		
979.61   	1372.99   	  8.02   	  71.21		
419.31   	970.46   	  8.30   	  66.12		
-144.04   	529.17   	  8.57   	  61.04		
-580.14   	136.72   	  8.81   	  55.95		
-800.48   	-116.88   	  9.03   	  35.61		
-789.18   	-175.48   	  9.18   	  20.35		
-606.38   	-53.10   	  9.26   	  25.43		
-366.52   	161.13   	  9.36   	  15.26		
-182.50   	348.82   	  9.42   	  10.17		
-111.08   	433.65   	  9.46   	  15.26		
-134.28   	419.01   	  9.52   	  30.52		
-189.21   	363.46   	  9.64   	 152.59		
-221.56   	326.54   	 10.25   	 300.10		
-215.15   	329.59   	 11.45   	 310.27		
-188.60   	356.14   	 12.70   	 371.31		
-166.63   	380.25   	 14.18   	 437.43		
-159.00   	389.71   	 15.93   	 447.61		
-159.61   	388.18   	 17.72   	 457.78		
-159.30   	385.13   	 19.55   	 478.13		
-154.42   	385.13   	 21.46   	 488.30		
-146.48   	388.49   	 23.42   	 488.30		
-138.24   	394.29   	 25.37   	 508.65		
-130.31   	401.31   	 27.41   	1083.41		
-115.36   	414.73   	 31.74   	 498.47		
-108.34   	419.92   	 33.73   	 483.21		
-101.01   	425.11   	 35.67   	 457.78		
-93.08   	431.82   	 37.50   	   0.00		
-93.08   	431.82   	 37.50   	 824.00		
-79.96   	446.17   	 40.79   	   0.00		
-79.96   	446.17   	 40.79   	 712.10		
-68.97   	456.24   	 43.64   	   0.00		
-68.97   	456.24   	 43.64   	 605.29		
-50.66   	468.75   	 46.06   	   0.00		
-50.66   	468.75   	 46.06   	1057.98		
