SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  RFA     	  RFA'		
  4.58   	  25.43		 64.96   	 -35.61		
  4.68   	  20.35		 64.82   	 -30.52		
  4.76   	  25.43		 64.70   	 -25.43		
  4.86   	  20.35		 64.60   	 -30.52		
  4.94   	  20.35		 64.48   	 -25.43		
  5.03   	  15.26		 64.37   	 -25.43		
  5.09   	  15.26		 64.27   	 -30.52		
  5.15   	  15.26		 64.15   	 -25.43		
  5.21   	  10.17		 64.05   	 -30.52		
  5.25   	  15.26		 63.93   	 -25.43		
  5.31   	   5.09		 63.82   	 -30.52		
  5.33   	  10.17		 63.70   	 -30.52		
  5.37   	   5.09		 63.58   	 -35.61		
  5.39   	   0.00		 63.44   	 -30.52		
  5.39   	   5.09		 63.32   	 -30.52		
  5.41   	   0.00		 63.19   	 -30.52		
  5.41   	  -5.09		 63.07   	 -30.52		
  5.39   	 -10.17		 62.95   	 -30.52		
  5.35   	  -5.09		 62.83   	 -30.52		
  5.33   	 -15.26		 62.71   	 -30.52		
  5.27   	 -15.26		 62.58   	 -25.43		
  5.21   	 -15.26		 62.48   	 -30.52		
  5.15   	 -15.26		 62.36   	 -25.43		
  5.09   	  -5.09		 62.26   	 -25.43		
  5.07   	  -5.09		 62.16   	 -30.52		
  5.05   	   0.00		 62.03   	 -25.43		
  5.05   	   5.09		 61.93   	 -25.43		
  5.07   	  15.26		 61.83   	 -25.43		
  5.13   	  15.26		 61.73   	 -30.52		
  5.19   	  15.26		 61.61   	 -25.43		
  5.25   	  20.35		 61.51   	 -25.43		
  5.33   	  20.35		 61.40   	 -25.43		
  5.41   	  25.43		 61.30   	 -30.52		
  5.51   	  20.35		 61.18   	 -20.35		
  5.60   	  15.26		 61.10   	 -25.43		
  5.66   	  20.35		 61.00   	 -25.43		
  5.74   	  10.17		 60.89   	 -20.35		
  5.78   	  15.26		 60.81   	 -25.43		
  5.84   	   5.09		 60.71   	 -20.35		
  5.86   	   0.00		 60.63   	 -25.43		
  5.86   	   0.00		 60.53   	 -20.35		
  5.86   	  -5.09		 60.45   	 -25.43		
  5.84   	  -5.09		 60.35   	 -25.43		
  5.82   	  -5.09		 60.24   	 -25.43		
  5.80   	  -5.09		 60.14   	 -25.43		
  5.78   	  -5.09		 60.04   	 -25.43		
  5.76   	  -5.09		 59.94   	 -25.43		
  5.74   	  -5.09		 59.84   	 -25.43		
  5.72   	   0.00		 59.74   	 -30.52		
  5.72   	   0.00		 59.61   	 -25.43		
  5.72   	   5.09		 59.51   	 -20.35		
  5.74   	   5.09		 59.43   	 -25.43		
