SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
109.86   	187.99   	 68.87(D)	   0.00		 25.72   	 -40.69		
119.63   	201.72   	 68.87   	  45.78		 25.55   	   5.09		
129.09   	215.15   	 69.05   	 122.07		 25.57   	  35.61		
137.63   	225.83   	 69.54   	 274.67		 25.72   	  50.86		
145.57   	233.76   	 70.64   	 503.56		 25.92   	  81.38		
152.28   	239.26   	 72.65   	 793.49		 26.25   	 101.73		
157.78   	244.14   	 75.83   	1093.59		 26.65   	  91.56		
162.96   	250.85   	 80.20   	1302.13		 27.02   	  81.38		
167.54   	259.40   	 85.41   	1373.34		 27.34   	  81.38		
172.12   	268.86   	 90.91   	1281.79		 27.67   	  61.04		
176.09   	278.32   	 96.03   	1078.33		 27.91   	  50.86		
178.83   	286.87   	100.35   	 824.00		 28.12   	  45.78		
180.66   	293.58   	103.64   	 569.68		 28.30   	  35.61		
181.58   	295.72   	105.92   	 356.05		 28.44   	  15.26		
181.27   	289.92   	107.34   	 213.63		 28.50   	  -5.09		
178.53   	275.88   	108.20   	 132.25		 28.48   	   0.00		
170.90   	254.82   	108.73   	 122.07		 28.48   	   0.00		
157.17   	230.71   	109.22   	 162.77		 28.48   	   5.09		
137.33   	206.91   	109.87   	 223.80		 28.50   	  20.35		
112.00   	182.80   	110.76   	 300.10		 28.59   	  20.35		
 84.23   	156.56   	111.96   	 345.88		 28.67   	   5.09		
 55.85   	127.87   	113.35   	 345.88		 28.69   	  10.17		
 30.21   	 98.57   	114.73   	 300.10		 28.73   	  20.35		
  8.85   	 70.80   	115.93   	 228.89		 28.81   	  15.26		
 -7.32   	 46.39   	116.85   	 127.16		 28.87   	  10.17		
-19.84   	 24.72   	117.35   	  20.35		 28.91   	  20.35		
-29.60   	  5.80   	117.44(S)	 -55.95		 28.99   	   5.09		
-37.54   	 -9.77   	117.21   	-116.99		 29.01   	 -10.17		
-43.33   	-21.06   	116.74   	-152.59		 28.97   	 -10.17		
-47.30   	-28.99   	116.13   	-167.85		 28.93   	 -15.26		
-50.05   	-36.01   	115.46   	-157.68		 28.87   	 -20.35		
-53.10   	-45.47   	114.83   	-152.59		 28.79   	 -20.35		
-56.46   	-57.07   	114.22   	-152.59		 28.71   	 -45.78		
-59.81   	-67.44   	113.61   	-142.42		 28.52   	 -61.04		
-61.65   	-73.85   	113.04   	-147.51		 28.28   	 -50.86		
-61.65   	-74.77   	112.45   	-162.77		 28.08   	 -45.78		
-60.73   	-73.24   	111.80   	-172.94		 27.89   	 -66.12		
-60.12   	-72.63   	111.11   	-183.11		 27.63   	 -81.38		
-61.65   	-73.55   	110.38   	-203.46		 27.30   	 -81.38		
-64.70   	-73.85   	109.56   	-228.89		 26.98   	 -91.56		
