SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 47.02   	  30.52		 34.06   	 503.56		
 47.14   	  86.47		 36.07   	 447.61		
 47.49   	 142.42		 37.86   	 386.57		
 48.06   	 228.89		 39.41   	 335.71		
 48.97   	 320.45		 40.75   	 274.67		
 50.25   	 417.09		 41.85   	 223.80		
 51.92   	 503.56		 42.75   	 183.11		
 53.94   	 595.11		 43.48   	 147.51		
 56.32   	 661.24		 44.07   	 116.99		
 58.96   	 707.02		 44.54   	  91.56		
 61.79   	 737.54		 44.90   	  76.30		
 64.74   	 742.62		 45.21   	  66.12		
 67.71   	 717.19		 45.47   	  71.21		
 70.58   	 671.41		 45.76   	  71.21		
 73.27   	 625.63		 46.04   	  81.38		
 75.77   	 559.51		 46.37   	  86.47		
 78.01   	 478.13		 46.71   	 106.82		
 79.92   	 396.74		 47.14   	 116.99		
 81.51   	 549.34		 47.61   	 157.68		
 83.70   	 162.77		 48.24   	 162.77		
 84.35   	 101.73		 48.89   	 167.85		
 84.76   	  45.78		 49.56   	 167.85		
 84.94(S)	  -5.09		 50.23   	 167.85		
 84.92   	 -30.52		 50.91   	 157.68		
 84.80   	 -55.95		 51.54   	 147.51		
 84.58   	 -71.21		 52.13   	 132.25		
 84.29   	 -91.56		 52.65   	 116.99		
 83.93   	-101.73		 53.12   	 101.73		
 83.52   	-111.90		 53.53   	  81.38		
 83.07   	-122.07		 53.86   	  61.04		
 82.58   	-127.16		 54.10   	  45.78		
 82.07   	-147.51		 54.28   	  20.35		
 81.48   	-152.59		 54.36   	   5.09		
 80.87   	-152.59		 54.38(S)	 -15.26		
 80.26   	-152.59		 54.32   	 -30.52		
 79.65   	-162.77		 54.20   	 -40.69		
 79.00   	-167.85		 54.04   	 -61.04		
 78.33   	-157.68		 53.79   	 -71.21		
 77.70   	-142.42		 53.51   	 -86.47		
 77.13   	-142.42		 53.16   	 -91.56		
 76.56   	-137.33		 52.80   	-111.90		
 76.01   	-116.99		 52.35   	-122.07		
 75.54   	-101.73		 51.86   	-137.33		
 75.14   	-172.94		 51.31   	-208.54		
 74.45   	 -76.30		 50.48   	-228.89		
 74.14   	 -66.12		 49.56   	-264.50		
 73.88   	 -66.12		 48.50   	-300.10		
 73.61   	 -71.21		 47.30   	-356.05		
 73.33   	 -86.47		 45.88   	-406.92		
 72.98   	 -96.64		 44.25   	-462.87		
 72.59   	-116.99		 42.40   	-513.73		
 72.13   	-142.42		 40.35   	-564.60		
