SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 -5.80   	-61.65   	 37.76   	 -45.78		  5.66(D)	   0.00		
-73.24   	-206.60   	 37.58   	 -40.69		  5.66   	   0.00		
-68.36   	-286.87   	 37.42   	 -45.78		  5.66   	  10.17		
-28.08   	-249.94   	 37.23   	 -45.78		  5.70   	  15.26		
-26.25   	-150.15   	 37.05   	 -45.78		  5.76   	  25.43		
-32.96   	-105.59   	 36.87   	 -40.69		  5.86   	  30.52		
-43.33   	-174.87   	 36.70   	 -40.69		  5.98   	  35.61		
-36.93   	-213.01   	 36.54   	 -45.78		  6.12   	  40.69		
-26.25   	-164.49   	 36.36   	 -35.61		  6.29   	  45.78		
-25.02   	-106.20   	 36.22   	 -40.69		  6.47   	  50.86		
-28.08   	-121.46   	 36.05   	 -35.61		  6.67   	  50.86		
-25.33   	-154.42   	 35.91   	 -35.61		  6.88   	  61.04		
-20.45   	-140.08   	 35.77   	 -35.61		  7.12   	  61.04		
-16.48   	-99.79   	 35.63   	 -35.61		  7.37   	  66.12		
-17.09   	-93.08   	 35.48   	 -35.61		  7.63   	  76.30		
-12.51   	-102.54   	 35.34   	 -35.61		  7.93   	  86.47		
-11.60   	-95.21   	 35.20   	 -40.69		  8.28   	  91.56		
-10.38   	-68.97   	 35.04   	 -35.61		  8.65   	 101.73		
 -6.41   	-49.74   	 34.89   	 -45.78		  9.05   	 137.33		
 -3.05   	-35.10   	 34.71   	 -35.61		  9.60   	 147.51		
  2.44   	-15.26   	 34.57   	 -40.69		 10.19   	 157.68		
  3.97   	 -1.53   	 34.40   	 -35.61		 10.82   	 167.85		
  6.41   	 10.99   	 34.26   	 -35.61		 11.50   	 178.03		
  9.16   	 25.94   	 34.12   	 -30.52		 12.21   	 178.03		
 12.82   	 37.23   	 34.00   	 -20.35		 12.92   	 193.29		
 18.31   	 53.41   	 33.92   	 -10.17		 13.69   	 198.37		
 21.36   	 66.83   	 33.88(D)	   0.00		 14.49   	 198.37		
 22.58   	 77.82   	 33.88   	  35.61		 15.28   	 208.54		
 23.19   	 95.52   	 34.02   	  66.12		 16.11   	 208.54		
 25.33   	109.25   	 34.28   	 116.99		 16.95   	 208.54		
 25.02   	122.99   	 34.75   	 162.77		 17.78   	 213.63		
 27.47   	130.92   	 35.40   	 218.72		 18.64   	 213.63		
 30.21   	143.13   	 36.28   	 259.41		 19.49   	 208.54		
 32.04   	162.66   	 37.31   	 305.19		 20.33   	 208.54		
 35.40   	174.26   	 38.53   	 330.62		 21.16   	 208.54		
 39.98   	194.09   	 39.86   	 356.05		 21.99   	 198.37		
 42.72   	208.74   	 41.28   	 366.22		 22.79   	 198.37		
 47.91   	217.59   	 42.75   	 361.14		 23.58   	 193.29		
 54.02   	233.46   	 44.19   	 361.14		 24.35   	 188.20		
 60.12   	251.77   	 45.64   	 340.79		 25.11   	 178.03		
 66.53   	269.17   	 47.00   	 320.45		 25.82   	 172.94		
 72.94   	287.78   	 48.28   	 295.01		 26.51   	 167.85		
 78.43   	303.04   	 49.46   	 264.50		 27.18   	 162.77		
 80.26   	306.70   	 50.52   	 244.15		 27.83   	 162.77		
 74.16   	271.61   	 51.50   	 208.54		 28.48   	 152.59		
 62.56   	231.02   	 52.33   	 183.11		 29.09   	 142.42		
 47.61   	174.87   	 53.06   	 157.68		 29.66   	 132.25		
 30.21   	114.14   	 53.69   	 127.16		 30.19   	 122.07		
