SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  LPA     	  LPA'		  RV     	  RV'		
 65.92   	-18.31   	 68.08   	 -35.61		 56.03   	  45.78		  6.69   	  30.52		
 66.22   	-15.56   	 67.93   	  35.61		 56.22   	 -71.21		  6.82   	 132.25		
 67.14   	-16.48   	 68.08   	  45.78		 55.93   	-157.68		  7.34   	 223.80		
 69.58   	-18.01   	 68.26   	 -35.61		 55.30   	-213.63		  8.24   	 193.29		
 73.85   	-16.17   	 68.12   	-122.07		 54.45   	-279.75		  9.01   	  86.47		
 78.43   	-10.07   	 67.63   	-127.16		 53.33   	-335.71		  9.36   	  40.69		
 82.09   	 -3.05   	 67.12   	 -76.30		 51.98   	-366.22		  9.52   	  50.86		
 83.92   	 -0.31   	 66.82   	  -5.09		 50.52   	-417.09		  9.73   	  55.95		
 82.70   	 -3.36   	 66.80   	  45.78		 48.85   	-467.95		  9.95   	  15.26		
 78.74   	-11.60   	 66.98   	  40.69		 46.98   	-427.26		 10.01   	 -76.30		
 72.94   	-23.19   	 67.14   	  -5.09		 45.27   	-325.53		  9.70   	-122.07		
 71.72   	-37.54   	 67.12   	 -91.56		 43.97   	-295.01		  9.22   	-111.90		
 88.50   	-47.91   	 66.75   	-116.99		 42.79   	-305.19		  8.77   	 -66.12		
143.43   	-28.99   	 66.29   	-106.82		 41.57   	-239.06		  8.50   	 -25.43		
246.28   	 53.41   	 65.86   	-106.82		 40.61   	-122.07		  8.40   	 -25.43		
379.03   	209.35   	 65.43   	 -76.30		 40.12   	 -86.47		  8.30   	 -55.95		
482.18   	394.29   	 65.13   	 -30.52		 39.78   	 -71.21		  8.08   	 -61.04		
478.82   	519.71(R)	 65.00   	 -86.47		 39.49   	  25.43		  7.83(E)	 -10.17		
 63.78   	379.03   	 64.66   	 -66.12		 39.59   	  40.69		  7.79   	   0.00		
-210.27   	189.82   	 64.39   	 -81.38		 39.76   	  40.69		  7.79   	 -10.17		
-379.94   	 36.62   	 64.07   	 -81.38		 39.92   	  76.30		  7.75   	 -20.35		
-392.76   	-47.61   	 63.74   	 -45.78		 40.22   	 106.82		  7.67   	 -30.52		
-282.59   	-97.66   	 63.56   	 -25.43		 40.65   	 132.25		  7.55   	 -45.78		
-131.53   	-155.03   	 63.46   	 -15.26		 41.18   	 122.07		  7.37   	 -55.95		
