SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  LFA     	  LFA'		  RV     	  RV'		
 39.37   	 42.72   	 51.27   	 -15.26		 18.45   	 396.74		
 57.98   	 52.19   	 51.21   	  -5.09		 20.04   	 422.18		
 74.77   	 59.81   	 51.19   	 -30.52		 21.73   	 442.52		
 86.36   	 66.53   	 51.07   	 -25.43		 23.50   	 457.78		
 92.16   	 73.55   	 50.97   	 -15.26		 25.33   	 467.95		
 92.47   	 83.01   	 50.91   	 -35.61		 27.20   	 473.04		
 88.20   	 95.52   	 50.76   	 -30.52		 29.09   	 473.04		
 82.09   	110.17   	 50.64   	 -25.43		 30.99   	 478.13		
 79.35   	124.21   	 50.54   	 -35.61		 32.90   	 462.87		
 85.45   	135.50   	 50.40   	 -20.35		 34.75   	 457.78		
 99.79   	144.65   	 50.32   	 -10.17		 36.58   	 447.61		
113.83   	152.28   	 50.27   	   0.00		 38.37   	 427.26		
119.93   	160.52   	 50.27   	  15.26		 40.08   	 412.00		
119.02   	169.98   	 50.34   	  -5.09		 41.73   	 391.66		
119.93   	179.44   	 50.32   	 -50.86		 43.30   	 366.22		
132.75   	188.60   	 50.11   	 -15.26		 44.76   	 340.79		
156.86   	198.67   	 50.05   	  -5.09		 46.12   	 320.45		
180.97   	209.96   	 50.03   	 -30.52		 47.41   	 295.01		
193.48   	223.69   	 49.91   	  -5.09		 48.59   	 264.50		
193.48   	238.34   	 49.89(D)	  10.17		 49.64   	 244.15		
189.51   	252.99   	 49.93   	  20.35		 50.62   	 218.72		
191.96   	266.72   	 50.01   	  55.95		 51.50   	 193.29		
202.94   	279.85   	 50.23   	 183.11		 52.27   	 172.94		
219.73   	305.79   	 50.97   	 198.37		 52.96   	 152.59		
216.67   	317.99   	 51.76   	 289.93		 53.57   	 132.25		
213.93   	328.06   	 52.92   	 335.71		 54.10   	 116.99		
220.34   	335.08   	 54.26   	 493.39		 54.57   	 106.82		
236.82   	339.36   	 56.24   	 676.50		 54.99   	  86.47		
253.60   	342.41   	 58.94   	 752.79		 55.34   	  76.30		
258.18   	345.15   	 61.95   	 849.44		 55.65   	  61.04		
247.50   	347.90   	 65.35   	 946.08		 55.89   	  61.04		
228.88   	349.12   	 69.14   	 874.87		 56.13   	  45.78		
212.10   	346.37   	 72.63   	 737.54		 56.32   	  40.69		
200.50   	337.22   	 75.58   	 574.77		 56.48   	  40.69		
188.90   	320.13   	 77.88   	 315.36		 56.64   	  35.61		
169.68   	295.41   	 79.15   	  55.95		 56.79   	  35.61		
139.77   	264.28   	 79.37(S)	-132.25		 56.93   	  30.52		
103.15   	228.27   	 78.84   	-249.24		 57.05   	  30.52		
 66.53   	189.51   	 77.84   	-284.84		 57.17   	  35.61		
 36.32   	148.93   	 76.70   	-274.67		 57.31   	  30.52		
 13.73   	108.64   	 75.60   	-178.03		 57.44   	  30.52		
 -2.44   	 68.66   	 74.89   	 -45.78		 57.56   	  35.61		
-14.95   	 29.91   	 74.71   	  -5.09		 57.70   	  30.52		
-27.16   	 -7.63   	 74.69   	  45.78		 57.82   	  35.61		
-40.89   	-42.42   	 74.87   	 152.59		 57.97   	  35.61		
-55.54   	-72.33   	 75.48   	 127.16		 58.11   	  35.61		
-68.05   	-95.52   	 75.99   	  50.86		 58.25   	  30.52		
-74.77   	-112.61   	 76.20   	  61.04		 58.37   	  40.69		
-58.59   	-134.58   	 76.44   	 -45.78		 58.53   	  40.69		
-42.11   	-142.52   	 76.26   	 -76.30		 58.70   	  30.52		
-33.57   	-149.54   	 75.95   	 -55.95		 58.82   	  30.52		
-39.67   	-154.42   	 75.73   	 -35.61		 58.94   	  25.43		
-58.29   	-158.08   	 75.58   	 -35.61		 59.04   	  15.26		
-79.04   	-161.13   	 75.44   	 -25.43		 59.10   	   5.09		
-92.16   	-165.41   	 75.34   	  15.26		 59.12(S)	  -5.09		
-93.08   	-170.29   	 75.40   	  25.43		 59.10   	 -30.52		
-85.75   	-174.56   	 75.50   	  10.17		 58.98   	 -40.69		
-76.29   	-175.48   	 75.54   	  10.17		 58.82   	 -71.21		
-68.36   	-172.42   	 75.58   	 -15.26		 58.53   	 -96.64		
-60.73   	-166.93   	 75.52   	 -71.21		 58.15   	-127.16		
-52.80   	-162.05   	 75.24   	 -76.30		 57.64   	-157.68		
-47.00   	-159.30   	 74.93   	 -55.95		 57.01   	-188.20		
-49.74   	-157.78   	 74.71   	 -55.95		 56.26   	-218.72		
-64.09   	-156.25   	 74.49   	-101.73		 55.38   	-254.32		
-85.45   	-153.20   	 74.08   	-137.33		 54.36   	-289.93		
-101.01   	-150.15   	 73.53   	-127.16		 53.20   	-325.53		
-98.57   	-148.01   	 73.02   	-106.82		 51.90   	-366.22		
-77.51   	-147.40   	 72.59   	-111.90		 50.44   	-396.74		
-48.83   	-147.09   	 72.15   	-157.68		 48.85   	-417.09		
-27.77   	-145.26   	 71.52   	-188.20		 47.18   	-447.61		
-19.53   	-140.38   	 70.76   	-162.77		 45.39   	-467.95		
-16.48   	-132.14   	 70.11   	-157.68		 43.52   	-478.13		
 -8.85   	-120.85   	 69.48   	-427.26		 41.61   	-569.68		
 11.60   	-91.25   	 67.77   	-233.98		 39.33   	-564.60		
  0.61   	-74.16   	 66.84   	-208.54		 37.07   	-559.51		
-29.91   	-57.37   	 66.00   	-188.20		 34.83   	-549.34		
-65.61   	-42.42   	 65.25   	-218.72		 32.63   	-539.16		
-86.67   	-28.38   	 64.37   	-244.15		 30.48   	-528.99		
-84.53   	-14.04   	 63.40   	-188.20		 28.36   	-508.65		
-68.05   	  3.97   	 62.64   	-132.25		 26.33   	-493.39		
-55.85   	 26.86   	 62.12   	-147.51		 24.35   	-473.04		
-60.12   	 50.05   	 61.53   	-162.77		 22.46   	-452.69		
-75.38   	 65.61   	 60.87   	 -91.56		 20.65   	-437.43		
-84.84   	 65.92   	 60.51   	 -61.04		 18.90   	-406.92		
-77.82   	 49.74   	 60.26   	-101.73		 17.27   	-386.57		
-58.59   	 24.11   	 59.86   	 -86.47		 15.73   	-356.05		
-42.11   	 -3.66   	 59.51   	 -81.38		 14.30   	-335.71		
-38.45   	-30.82   	 59.19   	 -71.21		 12.96   	-310.27		
-45.47   	-62.56   	 58.90   	 -35.61		 11.72   	-284.84		
-51.88   	-103.45   	 58.76   	 -66.12		 10.58   	-259.41		
-51.88   	-150.76   	 58.49   	-132.25		  9.54   	-228.89		
-50.05   	-192.87   	 57.97   	 -96.64		  8.63   	-203.46		
-56.15   	-217.29   	 57.58   	 -50.86		  7.81   	-183.11		
-73.55   	-219.12   	 57.38   	 -76.30		  7.08   	-152.59		
-94.60   	-206.30   	 57.07   	 -81.38		  6.47   	-132.25		
-108.64   	-191.96   	 56.74   	-101.73		  5.94   	-111.90		
-111.08   	-184.02   	 56.34   	 -71.21		  5.49   	 -86.47		
-108.34   	-182.19   	 56.05   	 -30.52		  5.15   	 -66.12		
-107.73   	-181.58   	 55.93   	 -61.04		  4.88   	 -50.86		
-110.78   	-178.83   	 55.69   	 -45.78		  4.68   	 -35.61		
-110.47   	-174.26   	 55.50   	 -25.43		  4.54   	 -10.17		
-103.15   	-170.59   	 55.40   	 -61.04		  4.50   	  -5.09		
-90.94   	-168.76   	 55.16   	 -25.43		  4.48(D)	  15.26		
-82.40   	-166.93   	 55.06   	   5.09		  4.54   	  25.43		
-83.01   	-164.79   	 55.08   	 -30.52		  4.64   	  30.52		
-89.42   	-162.05   	 54.95   	 -35.61		  4.76   	  30.52		
-93.38   	-161.44   	 54.81   	 -15.26		  4.88   	  35.61		
-87.59   	-165.41   	 54.75   	 -15.26		  5.03   	  40.69		
-64.09   	-178.22   	 54.69   	   0.00		  5.19   	  45.78		
-14.95   	-199.89   	 54.69   	   0.00		  5.37   	  50.86		
 68.66   	-220.34   	 54.69   	 -25.43		  5.57   	  66.12		
192.26   	-216.37   	 54.59   	 -25.43		  5.84   	  66.12		
348.82   	-152.59   	 54.49   	 -50.86		  6.10   	  71.21		
502.62   	  0.61   	 54.28   	 -30.52		  6.39   	  66.12		
588.99   	240.48   	 54.16   	 -25.43		  6.65   	  61.04		
534.97   	526.73   	 54.06   	 -40.69		  6.90   	  61.04		
289.61   	776.37   	 53.90   	 -25.43		  7.14   	  61.04		
-585.94   	792.85(R)	 53.79   	 -40.69		  7.39(E)	  61.04		
-939.33   	513.31   	 53.63   	  -5.09		  7.63   	  61.04		
-1059.27   	144.35   	 53.61   	   0.00		  7.87   	  55.95		
-926.51   	-176.70   	 53.61   	 -35.61		  8.10   	  55.95		
-635.38   	-341.49   	 53.47   	 -25.43		  8.32   	  50.86		
-331.12   	-333.25   	 53.37   	  -5.09		  8.52   	  45.78		
-123.29   	-222.78   	 53.35   	 -30.52		  8.71   	  45.78		
-39.06   	-103.45   	 53.22   	 -40.69		  8.89   	  35.61		
-38.15   	-39.67   	 53.06   	 -10.17		  9.03   	  40.69		
-57.98   	-43.03   	 53.02   	 -10.17		  9.20   	  35.61		
-59.20   	-80.57   	 52.98   	 -30.52		  9.34   	  35.61		
-38.76   	-112.30   	 52.86   	 -10.17		  9.48   	  45.78		
-14.65   	-119.32   	 52.82   	 -10.17		  9.66   	  50.86		
 -1.53   	-106.81   	 52.78   	 -50.86		  9.87   	  55.95		
  0.92   	-90.64   	 52.57   	 -50.86		 10.09   	  55.95		
  0.61   	-82.09   	 52.37   	 -10.17		 10.32   	  55.95		
  3.97   	-82.09   	 52.33   	 -10.17		 10.54   	  61.04		
 10.38   	-83.01   	 52.29   	 -50.86		 10.78   	  66.12		
 13.43   	-77.21   	 52.09   	 -50.86		 11.05   	  86.47		
  9.16   	-64.09   	 51.88   	 -15.26		 11.39   	 101.73		
 -0.31   	-48.52   	 51.82   	   5.09		 11.80   	 137.33		
 -9.46   	-35.40   	 51.84   	 -35.61		 12.35   	 162.77		
-13.12   	-26.55   	 51.70   	 -45.78		 13.00   	 193.29		
 -9.16   	-19.84   	 51.52   	   5.09		 13.77   	 228.89		
  1.53   	-13.12   	 51.54   	 -10.17		 14.69   	 315.36		
 29.30   	  1.83   	 51.50   	  10.17		 15.95   	 345.88		
 42.11   	  9.77   	 51.54   	  -5.09		 17.33   	 376.40		
 54.02   	 17.70   	 51.52   	 -66.12		 18.84   	 396.74		
 65.00   	 25.33   	 51.25   	 -15.26		 20.43   	 427.26		
 75.07   	 33.26   	 51.19   	  -5.09		 22.14   	 442.52		
 83.31   	 42.72   	 51.17   	 -45.78		 23.91   	 457.78		
 87.59   	 53.41   	 50.99   	 -40.69		 25.74   	 462.87		
 86.98   	 64.39   	 50.82   	 -50.86		 27.59   	 473.04		
 82.09   	 74.46   	 50.62   	 -40.69		 29.48   	 473.04		
 75.38   	 83.01   	 50.46   	 -15.26		 31.37   	 467.95		
 71.41   	 90.94   	 50.40   	 -30.52		 33.25   	 467.95		
 73.85   	 99.79   	 50.27   	 -10.17		 35.12   	 457.78		
 85.75   	111.08   	 50.23   	  15.26		 36.95   	 442.52		
105.90   	125.43   	 50.29   	  -5.09		 38.72   	 427.26		
131.53   	140.38   	 50.27   	 -30.52		 40.43   	 406.92		
156.25   	154.42   	 50.15   	 -30.52		 42.05   	 386.57		
174.56   	166.63   	 50.03(D)	  15.26		 43.60   	 366.22		
183.41   	177.00   	 50.09   	  30.52		 45.07   	 335.71		
183.72   	187.68   	 50.21   	 -10.17		 46.41   	 320.45		
181.88   	198.97   	 50.17   	 -10.17		 47.69   	 289.93		
183.72   	212.10   	 50.13   	  10.17		 48.85   	 264.50		
192.57   	226.75   	 50.17   	 -15.26		 49.91   	 239.06		
206.30   	242.00   	 50.11   	  20.35		 50.86   	 213.63		
219.73   	257.26   	 50.19   	  96.64		 51.72   	 193.29		
229.49   	271.61   	 50.58   	 172.94		 52.49   	 172.94		
238.95   	293.88   	 51.27   	 203.46		 53.18   	 147.51		
242.61   	302.73   	 52.09   	 310.27		 53.77   	 132.25		
246.89   	311.58   	 53.33   	 437.43		 54.30   	 111.90		
249.94   	320.43   	 55.08   	 600.20		 54.75   	  96.64		
249.94   	329.90   	 57.48   	 722.28		 55.14   	  86.47		
245.06   	338.13   	 60.37   	 824.00		 55.48   	  71.21		
235.60   	344.24   	 63.66   	 946.08		 55.77   	  61.04		
225.52   	346.98   	 67.45   	 981.68		 56.01   	  55.95		
218.81   	346.07   	 71.37   	 885.04		 56.24   	  45.78		
214.84   	341.49   	 74.91   	 656.15		 56.42   	  40.69		
208.74   	331.73   	 77.54   	 386.57		 56.58   	  35.61		
194.09   	314.94   	 79.08   	 167.85		 56.72   	  35.61		
168.46   	289.00   	 79.76(S)	 -35.61		 56.87   	  30.52		
135.19   	253.30   	 79.61   	-193.29		 56.99   	  25.43		
101.62   	210.27   	 78.84   	-295.01		 57.09   	  30.52		
 71.11   	163.27   	 77.66   	-325.53		 57.21   	  30.52		
 42.42   	116.27   	 76.36   	-228.89		 57.33   	  30.52		
 13.12   	 71.72   	 75.44   	 -76.30		 57.46   	  30.52		
-15.87   	 30.52   	 75.14   	 -10.17		 57.58   	  30.52		
-41.20   	 -6.41   	 75.10   	  25.43		 57.70   	  30.52		
-59.20   	-37.54   	 75.20   	  86.47		 57.82   	  30.52		
-70.19   	-61.65   	 75.54   	 137.33		 57.94   	  35.61		
-75.68   	-79.96   	 76.09   	 106.82		 58.09   	  30.52		
-76.90   	-95.21   	 76.52   	  66.12		 58.21   	  35.61		
-73.24   	-109.86   	 76.79   	   0.00		 58.35   	  35.61		
-55.85   	-136.72   	 76.79   	 -35.61		 58.49   	  40.69		
-50.66   	-145.26   	 76.64   	 -20.35		 58.66   	  30.52		
-50.66   	-150.15   	 76.56   	 -45.78		 58.78   	  30.52		
-53.71   	-152.28   	 76.38   	 -71.21		 58.90   	  25.43		
-54.93   	-153.50   	 76.09   	 -55.95		 59.00   	  10.17		
-51.88   	-153.81   	 75.87   	  10.17		 59.04   	   5.09		
-47.30   	-152.59   	 75.91   	  30.52		 59.06(S)	 -10.17		
-44.56   	-149.23   	 76.03   	 -20.35		 59.02   	 -25.43		
-44.86   	-144.35   	 75.95   	 -20.35		 58.92   	 -50.86		
-43.95   	-138.85   	 75.87   	  20.35		 58.72   	 -76.30		
-38.15   	-133.36   	 75.95   	  10.17		 58.41   	-101.73		
-25.94   	-126.95   	 75.99   	 -15.26		 58.01   	-132.25		
-11.90   	-119.63   	 75.93   	 -66.12		 57.48   	-162.77		
 -3.36   	-112.00   	 75.67   	 -91.56		 56.83   	-193.29		
 -4.58   	-105.90   	 75.30   	 -55.95		 56.05   	-233.98		
-16.78   	-102.23   	 75.08   	 -76.30		 55.12   	-264.50		
-34.48   	-100.71   	 74.77   	-132.25		 54.06   	-300.10		
-49.44   	-98.27   	 74.24   	-167.85		 52.86   	-340.79		
-54.02   	-93.38   	 73.57   	-167.85		 51.50   	-371.31		
-45.17   	-85.75   	 72.90   	-147.51		 50.01   	-406.92		
-28.08   	-75.99   	 72.31   	-178.03		 48.38   	-427.26		
-12.21   	-65.61   	 71.60   	-193.29		 46.67   	-457.78		
 -5.80   	-54.02   	 70.82   	-157.68		 44.84   	-473.04		
 -9.16   	-40.28   	 70.19   	-157.68		 42.95   	-488.30		
-16.48   	-23.19   	 69.56   	-376.40		 41.00   	-574.77		
-26.55   	 16.78   	 68.06   	-213.63		 38.70   	-569.68		
-30.82   	 36.93   	 67.20   	-188.20		 36.42   	-564.60		
-38.15   	 54.32   	 66.45   	-218.72		 34.16   	-549.34		
-45.78   	 70.19   	 65.57   	-254.32		 31.96   	-544.25		
-49.13   	 85.75   	 64.56   	-208.54		 29.79   	-523.90		
-44.25   	103.15   	 63.72   	-167.85		 27.69   	-513.73		
-33.57   	123.90   	 63.05   	-167.85		 25.64   	-488.30		
-25.63   	147.09   	 62.38   	-157.68		 23.68   	-478.13		
-26.55   	168.46   	 61.75   	-157.68		 21.77   	-447.61		
-34.48   	180.66   	 61.12   	-132.25		 19.98   	-427.26		
-39.67   	179.44   	 60.59   	 -66.12		 18.27   	-406.92		
-31.43   	164.79   	 60.33   	 -61.04		 16.64   	-376.40		
 -7.02   	141.60   	 60.08   	 -76.30		 15.14   	-350.97		
 24.72   	114.75   	 59.78   	 -91.56		 13.73   	-325.53		
 47.61   	 85.14   	 59.41   	 -71.21		 12.43   	-300.10		
 50.05   	 47.00   	 59.12   	 -45.78		 11.23   	-269.58		
 29.91   	 -2.14   	 58.94   	 -76.30		 10.15   	-249.24		
 -6.71   	-57.37   	 58.64   	-116.99		  9.16   	-218.72		
-47.30   	-103.45   	 58.17   	 -81.38		  8.28   	-198.37		
-79.65   	-126.34   	 57.84   	 -86.47		  7.49   	-172.94		
-98.57   	-123.29   	 57.50   	-101.73		  6.80   	-147.51		
-104.37   	-105.29   	 57.09   	 -76.30		  6.21   	-127.16		
-101.32   	-88.20   	 56.79   	 -96.64		  5.70   	-106.82		
-93.08   	-81.18   	 56.40   	 -76.30		  5.27   	 -86.47		
-80.57   	-83.31   	 56.09   	 -20.35		  4.92   	 -61.04		
-65.31   	-86.98   	 56.01   	 -61.04		  4.68   	 -40.69		
-50.96   	-87.59   	 55.77   	 -61.04		  4.52   	 -25.43		
-44.56   	-84.84   	 55.52   	 -10.17		  4.42   	  -5.09		
-50.35   	-82.70   	 55.48   	 -10.17		  4.39(D)	   5.09		
-66.22   	-83.01   	 55.44   	 -15.26		  4.42   	  20.35		
-83.31   	-86.36   	 55.38   	   5.09		  4.50   	  25.43		
-91.55   	-90.33   	 55.40   	 -20.35		  4.60   	  35.61		
-87.28   	-93.08   	 55.32   	 -40.69		  4.74   	  40.69		
-76.29   	-93.69   	 55.16   	 -20.35		  4.90   	  40.69		
-64.09   	-95.21   	 55.08   	 -25.43		  5.07   	  40.69		
-46.39   	-105.90   	 54.97   	 -35.61		  5.23   	  50.86		
 -5.19   	-129.70   	 54.83   	 -15.26		  5.43   	  61.04		
 79.65   	-155.33   	 54.77   	 -10.17		  5.68   	  61.04		
216.37   	-154.42   	 54.73   	 -20.35		  5.92   	  66.12		
386.66   	-86.06   	 54.65   	 -20.35		  6.19   	  66.12		
537.11   	 79.96   	 54.57   	 -35.61		  6.45   	  66.12		
597.23   	336.00   	 54.43   	 -20.35		  6.71   	  66.12		
502.93   	632.63   	 54.34   	 -10.17		  6.98   	  55.95		
220.34   	878.60(R)	 54.30   	 -50.86		  7.20(E)	  66.12		
-666.81   	852.36   	 54.10   	 -45.78		  7.47   	  61.04		
-990.30   	552.67   	 53.92   	 -25.43		  7.71   	  61.04		
-1065.98   	177.61   	 53.81   	  -5.09		  7.96   	  55.95		
-885.62   	-131.84   	 53.79   	  -5.09		  8.18   	  55.95		
-555.42   	-274.05   	 53.77   	 -15.26		  8.40   	  50.86		
-228.58   	-245.97   	 53.71   	 -61.04		  8.61   	  50.86		
-14.65   	-125.73   	 53.47   	 -40.69		  8.81   	  45.78		
 64.09   	 -7.02   	 53.31   	  15.26		  8.99   	  40.69		
 50.96   	 50.05   	 53.37   	  -5.09		  9.16   	  35.61		
  5.49   	 42.11   	 53.35   	 -40.69		  9.30   	  35.61		
-30.52   	  6.41   	 53.18   	 -10.17		  9.44   	  40.69		
-42.42   	-15.87   	 53.14   	 -25.43		  9.60   	  45.78		
-33.57   	 -9.16   	 53.04   	 -25.43		  9.79   	  45.78		
-12.82   	 16.78   	 52.94   	   0.00		  9.97   	  55.95		
 10.38   	 43.95   	 52.94   	 -30.52		 10.19   	  50.86		
 26.55   	 59.81   	 52.82   	 -50.86		 10.40   	  50.86		
 31.74   	 63.17   	 52.61   	 -35.61		 10.60   	  50.86		
 28.69   	 62.56   	 52.47   	 -25.43		 10.80   	  61.04		
 24.41   	 65.92   	 52.37   	 -15.26		 11.05   	  81.38		
 24.41   	 74.77   	 52.31   	 -40.69		 11.37   	 106.82		
 29.91   	 85.14   	 52.15   	 -35.61		 11.80   	 137.33		
 36.93   	 93.69   	 52.00   	 -10.17		 12.35   	 162.77		
 40.28   	100.71   	 51.96   	 -20.35		 13.00   	 198.37		
 37.23   	107.42   	 51.88   	 -15.26		 13.79   	 228.89		
 30.52   	114.14   	 51.82   	 -35.61		 14.71   	 325.53		
 29.30   	129.39   	 51.68   	 -25.43		 16.01   	 350.97		
 38.76   	138.85   	 51.58   	 -20.35		 17.42   	 376.40		
 48.52   	149.23   	 51.50   	   0.00		 18.92   	 406.92		
 52.80   	160.52   	 51.50   	   5.09		 20.55   	 427.26		
 52.49   	171.51   	 51.52   	 -40.69		 22.26   	 447.61		
 55.24   	181.58   	 51.35   	 -30.52		 24.05   	 457.78		
 67.44   	190.12   	 51.23   	 -20.35		 25.88   	 467.95		
 90.33   	198.67   	 51.15   	 -50.86		 27.75   	 473.04		
116.27   	208.74   	 50.95   	 -35.61		 29.64   	 473.04		
135.50   	220.64   	 50.80   	 -20.35		 31.54   	 473.04		
143.13   	234.07   	 50.72   	 -20.35		 33.43   	 467.95		
143.13   	246.89   	 50.64   	 -25.43		 35.30   	 452.69		
143.43   	258.79   	 50.54   	   5.09		 37.11   	 442.52		
148.62   	270.08   	 50.56   	   5.09		 38.88   	 422.18		
157.47   	282.29   	 50.58   	 -15.26		 40.57   	 406.92		
165.71   	296.94   	 50.52   	 -35.61		 42.20   	 386.57		
169.37   	313.42   	 50.38   	  -5.09		 43.74   	 356.05		
167.24   	329.90   	 50.36   	  25.43		 45.17   	 340.79		
161.44   	344.85   	 50.46   	 -15.26		 46.53   	 310.27		
154.72   	357.97   	 50.40   	 -50.86		 47.77   	 289.93		
150.45   	369.26   	 50.19(D)	  15.26		 48.93   	 259.41		
151.37   	379.33   	 50.25   	  40.69		 49.97   	 239.06		
160.52   	388.79   	 50.42   	  25.43		 50.93   	 208.54		
178.53   	398.25   	 50.52   	  76.30		 51.76   	 188.20		
202.33   	408.63   	 50.82   	 233.98		 52.51   	 172.94		
248.11   	432.43   	 51.76   	 279.75		 53.20   	 147.51		
260.31   	446.17   	 52.88   	 381.48		 53.79   	 127.16		
266.11   	459.90   	 54.40   	 467.95		 54.30   	 111.90		
271.30   	471.80   	 56.28   	 625.63		 54.75   	 101.73		
280.15   	481.57   	 58.78   	 768.05		 55.16   	  81.38		
288.70   	488.59   	 61.85   	 905.39		 55.48   	  71.21		
288.70   	493.47   	 65.47   	 971.51		 55.77   	  61.04		
274.66   	496.52   	 69.36   	 900.30		 56.01   	  50.86		
249.63   	496.83   	 72.96   	 778.23		 56.22   	  45.78		
220.64   	491.94   	 76.07   	 595.11		 56.40   	  40.69		
194.40   	479.13   	 78.45   	 335.71		 56.56   	  35.61		
169.68   	455.63   	 79.80   	  96.64		 56.70   	  30.52		
142.52   	422.67   	 80.18(S)	 -81.38		 56.83   	  30.52		
111.69   	382.39   	 79.86   	-213.63		 56.95   	  30.52		
 80.57   	338.13   	 79.00   	-289.93		 57.07   	  25.43		
 52.80   	292.97   	 77.84   	-279.75		 57.17   	  30.52		
 29.60   	248.72   	 76.72   	-203.46		 57.29   	  30.52		
  9.16   	205.38   	 75.91   	 -86.47		 57.42   	  30.52		
-10.68   	163.88   	 75.56   	  30.52		 57.54   	  30.52		
-30.21   	123.90   	 75.69   	  81.38		 57.66   	  30.52		
-47.00   	 86.98   	 76.01   	  81.38		 57.78   	  30.52		
-56.46   	 54.32   	 76.34   	 101.73		 57.90   	  30.52		
-56.46   	 27.77   	 76.74   	  76.30		 58.03   	  35.61		
-50.35   	  7.93   	 77.05   	  40.69		 58.17   	  35.61		
-44.86   	 -5.80   	 77.21   	  55.95		 58.31   	  35.61		
-50.96   	-22.58   	 77.44   	 -61.04		 58.45   	  35.61		
-56.76   	-29.60   	 77.19   	 -35.61		 58.60   	  35.61		
-57.98   	-36.93   	 77.05   	 -15.26		 58.74   	  30.52		
-54.93   	-43.33   	 76.99   	 -30.52		 58.86   	  20.35		
-52.80   	-48.22   	 76.87   	 -30.52		 58.94   	  15.26		
-55.54   	-50.96   	 76.74   	 -15.26		 59.00(S)	  -5.09		
-61.95   	-52.19   	 76.68   	  -5.09		 58.98   	 -10.17		
-65.92   	-52.80   	 76.66   	  15.26		 58.94   	 -30.52		
-61.04   	-53.10   	 76.72   	  20.35		 58.82   	 -50.86		
-45.78   	-52.19   	 76.81   	 -30.52		 58.62   	 -76.30		
-25.02   	-48.22   	 76.68   	 -45.78		 58.31   	-101.73		
 -5.80   	-41.20   	 76.50   	 -50.86		 57.90   	-132.25		
  7.63   	-33.26   	 76.30   	 -66.12		 57.38   	-167.85		
 15.56   	-28.08   	 76.03   	 -71.21		 56.70   	-203.46		
 20.14   	-27.47   	 75.75   	-111.90		 55.89   	-239.06		
 18.62   	-31.43   	 75.30   	-147.51		 54.93   	-274.67		
  7.93   	-36.01   	 74.71   	-132.25		 53.83   	-310.27		
-12.51   	-38.45   	 74.18   	-137.33		 52.59   	-340.79		
-36.32   	-36.93   	 73.63   	-157.68		 51.23   	-381.48		
-53.71   	-32.65   	 73.00   	-127.16		 49.70   	-406.92		
-59.20   	-27.16   	 72.49   	-142.42		 48.08   	-437.43		
-53.10   	-21.67   	 71.92   	-183.11		 46.33   	-462.87		
-40.59   	-14.04   	 71.19   	-162.77		 44.48   	-473.04		
-22.58   	 -1.83   	 70.54   	-183.11		 42.58   	-493.39		
  1.22   	 15.56   	 69.81   	-401.83		 40.61   	-574.77		
 60.12   	 57.68   	 68.20   	-183.11		 38.31   	-569.68		
 79.65   	 75.99   	 67.47   	-223.80		 36.03   	-564.60		
 81.79   	 90.03   	 66.57   	-223.80		 33.77   	-554.42		
 64.70   	102.54   	 65.68   	-223.80		 31.56   	-544.25		
 36.32   	117.49   	 64.78   	-228.89		 29.38   	-528.99		
  6.41   	136.72   	 63.87   	-183.11		 27.26   	-503.56		
-19.53   	160.22   	 63.13   	-162.77		 25.25   	-493.39		
-43.03   	182.50   	 62.48   	-172.94		 23.28   	-467.95		
-66.83   	196.53   	 61.79   	-127.16		 21.40   	-442.52		
-89.11   	196.53   	 61.28   	 -91.56		 19.63   	-427.26		
-103.45   	181.27   	 60.92   	 -86.47		 17.92   	-396.74		
-104.06   	155.64   	 60.57   	-101.73		 16.34   	-376.40		
-90.33   	126.95   	 60.16   	 -86.47		 14.83   	-350.97		
-69.58   	 98.88   	 59.82   	 -40.69		 13.43   	-320.45		
-49.44   	 68.66   	 59.65   	 -55.95		 12.15   	-300.10		
-33.26   	 30.52   	 59.43   	 -91.56		 10.95   	-269.58		
-21.06   	-16.17   	 59.06   	 -61.04		  9.87   	-244.15		
-12.21   	-63.17   	 58.82   	 -45.78		  8.89   	-218.72		
 -8.24   	-96.44   	 58.64   	 -96.64		  8.02   	-193.29		
-10.38   	-106.81   	 58.25   	-101.73		  7.24   	-172.94		
-16.48   	-97.66   	 57.84   	-101.73		  6.55   	-142.42		
-22.58   	-82.40   	 57.44   	 -96.64		  5.98   	-116.99		
-23.50   	-72.33   	 57.05   	 -66.12		  5.51   	 -96.64		
-20.45   	-70.80   	 56.79   	 -71.21		  5.13   	 -76.30		
-20.75   	-73.24   	 56.50   	 -81.38		  4.82   	 -50.86		
-32.35   	-73.55   	 56.17   	 -40.69		  4.62   	 -35.61		
-55.85   	-71.11   	 56.01   	 -25.43		  4.48   	 -20.35		
-82.09   	-68.05   	 55.91   	 -50.86		  4.39   	  -5.09		
-99.49   	-66.83   	 55.71   	 -20.35		  4.37(D)	  10.17		
-99.49   	-67.14   	 55.63   	  10.17		  4.42   	  25.43		
-85.14   	-67.44   	 55.67   	   0.00		  4.52   	  35.61		
-66.53   	-66.83   	 55.67   	 -15.26		  4.66   	  40.69		
