SAMPLE NUMBER:   21
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-158.69   	-585.94   	 11.15   	  25.43		 59.53   	 -66.12		
-116.58   	-379.64   	 11.25   	  30.52		 59.27   	 -61.04		
-49.44   	-143.74   	 11.37   	  25.43		 59.02   	 -61.04		
-14.65   	-17.09   	 11.48   	  30.52		 58.78   	 -61.04		
-24.72   	-18.62   	 11.60   	  30.52		 58.53   	 -55.95		
-54.63   	-80.57   	 11.72   	  30.52		 58.31   	 -61.04		
-72.94   	-128.48   	 11.84   	  35.61		 58.07   	 -55.95		
-68.66   	-133.06   	 11.98   	  35.61		 57.84   	 -55.95		
-52.19   	-106.20   	 12.13   	  45.78		 57.62   	 -55.95		
-39.37   	-75.07   	 12.31   	  50.86		 57.40   	 -55.95		
-35.71   	-60.12   	 12.51   	  61.04		 57.17   	 -55.95		
-37.54   	-63.78   	 12.76   	  71.21		 56.95   	 -50.86		
-38.76   	-73.85   	 13.04   	  76.30		 56.74   	 -55.95		
-36.01   	-76.60   	 13.35   	  91.56		 56.52   	 -55.95		
-30.82   	-69.27   	 13.71   	 111.90		 56.30   	 -50.86		
-25.33   	-59.51   	 14.16   	 132.25		 56.09   	 -55.95		
-21.06   	-52.80   	 14.69   	 142.42		 55.87   	 -61.04		
-17.70   	-48.52   	 15.26   	 157.68		 55.63   	 -55.95		
-14.34   	-43.64   	 15.89   	 167.85		 55.40   	 -55.95		
-10.38   	-36.62   	 16.56   	 183.11		 55.18   	 -55.95		
 -5.49   	-27.77   	 17.29   	 208.54		 54.95   	 -55.95		
 -0.31   	-18.01   	 18.13   	 213.63		 54.73   	 -55.95		
  4.27   	 -7.63   	 18.98   	 228.89		 54.51   	 -50.86		
  7.93   	  2.44   	 19.90   	 233.98		 54.30   	 -45.78		
 10.68   	 12.82   	 20.83   	 239.06		 54.12   	 -30.52		
 13.43   	 23.50   	 21.79   	 239.06		 54.00   	  -5.09		
 16.48   	 35.10   	 22.75   	 249.24		 53.98   	  35.61		
 19.84   	 47.00   	 23.74   	 239.06		 54.12   	  81.38		
 22.89   	 58.90   	 24.70   	 233.98		 54.45   	 147.51		
 25.94   	 70.50   	 25.64   	 228.89		 55.04   	 218.72		
 28.69   	 81.79   	 26.55   	 223.80		 55.91   	 289.93		
 31.13   	 93.08   	 27.45   	 213.63		 57.07   	 361.14		
 33.57   	104.06   	 28.30   	 203.46		 58.51   	 427.26		
 36.32   	115.66   	 29.11   	 193.29		 60.22   	 483.21		
 39.37   	126.65   	 29.89   	 183.11		 62.16   	 534.08		
 42.11   	137.63   	 30.62   	 167.85		 64.29   	 579.86		
 45.17   	148.62   	 31.29   	 157.68		 66.61   	 610.37		
 47.91   	159.91   	 31.92   	 142.42		 69.05   	 635.81		
 50.66   	171.51   	 32.49   	 132.25		 71.60   	 645.98		
 53.10   	182.50   	 33.02   	 122.07		 74.18   	 640.89		
 55.54   	193.48   	 33.51   	 101.73		 76.74   	 625.63		
 57.37   	203.86   	 33.92   	  96.64		 79.25   	 600.20		
 59.51   	214.54   	 34.30   	  81.38		 81.65   	 554.42		
 63.17   	226.14   	 34.63   	  71.21		 83.87   	 503.56		
 68.66   	238.04   	 34.91   	  66.12		 85.88   	 447.61		
 75.07   	248.72   	 35.18   	  50.86		 87.67   	 381.48		
 82.09   	256.65   	 35.38   	  45.78		 89.20   	 310.27		
 88.20   	259.70   	 35.56   	  35.61		 90.44   	 249.24		
 91.86   	256.65   	 35.71   	  25.43		 91.43   	 183.11		
 91.55   	246.89   	 35.81   	  25.43		 92.17   	 122.07		
 85.14   	231.32   	 35.91   	  15.26		 92.65   	  66.12		
 71.11   	210.88   	 35.97   	   5.09		 92.92   	  15.26		
 50.66   	186.77   	 35.99   	   5.09		 92.98   	 -15.26		
 26.55   	160.83   	 36.01   	  -5.09		 92.92   	 -50.86		
  2.44   	132.75   	 35.99   	 -10.17		 92.72   	 -71.21		
-18.31   	103.45   	 35.95   	 -15.26		 92.43   	 -86.47		
-34.18   	 73.85   	 35.89   	 -15.26		 92.09   	 -91.56		
-45.47   	 45.78   	 35.83   	 -25.43		 91.72   	 -86.47		
