SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 55.38   	 437.43		 34.32   	-127.16		
 57.13   	 406.92		 33.81   	 -86.47		
 58.76   	 361.14		 33.47   	 -55.95		
 60.20   	 305.19		 33.25   	 -50.86		
 61.42   	 244.15		 33.04   	 -61.04		
 62.40   	 188.20		 32.80   	 -25.43		
 63.15   	 127.16		 32.70   	  35.61		
 63.66   	  71.21		 32.84   	 101.73		
 63.95   	  25.43		 33.25   	 116.99		
 64.05   	 -10.17		 33.71   	  91.56		
 64.01   	 -20.35		 34.08   	  81.38		
 63.93   	 -35.61		 34.40   	 116.99		
 63.78   	 -35.61		 34.87   	 152.59		
 63.64   	 -35.61		 35.48   	 157.68		
 63.50   	 -30.52		 36.11   	 122.07		
 63.38   	 -10.17		 36.60   	 101.73		
 63.34   	  20.35		 37.01   	  96.64		
 63.42   	  50.86		 37.40   	 116.99		
 63.62   	  76.30		 37.86   	 116.99		
 63.93   	  96.64		 38.33   	 116.99		
 64.31   	 106.82		 38.80   	  96.64		
 64.74   	 122.07		 39.19   	  91.56		
 65.23   	 142.42		 39.55   	  76.30		
 65.80   	 167.85		 39.86   	  76.30		
 66.47   	 167.85		 40.16   	  61.04		
 67.14   	 178.03		 40.41   	  40.69		
 67.85   	 172.94		 40.57   	  15.26		
 68.55   	 162.77		 40.63(S)	  -5.09		
 69.20   	 147.51		 40.61   	 -15.26		
 69.79   	 142.42		 40.55   	 -10.17		
 70.36   	 132.25		 40.51   	 -10.17		
 70.88   	 106.82		 40.47   	 -15.26		
 71.31   	  91.56		 40.41   	 -30.52		
 71.68   	  81.38		 40.28   	 -30.52		
 72.00   	  55.95		 40.16   	 -30.52		
 72.23   	  45.78		 40.04   	 -30.52		
 72.41   	  15.26		 39.92   	 -30.52		
 72.47(S)	  -5.09		 39.80   	 -40.69		
 72.45   	 -25.43		 39.63   	 -50.86		
 72.35   	 -50.86		 39.43   	 -66.12		
 72.15   	 -61.04		 39.17   	 -71.21		
 71.90   	 -71.21		 38.88   	 -91.56		
 71.62   	 -86.47		 38.51   	-116.99		
 71.27   	-116.99		 38.05   	-147.51		
 70.80   	-127.16		 37.46   	-167.85		
 70.29   	-147.51		 36.79   	-198.37		
 69.70   	-152.59		 35.99   	-239.06		
 69.09   	-172.94		 35.04   	-269.58		
 68.40   	-203.46		 33.96   	-264.50		
