SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  DAO     	  DAO'		  RV     	  RV'		
 97.05   	 26.86   	 74.36   	  55.95		 73.10   	-188.20		
135.19   	 56.15   	 74.59   	 116.99		 72.35   	-249.24		
161.44   	 75.68   	 75.06   	 239.06		 71.35   	-289.93		
174.26   	 82.70   	 76.01   	 437.43		 70.19   	-330.62		
179.14   	 82.40   	 77.76   	 717.19		 68.87   	-356.05		
181.88   	 79.04   	 80.63   	1042.72		 67.45   	-356.05		
189.51   	 81.48   	 84.80   	1312.30		 66.02   	-340.79		
207.82   	 97.66   	 90.05   	1480.16		 64.66   	-305.19		
235.60   	127.87   	 95.97   	1505.59		 63.44   	-264.50		
262.76   	162.05   	101.99   	1424.21		 62.38   	-208.54		
274.66   	184.02   	107.69   	1297.04		 61.55   	-137.33		
263.37   	183.72   	112.88   	1139.36		 61.00   	 -71.21		
233.15   	163.88   	117.44   	 951.17		 60.71   	 -10.17		
199.28   	139.77   	121.24   	 691.76		 60.67   	  35.61		
177.31   	127.26   	124.01   	 345.88		 60.81   	  71.21		
169.68   	129.39   	125.39   	 -50.86		 61.10   	  91.56		
166.63   	136.72   	125.19   	-406.92		 61.46   	 101.73		
155.33   	136.41   	123.56   	-656.15		 61.87   	  96.64		
130.62   	122.38   	120.94   	-742.62		 62.26   	  81.38		
 96.74   	 99.18   	117.96   	-666.32		 62.58   	  45.78		
 61.95   	 73.55   	115.30   	-508.65		 62.77   	  20.35		
 32.35   	 51.88   	113.27   	-335.71		 62.85   	 -25.43		
  7.93   	 34.79   	111.92   	-300.10		 62.75   	-208.54		
-35.40   	  6.10   	110.72   	 -81.38		 61.91   	-178.03		
-55.24   	 -5.49   	110.40   	-111.90		 61.20   	-218.72		
-70.80   	-13.43   	109.95   	-188.20		 60.33   	-259.41		
-79.96   	-16.78   	109.20   	-305.19		 59.29   	-289.93		
-83.31   	-16.48   	107.98   	-432.35		 58.13   	-325.53		
-82.40   	-13.43   	106.25   	-544.25		 56.83   	-350.97		
-81.48   	-10.99   	104.07   	-640.89		 55.42   	-371.31		
-83.62   	-11.29   	101.51   	-686.67		 53.94   	-381.48		
