SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  DAO     	  DAO'		  RV     	  RV'		
-51.88   	-33.26   	 79.78   	  10.17		 32.02   	 -45.78		
-46.39   	-25.63   	 79.82   	  55.95		 31.84   	 -55.95		
-47.30   	-25.33   	 80.04   	  61.04		 31.62   	 -61.04		
-55.54   	-32.35   	 80.28   	  50.86		 31.37   	 -86.47		
-63.78   	-40.28   	 80.49   	  10.17		 31.03   	-137.33		
-64.09   	-42.72   	 80.53   	 -40.69		 30.48   	-188.20		
-51.57   	-36.62   	 80.37   	-106.82		 29.73   	-264.50		
-28.69   	-25.33   	 79.94   	-193.29		 28.67   	-350.97		
 -0.31   	-13.43   	 79.17   	-274.67		 27.26   	-437.43		
 31.43   	 -0.61   	 78.07   	-762.97		 25.51   	-1093.59		
108.03   	 36.32   	 75.01   	-427.26		 21.14   	-600.20		
151.06   	 61.04   	 73.31   	-412.00		 18.74   	-610.37		
194.09   	 90.03   	 71.66   	-305.19		 16.30   	-630.72		
232.54   	121.46   	 70.44   	-152.59		 13.77   	-661.24		
260.93   	151.67   	 69.83   	  15.26		 11.13   	-615.46		
271.00   	171.20   	 69.89   	 167.85		  8.67   	-467.95		
256.65   	170.90   	 70.56   	 259.41		  6.80   	-305.19		
216.67   	145.57   	 71.60   	 284.84		  5.57   	-188.20		
158.69   	101.01   	 72.74   	 249.24		  4.82   	 -96.64		
 93.69   	 50.05   	 73.73   	 147.51		  4.44   	 -15.26		
 29.91   	  4.88   	 74.32   	  35.61		  4.37(D)	  71.21		
-27.77   	-28.38   	 74.47   	 -86.47		  4.66   	 172.94		
-76.29   	-49.44   	 74.12   	-188.20		  5.35   	 264.50		
-109.56   	-59.81   	 73.37   	-259.41		  6.41   	 345.88		
-124.21   	-63.17   	 72.33   	-295.01		  7.79   	 406.92		
-124.51   	-63.48   	 71.15   	-284.84		  9.42   	 462.87		
-120.85   	-64.70   	 70.01   	-244.15		 11.27   	 513.73		
-124.82   	-70.50   	 69.03   	-167.85		 13.33   	 554.42		
-137.63   	-79.96   	 68.36   	 -71.21		 15.54   	 569.68		
-145.87   	-88.20   	 68.08   	  30.52		 17.82   	 559.51		
-130.31   	-98.57   	 68.20   	 116.99		 20.06   	 478.13		
-64.09   	-119.93   	 68.67   	 167.85		 21.97   	 345.88		
 86.67   	-155.03   	 69.34   	 183.11		 23.36   	 213.63		
325.32   	-193.18   	 70.07   	 157.68		 24.21   	 122.07		
570.68   	-207.52   	 70.70   	 152.59		 24.70   	 147.51		
528.87   	-46.69   	 71.31   	 -25.43		 25.29   	  35.61		
104.37   	100.71   	 71.21   	 -81.38		 25.43   	 -15.26		
-442.81   	200.81   	 70.88   	-132.25		 25.37   	 -55.95		
-854.49   	190.43   	 70.36   	-157.68		 25.15   	 -76.30		
-950.62(R)	 65.61   	 69.73   	-172.94		 24.84(E)	 -86.47		
-743.10   	-106.20   	 69.03   	-152.59		 24.50   	 -96.64		
-392.76   	-221.25   	 68.42   	-122.07		 24.11   	 -61.04		
-100.71   	-224.61   	 67.93   	 -76.30		 23.87   	   5.09		
 15.56   	-145.26   	 67.63   	 -35.61		 23.89   	  61.04		
-23.80   	-60.12   	 67.49   	 -10.17		 24.13   	  96.64		
-114.75   	-27.77   	 67.45   	  15.26		 24.52   	 157.68		
-164.79   	-49.44   	 67.51   	  25.43		 25.15   	 244.15		
-147.40   	-85.14   	 67.61   	  30.52		 26.12   	 376.40		
-92.47   	-97.66   	 67.73   	  15.26		 27.63   	 528.99		
-45.47   	-83.01   	 67.79   	 -15.26		 29.75   	 686.67		
-28.69   	-58.59   	 67.73   	 -55.95		 32.49   	 803.66		
-34.79   	-42.42   	 67.51   	 -86.47		 35.71   	 864.70		
-41.50   	-37.54   	 67.16   	-116.99		 39.17   	 900.30		
-35.10   	-37.54   	 66.69   	-137.33		 42.77   	 956.25		
-21.06   	-39.37   	 66.14   	-152.59		 46.59   	 991.86		
-10.68   	-42.72   	 65.53   	-152.59		 50.56   	 951.17		
 -6.41   	-44.25   	 64.92   	-137.33		 54.36   	 879.96		
 -0.92   	-38.45   	 64.37   	-111.90		 57.88   	 783.31		
 11.29   	-25.02   	 63.93   	 -91.56		 61.02   	 645.98		
 31.74   	 -6.41   	 63.56   	 -71.21		 63.60   	 783.31		
 78.74   	 23.50   	 63.28(D)	   5.09		 66.73   	 132.25		
100.71   	 33.87   	 63.30   	  40.69		 67.26(S)	 -20.35		
122.07   	 43.64   	 63.46   	 106.82		 67.18   	-157.68		
142.52   	 53.41   	 63.89   	 213.63		 66.55   	-264.50		
162.05   	 61.95   	 64.74   	 391.66		 65.49   	-340.79		
181.58   	 71.41   	 66.31   	 640.89		 64.13   	-396.74		
201.72   	 83.62   	 68.87   	 946.08		 62.54   	-417.09		
221.56   	 98.88   	 72.65   	1256.35		 60.87   	-406.92		
238.04   	114.14   	 77.68   	1480.16		 59.25   	-376.40		
248.11   	125.12   	 83.60   	1561.54		 57.74   	-335.71		
251.77   	130.92   	 89.85   	1510.68		 56.40   	-274.67		
254.82   	136.41   	 95.89   	1353.00		 55.30   	-208.54		
263.37   	149.23   	101.30   	1139.36		 54.47   	-147.51		
274.35   	167.24   	105.86   	 915.56		 53.88   	 -71.21		
278.32   	182.19   	109.52   	 681.58		 53.59   	  -5.09		
266.11   	184.02   	112.25   	 417.09		 53.57   	  76.30		
238.95   	171.51   	113.92   	 122.07		 53.88   	 137.33		
205.38   	150.76   	114.40(S)	-167.85		 54.43   	 178.03		
177.31   	132.14   	113.73   	-386.57		 55.14   	 203.46		
159.91   	122.07   	112.19   	-473.04		 55.95   	 198.37		
146.48   	115.66   	110.29   	-422.18		 56.74   	 198.37		
128.78   	107.42   	108.61   	-274.67		 57.54   	 193.29		
102.23   	 93.08   	107.51   	-116.99		 58.31   	 162.77		
 69.58   	 73.85   	107.04   	 -15.26		 58.96   	 116.99		
 38.45   	 54.93   	106.98   	   0.00		 59.43   	 111.90		
 -4.58   	 27.77   	106.98   	 -76.30		 59.88   	 -30.52		
-21.06   	 14.95   	106.67   	-142.42		 59.76   	 -76.30		
-34.79   	  4.58   	106.10   	-213.63		 59.45   	-127.16		
-46.39   	 -2.75   	105.25   	-305.19		 58.94   	-167.85		
-57.07   	 -7.63   	104.03   	-391.66		 58.27   	-213.63		
-66.83   	-11.29   	102.46   	-447.61		 57.42   	-233.98		
-77.82   	-17.40   	100.67   	-457.78		 56.48   	-244.15		
-85.14   	-22.89   	 98.84   	-412.00		 55.50   	-254.32		
-83.31   	-21.67   	 97.19   	-335.71		 54.49   	-244.15		
-73.85   	-13.12   	 95.85   	-244.15		 53.51   	-228.89		
-65.31   	 -4.27   	 94.87   	-132.25		 52.59   	-208.54		
-66.53   	 -3.36   	 94.34   	 -40.69		 51.76   	-183.11		
-79.96   	-14.34   	 94.18   	  30.52		 51.03   	-167.85		
-97.35   	-30.52   	 94.30   	  55.95		 50.36   	-162.77		
-106.51   	-39.67   	 94.53   	  45.78		 49.70   	-183.11		
-104.06   	-38.15   	 94.71   	  15.26		 48.97   	-203.46		
-93.99   	-29.30   	 94.77   	 -30.52		 48.16   	-244.15		
-82.09   	-18.31   	 94.65   	 -91.56		 47.18   	-295.01		
-73.55   	-10.99   	 94.28   	-142.42		 46.00   	-361.14		
-67.44   	 -6.10   	 93.71   	-213.63		 44.56   	-412.00		
-61.95   	 -0.92   	 92.86   	-279.75		 42.91   	-467.95		
-58.59   	  2.14   	 91.74   	-335.71		 41.04   	-549.34		
-57.37   	  0.61   	 90.40   	-376.40		 38.84   	-640.89		
-53.10   	 -1.83   	 88.89   	-396.74		 36.28   	-696.84		
-36.93   	  1.53   	 87.30   	-803.66		 33.49   	-1449.64		
 46.69   	 43.33   	 84.09   	-396.74		 27.69   	-707.02		
104.06   	 77.21   	 82.50   	-345.88		 24.86   	-635.81		
158.08   	109.56   	 81.12   	-239.06		 22.32   	-559.51		
202.94   	137.94   	 80.16   	 -91.56		 20.08   	-467.95		
240.78   	167.54   	 79.80   	  55.95		 18.21   	-366.22		
269.17   	195.62   	 80.02   	 157.68		 16.74   	-300.10		
279.54   	211.49   	 80.65   	 178.03		 15.54   	-264.50		
262.45   	202.94   	 81.36   	 147.51		 14.49   	-193.29		
215.76   	166.02   	 81.95   	  76.30		 13.71   	 -61.04		
146.48   	108.64   	 82.26   	   0.00		 13.47(D)	  81.38		
 68.66   	 47.30   	 82.26   	 -71.21		 13.79   	 203.46		
 -1.53   	  0.00   	 81.97   	-152.59		 14.61   	 305.19		
-54.63   	-25.63   	 81.36   	-208.54		 15.83   	 381.48		
-88.81   	-33.57   	 80.53   	-233.98		 17.35   	 417.09		
-105.59   	-31.43   	 79.59   	-228.89		 19.02   	 457.78		
-111.08   	-28.99   	 78.68   	-198.37		 20.85   	 488.30		
-116.58   	-35.71   	 77.88   	-152.59		 22.81   	 493.39		
-129.39   	-52.80   	 77.27   	 -96.64		 24.78   	 462.87		
-145.87   	-71.41   	 76.89   	 -20.35		 26.63   	 406.92		
-156.25   	-79.96   	 76.81   	  40.69		 28.26   	 340.79		
-151.67   	-77.51   	 76.97   	  81.38		 29.62   	 279.75		
-122.38   	-77.82   	 77.29   	  91.56		 30.74   	 213.63		
-48.83   	-98.57   	 77.66   	  86.47		 31.60   	 116.99		
102.84   	-144.04   	 78.01   	  55.95		 32.06   	  15.26		
338.75   	-193.48   	 78.23   	  10.17		 32.13   	 -66.12		
573.43   	-209.05   	 78.27   	-101.73		 31.86   	-295.01		
472.41   	-22.58   	 77.86   	 -96.64		 30.68   	-162.77		
 17.40   	134.28   	 77.48   	-127.16		 30.03   	-142.42		
-530.09   	233.76   	 76.97   	-132.25		 29.46   	-122.07		
-903.63   	217.29   	 76.44   	-122.07		 28.97   	-122.07		
-944.52(R)	 85.75   	 75.95   	 -91.56		 28.48(E)	-106.82		
-695.19   	-86.67   	 75.58   	 -61.04		 28.06   	 -66.12		
-337.52   	-198.06   	 75.34   	 -35.61		 27.79   	 -35.61		
-68.05   	-198.06   	 75.20   	 -20.35		 27.65   	  25.43		
 21.36   	-118.10   	 75.12   	 -10.17		 27.75   	 101.73		
-28.08   	-35.40   	 75.08   	 -15.26		 28.16   	 188.20		
-110.17   	 -6.10   	 75.01   	 -10.17		 28.91   	 289.93		
-147.09   	-30.21   	 74.97   	  -5.09		 30.07   	 386.57		
-129.39   	-70.80   	 74.95   	 -20.35		 31.62   	 518.82		
-88.20   	-90.03   	 74.87   	 -40.69		 33.69   	 676.50		
-54.93   	-75.99   	 74.71   	 -66.12		 36.40   	 803.66		
-41.81   	-45.78   	 74.45   	 -81.38		 39.61   	 879.96		
-41.81   	-22.58   	 74.12   	 -96.64		 43.13   	 951.17		
-40.28   	-14.95   	 73.73   	-106.82		 46.94   	 981.68		
-29.60   	-17.70   	 73.31   	-106.82		 50.86   	 986.77		
-13.12   	-19.23   	 72.88   	-111.90		 54.81   	 940.99		
  5.80   	-10.68   	 72.43   	-116.99		 58.58   	 864.70		
 24.11   	  6.71   	 71.96   	-116.99		 62.03   	 757.88		
 38.76   	 23.80   	 71.50   	-101.73		 65.07   	 635.81		
 50.35   	 32.35   	 71.09   	 -71.21		 67.61   	 498.47		
 62.56   	 33.57   	 70.80   	 -61.04		 69.60   	 549.34		
103.45   	 43.95   	 70.56   	 -15.26		 71.80   	  45.78		
127.26   	 58.29   	 70.50(D)	   5.09		 71.98(S)	 -76.30		
142.52   	 68.66   	 70.52   	  61.04		 71.68   	-183.11		
150.15   	 72.33   	 70.76   	 152.59		 70.95   	-274.67		
160.83   	 75.99   	 71.37   	 310.27		 69.85   	-330.62		
185.55   	 88.81   	 72.61   	 539.16		 68.52   	-381.48		
224.61   	115.05   	 74.77   	 834.18		 67.00   	-386.57		
266.11   	148.01   	 78.11   	1149.54		 65.45   	-381.48		
296.94   	176.09   	 82.71   	1398.77		 63.93   	-361.14		
309.14   	190.12   	 88.30   	1541.19		 62.48   	-315.36		
305.79   	190.43   	 94.47   	1536.11		 61.22   	-244.15		
296.02   	185.24   	100.61   	1403.86		 60.24   	-167.85		
286.87   	181.58   	106.23   	1225.83		 59.57   	 -86.47		
281.98   	184.94   	111.13   	1032.55		 59.23   	 -10.17		
282.90   	198.36   	115.26   	 849.44		 59.19   	  50.86		
288.09   	218.20   	118.66   	 651.07		 59.39   	 116.99		
289.61   	233.46   	121.26   	 376.40		 59.86   	 162.77		
277.40   	232.54   	122.77   	  45.78		 60.51   	 183.11		
245.97   	208.74   	122.95(S)	-269.58		 61.24   	 203.46		
202.94   	170.90   	121.87   	-483.21		 62.05   	 223.80		
164.18   	137.02   	119.94   	-534.08		 62.95   	 223.80		
142.21   	120.85   	117.80   	-442.52		 63.85   	 183.11		
136.11   	122.99   	116.03   	-295.01		 64.58   	 147.51		
130.62   	127.56   	114.85   	-157.68		 65.17   	 106.82		
109.56   	119.63   	114.22   	 -81.38		 65.59   	  45.78		
 19.53   	 59.20   	113.90   	 -35.61		 65.78   	 -45.78		
-15.26   	 35.71   	113.75   	 -96.64		 65.59   	 -91.56		
-26.55   	 31.43   	113.37   	-162.77		 65.23   	-137.33		
-21.97   	 38.76   	112.72   	-259.41		 64.68   	-172.94		
-16.78   	 44.86   	111.68   	-345.88		 63.99   	-188.20		
-22.89   	 39.37   	110.29   	-401.83		 63.23   	-198.37		
-37.84   	 25.33   	108.69   	-422.18		 62.44   	-198.37		
-51.27   	 14.04   	107.00   	-412.00		 61.65   	-193.29		
-57.98   	 10.68   	105.35   	-381.48		 60.87   	-193.29		
-62.87   	 10.99   	103.82   	-320.45		 60.10   	-188.20		
-71.11   	  7.63   	102.54   	-223.80		 59.35   	-188.20		
-79.35   	  2.75   	101.65   	-137.33		 58.60   	-198.37		
-79.65   	  3.36   	101.10   	 -61.04		 57.80   	-203.46		
-68.97   	 13.12   	100.85   	  -5.09		 56.99   	-228.89		
-54.63   	 26.25   	100.83   	  20.35		 56.07   	-259.41		
-47.91   	 31.43   	100.92   	  15.26		 55.04   	-274.67		
-52.19   	 24.72   	100.98   	 -15.26		 53.94   	-325.53		
-60.73   	 11.90   	100.92   	 -55.95		 52.63   	-386.57		
-64.70   	  2.75   	100.69   	-111.90		 51.09   	-437.43		
-64.09   	 -0.61   	100.24   	-178.03		 49.34   	-483.21		
-64.09   	 -1.53   	 99.53   	-249.24		 47.41   	-579.86		
-68.97   	 -4.58   	 98.53   	-320.45		 45.09   	-671.41		
-72.02   	 -6.41   	 97.25   	-376.40		 42.40   	-712.10		
-58.29   	  3.66   	 95.75   	-422.18		 39.55   	-696.84		
-19.53   	 32.04   	 94.06   	-879.96		 36.76   	-1281.79		
 96.44   	113.22   	 90.54   	-391.66		 31.64   	-534.08		
140.08   	137.33   	 88.97   	-295.01		 29.50   	-462.87		
170.59   	149.84   	 87.79   	-137.33		 27.65   	-412.00		
199.28   	162.05   	 87.24   	  15.26		 26.00   	-345.88		
233.76   	184.94   	 87.30   	 137.33		 24.62   	-254.32		
268.55   	214.23   	 87.85   	 188.20		 23.60(D)	-127.16		
286.56   	232.54   	 88.61   	 178.03		 23.09   	  20.35		
274.05   	223.69   	 89.32   	 122.07		 23.17   	 147.51		
233.76   	189.51   	 89.81   	  50.86		 23.76   	 244.15		
175.48   	140.99   	 90.01   	 -35.61		 24.74   	 325.53		
106.51   	 89.11   	 89.87   	-111.90		 26.04   	 386.57		
 33.26   	 42.72   	 89.42   	-167.85		 27.59   	 427.26		
-35.10   	  7.32   	 88.75   	-198.37		 29.30   	 457.78		
-84.53   	-11.29   	 87.95   	-213.63		 31.13   	 473.04		
-107.42   	-14.04   	 87.10   	-198.37		 33.02   	 457.78		
-109.56   	 -9.77   	 86.31   	-152.59		 34.85   	 417.09		
-108.64   	-11.90   	 85.70   	 -96.64		 36.52   	 366.22		
-116.58   	-25.02   	 85.31   	 -30.52		 37.99   	 300.10		
-129.39   	-39.37   	 85.19   	  25.43		 39.19   	 228.89		
-134.58   	-43.03   	 85.29   	  61.04		 40.10   	 152.59		
-119.93   	-32.04   	 85.53   	  86.47		 40.71   	  66.12		
-80.26   	-24.41   	 85.88   	  76.30		 40.98   	 -20.35		
 -4.27   	-44.56   	 86.18   	  50.86		 40.90   	-122.07		
140.08   	-97.05   	 86.39   	  15.26		 40.41   	-193.29		
361.02   	-159.00   	 86.45   	 -25.43		 39.63   	-203.46		
581.97   	-184.94   	 86.35   	-162.77		 38.82   	-366.22		
476.99   	 15.87   	 85.70   	-142.42		 37.35   	-147.51		
 31.13   	193.79   	 85.13   	-142.42		 36.76   	-111.90		
-510.86   	307.31   	 84.56   	-142.42		 36.32   	 -86.47		
-885.31   	289.00   	 83.99   	-127.16		 35.97(E)	 -55.95		
-928.96(R)	142.21   	 83.48   	 -91.56		 35.75   	 -20.35		
-679.02   	-48.22   	 83.11   	 -55.95		 35.67   	  20.35		
-315.55   	-169.07   	 82.89   	 -25.43		 35.75   	  66.12		
-39.06   	-166.63   	 82.79   	 -10.17		 36.01   	 116.99		
 49.13   	-80.26   	 82.75   	  -5.09		 36.48   	 172.94		
-13.43   	  4.58   	 82.73   	   0.00		 37.17   	 239.06		
-116.88   	 26.25   	 82.73   	 -10.17		 38.13   	 315.36		
-172.42   	-11.60   	 82.69   	 -15.26		 39.39   	 401.83		
-156.86   	-58.59   	 82.62   	 -30.52		 41.00   	 508.65		
-97.05   	-69.27   	 82.50   	 -50.86		 43.03   	 656.15		
-33.57   	-36.62   	 82.30   	 -61.04		 45.66   	 768.05		
  5.19   	 11.60   	 82.05   	 -86.47		 48.73   	 834.18		
 13.73   	 41.20   	 81.71   	 -96.64		 52.06   	 905.39		
  6.71   	 43.95   	 81.32   	-111.90		 55.69   	 946.08		
  2.14   	 33.57   	 80.87   	-116.99		 59.47   	 930.82		
  5.49   	 25.94   	 80.41   	-127.16		 63.19   	 885.04		
 14.04   	 27.77   	 79.90   	-132.25		 66.73   	 813.83		
 24.41   	 36.32   	 79.37   	-142.42		 69.99   	 722.28		
 34.48   	 44.56   	 78.80   	-137.33		 72.88   	 595.11		
 47.00   	 51.57   	 78.25   	-116.99		 75.26   	 457.78		
 65.92   	 61.04   	 77.78   	-162.77		 77.09   	 457.78		
116.27   	 89.72   	 77.13   	 -40.69		 78.92(S)	   0.00		
136.72   	101.32   	 76.97   	  -5.09		 78.92   	-142.42		
151.37   	109.25   	 76.95   	  25.43		 78.35   	-254.32		
164.79   	116.58   	 77.05   	  86.47		 77.33   	-330.62		
181.58   	126.04   	 77.40   	 198.37		 76.01   	-396.74		
207.21   	142.52   	 78.19   	 396.74		 74.42   	-422.18		
241.70   	166.32   	 79.78   	 681.58		 72.74   	-422.18		
278.32   	193.18   	 82.50   	 981.68		 71.05   	-401.83		
308.53   	217.59   	 86.43   	1251.27		 69.44   	-361.14		End----------
327.15   	236.21   	 91.43   	1429.29		 68.00   	-315.36		
331.73   	246.28   	 97.15   	1469.98		 66.73   	-249.24		
325.62   	248.72   	103.03   	1419.12		 65.74   	-178.03		
314.03   	247.19   	108.71   	1302.13		 65.03   	-101.73		
298.46   	242.92   	113.92   	1180.06		 64.62   	 -30.52		
277.71   	233.46   	118.64   	1052.90		 64.50   	  45.78		
255.43   	221.86   	122.85   	 900.30		 64.68   	 106.82		
235.29   	211.79   	126.45   	 645.98		 65.11   	 142.42		
220.03   	205.38   	129.03   	 305.19		 65.68   	 167.85		
210.88   	204.16   	130.25   	 -96.64		 66.35   	 183.11		
202.03   	203.25   	129.87   	-437.43		 67.08   	 178.03		
185.85   	196.23   	128.12   	-635.81		 67.79   	 167.85		
158.69   	179.14   	125.57   	-676.50		 68.46   	 137.33		
122.68   	153.81   	122.87   	-574.77		 69.01   	 101.73		
 83.01   	124.21   	120.57   	-422.18		 69.42   	  55.95		
 48.83   	 98.88   	118.88   	-442.52		 69.64   	 -40.69		
  0.00   	 67.44   	117.11   	-101.73		 69.48   	 -91.56		
-20.75   	 56.15   	116.70   	 -81.38		 69.11   	-137.33		
-39.06   	 47.00   	116.38   	-106.82		 68.57   	-178.03		
-55.54   	 37.54   	115.95   	-162.77		 67.85   	-213.63		
-70.19   	 26.86   	115.30   	-264.50		 67.00   	-244.15		
-84.23   	 13.12   	114.24   	-371.31		 66.02   	-264.50		
-97.66   	 -0.92   	112.76   	-467.95		 64.96   	-274.67		
-108.34   	-10.38   	110.88   	-534.08		 63.87   	-284.84		
-111.39   	 -9.77   	108.75   	-549.34		 62.73   	-279.75		
-108.34   	 -1.22   	106.55   	-513.73		 61.61   	-274.67		
-105.90   	  6.10   	104.50   	-432.35		 60.51   	-279.75		
-109.56   	  4.58   	102.77   	-330.62		 59.39   	-295.01		
-119.63   	 -5.80   	101.44   	-223.80		 58.21   	-325.53		
-130.62   	-18.31   	100.55   	-147.51		 56.91   	-350.97		
-136.72   	-25.63   	 99.96   	 -91.56		 55.50   	-381.48		
-136.11   	-25.33   	 99.59   	 -61.04		 53.98   	-417.09		
-131.23   	-21.36   	 99.35   	 -50.86		 52.31   	-467.95		
-125.73   	-17.09   	 99.15   	 -76.30		 50.44   	-508.65		
-122.68   	-16.17   	 98.84   	-147.51		 48.40   	-559.51		
-121.77   	-18.01   	 98.25   	-249.24		 46.16   	-640.89		
-121.15   	-20.45   	 97.25   	-371.31		 43.60   	-717.19		
-118.71   	-22.28   	 95.77   	-498.47		 40.73   	-773.14		
-111.69   	-20.75   	 93.77   	-584.94		 37.64   	-783.31		
-97.96   	-14.65   	 91.43   	-640.89		 34.51   	-778.23		
-75.68   	 -2.14   	 88.87   	-1236.01		 31.39   	-1469.98		
  0.31   	 43.95   	 83.93   	-503.56		 25.51   	-686.67		
 49.74   	 72.63   	 81.91   	-356.05		 22.77   	-656.15		
 99.49   	 99.49   	 80.49   	-178.03		 20.14   	-590.03		
140.99   	120.24   	 79.78   	 -30.52		 17.78   	-462.87		
170.29   	135.50   	 79.65   	  61.04		 15.93   	-325.53		
184.94   	145.26   	 79.90   	  81.38		 14.63   	-203.46		
184.33   	147.40   	 80.22   	  30.52		 13.81   	 -86.47		
165.41   	135.19   	 80.35   	 -50.86		 13.47   	  15.26		
125.73   	103.15   	 80.14   	-132.25		 13.53   	  91.56		
 64.70   	 51.88   	 79.61   	-213.63		 13.90   	 147.51		
-13.43   	-10.99   	 78.76   	-269.58		 14.49   	 193.29		
-97.35   	-70.19   	 77.68   	-320.45		 15.26   	 233.98		
-172.42   	-112.92   	 76.40   	-356.05		 16.20   	 244.15		
-226.75   	-135.19   	 74.97   	-340.79		 17.17   	 223.80		
-255.43   	-140.69   	 73.61   	-300.10		 18.07   	 193.29		
-263.67   	-139.47   	 72.41   	-228.89		 18.84   	 147.51		
-264.59   	-141.30   	 71.50   	-137.33		 19.43   	  91.56		
-271.30   	-152.28   	 70.95   	 -61.04		 19.80   	  30.52		
-287.17   	-169.68   	 70.70   	   0.00		 19.92   	 -25.43		
-306.70   	-187.68   	 70.70   	  40.69		 19.82   	 -81.38		
-318.60   	-201.72   	 70.86   	  55.95		 19.49   	-132.25		
-306.70   	-215.76   	 71.09   	  35.61		 18.96   	-178.03		
-248.41   	-241.09   	 71.23   	  -5.09		 18.25   	-223.80		
-108.95   	-283.20   	 71.21   	 -71.21		 17.35   	-228.89		
119.93   	-332.95   	 70.93   	-132.25		 16.44   	-208.54		
357.97   	-364.07   	 70.40   	-366.22		 15.61   	-330.62		
298.16   	-227.97   	 68.93   	-208.54		 14.28   	-137.33		
-130.00   	-63.78   	 68.10   	-213.63		 13.73   	-132.25		
-670.17   	 74.16   	 67.24   	-203.46		 13.20   	-127.16		
-1062.93   	105.59   	 66.43   	-183.11		 12.70   	-132.25		
-1135.25(R)	  3.36   	 65.70   	-152.59		 12.17   	-101.73		
-908.81   	-174.56   	 65.09   	-116.99		 11.76   	 -55.95		
-549.32   	-314.33   	 64.62   	 -91.56		 11.54   	 -15.26		
-252.38   	-339.66   	 64.25   	 -76.30		 11.48   	  40.69		
-130.62   	-267.33   	 63.95   	 -71.21		 11.64   	  81.38		
-166.32   	-179.75   	 63.66   	 -76.30		 11.96   	 147.51		
-260.01   	-147.71   	 63.36   	 -81.38		 12.55   	 244.15		
-320.43   	-178.22   	 63.03   	 -91.56		 13.53   	 325.53		
-315.55   	-226.14   	 62.67   	 -96.64		 14.83   	 391.66		
-262.76   	-240.17   	 62.28   	-106.82		 16.40   	 488.30		
-199.89   	-209.05   	 61.85   	-111.90		 18.35   	 574.77		
-155.94   	-158.08   	 61.40   	-132.25		 20.65   	 615.46		
-137.94   	-120.54   	 60.87   	-157.68		 23.11   	 676.50		
-133.67   	-108.03   	 60.24   	-167.85		 25.82   	 717.19		
-130.00   	-113.22   	 59.57   	-178.03		 28.69   	 691.76		
-121.77   	-122.07   	 58.86   	-183.11		 31.45   	 676.50		
-108.03   	-121.77   	 58.13   	-178.03		 34.16   	 691.76		
-89.11   	-108.34   	 57.42   	-167.85		 36.93   	 656.15		
-63.78   	-84.53   	 56.74   	-142.42		 39.55   	 569.68		
-36.32   	-59.81   	 56.17   	-111.90		 41.83   	 452.69		
-13.43   	-44.86   	 55.73   	-132.25		 43.64   	 544.25		
 16.17   	-40.89   	 55.20   	 -30.52		 45.82   	  61.04		
 34.18   	-34.48   	 55.08   	 -15.26		 46.06   	 -45.78		
 63.17   	-13.12   	 55.02   	 -15.26		 45.88   	-132.25		
104.68   	 22.89   	 54.95   	   0.00		 45.35   	-228.89		
151.67   	 63.48   	 54.95   	  61.04		 44.44   	-284.84		
195.92   	 98.27   	 55.20   	 203.46		 43.30   	-335.71		
232.24   	121.77   	 56.01   	 442.52		 41.95   	-371.31		
257.57   	133.67   	 57.78   	 752.79		 40.47   	-335.71		
271.91   	136.72   	 60.79   	1078.33		 39.12   	-305.19		
278.63   	137.63   	 65.11   	1353.00		 37.90   	-295.01		
283.81   	144.04   	 70.52   	1490.33		 36.72   	-259.41		
294.19   	161.13   	 76.48   	1469.98		 35.69   	-213.63		
311.58   	188.90   	 82.36   	1322.48		 34.83   	-172.94		
331.42   	219.73   	 87.65   	1108.85		 34.14   	-116.99		
345.15   	242.61   	 92.09   	 874.87		 33.67   	 -55.95		
346.68   	250.24   	 95.58   	 620.55		 33.45   	 -10.17		
335.39   	243.84   	 98.07   	 335.71		 33.41   	   5.09		
317.08   	230.71   	 99.41   	  35.61		 33.43   	  40.69		
295.41   	216.06   	 99.55   	-223.80		 33.59   	  61.04		
271.61   	201.72   	 98.66   	-412.00		 33.84   	  71.21		
245.67   	186.46   	 97.01   	-493.39		 34.12   	  66.12		
220.34   	171.51   	 95.04   	-473.04		 34.38   	  55.95		
199.28   	160.22   	 93.14   	-386.57		 34.61   	  45.78		
183.41   	152.59   	 91.60   	-274.67		 34.79   	  35.61		
167.85   	143.74   	 90.50   	-239.06		 34.93   	 -55.95		
119.32   	104.68   	 89.54   	 -55.95		 34.71   	 -91.56		
 91.25   	 80.26   	 89.32   	 -61.04		 34.34   	-106.82		
 70.80   	 64.09   	 89.07   	-101.73		 33.92   	-132.25		
 60.12   	 58.29   	 88.67   	-162.77		 33.39   	-147.51		
 54.63   	 58.59   	 88.02   	-228.89		 32.80   	-167.85		
 49.13   	 59.51   	 87.10   	-284.84		 32.13   	-193.29		
 45.17   	 61.65   	 85.96   	-345.88		 31.35   	-203.46		
 48.52   	 68.97   	 84.58   	-371.31		 30.54   	-198.37		
 57.68   	 79.96   	 83.09   	-376.40		 29.75   	-193.29		
 62.56   	 85.14   	 81.59   	-335.71		 28.97   	-198.37		
 53.71   	 75.38   	 80.24   	-274.67		 28.18   	-198.37		
