SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
103.45   	 65.61   	 69.44   	 157.68		 69.75   	 600.20		
 99.79   	 76.90   	 70.07   	 157.68		 72.15   	 620.55		
 95.21   	 89.72   	 70.70   	 147.51		 74.63   	 600.20		
 87.28   	103.15   	 71.29   	 137.33		 77.03   	 579.86		
 73.55   	114.14   	 71.84   	 127.16		 79.35   	 554.42		
 54.02   	119.63   	 72.35   	 122.07		 81.57   	 528.99		
 32.65   	119.63   	 72.84   	 111.90		 83.68   	 488.30		
 14.04   	114.14   	 73.29   	 106.82		 85.64   	 437.43		
  0.61   	105.29   	 73.71   	 101.73		 87.39   	 386.57		
 -9.16   	 93.69   	 74.12   	 101.73		 88.93   	 345.88		
-18.92   	 79.65   	 74.53   	 101.73		 90.32   	 315.36		
-30.82   	 62.87   	 74.93   	  91.56		 91.58   	 295.01		
-43.03   	 45.17   	 75.30   	  91.56		 92.76   	 274.67		
-51.57   	 28.38   	 75.67   	  86.47		 93.86   	 259.41		
-54.32   	 14.04   	 76.01   	  71.21		 94.89   	 244.15		
-52.80   	  3.36   	 76.30   	  66.12		 95.87   	 228.89		
-50.66   	 -3.36   	 76.56   	  45.78		 96.78   	 218.72		
-51.27   	 -7.32   	 76.74   	  25.43		 97.66   	 208.54		
-56.15   	-10.38   	 76.85(S)	   0.00		 98.49   	 193.29		
-62.56   	-13.43   	 76.85   	 -20.35		 99.27   	 183.11		
-66.53   	-15.87   	 76.76   	 -50.86		100.00   	 162.77		
-65.92   	-17.09   	 76.56   	 -86.47		100.65   	 132.25		
-61.65   	-16.17   	 76.22   	-193.29		101.18   	 101.73		
-54.63   	-12.51   	 75.44   	-269.58		101.59   	  71.21		
-55.24   	-10.99   	 74.36   	-320.45		101.87   	  40.69		
-55.85   	 -9.46   	 73.08   	-366.22		102.03   	  10.17		
-54.63   	 -7.02   	 71.62   	-427.26		102.07(S)	 -15.26		
-50.96   	 -5.49   	 69.91   	-457.78		102.01   	 -40.69		
-47.00   	 -5.80   	 68.08   	-483.21		101.85   	 -61.04		
-44.56   	 -8.85   	 66.14   	-534.08		101.61   	 -76.30		
-43.64   	-12.21   	 64.01   	-595.11		101.30   	 -96.64		
-43.33   	-14.34   	 61.63   	-630.72		100.92   	-106.82		
-42.42   	-14.04   	 59.10   	-666.32		100.49   	-116.99		
-41.20   	-12.21   	 56.44   	-707.02		100.02   	-122.07		
-39.98   	 -9.77   	 53.61   	-737.54		 99.53   	-127.16		
-38.76   	 -6.71   	 50.66   	-762.97		 99.02   	-132.25		
-36.93   	 -3.97   	 47.61   	-778.23		 98.49   	-137.33		
-34.79   	 -2.75   	 44.50   	-778.23		 97.94   	-132.25		
-32.35   	 -3.66   	 41.38   	-773.14		 97.42   	-137.33		
-29.60   	 -6.10   	 38.29   	-757.88		 96.87   	-132.25		
-26.25   	 -8.24   	 35.26   	-737.54		 96.34   	-137.33		
-21.36   	 -6.71   	 32.31   	-707.02		 95.79   	-142.42		
-13.73   	  0.31   	 29.48   	-671.41		 95.22   	-142.42		
 -3.97   	 12.51   	 26.80   	-630.72		 94.65   	-147.51		
  7.93   	 28.69   	 24.27   	-584.94		 94.06   	-157.68		
 22.28   	 49.44   	 21.93   	-539.16		 93.43   	-157.68		
 38.15   	 74.16   	 19.78   	-488.30		 92.80   	-167.85		
 53.71   	101.62   	 17.82   	-437.43		 92.13   	-172.94		
 66.22   	127.87   	 16.07   	-396.74		 91.43   	-188.20		
 75.38   	148.62   	 14.49   	-361.14		 90.68   	-188.20		
 84.23   	164.49   	 13.04   	-320.45		 89.93   	-193.29		
 95.21   	180.05   	 11.76   	-284.84		 89.16   	-198.37		
